month_end_date,segment,beginning_arr,new_logo_arr,expansion_arr,reactivation_arr,contraction_arr,churn_arr,ending_arr,net_new_arr
2024-09-30,SMB,3634669.20,67731.12,44187.84,1243.20,-13787.40,-53116.92,3680927.04,46257.84
2024-09-30,Total,21988410.12,301297.92,188901.84,18563.64,-40384.08,-53116.92,22403672.52,415262.40
2024-10-31,Enterprise,9078607.20,252620.64,25480.68,0.00,-10339.20,-113261.40,9233107.92,154500.72
2024-10-31,Mid-Market,9644138.28,75764.76,175493.28,0.00,-50911.80,-68861.64,9775622.88,131484.60
2024-10-31,SMB,3680927.04,104162.88,38556.84,5769.72,-11144.64,-71278.32,3746993.52,66066.48
2024-10-31,Total,22403672.52,432548.28,239530.80,5769.72,-72395.64,-253401.36,22755724.32,352051.80
2024-11-30,Enterprise,9233107.92,227905.92,32363.52,0.00,-45675.24,0.00,9447702.12,214594.20
2024-11-30,Mid-Market,9775622.88,83935.92,336540.84,0.00,-80018.64,-68846.16,10047234.84,271611.96
2024-11-30,SMB,3746993.52,107010.84,31488.84,0.00,-10316.64,-63536.52,3811640.04,64646.52
2024-11-30,Total,22755724.32,418852.68,400393.20,0.00,-136010.52,-132382.68,23306577.00,550852.68
2024-12-31,Enterprise,9447702.12,704803.68,4033.44,0.00,-75544.68,0.00,10080994.56,633292.44
2024-12-31,Mid-Market,10047234.84,321255.24,358250.52,0.00,-62905.32,-203560.56,10460274.72,413039.88
2024-12-31,SMB,3811640.04,193397.64,41471.52,0.00,-15119.64,-77461.44,3953928.12,142288.08
2024-12-31,Total,23306577.00,1219456.56,403755.48,0.00,-153569.64,-281022.00,24495197.40,1188620.40
2025-01-31,Enterprise,10080994.56,483067.68,53838.24,0.00,-201625.20,0.00,10416275.28,335280.72
2025-01-31,Mid-Market,10460274.72,161960.52,127629.48,0.00,-141799.32,-313995.72,10294069.68,-166205.04
2025-01-31,SMB,3953928.12,118961.04,27056.16,5379.00,-13481.88,-119408.76,3972433.68,18505.56
2025-01-31,Total,24495197.40,763989.24,208523.88,5379.00,-356906.40,-433404.48,24682778.64,187581.24
2025-02-28,Enterprise,10416275.28,126450.24,99623.52,0.00,-62205.60,0.00,10580143.44,163868.16
2025-02-28,Mid-Market,10294069.68,145388.88,314839.32,0.00,-25332.48,-113352.12,10615613.28,321543.60
2025-02-28,SMB,3972433.68,126363.72,36440.28,0.00,-22508.16,-76150.80,4036578.72,64145.04
2025-02-28,Total,24682778.64,398202.84,450903.12,0.00,-110046.24,-189502.92,25232335.44,549556.80
2025-03-31,Enterprise,10580143.44,60097.20,20297.76,0.00,-11530.80,0.00,10649007.60,68864.16
2025-03-31,Mid-Market,10615613.28,254963.04,282137.40,0.00,-97994.64,-35721.12,11018997.96,403384.68
2025-03-31,SMB,4036578.72,167228.76,36595.80,7012.20,-11071.68,-90019.92,4146323.88,109745.16
2025-03-31,Total,25232335.44,482289.00,339030.96,7012.20,-120597.12,-125741.04,25814329.44,581994.00
2025-04-30,Enterprise,10649007.60,0.00,258455.04,0.00,-61589.40,0.00,10845873.24,196865.64
2025-04-30,Mid-Market,11018997.96,184505.40,250283.16,41077.32,-74870.40,-14128.92,11405864.52,386866.56
2025-04-30,SMB,4146323.88,105016.68,59536.68,0.00,-4347.00,-128617.92,4177912.32,31588.44
2025-04-30,Total,25814329.44,289522.08,568274.88,41077.32,-140806.80,-142746.84,26429650.08,615320.64
2025-05-31,Enterprise,10845873.24,0.00,23069.40,0.00,0.00,0.00,10868942.64,23069.40
2025-05-31,Mid-Market,11405864.52,155064.72,169027.56,0.00,-80130.00,-90810.72,11559016.08,153151.56
2025-05-31,SMB,4177912.32,111001.44,22565.40,12462.48,-11069.88,-149700.48,4163171.28,-14741.04
2025-05-31,Total,26429650.08,266066.16,214662.36,12462.48,-91199.88,-240511.20,26591130.00,161479.92
2025-06-30,Enterprise,10868942.64,77274.96,0.00,0.00,-9301.68,0.00,10936915.92,67973.28
2025-06-30,Mid-Market,11559016.08,137055.36,286010.40,0.00,-16331.64,-58917.72,11906832.48,347816.40
2025-06-30,SMB,4163171.28,193993.68,46049.16,0.00,-20162.88,-89028.72,4294022.52,130851.24
2025-06-30,Total,26591130.00,408324.00,332059.56,0.00,-45796.20,-147946.44,27137770.92,546640.92
2025-07-31,Enterprise,10936915.92,0.00,19308.84,0.00,0.00,0.00,10956224.76,19308.84
2025-07-31,Mid-Market,11906832.48,84815.04,296148.12,0.00,-77898.72,-28926.84,12180970.08,274137.60
2025-07-31,SMB,4294022.52,63689.64,48588.96,2735.28,-19276.20,-59258.16,4330502.04,36479.52
2025-07-31,Total,27137770.92,148504.68,364045.92,2735.28,-97174.92,-88185.00,27467696.88,329925.96
2025-08-31,Enterprise,10956224.76,0.00,60897.72,0.00,0.00,0.00,11017122.48,60897.72
2025-08-31,Mid-Market,12180970.08,153143.88,223555.68,0.00,-53168.40,-98466.36,12406034.88,225064.80
2025-08-31,SMB,4330502.04,101424.12,55007.28,2107.44,-19917.72,-98999.76,4370123.40,39621.36
2025-08-31,Total,27467696.88,254568.00,339460.68,2107.44,-73086.12,-197466.12,27793280.76,325583.88
2025-09-30,Enterprise,11017122.48,0.00,28725.96,0.00,0.00,0.00,11045848.44,28725.96
2025-09-30,Mid-Market,12406034.88,181710.96,213740.52,0.00,-39556.08,-117422.04,12644508.24,238473.36
2025-09-30,SMB,4370123.40,84287.88,53046.00,0.00,-7236.72,-72205.92,4428014.64,57891.24
2025-09-30,Total,27793280.76,265998.84,295512.48,0.00,-46792.80,-189627.96,28118371.32,325090.56
2025-10-31,Enterprise,11045848.44,65671.56,36248.04,0.00,-39511.20,0.00,11108256.84,62408.40
2025-10-31,Mid-Market,12644508.24,234131.64,410378.76,0.00,-83631.60,-92154.24,13113232.80,468724.56
2025-10-31,SMB,4428014.64,127234.92,47070.84,0.00,-1302.24,-70241.76,4530776.40,102761.76
2025-10-31,Total,28118371.32,427038.12,493697.64,0.00,-124445.04,-162396.00,28752266.04,633894.72
2025-11-30,Enterprise,11108256.84,437562.48,110926.32,0.00,0.00,-252620.64,11404125.00,295868.16
2025-11-30,Mid-Market,13113232.80,209784.84,203994.12,0.00,-143774.16,-28781.28,13354456.32,241223.52
2025-11-30,SMB,4530776.40,123851.88,51844.56,0.00,-29296.56,-47321.88,4629854.40,99078.00
2025-11-30,Total,28752266.04,771199.20,366765.00,0.00,-173070.72,-328723.80,29388435.72,636169.68
2025-12-31,Enterprise,11404125.00,200082.36,6435.24,0.00,-8846.16,0.00,11601796.44,197671.44
2025-12-31,Mid-Market,13354456.32,325019.88,197098.44,30440.64,-55385.52,-45262.44,13806367.32,451911.00
2025-12-31,SMB,4629854.40,290647.08,42114.60,7295.16,-13220.52,-175538.64,4781152.08,151297.68
2025-12-31,Total,29388435.72,815749.32,245648.28,37735.80,-77452.20,-220801.08,30189315.84,800880.12
2026-01-31,Enterprise,11601796.44,0.00,22979.64,0.00,-184766.76,0.00,11440009.32,-161787.12
2026-01-31,Mid-Market,13806367.32,195807.36,298280.40,0.00,-255434.88,-54890.76,13990129.44,183762.12
2026-01-31,SMB,4781152.08,71617.08,40361.16,3132.00,-11535.24,-134016.48,4750710.60,-30441.48
2026-01-31,Total,30189315.84,267424.44,361621.20,3132.00,-451736.88,-188907.24,30180849.36,-8466.48
2026-02-28,Enterprise,11440009.32,164833.56,56577.12,0.00,0.00,0.00,11661420.00,221410.68
2026-02-28,Mid-Market,13990129.44,131305.44,197938.44,0.00,-138266.52,0.00,14181106.80,190977.36
2026-02-28,SMB,4750710.60,51735.72,49117.32,10064.52,-12068.64,-113861.40,4735698.12,-15012.48
2026-02-28,Total,30180849.36,347874.72,303632.88,10064.52,-150335.16,-113861.40,30578224.92,397375.56
2026-03-31,Enterprise,11661420.00,122294.16,10617.84,0.00,0.00,0.00,11794332.00,132912.00
2026-03-31,Mid-Market,14181106.80,207565.32,176055.84,0.00,-201810.12,-118836.36,14244081.48,62974.68
2026-03-31,SMB,4735698.12,122782.80,51014.76,7982.76,-4116.00,-114346.56,4799015.88,63317.76
2026-03-31,Total,30578224.92,452642.28,237688.44,7982.76,-205926.12,-233182.92,30837429.36,259204.44
2026-04-30,Enterprise,11794332.00,0.00,386237.64,0.00,-27607.08,0.00,12152962.56,358630.56
2026-04-30,Mid-Market,14244081.48,62212.56,387264.00,0.00,-11279.28,-168357.24,14513921.52,269840.04
2026-04-30,SMB,4799015.88,72235.92,46655.40,3643.20,-22612.44,-118468.20,4780469.76,-18546.12
2026-04-30,Total,30837429.36,134448.48,820157.04,3643.20,-61498.80,-286825.44,31447353.84,609924.48
2026-05-31,Enterprise,12152962.56,0.00,512099.52,0.00,-43314.36,0.00,12621747.72,468785.16
2026-05-31,Mid-Market,14513921.52,85918.68,558817.56,0.00,-76407.12,0.00,15082250.64,568329.12
2026-05-31,SMB,4780469.76,84944.52,48814.32,14374.56,-19640.64,-119750.52,4789212.00,8742.24
2026-05-31,Total,31447353.84,170863.20,1119731.40,14374.56,-139362.12,-119750.52,32493210.36,1045856.52
2026-06-30,Enterprise,12621747.72,431755.68,46447.92,0.00,0.00,-407847.24,12692104.08,70356.36
2026-06-30,Mid-Market,15082250.64,134640.12,420598.44,0.00,-73583.76,-64078.08,15499827.36,417576.72
2026-06-30,SMB,4789212.00,83896.56,43557.60,20643.24,-22324.08,-90196.44,4824788.88,35576.88
2026-06-30,Total,32493210.36,650292.36,510603.96,20643.24,-95907.84,-562121.76,33016720.32,523509.96
