scenario,month_end_date,beginning_arr,new_logo_arr,expansion_arr,reactivation_arr,contraction_arr,churn_arr,ending_arr,subscription_revenue,services_revenue,total_revenue,gross_profit,total_opex,operating_income,ending_headcount,ending_cash,monthly_burn,is_actual,period_label
Base,2026-03-31,30578224.92,452642.27999999997,237688.44,7982.76,-205926.12,-233182.91999999998,30837429.36,2533283.83,56835.99,2590119.8200000003,2000890.3600000003,2624880.22,-623989.8599999999,202.0,,,true,Actual
Base,2026-04-30,30837429.36,134448.47999999998,820157.04,3643.2,-61498.8,-286825.44,31447353.839999996,2560065.62,50909.0,2610974.62,2046708.4200000002,2697201.74,-650493.3200000001,204.0,,,true,Actual
Base,2026-05-31,31447353.840000004,170863.2,1119731.4,14374.56,-139362.12,-119750.52,32493210.36,2597740.65,46436.61,2644177.26,2057214.4899999998,2572074.1399999997,-514859.6499999999,206.0,,,true,Actual
Base,2026-06-30,32493210.36,650292.3600000001,510603.95999999996,20643.24,-95907.84,-562121.76,33016720.319999997,2668547.91,50722.78,2719270.69,2118762.34,2568678.39,-449916.0500000003,206.0,,,true,Actual
Base,2026-07-31,33016720.32,379723.84316577663,514111.27215857455,8534.9,-86848.2886515485,-160575.32635501673,33671666.72031779,2731761.7365,56429.8085680928,2788191.545068093,2203825.7627678555,2606311.6793901054,-402485.9166222499,205.31055941546788,21332422.416221913,467577.5837780861,false,FY2026 Reforecast
Base,2026-08-31,33671666.72031778,78926.91212814295,514111.27215857455,8534.9,-99397.34960386796,-188223.04595611413,33985619.40904452,2781411.736681232,11729.130583768407,2793140.8672650005,2176556.2593719186,2735743.366653036,-559187.1072811172,220.62363775019907,20759471.16251482,572951.2537070946,false,FY2026 Reforecast
Base,2026-09-30,33985619.40904452,10415.986183574878,514111.27215857455,8534.9,-102725.15900228248,-188558.21999984363,34227398.18838455,2820361.7249264573,1547.893599429376,2821909.6185258864,2206861.773345235,2726411.7750576506,-519550.00171241583,219.8792436021427,20230148.640372142,529322.5221426766,false,FY2026 Reforecast
Base,2026-10-31,34227398.18838455,11305.866570048309,514111.27215857455,8534.9,-140395.9414876271,-232938.5155039047,34388015.770121634,2843216.4781401283,1680.1364932085623,2844896.6146333367,2231379.8695968185,2719666.2986977673,-488286.42910094885,219.13759105689093,19733373.458233412,496775.1821387294,false,FY2026 Reforecast
Base,2026-11-30,34388015.770121634,350964.2754020019,514111.27215857455,8534.9,-183611.10877066094,-301558.8995636074,34776456.20934794,2859644.821528329,52155.92128758725,2911800.7428159164,2299809.456328567,2725446.504173829,-425637.0478452621,218.3986692422937,19263411.48657888,469961.9716545306,false,FY2026 Reforecast
Base,2026-12-31,34776456.20934794,351431.15011490264,514111.27215857455,8534.9,-351650.5468832045,-482466.4199405572,34816416.56479766,2883471.5009746756,52225.302368465986,2935696.8033431415,2325225.3547052657,2718735.5632745083,-393510.2085692426,217.66246733183948,18845495.34254299,417916.14403589163,false,FY2026 Reforecast
Base,2027-01-31,34816416.564797655,351431.15011490264,514111.27215857455,8534.9,-291183.81787367136,-418466.4434759994,34980843.62572146,2899869.5337371076,52225.302368465986,2952094.8361055735,2343137.625434976,2712032.314470081,-368894.68903510505,216.92897454445554,18470312.634598285,375182.70794470655,false,Forward Runway Projection
Base,2027-02-28,34980843.62572146,349300.97993029724,514111.27215857455,8534.9,-150800.46284578944,-250734.47583791066,35451255.83912663,2908904.287358813,51908.7431165302,2960813.030475343,2353364.478629848,2705275.2811347246,-351910.8025048766,216.19818014430916,18124551.216073543,345761.4185247412,false,Forward Runway Projection
Base,2027-03-31,35451255.83912664,346885.98645540443,514111.27215857455,8534.9,-272542.50164893724,-388070.4317244204,35660175.06436726,2936630.8619245254,51549.85698932459,2988180.71891385,2382235.267414112,2698532.455982838,-316297.1885687257,215.47007344061,17802475.41039113,322075.8056824133,false,Forward Runway Projection
Base,2027-04-30,35660175.06436726,344530.83628013346,514111.27215857455,8534.9,-109427.45764508289,-202607.42789535932,36215317.187265515,2963846.7844174146,51199.86402488061,3015046.6484422954,2410598.759394898,2691816.457060529,-281217.69766563084,214.74464378741288,17509791.10712473,292684.3032664,false,Forward Runway Projection
Base,2027-05-31,36215317.18726553,342234.04649343435,514111.27215857455,8534.9,-76271.92612631964,-174161.86622595013,36829763.613565266,2997125.2693301085,50858.543851503986,3047983.8131816126,2445027.969202455,2685127.129930302,-240099.1607278469,214.0218805834218,17251935.601605322,257855.5055194078,false,Forward Runway Projection
Base,2027-06-30,36829763.613565266,339994.1709306461,514111.27215857455,8534.9,-212839.68328937108,-320899.3502053147,37158664.92315979,3046105.226810865,50525.68155828921,3096630.908369154,2495161.6125071235,2678464.321941629,-183302.70943450555,213.30177327179447,17035848.9004486,216086.7011567196,false,Forward Runway Projection
Base,2027-07-31,37158664.92315979,337809.79926292563,514111.27215857455,8534.9,-23589.77837251388,-90678.72271509531,37904852.39349368,3084221.611153522,50201.067559801835,3134422.678713324,2534434.4543742537,2671827.8821954085,-137393.4278211547,212.58431133994856,16868431.57349857,167417.3269500346,false,Forward Runway Projection
Base,2027-08-31,37904852.39349368,335679.55610923877,514111.27215857455,8534.9,-12308.621024241304,-76608.92369381376,38674260.577043444,3130755.6693202867,49884.497464113745,3180640.1667844006,2582127.557655312,2665217.661509259,-83090.10385394702,211.86948431936764,16751059.604487434,117371.969011134,false,Forward Runway Projection
Base,2027-09-30,38674260.577043444,333602.10017035744,514111.27215857455,8534.9,-58307.250611851036,-129703.77376507726,39342497.82499545,3194002.2412038376,49575.771944108565,3243578.013147946,2646535.5831215763,2658633.5123836417,-12097.929262065329,211.15728178540886,16688804.28387414,62255.32061329391,false,Forward Runway Projection
Base,2027-10-31,39342497.82499546,331576.1233843161,514111.27215857455,8534.9,-16192.56771889077,-84321.46542465033,40096206.087394804,3253482.588618087,49274.6966119762,3302757.2852300634,2707179.6183296703,2652075.288968775,55104.329360895324,210.44769335711118,16690139.866391137,-1335.5825169966556,false,Forward Runway Projection
Base,2027-11-30,40096206.087394804,329600.35010279535,514111.27215857455,8534.9,-12339.028150411656,-78006.8519797937,40858106.72952597,3313086.4474429246,48981.08189681728,3362067.529339742,2767949.2296441956,2645542.847032338,122406.38261185773,209.7407086970047,16758685.563174412,-68545.69678327534,false,Forward Runway Projection
Base,2027-12-31,40858106.72952597,327673.53628791496,514111.27215857455,8534.9,-37076.87661737975,-105053.50548991816,41566296.05586515,3376270.9533805787,48694.742925280574,3424965.6963058594,2832301.3878750093,2639036.043927932,193265.34394707717,209.03631751092027,16895401.66056322,-136716.09738880722,false,Forward Runway Projection
Bear,2024-01-31,18571137.0,525566.76,219226.44,0.0,-258461.88,-149570.16,18907898.16,851177.12,95532.9,946710.02,525109.5700000001,1888561.3,-1363451.73,159.0,,,true,Actual
Bear,2024-02-29,18907898.16,356830.68,278988.36,0.0,-91263.12,-156948.96,19295505.12,1563029.64,95924.77,1658954.41,1242959.2,1965500.83,-722541.6300000001,163.0,,,true,Actual
Bear,2024-03-31,19295505.12,831032.04,312089.64,0.0,-65536.8,-323996.88,20049093.119999997,1593423.5,80931.78,1674355.28,1250219.24,2118453.97,-868234.7300000002,165.0,,,true,Actual
Bear,2024-04-30,20049093.119999997,216228.96,537914.4,0.0,-57366.72,-205350.0,20540519.759999998,1642498.21,76228.52,1718726.73,1269606.3,2090908.53,-821302.23,168.0,,,true,Actual
Bear,2024-05-31,20540519.759999998,383789.51999999996,243323.76,8655.48,-45964.32,-166052.52000000002,20964271.679999996,1693281.48,77247.39,1770528.8699999999,1328588.16,2141260.77,-812672.6100000001,171.0,,,true,Actual
Bear,2024-06-30,20964271.68,461600.28,292981.8,34328.64,-81439.44,-127409.51999999999,21544333.44,1731131.94,70764.09,1801896.03,1325414.11,2129017.78,-803603.6699999997,174.0,,,true,Actual
Bear,2024-07-31,21544333.439999998,320339.76,316543.44,33770.28,-88843.92000000001,-120242.64,22005900.36,1773608.8,65683.75,1839292.55,1380989.92,2126136.17,-745146.25,176.0,,,true,Actual
Bear,2024-08-31,22005900.36,148772.52,324913.68,7010.52,-52441.8,-445745.16,21988410.12,1816516.27,60566.28,1877082.55,1405239.24,2108439.45,-703200.2100000002,177.0,,,true,Actual
Bear,2024-09-30,21988410.12,301297.92,188901.84,18563.64,-40384.08,-53116.92,22403672.519999996,1833023.39,58250.36,1891273.75,1415247.6400000001,2283191.58,-867943.94,179.0,,,true,Actual
Bear,2024-10-31,22403672.519999996,432548.28,239530.8,5769.72,-72395.64,-253401.36,22755724.32,1851400.37,68233.2,1919633.57,1423223.12,2254046.2600000002,-830823.1400000001,181.0,,,true,Actual
Bear,2024-11-30,22755724.32,418852.68000000005,400393.20000000007,0.0,-136010.52,-132382.68,23306577.0,1883108.42,72967.28,1956075.7,1493394.29,2221042.8200000003,-727648.5300000003,183.0,,,true,Actual
Bear,2024-12-31,23306577.0,1219456.56,403755.48000000004,0.0,-153569.64,-281022.0,24495197.400000002,1921557.77,83362.82,2004920.59,1506746.1,2223423.83,-716677.73,184.0,,,true,Actual
Bear,2025-01-31,24495197.4,763989.24,208523.87999999998,5379.0,-356906.4,-433404.48,24682778.64,1996693.19,87337.41,2084030.5999999999,1602033.0699999998,2160710.21,-558677.1400000001,184.0,,,true,Actual
Bear,2025-02-28,24682778.64,398202.83999999997,450903.12,0.0,-110046.24,-189502.91999999998,25232335.439999998,2049863.92,86601.9,2136465.82,1652049.42,2298012.09,-645962.6699999999,185.0,,,true,Actual
Bear,2025-03-31,25232335.439999998,482289.00000000006,339030.96,7012.2,-120597.12000000001,-125741.04000000001,25814329.439999998,2082086.24,73525.07,2155611.31,1633968.1600000001,2385227.06,-751258.8999999999,187.0,,,true,Actual
Bear,2025-04-30,25814329.439999998,289522.07999999996,568274.88,41077.32,-140806.8,-142746.84,26429650.08,2129369.35,67875.4,2197244.75,1669057.67,2455749.06,-786691.3900000001,189.0,,,true,Actual
Bear,2025-05-31,26429650.08,266066.16000000003,214662.36,12462.48,-91199.88,-240511.2,26591130.0,2179396.31,63119.0,2242515.31,1708321.4300000002,2353997.3,-645675.8699999996,189.0,,,true,Actual
Bear,2025-06-30,26591130.0,408324.0,332059.56000000006,0.0,-45796.2,-147946.44,27137770.919999998,2209872.0,59243.65,2269115.65,1723312.19,2317585.6799999997,-594273.4899999998,190.0,,,true,Actual
Bear,2025-07-31,27137770.92,148504.68,364045.92000000004,2735.28,-97174.92,-88185.0,27467696.880000003,2240981.88,57452.67,2298434.55,1753982.0699999998,2304780.94,-550798.8700000001,192.0,,,true,Actual
Bear,2025-08-31,27467696.88,254568.0,339460.68000000005,2107.44,-73086.12,-197466.12,27793280.759999998,2276602.52,56599.48,2333202.0,1794925.0,2338168.07,-543243.0699999998,193.0,,,true,Actual
Bear,2025-09-30,27793280.759999998,265998.83999999997,295512.48,0.0,-46792.8,-189627.96,28118371.32,2303897.33,53411.27,2357308.6,1812087.04,2416087.6199999996,-604000.5799999996,195.0,,,true,Actual
Bear,2025-10-31,28118371.32,427038.12,493697.63999999996,0.0,-124445.04000000001,-162396.0,28752266.040000003,2331006.71,50824.95,2381831.66,1819406.1800000002,2503410.46,-684004.2799999998,197.0,,,true,Actual
Bear,2025-11-30,28752266.040000003,771199.2,366765.0,0.0,-173070.72,-328723.80000000005,29388435.72,2372251.11,70188.69,2442439.8,1850229.4899999998,2476525.4,-626295.9100000001,198.0,,,true,Actual
Bear,2025-12-31,29388435.72,815749.32,245648.28,37735.8,-77452.2,-220801.08000000002,30189315.839999996,2425179.95,76395.05,2501575.0,1915763.42,2455460.07,-539696.6499999999,198.0,,,true,Actual
Bear,2026-01-31,30189315.839999996,267424.44,361621.20000000007,3132.0,-451736.88,-188907.24000000002,30180849.36,2485743.32,70707.55,2556450.8699999996,2008456.7799999998,2329096.32,-320639.54000000004,199.0,,,true,Actual
Bear,2026-02-28,30180849.36,347874.72,303632.88,10064.52,-150335.15999999997,-113861.4,30578224.92,2515388.27,58952.53,2574340.8,2019081.1099999999,2384215.15,-365134.04000000004,200.0,,,true,Actual
Bear,2026-03-31,30578224.92,452642.27999999997,237688.44,7982.76,-205926.12,-233182.91999999998,30837429.36,2533283.83,56835.99,2590119.8200000003,2000890.3600000003,2624880.22,-623989.8599999999,202.0,,,true,Actual
Bear,2026-04-30,30837429.36,134448.47999999998,820157.04,3643.2,-61498.8,-286825.44,31447353.839999996,2560065.62,50909.0,2610974.62,2046708.4200000002,2697201.74,-650493.3200000001,204.0,,,true,Actual
Bear,2026-05-31,31447353.840000004,170863.2,1119731.4,14374.56,-139362.12,-119750.52,32493210.36,2597740.65,46436.61,2644177.26,2057214.4899999998,2572074.1399999997,-514859.6499999999,206.0,,,true,Actual
Bear,2026-06-30,32493210.36,650292.3600000001,510603.95999999996,20643.24,-95907.84,-562121.76,33016720.319999997,2668547.91,50722.78,2719270.69,2118762.34,2568678.39,-449916.0500000003,206.0,,,true,Actual
Bear,2026-07-31,33016720.32,322765.2666909101,436994.5813347883,8534.9,-104217.9463818582,-192690.39162602008,33488106.73001782,2731761.7365,47965.33728287888,2779727.073782879,2195361.2914826414,2602312.837323918,-406951.54584127665,205.31055941546788,21334897.653456762,465102.34654323757,false,FY2026 Reforecast
Bear,2026-08-31,33488106.73001782,67087.87530892153,436994.5813347883,8534.9,-119276.81952464154,-225867.65514733698,33655579.61198956,2772998.57045915,9969.76099620315,2782968.3314553527,2166383.7235622704,2733409.435600141,-567025.7120378707,220.62363775019907,20758555.61756563,576342.0358911357,false,FY2026 Reforecast
Bear,2026-09-30,33655579.61198955,8853.588256038647,436994.5813347883,8534.9,-123270.19080273897,-226269.86399981234,33760422.62677783,2798351.401258523,1315.70955951497,2799667.110818038,2184619.2656373866,2724457.0519798594,-539837.7863424728,219.8792436021427,20220134.74868103,538420.868884596,false,FY2026 Reforecast
Bear,2026-10-31,33760422.62677783,9609.986584541062,436994.5813347883,8534.9,-168475.12978515256,-279526.2186046856,33767560.74630731,2809436.939176926,1428.1160192272778,2810865.055196153,2197348.310159635,2717706.6501320372,-520358.33997240243,219.13759105689093,19705436.51313421,514698.23554682126,false,FY2026 Reforecast
Bear,2026-11-30,33767560.74630731,238973.1820781338,436994.5813347883,8534.9,-220333.33052479316,-361870.6794763289,33869859.39971912,2813695.716043254,35513.20561055687,2849208.921653811,2237217.6351664616,2719416.962235913,-482199.32706945157,218.3986692422937,19207541.333244342,497895.1798898671,false,FY2026 Reforecast
Bear,2026-12-31,33869859.39971912,238973.1820781338,436994.5813347883,8534.9,-421980.65625984536,-578959.7039286686,33553421.702943526,2818652.083806984,35513.20561055687,2854165.289417541,2243693.8407796654,2712688.793659686,-468994.9528800207,217.66246733183948,18740895.811323058,466645.5219212859,false,FY2026 Reforecast
Bear,2027-01-31,33553421.702943526,238973.1820781338,436994.5813347883,8534.9,-349420.58144840563,-502159.7321711993,33386344.05273684,2807984.8888743785,35513.20561055687,2843498.0944849355,2234540.883814338,2705985.544855259,-471444.66104092076,216.92897454445554,18294459.728415318,446436.08290773956,false,Forward Runway Projection
Bear,2027-02-28,33386344.05273684,238973.1820781338,436994.5813347883,8534.9,-180960.55541494733,-300881.3710054928,33589004.78972933,2788460.749610821,35513.20561055687,2823973.955221378,2216525.4033758827,2699307.1147997146,-482781.711423832,216.19818014430916,17852244.771942243,442214.95647307485,false,Forward Runway Projection
Bear,2027-03-31,33589004.78972933,238973.1820781338,436994.5813347883,8534.9,-327051.00197872473,-465684.5180693045,33480771.93309422,2791483.9548402256,35513.20561055687,2826997.1604507826,2221051.708951045,2692653.402907051,-471601.6939560063,215.47007344061,17407159.395427614,445085.37651462853,false,Forward Runway Projection
Bear,2027-04-30,33480771.93309422,238973.1820781338,436994.5813347883,8534.9,-131312.94917409946,-243128.9134744312,33790832.73385861,2794123.0598816685,35513.20561055687,2829636.2654922255,2225188.376444828,2686024.30902621,-460835.9325813819,214.74464378741288,16965746.25397075,441413.1414568662,false,Forward Runway Projection
Bear,2027-05-31,33790832.73385861,238973.1820781338,436994.5813347883,8534.9,-91526.31135158356,-208994.23947114017,34174814.84644881,2804275.4477928863,35513.20561055687,2839788.6534034433,2236832.809424286,2679419.733439112,-442586.9240148263,214.0218805834218,16534755.71763545,430990.5363352969,false,Forward Runway Projection
Bear,2027-06-30,34174814.84644881,238973.1820781338,436994.5813347883,8534.9,-255407.6199472453,-385079.2202463776,34218830.66966811,2833501.9079819345,35513.20561055687,2869015.1135924915,2267545.817730461,2672839.5768587063,-405293.7591282455,213.30177327179447,16122743.553100832,412012.1645346186,false,Forward Runway Projection
Bear,2027-07-31,34218830.66966811,238973.1820781338,436994.5813347883,8534.9,-28307.734047016653,-108814.46725811437,34766211.13177589,2849918.629101619,35513.20561055687,2885431.834712176,2285443.610373106,2666283.740427024,-380840.13005391834,212.58431133994856,15738221.275027817,384522.2780730147,false,Forward Runway Projection
Bear,2027-08-31,34766211.13177589,238973.1820781338,436994.5813347883,8534.9,-14770.345229089562,-91930.70843257652,35344012.741527155,2876657.4936522827,35513.20561055687,2912170.6992628397,2313658.0901337513,2659752.1257132464,-346094.03557949513,211.86948431936764,15383066.514098568,355154.7609292497,false,Forward Runway Projection
Bear,2027-09-30,35344012.741527155,238973.1820781338,436994.5813347883,8534.9,-69968.70073422123,-155644.5285180927,35802902.17568776,2923666.834761591,35513.20561055687,2959180.040372148,2362137.610345778,2653244.634711773,-291107.0243659951,211.15728178540886,15063585.781095125,319480.7330034422,false,Forward Runway Projection
Bear,2027-10-31,35802902.17568776,238973.1820781338,436994.5813347883,8534.9,-19431.081262668922,-101185.75850958041,36366787.999328434,2966366.8275262904,35513.20561055687,3001880.0331368474,2406302.366236455,2646761.1698403116,-240458.80360385682,210.44769335711118,14790163.791460812,273421.98963431455,false,Forward Runway Projection
Bear,2027-11-30,36366787.999328434,238973.1820781338,436994.5813347883,8534.9,-14806.833780493986,-93608.22237575245,36942875.60658511,3009419.9482241776,35513.20561055687,3044933.1538347346,2450814.8541391883,2640301.633937963,-189486.7797987745,209.7407086970047,14567353.988005733,222809.8034550785,false,Forward Runway Projection
Bear,2027-12-31,36942875.60658511,238973.1820781338,436994.5813347883,8534.9,-44492.2519408557,-126064.20658790178,37456821.81146927,3056969.6819433006,35513.20561055687,3092482.8875538576,2499818.5791230076,2633865.930263326,-134047.35114031844,209.03631751092027,14396514.012343317,170839.97566241492,false,Forward Runway Projection
Bull,2024-01-31,18571137.0,525566.76,219226.44,0.0,-258461.88,-149570.16,18907898.16,851177.12,95532.9,946710.02,525109.5700000001,1888561.3,-1363451.73,159.0,,,true,Actual
Bull,2024-02-29,18907898.16,356830.68,278988.36,0.0,-91263.12,-156948.96,19295505.12,1563029.64,95924.77,1658954.41,1242959.2,1965500.83,-722541.6300000001,163.0,,,true,Actual
Bull,2024-03-31,19295505.12,831032.04,312089.64,0.0,-65536.8,-323996.88,20049093.119999997,1593423.5,80931.78,1674355.28,1250219.24,2118453.97,-868234.7300000002,165.0,,,true,Actual
Bull,2024-04-30,20049093.119999997,216228.96,537914.4,0.0,-57366.72,-205350.0,20540519.759999998,1642498.21,76228.52,1718726.73,1269606.3,2090908.53,-821302.23,168.0,,,true,Actual
Bull,2024-05-31,20540519.759999998,383789.51999999996,243323.76,8655.48,-45964.32,-166052.52000000002,20964271.679999996,1693281.48,77247.39,1770528.8699999999,1328588.16,2141260.77,-812672.6100000001,171.0,,,true,Actual
Bull,2024-06-30,20964271.68,461600.28,292981.8,34328.64,-81439.44,-127409.51999999999,21544333.44,1731131.94,70764.09,1801896.03,1325414.11,2129017.78,-803603.6699999997,174.0,,,true,Actual
Bull,2024-07-31,21544333.439999998,320339.76,316543.44,33770.28,-88843.92000000001,-120242.64,22005900.36,1773608.8,65683.75,1839292.55,1380989.92,2126136.17,-745146.25,176.0,,,true,Actual
Bull,2024-08-31,22005900.36,148772.52,324913.68,7010.52,-52441.8,-445745.16,21988410.12,1816516.27,60566.28,1877082.55,1405239.24,2108439.45,-703200.2100000002,177.0,,,true,Actual
Bull,2024-09-30,21988410.12,301297.92,188901.84,18563.64,-40384.08,-53116.92,22403672.519999996,1833023.39,58250.36,1891273.75,1415247.6400000001,2283191.58,-867943.94,179.0,,,true,Actual
Bull,2024-10-31,22403672.519999996,432548.28,239530.8,5769.72,-72395.64,-253401.36,22755724.32,1851400.37,68233.2,1919633.57,1423223.12,2254046.2600000002,-830823.1400000001,181.0,,,true,Actual
Bull,2024-11-30,22755724.32,418852.68000000005,400393.20000000007,0.0,-136010.52,-132382.68,23306577.0,1883108.42,72967.28,1956075.7,1493394.29,2221042.8200000003,-727648.5300000003,183.0,,,true,Actual
Bull,2024-12-31,23306577.0,1219456.56,403755.48000000004,0.0,-153569.64,-281022.0,24495197.400000002,1921557.77,83362.82,2004920.59,1506746.1,2223423.83,-716677.73,184.0,,,true,Actual
Bull,2025-01-31,24495197.4,763989.24,208523.87999999998,5379.0,-356906.4,-433404.48,24682778.64,1996693.19,87337.41,2084030.5999999999,1602033.0699999998,2160710.21,-558677.1400000001,184.0,,,true,Actual
Bull,2025-02-28,24682778.64,398202.83999999997,450903.12,0.0,-110046.24,-189502.91999999998,25232335.439999998,2049863.92,86601.9,2136465.82,1652049.42,2298012.09,-645962.6699999999,185.0,,,true,Actual
Bull,2025-03-31,25232335.439999998,482289.00000000006,339030.96,7012.2,-120597.12000000001,-125741.04000000001,25814329.439999998,2082086.24,73525.07,2155611.31,1633968.1600000001,2385227.06,-751258.8999999999,187.0,,,true,Actual
Bull,2025-04-30,25814329.439999998,289522.07999999996,568274.88,41077.32,-140806.8,-142746.84,26429650.08,2129369.35,67875.4,2197244.75,1669057.67,2455749.06,-786691.3900000001,189.0,,,true,Actual
Bull,2025-05-31,26429650.08,266066.16000000003,214662.36,12462.48,-91199.88,-240511.2,26591130.0,2179396.31,63119.0,2242515.31,1708321.4300000002,2353997.3,-645675.8699999996,189.0,,,true,Actual
Bull,2025-06-30,26591130.0,408324.0,332059.56000000006,0.0,-45796.2,-147946.44,27137770.919999998,2209872.0,59243.65,2269115.65,1723312.19,2317585.6799999997,-594273.4899999998,190.0,,,true,Actual
