contract_id,customer_id,segment,contract_type,renewal_date,renewal_month,atr_arr,contract_net_acv,months_to_renewal
CTR-00183-06,CUST-00183,Mid-Market,annual,2026-11-27,2026-11-30,18385.44,18385.43,5
CTR-00184-06,CUST-00184,Mid-Market,annual,2026-12-23,2026-12-31,18530.16,18530.16,6
CTR-00185-06,CUST-00185,Mid-Market,annual,2026-12-27,2026-12-31,78741.72,56244.14,6
CTR-00186-03,CUST-00186,Mid-Market,multi_year,2027-01-03,2027-01-31,22597.32,22597.29,7
CTR-00187-06,CUST-00187,Mid-Market,annual,2026-12-31,2026-12-31,32993.28,22992.20,6
CTR-00188-06,CUST-00188,Mid-Market,annual,2027-01-04,2027-01-31,33703.80,24074.18,7
CTR-00189-06,CUST-00189,Mid-Market,annual,2026-12-15,2026-12-31,8593.08,8593.12,6
CTR-00191-06,CUST-00191,Enterprise,annual,2026-12-12,2026-12-31,71044.56,50746.11,6
CTR-00207-03,CUST-00207,SMB,multi_year,2027-02-24,2027-02-28,11149.08,11149.10,8
CTR-00208-06,CUST-00208,SMB,annual,2027-02-01,2027-02-28,4824.48,4824.41,8
CTR-00224-06,CUST-00224,SMB,annual,2027-03-11,2027-03-31,2514.24,2514.31,9
CTR-00226-06,CUST-00226,SMB,annual,2027-03-27,2027-03-31,4970.52,4970.57,9
CTR-00227-06,CUST-00227,SMB,annual,2027-03-23,2027-03-31,4498.68,3856.01,9
CTR-00233-06,CUST-00233,SMB,annual,2027-03-28,2027-03-31,5823.00,5823.03,9
CTR-00236-06,CUST-00236,SMB,annual,2027-04-21,2027-04-30,1642.32,1642.29,10
CTR-00248-06,CUST-00248,SMB,annual,2027-05-30,2027-05-31,2415.60,2415.55,11
CTR-00253-06,CUST-00253,SMB,annual,2027-05-29,2027-05-31,5814.60,5814.57,11
CTR-00255-06,CUST-00255,SMB,annual,2027-05-04,2027-05-31,2366.28,2366.27,11
CTR-00270-06,CUST-00270,SMB,annual,2027-06-08,2027-06-30,4215.96,3144.55,12
CTR-00274-05,CUST-00274,SMB,annual,2026-07-26,2026-07-31,6769.20,4923.02,1
CTR-00275-05,CUST-00275,SMB,annual,2026-07-10,2026-07-31,2593.08,2593.12,1
CTR-00276-05,CUST-00276,SMB,annual,2026-08-02,2026-08-31,3084.72,3084.78,2
CTR-00278-05,CUST-00278,SMB,annual,2026-07-29,2026-07-31,11534.40,8238.78,1
CTR-00279-05,CUST-00279,SMB,annual,2026-07-14,2026-07-31,5554.80,5554.71,1
CTR-00283-05,CUST-00283,SMB,annual,2026-08-25,2026-08-31,4609.32,2838.88,2
CTR-00290-05,CUST-00290,SMB,annual,2026-09-02,2026-09-30,6287.04,6287.03,3
CTR-00297-05,CUST-00297,SMB,annual,2026-09-16,2026-09-30,5823.00,5822.97,3
CTR-00303-05,CUST-00303,SMB,annual,2026-10-28,2026-10-31,4664.04,3331.39,4
CTR-00325-05,CUST-00325,SMB,annual,2027-01-03,2027-01-31,11680.20,11680.21,7
CTR-00327-05,CUST-00327,SMB,annual,2026-12-16,2026-12-31,2474.52,2474.52,6
CTR-00328-05,CUST-00328,SMB,annual,2026-12-28,2026-12-31,1290.00,1290.03,6
CTR-00331-05,CUST-00331,SMB,annual,2026-12-01,2026-12-31,10695.24,7639.43,6
CTR-00354-06,CUST-00354,Mid-Market,annual,2027-01-29,2027-01-31,28406.40,28406.31,7
CTR-00356-06,CUST-00356,Mid-Market,annual,2027-01-16,2027-01-31,33229.32,23159.80,7
CTR-00357-06,CUST-00357,Mid-Market,annual,2027-03-02,2027-03-31,62601.72,62601.72,9
CTR-00359-06,CUST-00359,Mid-Market,annual,2027-03-01,2027-03-31,29395.56,29395.60,9
CTR-00361-06,CUST-00361,Mid-Market,annual,2027-03-29,2027-03-31,63601.80,47362.96,9
CTR-00362-06,CUST-00362,Mid-Market,annual,2027-03-13,2027-03-31,54096.12,54096.13,9
CTR-00363-06,CUST-00363,Mid-Market,annual,2027-03-10,2027-03-31,34205.88,34205.87,9
CTR-00364-06,CUST-00364,Mid-Market,annual,2027-03-28,2027-03-31,48676.92,48676.87,9
CTR-00366-06,CUST-00366,Mid-Market,annual,2027-07-02,2027-07-31,50030.16,52151.01,13
CTR-00367-03,CUST-00367,Mid-Market,multi_year,2027-04-29,2027-04-30,70562.28,41903.48,10
CTR-00369-06,CUST-00369,Mid-Market,annual,2027-04-30,2027-04-30,40482.48,40482.43,10
CTR-00371-06,CUST-00371,Mid-Market,annual,2027-06-01,2027-06-30,60692.16,60692.22,12
CTR-00372-05,CUST-00372,Mid-Market,annual,2026-11-01,2026-11-30,20457.36,20457.41,5
CTR-00373-06,CUST-00373,Mid-Market,annual,2027-05-28,2027-05-31,21961.92,21961.94,11
CTR-00374-06,CUST-00374,Mid-Market,annual,2027-05-27,2027-05-31,15702.84,15702.83,11
CTR-00375-06,CUST-00375,Mid-Market,annual,2027-06-13,2027-06-30,58536.96,60529.51,12
CTR-00377-06,CUST-00377,Mid-Market,annual,2027-06-14,2027-06-30,12016.20,12015.49,12
CTR-00378-06,CUST-00378,Mid-Market,annual,2027-06-28,2027-06-30,58115.04,37461.55,12
CTR-00381-05,CUST-00381,Mid-Market,annual,2026-07-19,2026-07-31,67817.76,26844.53,1
CTR-00384-05,CUST-00384,Mid-Market,annual,2026-08-30,2026-08-31,42431.28,42431.24,2
CTR-00385-05,CUST-00385,Mid-Market,annual,2026-08-30,2026-08-31,29725.92,29725.93,2
CTR-00386-05,CUST-00386,Mid-Market,annual,2026-10-02,2026-10-31,19961.40,18963.36,4
CTR-00387-05,CUST-00387,Mid-Market,annual,2026-09-28,2026-09-30,35791.68,35791.58,3
CTR-00389-05,CUST-00389,Mid-Market,annual,2026-09-26,2026-09-30,27583.56,19702.61,3
CTR-00391-05,CUST-00391,Mid-Market,annual,2026-10-10,2026-10-31,38420.28,38420.30,4
CTR-00393-05,CUST-00393,Mid-Market,annual,2026-10-21,2026-10-31,29622.60,24411.97,4
CTR-00395-05,CUST-00395,Mid-Market,annual,2026-11-26,2026-11-30,22037.04,20935.23,5
CTR-00397-02,CUST-00397,Mid-Market,multi_year,2026-11-21,2026-11-30,42606.00,42605.90,5
CTR-00399-05,CUST-00399,Mid-Market,annual,2026-12-10,2026-12-31,18088.20,16078.45,6
CTR-00400-05,CUST-00400,Mid-Market,annual,2026-12-13,2026-12-31,59094.96,59094.95,6
CTR-00403-05,CUST-00403,Mid-Market,annual,2026-12-23,2026-12-31,191573.04,191573.00,6
CTR-00404-05,CUST-00404,Mid-Market,annual,2027-01-02,2027-01-31,40619.64,40619.67,7
CTR-00405-05,CUST-00405,Mid-Market,annual,2027-01-01,2027-01-31,54546.24,46935.19,7
CTR-00413-05,CUST-00413,Enterprise,annual,2026-09-13,2026-09-30,172674.12,172674.01,3
CTR-00414-02,CUST-00414,Enterprise,multi_year,2026-10-09,2026-10-31,324876.84,324876.89,4
CTR-00415-03,CUST-00415,Enterprise,multi_year,2027-11-16,2027-11-30,78493.56,78493.61,17
CTR-00416-02,CUST-00416,Enterprise,multi_year,2026-12-29,2026-12-31,150210.84,118368.64,6
CTR-00422-05,CUST-00422,SMB,annual,2027-01-07,2027-01-31,12836.40,12836.32,7
CTR-00440-05,CUST-00440,SMB,annual,2027-02-23,2027-02-28,5553.84,5553.82,8
CTR-00442-05,CUST-00442,SMB,annual,2027-02-10,2027-02-28,5902.80,5902.84,8
CTR-00461-05,CUST-00461,SMB,annual,2027-03-27,2027-03-31,2083.08,2083.06,9
CTR-00462-05,CUST-00462,SMB,annual,2027-03-27,2027-03-31,12822.84,12822.79,9
CTR-00475-05,CUST-00475,SMB,annual,2027-04-02,2027-04-30,5776.32,5776.27,10
CTR-00483-05,CUST-00483,SMB,annual,2027-04-25,2027-04-30,4299.00,4299.05,10
CTR-00485-05,CUST-00485,SMB,annual,2027-04-24,2027-04-30,10670.16,10670.21,10
CTR-00488-05,CUST-00488,SMB,annual,2027-05-01,2027-05-31,5828.28,5828.22,11
CTR-00494-05,CUST-00494,SMB,annual,2027-04-01,2027-04-30,9627.36,9627.33,10
CTR-00500-05,CUST-00500,SMB,annual,2027-05-18,2027-05-31,4518.60,4518.57,11
CTR-00502-05,CUST-00502,SMB,annual,2027-05-29,2027-05-31,3464.52,3464.50,11
CTR-00506-02,CUST-00506,SMB,multi_year,2027-05-19,2027-05-31,4655.88,3325.64,11
CTR-00532-04,CUST-00532,SMB,annual,2026-07-07,2026-07-31,2331.36,2331.40,1
CTR-00537-02,CUST-00537,SMB,multi_year,2027-07-21,2027-07-31,6874.32,6874.32,13
CTR-00549-04,CUST-00549,SMB,annual,2026-08-11,2026-08-31,2332.56,2332.55,2
CTR-00583-04,CUST-00583,SMB,annual,2026-10-16,2026-10-31,10130.64,10130.66,4
CTR-00585-04,CUST-00585,SMB,annual,2026-10-30,2026-10-31,5380.68,5380.73,4
CTR-00587-04,CUST-00587,SMB,annual,2026-10-14,2026-10-31,2707.44,2707.45,4
CTR-00589-04,CUST-00589,SMB,annual,2026-11-01,2026-11-30,3553.80,2961.46,5
CTR-00592-04,CUST-00592,SMB,annual,2026-11-25,2026-11-30,9439.68,9439.74,5
CTR-00599-04,CUST-00599,SMB,annual,2026-11-29,2026-11-30,2713.20,2713.22,5
CTR-00603-04,CUST-00603,SMB,annual,2026-11-05,2026-11-30,9565.56,9565.54,5
CTR-00614-04,CUST-00614,SMB,annual,2026-12-01,2026-12-31,9709.20,6935.11,6
CTR-00619-04,CUST-00619,SMB,annual,2026-12-24,2026-12-31,1914.24,1276.17,6
CTR-00642-04,CUST-00642,SMB,annual,2026-12-16,2026-12-31,8409.24,8409.23,6
CTR-00653-05,CUST-00653,Mid-Market,annual,2027-01-27,2027-01-31,55510.68,37549.61,7
CTR-00656-05,CUST-00656,Mid-Market,annual,2027-02-28,2027-02-28,60114.96,60115.02,8
CTR-00661-05,CUST-00661,Mid-Market,annual,2027-02-19,2027-02-28,33194.64,33194.58,8
CTR-00662-05,CUST-00662,Mid-Market,annual,2027-03-29,2027-03-31,70997.76,70997.79,9
CTR-00665-05,CUST-00665,Mid-Market,annual,2027-03-31,2027-03-31,53950.20,53950.27,9
CTR-00667-05,CUST-00667,Mid-Market,annual,2027-03-15,2027-03-31,24897.12,24897.07,9
CTR-00668-05,CUST-00668,Mid-Market,annual,2027-03-14,2027-03-31,33218.16,33218.17,9
CTR-00669-05,CUST-00669,Mid-Market,annual,2027-03-19,2027-03-31,22385.16,22385.17,9
CTR-00671-02,CUST-00671,Mid-Market,multi_year,2027-04-25,2027-04-30,83077.44,53986.22,10
CTR-00672-05,CUST-00672,Mid-Market,annual,2027-04-27,2027-04-30,26469.96,26470.00,10
CTR-00674-05,CUST-00674,Mid-Market,annual,2027-05-02,2027-05-31,88684.80,76281.86,11
CTR-00677-05,CUST-00677,Mid-Market,annual,2027-06-01,2027-06-30,39398.88,39398.88,12
CTR-00678-05,CUST-00678,Mid-Market,annual,2027-05-31,2027-05-31,37547.28,37547.26,11
CTR-00679-05,CUST-00679,Mid-Market,annual,2027-06-01,2027-06-30,99314.40,99314.40,12
CTR-00682-05,CUST-00682,Mid-Market,annual,2027-06-30,2027-06-30,116787.60,122518.14,12
CTR-00684-05,CUST-00684,Mid-Market,annual,2027-06-05,2027-06-30,41516.04,33268.92,12
CTR-00685-05,CUST-00685,Mid-Market,annual,2027-07-02,2027-07-31,10629.72,11033.84,13
CTR-00687-02,CUST-00687,Mid-Market,multi_year,2026-08-01,2026-08-31,25425.36,9080.48,2
CTR-00688-04,CUST-00688,Mid-Market,annual,2026-07-31,2026-07-31,57868.56,57868.65,1
CTR-00689-04,CUST-00689,Mid-Market,annual,2026-07-29,2026-07-31,59314.44,59314.37,1
CTR-00690-04,CUST-00690,Mid-Market,annual,2026-07-17,2026-07-31,46471.20,46471.22,1
CTR-00691-04,CUST-00691,Mid-Market,annual,2026-08-16,2026-08-31,13498.92,13498.92,2
CTR-00693-04,CUST-00693,Mid-Market,annual,2027-01-04,2027-01-31,10052.28,10052.27,7
CTR-00694-04,CUST-00694,Mid-Market,annual,2026-08-15,2026-08-31,26600.64,26600.69,2
CTR-00697-02,CUST-00697,Mid-Market,multi_year,2027-09-10,2027-09-30,187914.00,82958.06,15
CTR-00699-04,CUST-00699,Mid-Market,annual,2026-10-02,2026-10-31,110549.04,80955.64,4
CTR-00702-04,CUST-00702,Mid-Market,annual,2026-10-14,2026-10-31,44339.52,31671.14,4
CTR-00703-04,CUST-00703,Mid-Market,annual,2026-10-13,2026-10-31,12138.84,12138.89,4
CTR-00704-04,CUST-00704,Mid-Market,annual,2026-10-06,2026-10-31,23758.20,7985.94,4
CTR-00706-04,CUST-00706,Mid-Market,annual,2026-10-28,2026-10-31,112358.16,105142.52,4
CTR-00707-04,CUST-00707,Mid-Market,annual,2026-12-02,2026-12-31,21675.96,18481.97,6
CTR-00709-04,CUST-00709,Mid-Market,annual,2026-11-16,2026-11-30,59817.12,49025.56,5
CTR-00712-04,CUST-00712,Mid-Market,annual,2026-12-25,2026-12-31,8984.16,8984.19,6
CTR-00715-04,CUST-00715,Mid-Market,annual,2026-12-20,2026-12-31,39562.68,37980.20,6
CTR-00716-04,CUST-00716,Mid-Market,annual,2026-12-31,2026-12-31,66053.64,66053.66,6
CTR-00717-04,CUST-00717,Mid-Market,annual,2026-12-28,2026-12-31,47877.48,39553.20,6
CTR-00719-04,CUST-00719,Mid-Market,annual,2026-12-31,2026-12-31,153589.92,153589.90,6
CTR-00720-04,CUST-00720,Mid-Market,annual,2026-12-27,2026-12-31,138584.88,138584.81,6
CTR-00722-04,CUST-00722,Mid-Market,annual,2026-12-29,2026-12-31,66072.60,66072.58,6
CTR-00723-04,CUST-00723,Mid-Market,annual,2026-12-26,2026-12-31,11802.48,11802.48,6
CTR-00725-05,CUST-00725,Enterprise,annual,2027-01-22,2027-01-31,90908.52,90908.43,7
CTR-00727-05,CUST-00727,Enterprise,annual,2027-03-29,2027-03-31,147061.92,147061.91,9
CTR-00732-04,CUST-00732,Enterprise,annual,2026-08-02,2026-08-31,231613.20,231613.22,2
CTR-00733-02,CUST-00733,Enterprise,multi_year,2027-09-02,2027-09-30,314527.32,314527.31,15
CTR-00734-02,CUST-00734,Enterprise,multi_year,2027-09-24,2027-09-30,110547.00,95283.35,15
CTR-00735-02,CUST-00735,Enterprise,multi_year,2026-10-28,2026-10-31,201197.04,134948.17,4
CTR-00736-04,CUST-00736,Enterprise,annual,2026-11-30,2026-11-30,278973.48,188665.96,5
CTR-00737-04,CUST-00737,Enterprise,annual,2027-01-01,2027-01-31,682499.40,492951.33,7
CTR-00739-04,CUST-00739,SMB,annual,2027-01-30,2027-01-31,11624.40,11624.41,7
CTR-00741-04,CUST-00741,SMB,annual,2027-01-17,2027-01-31,4747.56,4747.51,7
CTR-00749-04,CUST-00749,SMB,annual,2027-01-28,2027-01-31,5014.56,5014.50,7
CTR-00757-04,CUST-00757,SMB,annual,2027-01-20,2027-01-31,12036.72,12036.70,7
CTR-00758-04,CUST-00758,SMB,annual,2027-01-29,2027-01-31,4503.60,3216.90,7
CTR-00767-04,CUST-00767,SMB,annual,2027-03-02,2027-03-31,6698.76,6698.75,9
CTR-00769-04,CUST-00769,SMB,annual,2027-03-01,2027-03-31,5116.92,5116.88,9
CTR-00778-04,CUST-00778,SMB,annual,2027-03-03,2027-03-31,22215.00,22215.03,9
CTR-00786-04,CUST-00786,SMB,annual,2027-03-25,2027-03-31,10949.52,10949.52,9
CTR-00790-04,CUST-00790,SMB,annual,2027-03-12,2027-03-31,11135.04,11135.03,9
CTR-00802-04,CUST-00802,SMB,annual,2027-03-21,2027-03-31,7922.64,7922.59,9
CTR-00822-04,CUST-00822,SMB,annual,2027-04-02,2027-04-30,5542.56,5542.51,10
CTR-00824-04,CUST-00824,SMB,annual,2027-04-04,2027-04-30,10597.32,10597.32,10
CTR-00827-04,CUST-00827,SMB,annual,2027-04-22,2027-04-30,7749.84,7749.84,10
CTR-00829-04,CUST-00829,SMB,annual,2027-04-11,2027-04-30,25502.76,25502.72,10
CTR-00830-04,CUST-00830,SMB,annual,2027-04-22,2027-04-30,8352.48,8352.43,10
CTR-00833-04,CUST-00833,SMB,annual,2027-05-30,2027-05-31,11394.00,11393.94,11
CTR-00835-04,CUST-00835,SMB,annual,2027-05-05,2027-05-31,9419.76,9419.74,11
CTR-00837-04,CUST-00837,SMB,annual,2027-06-01,2027-06-30,4718.76,4718.71,12
CTR-00838-04,CUST-00838,SMB,annual,2027-05-04,2027-05-31,7046.88,7046.98,11
CTR-00842-04,CUST-00842,SMB,annual,2027-05-28,2027-05-31,8287.68,8287.68,11
CTR-00844-04,CUST-00844,SMB,annual,2027-05-17,2027-05-31,12485.04,12484.98,11
CTR-00847-04,CUST-00847,SMB,annual,2027-05-02,2027-05-31,3925.80,3925.79,11
CTR-00851-04,CUST-00851,SMB,annual,2027-06-27,2027-06-30,14720.16,10514.70,12
CTR-00857-04,CUST-00857,SMB,annual,2027-06-05,2027-06-30,2500.32,1875.30,12
CTR-00858-04,CUST-00858,SMB,annual,2027-06-24,2027-06-30,5299.08,5536.76,12
CTR-00863-04,CUST-00863,SMB,annual,2027-06-29,2027-06-30,7386.84,5276.40,12
CTR-00866-04,CUST-00866,SMB,annual,2027-06-16,2027-06-30,8036.16,8278.32,12
CTR-00886-03,CUST-00886,SMB,annual,2027-01-01,2027-01-31,5563.20,5563.21,7
CTR-00888-03,CUST-00888,SMB,annual,2026-07-13,2026-07-31,17789.40,15336.96,1
CTR-00898-03,CUST-00898,SMB,annual,2026-08-11,2026-08-31,2643.24,1982.47,2
CTR-00900-03,CUST-00900,SMB,annual,2026-08-20,2026-08-31,7730.52,7730.45,2
CTR-00909-03,CUST-00909,SMB,annual,2026-09-28,2026-09-30,13199.40,13199.43,3
CTR-00915-03,CUST-00915,SMB,annual,2026-09-22,2026-09-30,8668.44,8668.40,3
CTR-00916-03,CUST-00916,SMB,annual,2026-09-29,2026-09-30,6769.68,6769.67,3
CTR-00929-03,CUST-00929,SMB,annual,2026-11-02,2026-11-30,7541.16,7541.11,5
CTR-00935-03,CUST-00935,SMB,annual,2026-10-17,2026-10-31,10436.88,10436.92,4
CTR-00943-03,CUST-00943,SMB,annual,2026-10-30,2026-10-31,14690.28,14690.25,4
CTR-00947-03,CUST-00947,SMB,annual,2027-05-01,2027-05-31,4860.84,4860.80,11
CTR-00948-03,CUST-00948,SMB,annual,2027-05-02,2027-05-31,3951.48,3951.45,11
CTR-00954-03,CUST-00954,SMB,annual,2026-11-05,2026-11-30,12510.24,12510.27,5
CTR-00956-03,CUST-00956,SMB,annual,2026-11-17,2026-11-30,7633.56,7633.65,5
CTR-00971-03,CUST-00971,SMB,annual,2026-12-09,2026-12-31,11402.52,8825.29,6
CTR-00972-03,CUST-00972,SMB,annual,2026-12-29,2026-12-31,3414.96,2439.26,6
CTR-00976-03,CUST-00976,SMB,annual,2026-12-12,2026-12-31,14056.68,14056.67,6
CTR-00983-03,CUST-00983,SMB,annual,2027-05-05,2027-05-31,5061.48,5061.49,11
CTR-00992-03,CUST-00992,SMB,annual,2026-12-29,2026-12-31,4713.72,4713.70,6
CTR-00994-03,CUST-00994,SMB,annual,2026-12-31,2026-12-31,4477.32,4477.36,6
CTR-01002-03,CUST-01002,SMB,annual,2027-01-02,2027-01-31,4685.52,4685.48,7
CTR-01009-03,CUST-01009,SMB,annual,2026-12-30,2026-12-31,11054.88,7896.39,6
CTR-01012-03,CUST-01012,SMB,annual,2026-12-31,2026-12-31,8890.08,8890.02,6
CTR-01016-04,CUST-01016,Mid-Market,annual,2027-01-17,2027-01-31,46428.60,46428.61,7
CTR-01017-04,CUST-01017,Mid-Market,annual,2027-02-04,2027-02-28,93458.52,66756.09,8
CTR-01018-04,CUST-01018,Mid-Market,annual,2027-01-04,2027-01-31,200086.32,200086.32,7
CTR-01019-02,CUST-01019,Mid-Market,multi_year,2027-01-27,2027-01-31,30249.36,30249.34,7
CTR-01021-04,CUST-01021,Mid-Market,annual,2027-01-09,2027-01-31,122289.96,122289.95,7
CTR-01023-04,CUST-01023,Mid-Market,annual,2027-02-23,2027-02-28,31257.96,31257.89,8
CTR-01026-04,CUST-01026,Mid-Market,annual,2027-02-09,2027-02-28,70122.24,70122.24,8
CTR-01027-04,CUST-01027,Mid-Market,annual,2027-03-02,2027-03-31,308325.24,308325.16,9
CTR-01028-04,CUST-01028,Mid-Market,annual,2027-02-28,2027-02-28,52520.64,52520.63,8
CTR-01029-04,CUST-01029,Mid-Market,annual,2027-03-12,2027-03-31,40741.20,40741.13,9
CTR-01032-03,CUST-01032,Mid-Market,annual,2026-08-31,2026-08-31,18403.56,17320.98,2
CTR-01035-04,CUST-01035,Mid-Market,annual,2027-03-08,2027-03-31,7725.00,7725.00,9
CTR-01036-04,CUST-01036,Mid-Market,annual,2027-03-19,2027-03-31,80921.40,80921.44,9
CTR-01037-02,CUST-01037,Mid-Market,multi_year,2027-03-28,2027-03-31,62047.68,57999.15,9
CTR-01044-04,CUST-01044,Mid-Market,annual,2027-04-10,2027-04-30,12090.84,12090.90,10
CTR-01048-04,CUST-01048,Mid-Market,annual,2027-05-28,2027-05-31,10060.20,10060.17,11
CTR-01049-02,CUST-01049,Mid-Market,multi_year,2027-05-28,2027-05-31,39381.72,39381.79,11
CTR-01051-04,CUST-01051,Mid-Market,annual,2027-06-26,2027-06-30,8963.76,8963.51,12
CTR-01052-02,CUST-01052,Mid-Market,multi_year,2027-06-30,2027-06-30,109077.72,109077.78,12
CTR-01053-04,CUST-01053,Mid-Market,annual,2027-06-04,2027-06-30,38869.80,40407.92,12
CTR-01054-04,CUST-01054,Mid-Market,annual,2027-06-16,2027-06-30,197045.04,189894.65,12
CTR-01055-04,CUST-01055,Mid-Market,annual,2027-06-10,2027-06-30,81221.04,76691.27,12
CTR-01059-03,CUST-01059,Mid-Market,annual,2026-07-26,2026-07-31,47499.36,36453.03,1
CTR-01060-03,CUST-01060,Mid-Market,annual,2026-08-01,2026-08-31,44485.08,31775.06,2
CTR-01063-01,CUST-01063,Mid-Market,multi_year,2026-08-31,2026-08-31,42109.20,7077.18,2
CTR-01064-03,CUST-01064,Mid-Market,annual,2026-08-26,2026-08-31,22041.12,22041.10,2
CTR-01065-03,CUST-01065,Mid-Market,annual,2026-08-10,2026-08-31,38286.36,38286.29,2
CTR-01069-03,CUST-01069,Mid-Market,annual,2026-10-02,2026-10-31,38454.84,36913.02,4
CTR-01072-03,CUST-01072,Mid-Market,annual,2026-09-15,2026-09-30,83073.12,83073.21,3
CTR-01073-03,CUST-01073,Mid-Market,annual,2026-10-04,2026-10-31,26053.08,17716.11,4
CTR-01078-03,CUST-01078,Mid-Market,annual,2026-10-04,2026-10-31,61636.44,36981.87,4
CTR-01079-03,CUST-01079,Mid-Market,annual,2026-10-23,2026-10-31,40639.80,29028.44,4
CTR-01080-03,CUST-01080,Mid-Market,annual,2027-04-05,2027-04-30,42781.20,42781.18,10
CTR-01081-03,CUST-01081,Mid-Market,annual,2026-11-25,2026-11-30,71954.64,71954.60,5
CTR-01083-03,CUST-01083,Mid-Market,annual,2026-11-25,2026-11-30,71446.92,56636.02,5
CTR-01085-03,CUST-01085,Mid-Market,annual,2026-11-14,2026-11-30,45656.16,35155.66,5
CTR-01086-03,CUST-01086,Mid-Market,annual,2026-12-28,2026-12-31,97537.80,69669.84,6
