case_label,path,month_end_date,cumulative_hires,new_logo_capacity,pipeline_supported,new_logo_arr,ending_arr,total_revenue,operating_income,ending_headcount,ending_cash,incremental_ending_arr,incremental_revenue,incremental_operating_income,incremental_cash_impact,period_label
Full Capacity-Close Hiring,Base_FullClose,2027-05-31,4.0,641237.2578517542,351431.15011490264,351431.15011490264,36853003.23957851,3050262.020129086,-283179.8042070428,217.886778933173,16887228.690836787,23239.62601324916,2278.2069474733435,-43080.64347919589,-364706.91076853126,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-06-30,4.0,632608.045542856,351431.15011490264,351431.15011490264,37193341.5283573,3099922.2732946295,-225232.41301923385,217.1477475370377,16628032.350855488,34676.60519750416,3291.3649254753254,-41929.7035847283,-407816.54959310964,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-07-31,4.0,624192.6642621031,351431.15011490264,351431.15011490264,37953150.34954316,3138907.74390237,-177990.68046163442,216.41145418055268,16418607.95792119,48297.95604947209,4485.065189046785,-40597.25264047878,-449823.6155773718,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-08-31,4.0,615985.8152977527,351431.15011490264,351431.15011490264,38738310.12709858,3186495.000702593,-122177.91378712328,215.67788794150187,16260514.183885854,64049.55005513877,5854.833918192424,-39087.809933176264,-490545.42060157657,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-09-30,4.0,607982.3312396144,351431.15011490264,351431.15011490264,39424376.42499514,3250974.321301686,-49503.71191904647,214.94703794376426,16159000.45897885,81878.59999968857,7396.308153739199,-37405.782656982075,-529803.8248952851,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-10-31,4.0,600177.1727254118,351431.15011490264,351431.15011490264,40197939.714125074,3311862.5182802733,19548.8606692357,214.21889335711117,16122714.742165953,101733.62673027068,9105.233050209936,-35555.468691659626,-567425.1242251787,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-11-30,4.0,592565.4252677679,351431.15011490264,351431.15011490264,40981671.15626834,3373044.988536516,88865.32329997234,213.49344339700497,16155445.623295587,123564.4267423749,10977.459196774289,-33541.05931188539,-603239.9398788214,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-12-31,4.0,585142.2961598167,351431.15011490264,351431.15011490264,41713618.09643452,3437974.636310455,161898.7021176638,212.7706773243977,16258318.549188087,147322.04056936502,13008.940004595555,-31366.641829413362,-637083.1113751289,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-04-30,0.0,549119.7501743697,351431.15011490264,344530.83628013346,36215317.18726552,3015046.6484422954,-281217.69766563084,214.74464378741288,17509791.107124727,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2026-08-31,0.0,430999.7686087515,78926.91212814297,78926.91212814297,33985619.40904452,2793140.867265,-559187.1072811182,220.62363775019907,20759471.162514817,0.0,0.0,0.0,0.0,FY2026 Reforecast
No Incremental GTM Hiring,Base,2026-09-30,0.0,462167.52586162783,10415.986183574878,10415.986183574878,34227398.18838454,2821909.6185258864,-519550.00171241583,219.8792436021427,20230148.640372142,0.0,0.0,0.0,0.0,FY2026 Reforecast
No Incremental GTM Hiring,Base,2026-10-31,0.0,493884.4730691897,11305.866570048309,11305.866570048309,34388015.770121634,2844896.6146333357,-488286.4291009498,219.13759105689093,19733373.458233412,0.0,0.0,0.0,0.0,FY2026 Reforecast
No Incremental GTM Hiring,Base,2026-11-30,0.0,531607.5634328593,351431.15011490264,350964.2754020019,34776456.20934794,2911800.742815916,-425637.04784526257,218.3986692422937,19263411.48657888,0.0,0.0,0.0,0.0,FY2026 Reforecast
No Incremental GTM Hiring,Base,2026-12-31,0.0,569585.543458276,351431.15011490264,351431.15011490264,34816416.564797655,2935696.8033431415,-393510.2085692426,217.66246733183948,18845495.342542987,0.0,0.0,0.0,0.0,FY2026 Reforecast
No Incremental GTM Hiring,Base,2027-01-31,0.0,577037.1920184952,351431.15011490264,351431.15011490264,34980843.62572146,2952094.8361055725,-368894.689035106,216.92897454445554,18470312.63459828,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-02-28,0.0,567496.9238821662,351431.15011490264,349300.9799302972,35451255.83912663,2960813.0304753426,-351910.8025048771,216.19818014430916,18124551.21607354,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-03-31,0.0,558193.0626473423,351431.15011490264,346885.98645540443,35660175.06436726,2988180.71891385,-316297.1885687257,215.47007344061,17802475.410391126,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2026-07-31,0.0,432613.907819457,415783.5835924542,379723.84316577663,33671666.72031778,2788191.545068093,-402485.9166222499,205.31055941546788,21332422.416221913,0.0,0.0,0.0,0.0,FY2026 Reforecast
No Incremental GTM Hiring,Base,2027-05-31,0.0,540271.2734877159,351431.15011490264,342234.0464934343,36829763.61356526,3047983.8131816126,-240099.1607278469,214.0218805834218,17251935.60160532,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-06-30,0.0,531642.0611788175,351431.15011490264,339994.1709306462,37158664.92315979,3096630.908369154,-183302.70943450555,213.30177327179447,17035848.900448598,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-07-31,0.0,523226.6798980648,351431.15011490264,337809.79926292563,37904852.39349369,3134422.678713323,-137393.42782115564,212.58431133994856,16868431.573498562,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-08-31,0.0,515019.83093371434,351431.15011490264,335679.5561092387,38674260.577043444,3180640.1667844006,-83090.10385394702,211.86948431936764,16751059.60448743,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-09-30,0.0,507016.34687557607,351431.15011490264,333602.10017035744,39342497.82499545,3243578.013147947,-12097.929262064397,211.15728178540886,16688804.283874135,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-10-31,0.0,499211.1883613735,351431.15011490264,331576.1233843161,40096206.087394804,3302757.2852300634,55104.329360895324,210.44769335711118,16690139.866391132,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-11-30,0.0,491599.4409037294,351431.15011490264,329600.35010279535,40858106.72952597,3362067.529339742,122406.38261185773,209.7407086970047,16758685.563174408,0.0,0.0,0.0,0.0,Forward Runway Projection
No Incremental GTM Hiring,Base,2027-12-31,0.0,484176.3117957783,351431.15011490264,327673.53628791496,41566296.05586515,3424965.6963058594,193265.34394707717,209.03631751092027,16895401.660563216,0.0,0.0,0.0,0.0,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2026-07-31,0.0,432613.907819457,415783.5835924542,379723.84316577663,33671666.72031779,2788191.545068093,-402485.9166222499,205.31055941546788,21332422.416221913,7.450580596923828e-09,0.0,0.0,0.0,FY2026 Reforecast
Targeted / Runway-Constrained Hiring,Base_Targeted,2026-08-31,0.0,430999.7686087515,78926.91212814297,78926.91212814295,33985619.40904452,2793140.8672650005,-559187.1072811172,220.62363775019907,20759471.16251482,0.0,4.656612873077393e-10,9.313225746154785e-10,3.725290298461914e-09,FY2026 Reforecast
Targeted / Runway-Constrained Hiring,Base_Targeted,2026-09-30,0.0,462167.52586162783,10415.986183574878,10415.986183574878,34227398.18838455,2821909.6185258864,-519550.00171241583,219.8792436021427,20230148.640372142,7.450580596923828e-09,0.0,0.0,0.0,FY2026 Reforecast
Targeted / Runway-Constrained Hiring,Base_Targeted,2026-10-31,0.0,493884.4730691897,11305.866570048309,11305.866570048309,34388015.770121634,2844896.6146333367,-488286.42910094885,219.13759105689093,19733373.458233412,0.0,9.313225746154785e-10,9.313225746154785e-10,0.0,FY2026 Reforecast
Targeted / Runway-Constrained Hiring,Base_Targeted,2026-11-30,0.0,531607.5634328593,351431.15011490264,350964.2754020019,34776456.20934794,2911800.7428159164,-425637.0478452621,218.3986692422937,19263411.48657888,0.0,4.656612873077393e-10,4.656612873077393e-10,0.0,FY2026 Reforecast
Targeted / Runway-Constrained Hiring,Base_Targeted,2026-12-31,0.0,569585.543458276,351431.15011490264,351431.15011490264,34816416.56479766,2935696.8033431415,-393510.2085692426,217.66246733183948,18845495.34254299,7.450580596923828e-09,0.0,0.0,3.725290298461914e-09,FY2026 Reforecast
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-01-31,0.0,577037.1920184952,351431.15011490264,351431.15011490264,34980843.62572146,2952094.8361055735,-368894.68903510505,216.92897454445554,18470312.634598285,0.0,9.313225746154785e-10,9.313225746154785e-10,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-02-28,0.0,567496.9238821662,351431.15011490264,349300.97993029724,35451255.83912663,2960813.030475343,-351910.8025048766,216.19818014430916,18124551.216073543,0.0,4.656612873077393e-10,4.656612873077393e-10,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-03-31,0.0,558193.0626473423,351431.15011490264,346885.98645540443,35660175.06436726,2988180.71891385,-316297.1885687257,215.47007344061,17802475.41039113,0.0,0.0,0.0,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-04-30,0.0,549119.7501743697,351431.15011490264,344530.83628013346,36215317.187265515,3015046.6484422954,-281217.69766563084,214.74464378741288,17509791.10712473,-7.450580596923828e-09,0.0,0.0,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-05-31,0.0,540271.2734877159,351431.15011490264,342234.04649343435,36829763.613565266,3047983.8131816126,-240099.1607278469,214.0218805834218,17251935.601605322,7.450580596923828e-09,0.0,0.0,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-06-30,0.0,531642.0611788175,351431.15011490264,339994.1709306461,37158664.92315979,3096630.908369154,-183302.70943450555,213.30177327179447,17035848.9004486,0.0,0.0,0.0,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-07-31,0.0,523226.6798980648,351431.15011490264,337809.79926292563,37904852.39349368,3134422.678713324,-137393.4278211547,212.58431133994856,16868431.57349857,-7.450580596923828e-09,9.313225746154785e-10,9.313225746154785e-10,7.450580596923828e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-08-31,0.0,515019.83093371434,351431.15011490264,335679.55610923877,38674260.577043444,3180640.1667844006,-83090.10385394702,211.86948431936764,16751059.604487434,0.0,0.0,0.0,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-09-30,0.0,507016.34687557607,351431.15011490264,333602.10017035744,39342497.82499545,3243578.013147946,-12097.929262065329,211.15728178540886,16688804.28387414,0.0,-9.313225746154785e-10,-9.313225746154785e-10,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-10-31,0.0,499211.1883613735,351431.15011490264,331576.1233843161,40096206.087394804,3302757.2852300634,55104.329360895324,210.44769335711118,16690139.866391137,0.0,0.0,0.0,5.587935447692871e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-11-30,0.0,491599.4409037294,351431.15011490264,329600.35010279535,40858106.72952597,3362067.529339742,122406.38261185773,209.7407086970047,16758685.563174412,0.0,0.0,0.0,3.725290298461914e-09,Forward Runway Projection
Targeted / Runway-Constrained Hiring,Base_Targeted,2027-12-31,0.0,484176.3117957783,351431.15011490264,327673.53628791496,41566296.05586515,3424965.6963058594,193265.34394707717,209.03631751092027,16895401.66056322,0.0,0.0,0.0,3.725290298461914e-09,Forward Runway Projection
