path,segment,month_end_date,beginning_arr,new_logo_arr,expansion_arr,reactivation_arr,contraction_arr,churn_arr,ending_arr,is_actual,period_label
Base,Enterprise,2027-09-30,13917885.50264969,85554.3865625,119558.13016162619,0.0,-30882.033930542733,-38080.31765474092,14054035.667788532,false,Forward Runway Projection
Base,Enterprise,2027-10-31,14054035.667788532,85554.3865625,119558.13016162619,0.0,-0.0,-0.0,14259148.184512658,false,Forward Runway Projection
Base,Enterprise,2027-11-30,14259148.184512658,85554.3865625,119558.13016162619,0.0,-5702.628150411655,-7031.85197979371,14451526.22110658,false,Forward Runway Projection
Base,Enterprise,2027-12-31,14451526.22110658,85554.3865625,119558.13016162619,0.0,-16025.400500761785,-19760.75614015518,14620852.581189789,false,Forward Runway Projection
Base,Mid-Market,2024-01-31,7952748.6,172220.28,147458.16,0.0,-80055.6,-107047.08,8085324.36,true,Actual
Base,Mid-Market,2024-02-29,8085324.36,132305.4,226285.92,0.0,-68057.04,-70715.4,8305143.24,true,Actual
Base,Mid-Market,2024-03-31,8305143.24,102273.12,155372.16,0.0,-61393.08,-124819.8,8376575.64,true,Actual
Base,Mid-Market,2024-04-30,8376575.64,66204.12,233598.36,0.0,-33935.64,-64126.08,8578316.4,true,Actual
Base,Mid-Market,2024-05-31,8578316.4,100275.72,139232.28,0.0,-32696.16,-72841.32,8712286.92,true,Actual
Base,Mid-Market,2024-06-30,8712286.92,116032.32,94414.92,24229.92,-75445.08,-56086.68,8815432.32,true,Actual
Base,Mid-Market,2024-07-31,8815432.32,266252.64,244033.68,28983.84,-75621.96,-38930.16,9240150.36,true,Actual
Base,Mid-Market,2024-08-31,9240150.36,94503.12,225500.28,0.0,-41961.36,-47062.8,9471129.6,true,Actual
Base,Mid-Market,2024-09-30,9471129.6,59475.36,122809.56,17320.44,-26596.68,0.0,9644138.28,true,Actual
Base,Mid-Market,2024-10-31,9644138.28,75764.76,175493.28,0.0,-50911.8,-68861.64,9775622.88,true,Actual
Base,Mid-Market,2024-11-30,9775622.88,83935.92,336540.84,0.0,-80018.64,-68846.16,10047234.84,true,Actual
Base,Mid-Market,2024-12-31,10047234.84,321255.24,358250.52,0.0,-62905.32,-203560.56,10460274.72,true,Actual
Base,Mid-Market,2025-01-31,10460274.72,161960.52,127629.48,0.0,-141799.32,-313995.72,10294069.68,true,Actual
Base,Mid-Market,2025-02-28,10294069.68,145388.88,314839.32,0.0,-25332.48,-113352.12,10615613.28,true,Actual
Base,Mid-Market,2025-03-31,10615613.28,254963.04,282137.4,0.0,-97994.64,-35721.12,11018997.96,true,Actual
Base,Mid-Market,2025-04-30,11018997.96,184505.4,250283.16,41077.32,-74870.4,-14128.92,11405864.52,true,Actual
Base,Mid-Market,2025-05-31,11405864.52,155064.72,169027.56,0.0,-80130.0,-90810.72,11559016.08,true,Actual
Base,Mid-Market,2025-06-30,11559016.08,137055.36,286010.4,0.0,-16331.64,-58917.72,11906832.48,true,Actual
Base,Mid-Market,2025-07-31,11906832.48,84815.04,296148.12,0.0,-77898.72,-28926.84,12180970.08,true,Actual
Base,Mid-Market,2025-08-31,12180970.08,153143.88,223555.68,0.0,-53168.4,-98466.36,12406034.88,true,Actual
Base,Mid-Market,2025-09-30,12406034.88,181710.96,213740.52,0.0,-39556.08,-117422.04,12644508.24,true,Actual
Base,Mid-Market,2025-10-31,12644508.24,234131.64,410378.76,0.0,-83631.6,-92154.24,13113232.8,true,Actual
Base,Mid-Market,2025-11-30,13113232.8,209784.84,203994.12,0.0,-143774.16,-28781.28,13354456.32,true,Actual
Base,Mid-Market,2025-12-31,13354456.32,325019.88,197098.44,30440.64,-55385.52,-45262.44,13806367.32,true,Actual
Base,Mid-Market,2026-01-31,13806367.32,195807.36,298280.4,0.0,-255434.88,-54890.76,13990129.44,true,Actual
Base,Mid-Market,2026-02-28,13990129.44,131305.44,197938.44,0.0,-138266.52,0.0,14181106.8,true,Actual
Base,Mid-Market,2026-03-31,14181106.8,207565.32,176055.84,0.0,-201810.12,-118836.36,14244081.48,true,Actual
Base,Mid-Market,2026-04-30,14244081.48,62212.56,387264.0,0.0,-11279.28,-168357.24,14513921.52,true,Actual
Base,Mid-Market,2026-05-31,14513921.52,85918.68,558817.56,0.0,-76407.12,0.0,15082250.64,true,Actual
Base,Mid-Market,2026-06-30,15082250.64,134640.12,420598.44,0.0,-73583.76,-64078.08,15499827.36,true,Actual
Base,Mid-Market,2026-07-31,15499827.36,181984.74013853865,344121.12452739,2536.72,-76674.50589428774,-76156.81998694164,15875638.6187847,false,FY2026 Reforecast
Base,Mid-Market,2026-08-31,15875638.618784698,29156.927681159417,344121.12452739,2536.72,-60847.23690419867,-60436.41251506361,16130169.741573986,false,FY2026 Reforecast
Base,Mid-Market,2026-09-30,16130169.741573986,10415.986183574878,344121.12452739,2536.72,-55940.8831919013,-55563.18520043502,16375739.503892614,false,FY2026 Reforecast
Base,Mid-Market,2026-10-31,16375739.503892615,11305.866570048309,344121.12452739,2536.72,-88436.39478703619,-87839.29572857123,16557427.524474446,false,FY2026 Reforecast
Base,Mid-Market,2026-11-30,16557427.524474446,142464.2615338164,344121.12452739,2536.72,-67611.2341589194,-67154.74105610623,16911783.655320626,false,FY2026 Reforecast
Base,Mid-Market,2026-12-31,16911783.655320626,142464.2615338164,344121.12452739,2536.72,-215195.68462805077,-213742.74049813056,16971967.33625565,false,FY2026 Reforecast
Base,Mid-Market,2027-01-31,16971967.33625565,142464.2615338164,344121.12452739,2536.72,-142479.48205995612,-141517.4984242206,17177092.46183268,false,Forward Runway Projection
Base,Mid-Market,2027-02-28,17177092.46183268,142464.2615338164,344121.12452739,2536.72,-84732.56689437349,-84160.47509850388,17497321.52590101,false,Forward Runway Projection
Base,Mid-Market,2027-03-31,17497321.525901012,142464.2615338164,344121.12452739,2536.72,-162475.4898966117,-161378.4985247391,17662589.643540867,false,Forward Runway Projection
Base,Mid-Market,2027-04-30,17662589.643540863,142464.2615338164,344121.12452739,2536.72,-84143.94412899189,-83575.82655775962,17983991.97891532,false,Forward Runway Projection
Base,Mid-Market,2027-05-31,17983991.978915323,142464.2615338164,344121.12452739,2536.72,-57515.99097121546,-57127.65827020145,18358470.43573511,false,Forward Runway Projection
Base,Mid-Market,2027-06-30,18358470.43573511,142464.2615338164,344121.12452739,2536.72,-147330.64179333163,-146335.90441501947,18553925.995587964,false,Forward Runway Projection
Base,Mid-Market,2027-07-31,18553925.995587964,142464.2615338164,344121.12452739,2536.72,-15932.842731098073,-15825.2684070167,19011289.990511056,false,Forward Runway Projection
Base,Mid-Market,2027-08-31,19011289.990511056,142464.2615338164,344121.12452739,2536.72,-5672.221024241302,-5633.923693813761,19489105.951854207,false,Forward Runway Projection
Base,Mid-Market,2027-09-30,19489105.951854207,142464.2615338164,344121.12452739,2536.72,-20788.816681308297,-20648.45611033634,19936790.78512377,false,Forward Runway Projection
Base,Mid-Market,2027-10-31,19936790.785123773,142464.2615338164,344121.12452739,2536.72,-8182.959414304499,-8127.710244847691,20409602.221525826,false,Forward Runway Projection
Base,Mid-Market,2027-11-30,20409602.221525826,142464.2615338164,344121.12452739,2536.72,-0.0,-0.0,20898724.32758703,false,Forward Runway Projection
Base,Mid-Market,2027-12-31,20898724.32758703,142464.2615338164,344121.12452739,2536.72,-14415.076116617958,-14317.749349762973,21359113.608181857,false,Forward Runway Projection
Base,SMB,2024-01-31,3375238.8,100540.8,53960.76,0.0,-7499.4,-42523.08,3479717.88,true,Actual
Base,SMB,2024-02-29,3479717.88,74799.24,46726.2,0.0,-8986.8,-86233.56,3506022.96,true,Actual
Base,SMB,2024-03-31,3506022.96,139078.68,49352.88,0.0,-4143.72,-112547.88,3577762.92,true,Actual
Base,SMB,2024-04-30,3577762.92,50112.84,24249.6,0.0,-23431.08,-141223.92,3487470.36,true,Actual
Base,SMB,2024-05-31,3487470.36,102751.92,35972.16,8655.48,-13268.16,-93211.2,3528370.56,true,Actual
Base,SMB,2024-06-30,3528370.56,120066.6,21794.04,10098.72,-5994.36,-71322.84,3603012.72,true,Actual
Base,SMB,2024-07-31,3603012.72,54087.12,45613.92,4786.44,-6699.36,-81312.48,3619488.36,true,Actual
Base,SMB,2024-08-31,3619488.36,54269.4,23001.84,7010.52,-10480.44,-58620.48,3634669.2,true,Actual
Base,SMB,2024-09-30,3634669.2,67731.12,44187.84,1243.2,-13787.4,-53116.92,3680927.04,true,Actual
Base,SMB,2024-10-31,3680927.04,104162.88,38556.84,5769.72,-11144.64,-71278.32,3746993.52,true,Actual
Base,SMB,2024-11-30,3746993.52,107010.84,31488.84,0.0,-10316.64,-63536.52,3811640.04,true,Actual
Base,SMB,2024-12-31,3811640.04,193397.64,41471.52,0.0,-15119.64,-77461.44,3953928.12,true,Actual
Base,SMB,2025-01-31,3953928.12,118961.04,27056.16,5379.0,-13481.88,-119408.76,3972433.68,true,Actual
Base,SMB,2025-02-28,3972433.68,126363.72,36440.28,0.0,-22508.16,-76150.8,4036578.72,true,Actual
Base,SMB,2025-03-31,4036578.72,167228.76,36595.8,7012.2,-11071.68,-90019.92,4146323.88,true,Actual
Base,SMB,2025-04-30,4146323.88,105016.68,59536.68,0.0,-4347.0,-128617.92,4177912.32,true,Actual
Base,SMB,2025-05-31,4177912.32,111001.44,22565.4,12462.48,-11069.88,-149700.48,4163171.28,true,Actual
Base,SMB,2025-06-30,4163171.28,193993.68,46049.16,0.0,-20162.88,-89028.72,4294022.52,true,Actual
Base,SMB,2025-07-31,4294022.52,63689.64,48588.96,2735.28,-19276.2,-59258.16,4330502.04,true,Actual
Base,SMB,2025-08-31,4330502.04,101424.12,55007.28,2107.44,-19917.72,-98999.76,4370123.4,true,Actual
Base,SMB,2025-09-30,4370123.4,84287.88,53046.0,0.0,-7236.72,-72205.92,4428014.64,true,Actual
Base,SMB,2025-10-31,4428014.64,127234.92,47070.84,0.0,-1302.24,-70241.76,4530776.4,true,Actual
Base,SMB,2025-11-30,4530776.4,123851.88,51844.56,0.0,-29296.56,-47321.88,4629854.4,true,Actual
Base,SMB,2025-12-31,4629854.4,290647.08,42114.6,7295.16,-13220.52,-175538.64,4781152.08,true,Actual
Base,SMB,2026-01-31,4781152.08,71617.08,40361.16,3132.0,-11535.24,-134016.48,4750710.6,true,Actual
Base,SMB,2026-02-28,4750710.6,51735.72,49117.32,10064.52,-12068.64,-113861.4,4735698.12,true,Actual
Base,SMB,2026-03-31,4735698.12,122782.8,51014.76,7982.76,-4116.0,-114346.56,4799015.88,true,Actual
Base,SMB,2026-04-30,4799015.88,72235.92,46655.4,3643.2,-22612.44,-118468.2,4780469.76,true,Actual
Base,SMB,2026-05-31,4780469.76,84944.52,48814.32,14374.56,-19640.64,-119750.52,4789212.0,true,Actual
Base,SMB,2026-06-30,4789212.0,83896.56,43557.6,20643.24,-22324.08,-90196.44,4824788.88,true,Actual
Base,SMB,2026-07-31,4824788.88,116171.04302723797,50432.01746955836,5998.18,-10173.78275726076,-84418.5063680751,4902797.83137146,false,FY2026 Reforecast
Base,SMB,2026-08-31,4902797.83137146,3638.9369469835465,50432.01746955836,5998.18,-13436.938390337109,-96819.83710991776,4852610.190287747,false,FY2026 Reforecast
Base,SMB,2026-09-30,4852610.190287747,0.0,50432.01746955836,5998.18,-11510.782385774102,-89499.65371723886,4808029.951654293,false,FY2026 Reforecast
Base,SMB,2026-10-31,4808029.951654293,0.0,50432.01746955836,5998.18,-13739.803357515622,-97970.8482937016,4752749.497472634,false,FY2026 Reforecast
Base,SMB,2026-11-30,4752749.497472634,122945.62730568554,50432.01746955836,5998.18,-17766.363192549954,-113273.42833613863,4801085.530719189,false,FY2026 Reforecast
Base,SMB,2026-12-31,4801085.530719189,123412.50201858621,50432.01746955836,5998.18,-21309.62382753022,-126739.2730520758,4832879.333327727,false,FY2026 Reforecast
Base,SMB,2027-01-31,4832879.333327727,123412.50201858621,50432.01746955836,5998.18,-18630.007755993647,-116555.63215323404,4877536.392906644,false,Forward Runway Projection
Base,SMB,2027-02-28,4877536.392906644,121282.33183398077,50432.01746955836,5998.18,-15328.198945881613,-104007.40347376815,4935913.319790534,false,Forward Runway Projection
Base,SMB,2027-03-31,4935913.319790534,118867.338359088,50432.01746955836,5998.18,-17611.932437553303,-112686.5280822821,4980912.395099345,false,Forward Runway Projection
Base,SMB,2027-04-30,4980912.395099345,116512.18818381707,50432.01746955836,5998.18,-16398.732147441817,-108075.86903149448,5029380.179573784,false,Forward Runway Projection
Base,SMB,2027-05-31,5029380.179573784,114215.3983971179,50432.01746955836,5998.18,-18755.935155104176,-117034.20795574869,5064235.632329607,false,Forward Runway Projection
Base,SMB,2027-06-30,5064235.632329607,111975.52283432976,50432.01746955836,5998.18,-18708.595693094037,-116854.29857000629,5097078.458370395,false,Forward Runway Projection
Base,SMB,2027-07-31,5097078.458370395,109791.15116660924,50432.01746955836,5998.18,-7656.935641415805,-74853.45430807861,5180789.417057068,false,Forward Runway Projection
Base,SMB,2027-08-31,5180789.417057068,107660.90801292231,50432.01746955836,5998.18,-6636.400000000001,-70975.0,5267269.122539549,false,Forward Runway Projection
Base,SMB,2027-09-30,5267269.122539549,105583.45207404104,50432.01746955836,5998.18,-6636.400000000001,-70975.0,5351671.372083149,false,Forward Runway Projection
Base,SMB,2027-10-31,5351671.372083148,103557.47528799972,50432.01746955836,5998.18,-8009.6083045862715,-76193.75517980264,5427455.681356317,false,Forward Runway Projection
Base,SMB,2027-11-30,5427455.681356318,101581.70200647894,50432.01746955836,5998.18,-6636.400000000001,-70975.0,5507856.180832355,false,Forward Runway Projection
Base,SMB,2027-12-31,5507856.180832355,99654.88819159858,50432.01746955836,5998.18,-6636.400000000001,-70975.0,5586329.866493512,false,Forward Runway Projection
Base,Total,2024-01-31,18571137.0,525566.76,219226.44,0.0,-258461.88,-149570.16,18907898.16,true,Actual
Base,Total,2024-02-29,18907898.16,356830.68,278988.36,0.0,-91263.12,-156948.96,19295505.12,true,Actual
Base,Total,2024-03-31,19295505.12,831032.04,312089.64,0.0,-65536.8,-323996.88,20049093.119999997,true,Actual
Base,Total,2024-04-30,20049093.119999997,216228.96,537914.4,0.0,-57366.72,-205350.0,20540519.759999998,true,Actual
Base,Total,2024-05-31,20540519.759999998,383789.51999999996,243323.76,8655.48,-45964.32,-166052.52000000002,20964271.679999996,true,Actual
Base,Total,2024-06-30,20964271.679999996,461600.28,292981.8,34328.64,-81439.44,-127409.51999999999,21544333.439999998,true,Actual
Base,Total,2024-07-31,21544333.44,320339.76,316543.44,33770.28,-88843.92000000001,-120242.64,22005900.36,true,Actual
Base,Total,2024-08-31,22005900.36,148772.52,324913.68,7010.52,-52441.8,-445745.16000000003,21988410.12,true,Actual
Base,Total,2024-09-30,21988410.12,301297.92,188901.84,18563.64,-40384.08,-53116.92,22403672.519999996,true,Actual
Base,Total,2024-10-31,22403672.519999996,432548.28,239530.8,5769.72,-72395.64,-253401.36,22755724.32,true,Actual
Base,Total,2024-11-30,22755724.32,418852.68000000005,400393.20000000007,0.0,-136010.52000000002,-132382.68,23306577.0,true,Actual
Base,Total,2024-12-31,23306577.0,1219456.56,403755.48000000004,0.0,-153569.64,-281022.0,24495197.400000002,true,Actual
Base,Total,2025-01-31,24495197.400000002,763989.24,208523.88,5379.0,-356906.4,-433404.48,24682778.64,true,Actual
Base,Total,2025-02-28,24682778.64,398202.83999999997,450903.12,0.0,-110046.24,-189502.91999999998,25232335.439999998,true,Actual
Base,Total,2025-03-31,25232335.439999998,482289.00000000006,339030.96,7012.2,-120597.12000000001,-125741.04000000001,25814329.439999998,true,Actual
Base,Total,2025-04-30,25814329.439999998,289522.07999999996,568274.88,41077.32,-140806.8,-142746.84,26429650.08,true,Actual
Base,Total,2025-05-31,26429650.08,266066.16000000003,214662.36,12462.48,-91199.88,-240511.2,26591130.0,true,Actual
Base,Total,2025-06-30,26591130.0,408324.0,332059.56000000006,0.0,-45796.2,-147946.44,27137770.919999998,true,Actual
Base,Total,2025-07-31,27137770.92,148504.68,364045.92000000004,2735.28,-97174.92,-88185.0,27467696.880000003,true,Actual
Base,Total,2025-08-31,27467696.880000003,254568.0,339460.67999999993,2107.44,-73086.12,-197466.12,27793280.76,true,Actual
Base,Total,2025-09-30,27793280.759999998,265998.83999999997,295512.48,0.0,-46792.8,-189627.96,28118371.32,true,Actual
Base,Total,2025-10-31,28118371.32,427038.12,493697.63999999996,0.0,-124445.04000000001,-162396.0,28752266.040000003,true,Actual
Base,Total,2025-11-30,28752266.040000003,771199.2,366765.0,0.0,-173070.72,-328723.80000000005,29388435.72,true,Actual
Base,Total,2025-12-31,29388435.72,815749.3200000001,245648.28,37735.8,-77452.2,-220801.08000000002,30189315.839999996,true,Actual
Base,Total,2026-01-31,30189315.839999996,267424.44,361621.20000000007,3132.0,-451736.88,-188907.24000000002,30180849.36,true,Actual
Base,Total,2026-02-28,30180849.36,347874.72,303632.88,10064.52,-150335.15999999997,-113861.4,30578224.92,true,Actual
Base,Total,2026-03-31,30578224.92,452642.28,237688.44,7982.76,-205926.12,-233182.91999999998,30837429.36,true,Actual
Base,Total,2026-04-30,30837429.36,134448.47999999998,820157.04,3643.2,-61498.8,-286825.44,31447353.839999996,true,Actual
Base,Total,2026-05-31,31447353.840000004,170863.2,1119731.4,14374.56,-139362.12,-119750.52,32493210.36,true,Actual
Base,Total,2026-06-30,32493210.36,650292.36,510603.95999999996,20643.24,-95907.84,-562121.76,33016720.32,true,Actual
Base,Total,2026-07-31,33016720.32,379723.84316577663,514111.27215857455,8534.9,-86848.2886515485,-160575.32635501673,33671666.72031779,false,FY2026 Reforecast
Base,Total,2026-08-31,33671666.72031778,78926.91212814295,514111.27215857455,8534.9,-99397.34960386796,-188223.04595611413,33985619.40904452,false,FY2026 Reforecast
Base,Total,2026-09-30,33985619.40904452,10415.986183574878,514111.27215857455,8534.9,-102725.15900228248,-188558.21999984363,34227398.18838455,false,FY2026 Reforecast
Base,Total,2026-10-31,34227398.18838455,11305.866570048309,514111.27215857455,8534.9,-140395.9414876271,-232938.5155039047,34388015.770121634,false,FY2026 Reforecast
Base,Total,2026-11-30,34388015.770121634,350964.2754020019,514111.27215857455,8534.9,-183611.10877066094,-301558.8995636074,34776456.20934794,false,FY2026 Reforecast
Base,Total,2026-12-31,34776456.20934794,351431.15011490264,514111.27215857455,8534.9,-351650.5468832045,-482466.4199405572,34816416.56479766,false,FY2026 Reforecast
Base,Total,2027-01-31,34816416.564797655,351431.15011490264,514111.27215857455,8534.9,-291183.81787367136,-418466.4434759994,34980843.62572146,false,Forward Runway Projection
Base,Total,2027-02-28,34980843.62572146,349300.97993029724,514111.27215857455,8534.9,-150800.46284578944,-250734.47583791066,35451255.83912663,false,Forward Runway Projection
Base,Total,2027-03-31,35451255.83912664,346885.98645540443,514111.27215857455,8534.9,-272542.50164893724,-388070.4317244204,35660175.06436726,false,Forward Runway Projection
Base,Total,2027-04-30,35660175.06436726,344530.83628013346,514111.27215857455,8534.9,-109427.45764508289,-202607.42789535932,36215317.187265515,false,Forward Runway Projection
Base,Total,2027-05-31,36215317.18726553,342234.04649343435,514111.27215857455,8534.9,-76271.92612631964,-174161.86622595013,36829763.613565266,false,Forward Runway Projection
Base,Total,2027-06-30,36829763.613565266,339994.1709306461,514111.27215857455,8534.9,-212839.68328937108,-320899.3502053147,37158664.92315979,false,Forward Runway Projection
Base,Total,2027-07-31,37158664.92315979,337809.79926292563,514111.27215857455,8534.9,-23589.77837251388,-90678.72271509531,37904852.39349368,false,Forward Runway Projection
Base,Total,2027-08-31,37904852.39349368,335679.55610923877,514111.27215857455,8534.9,-12308.621024241304,-76608.92369381376,38674260.577043444,false,Forward Runway Projection
Base,Total,2027-09-30,38674260.577043444,333602.10017035744,514111.27215857455,8534.9,-58307.250611851036,-129703.77376507726,39342497.82499545,false,Forward Runway Projection
Base,Total,2027-10-31,39342497.82499546,331576.1233843161,514111.27215857455,8534.9,-16192.56771889077,-84321.46542465033,40096206.087394804,false,Forward Runway Projection
Base,Total,2027-11-30,40096206.087394804,329600.35010279535,514111.27215857455,8534.9,-12339.028150411656,-78006.8519797937,40858106.72952597,false,Forward Runway Projection
Base,Total,2027-12-31,40858106.72952597,327673.53628791496,514111.27215857455,8534.9,-37076.87661737975,-105053.50548991816,41566296.05586515,false,Forward Runway Projection
Base_FullClose,Enterprise,2024-01-31,7243149.6,252805.68,17807.52,0.0,-170906.88,0.0,7342855.92,true,Actual
Base_FullClose,Enterprise,2024-02-29,7342855.92,149726.04,5976.24,0.0,-14219.28,0.0,7484338.92,true,Actual
Base_FullClose,Enterprise,2024-03-31,7484338.92,589680.24,107364.6,0.0,0.0,-86629.2,8094754.56,true,Actual
Base_FullClose,Enterprise,2024-04-30,8094754.56,99912.0,280066.44,0.0,0.0,0.0,8474733.0,true,Actual
Base_FullClose,Enterprise,2024-05-31,8474733.0,180761.88,68119.32,0.0,0.0,0.0,8723614.2,true,Actual
Base_FullClose,Enterprise,2024-06-30,8723614.2,225501.36,176772.84,0.0,0.0,0.0,9125888.4,true,Actual
Base_FullClose,Enterprise,2024-07-31,9125888.4,0.0,26895.84,0.0,-6522.6,0.0,9146261.64,true,Actual
Base_FullClose,Enterprise,2024-08-31,9146261.64,0.0,76411.56,0.0,0.0,-340061.88,8882611.32,true,Actual
Base_FullClose,Enterprise,2024-09-30,8882611.32,174091.44,21904.44,0.0,0.0,0.0,9078607.2,true,Actual
Base_FullClose,Enterprise,2024-10-31,9078607.2,252620.64,25480.68,0.0,-10339.2,-113261.4,9233107.92,true,Actual
Base_FullClose,Enterprise,2024-11-30,9233107.92,227905.92,32363.52,0.0,-45675.24,0.0,9447702.12,true,Actual
Base_FullClose,Enterprise,2024-12-31,9447702.12,704803.68,4033.44,0.0,-75544.68,0.0,10080994.56,true,Actual
Base_FullClose,Enterprise,2025-01-31,10080994.56,483067.68,53838.24,0.0,-201625.2,0.0,10416275.28,true,Actual
Base_FullClose,Enterprise,2025-02-28,10416275.28,126450.24,99623.52,0.0,-62205.6,0.0,10580143.44,true,Actual
