month_end_date,fiscal_year,fiscal_quarter,contract_accounting_revenue,gl_subscription_revenue,gl_recurring_revenue,gl_usage_revenue,phase6_subscription_revenue,residual_vs_gl,residual_vs_gl_pct,phase6_vs_gl,gl_services_revenue_memo,is_ledger_boundary_month,residual_explanation
2025-05-31,2025,2025Q2,2215927.5000000014,2179396.31,2133628.99,45767.32,2179396.31,36531.19000000134,0.016762068391315887,0.0,63119.0,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-06-30,2025,2025Q2,2261480.9100000006,2209872.0,2151862.86,58009.14,2209872.0,51608.910000000615,0.023353800582115447,0.0,59243.65,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-07-31,2025,2025Q3,2288974.7400000007,2240981.88,2179803.07,61178.81,2240981.88,47992.8600000008,0.021415996455982356,0.0,57452.67,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-08-31,2025,2025Q3,2316106.729999999,2276602.52,2215407.44,61195.08,2276602.52,39504.20999999903,0.017352264900417858,0.0,56599.48,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-09-30,2025,2025Q3,2343197.609999999,2303897.33,2255515.49,48381.84,2303897.33,39300.279999998864,0.01705817333448567,0.0,53411.27,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-10-31,2025,2025Q4,2396022.17,2331006.71,2282055.57,48951.14,2331006.71,65015.45999999996,0.02789157994315672,0.0,50824.95,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-11-30,2025,2025Q4,2449036.31,2372251.11,2322433.84,49817.27,2372251.11,76785.20000000019,0.03236807422128263,0.0,70188.69,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-12-31,2025,2025Q4,2515776.319999999,2425179.95,2383418.35,41761.6,2425179.95,90596.36999999871,0.03735655574754304,0.0,76395.05,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2026-01-31,2026,2026Q1,2515070.7800000003,2485743.32,2443982.83,41760.49,2485743.32,29327.46000000043,0.011798265639108907,0.0,70707.55,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2026-02-28,2026,2026Q1,2548185.4099999997,2515388.27,2470488.59,44899.68,2515388.27,32797.139999999665,0.013038599404774809,0.0,58952.53,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2026-03-31,2026,2026Q1,2569785.779999998,2533283.83,2480084.87,53198.96,2533283.83,36501.94999999786,0.01440894603586429,0.0,56835.99,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2026-04-30,2026,2026Q2,2620612.8199999975,2560065.62,2506304.24,53761.38,2560065.62,60547.19999999739,0.023650643767481716,0.0,50909.0,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2026-05-31,2026,2026Q2,2707767.5299999975,2597740.65,2543188.1,54552.55,2597740.65,110026.87999999756,0.04235483630746484,0.0,46436.61,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2026-06-30,2026,2026Q2,2751393.3599999957,2668547.91,2598498.53,70049.38,2668547.91,82845.44999999553,0.031045142449773522,0.0,50722.78,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
