variant,variant_order,useful_life_months,deal_type_eligibility_split,path,month_end_date,fiscal_year,commission_earned,immediate_expense,capitalised_amount,amortisation,gaap_commission_expense,ending_commission_asset,is_actual
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-11-30,2026,62433.46111569464,0.0,62433.46111569464,53406.15090161198,53406.15090161198,965235.6418588144,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-12-31,2026,62475.4798398557,0.0,62475.4798398557,55141.58089716353,55141.58089716353,972569.5408015066,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-01-31,2027,62475.4798398557,0.0,62475.4798398557,56065.014709381736,56065.014709381736,978980.0059319806,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-02-28,2027,62283.76452324122,0.0,62283.76452324122,56625.092621138436,56625.092621138436,984638.6778340833,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-03-31,2027,62066.415110500864,0.0,62066.415110500864,56135.30921587458,56135.30921587458,990569.7837287096,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-04-30,2027,61854.45159472648,0.0,61854.45159472648,56509.2118518392,56509.2118518392,995915.0234715969,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-05-31,2027,61647.74051392356,0.0,61647.74051392356,56106.54123833708,56106.54123833708,1001456.2227471834,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-06-30,2027,61446.15171327262,0.0,61446.15171327262,56701.34199426132,56701.34199426132,1006201.0324661947,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-07-31,2027,61249.55826317778,0.0,61249.55826317778,57768.16097934959,57768.16097934959,1009682.429750023,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-08-31,2027,61057.83637934596,0.0,61057.83637934596,58107.337364886975,58107.337364886975,1012632.9287644819,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-09-30,2027,60870.865344846636,0.0,60870.865344846636,58702.44558557716,58702.44558557716,1014801.3485237514,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-10-31,2027,60688.527434102914,0.0,60688.527434102914,59335.288955968914,59335.288955968914,1016154.5870018854,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-11-30,2027,60510.70783876605,0.0,60510.70783876605,59179.66333482352,59179.66333482352,1017485.6315058279,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2027-12-31,2027,60337.294595426814,0.0,60337.294595426814,57493.16115414094,57493.16115414094,1020329.7649471138,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-01-31,2024,29264.806800000002,32.9442,29231.8626,811.9961833333333,844.9403833333333,28419.866416666668,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-02-29,2024,43091.9502,970.9904999999999,42120.9597,1982.0228416666664,2953.0133416666663,68558.803275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-03-31,2024,80616.4647,917.847,79698.6177,4195.873333333333,5113.720333333333,144061.54764166666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-04-30,2024,48675.9831,282.02639999999997,48393.956699999995,5540.149908333334,5822.1763083333335,186915.35443333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-05-31,2024,76380.9684,237.08579999999998,76143.8826,7655.257758333333,7892.343558333333,255403.979275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-06-30,2024,40940.9073,907.5827999999999,40033.3245,8767.294549999999,9674.877349999999,286670.009225,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-07-31,2024,23145.6615,301.58669999999995,22844.0748,9401.852183333333,9703.438883333332,300112.2318416666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-08-31,2024,49222.0575,374.571,48847.4865,10758.726808333333,11133.297808333333,338200.9915333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-09-30,2024,39955.9515,508.98209999999995,39446.9694,11854.475958333333,12363.458058333332,365793.48497499997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-10-31,2024,38229.6792,323.5131,37906.1661,12907.425016666664,13230.938116666664,390792.2260583333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-11-30,2024,66653.70989999999,540.4797,66113.23019999999,14743.903633333333,15284.383333333333,442161.55262499995,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2024-12-31,2024,121994.9343,943.5612,121051.3731,18106.441775,19050.002975,545106.4839499999,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-01-31,2025,85339.689,872.2845,84467.4045,20452.758566666667,21325.04306666667,609121.1298833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-02-28,2025,57001.5375,1021.3634999999999,55980.174,22007.7634,23029.1269,643093.5404833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-03-31,2025,57146.47379999999,623.0943,56523.379499999995,23577.857275,24200.951575,676039.0627083331,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-04-30,2025,58565.10209999999,646.7175,57918.38459999999,25186.701291666664,25833.418791666663,708770.7460166664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-05-31,2025,35813.6487,540.4044,35273.2443,26166.513633333332,26706.91803333333,717877.476683333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-06-30,2025,59524.8819,627.2742,58897.6077,27802.558291666664,28429.832491666664,748972.5260916664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-07-31,2025,29906.150400000002,574.6545,29331.4959,28617.322066666664,29191.976566666664,749686.6999249997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-08-31,2025,38775.2583,277.806,38497.452300000004,29686.695741666663,29964.501741666663,758497.456483333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-09-30,2025,67163.808,638.2338,66525.5742,31534.628358333324,32172.862158333322,793488.4023249997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-10-31,2025,43416.6591,797.574,42619.0851,32718.49183333333,33516.06583333333,803388.9955916663,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-11-30,2025,103831.698,1363.4030999999998,102468.29490000001,35564.83335833333,36928.23645833333,870292.457133333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2025-12-31,2025,73351.2321,2110.3653,71240.86679999999,37543.746325,39654.111625,903989.577608333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-01-31,2026,44214.5802,1725.6467999999998,42488.933399999994,38723.99447499999,40449.641274999994,907754.516533333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-02-28,2026,37999.94999999999,727.9695,37271.98049999999,39759.32726666666,40487.29676666666,905267.1697666664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-03-31,2026,49128.0591,846.3537,48281.7054,41100.48574999999,41946.83944999999,912448.3894166664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-04-30,2026,84928.4301,502.386,84426.0441,43445.65364166666,43948.039641666655,953428.7798749997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-05-31,2026,60401.9679,518.1891,59883.7788,45109.09194166666,45627.28104166666,968203.466733333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-06-30,2026,70471.7556,831.3341999999999,69640.4214,47043.548091666664,47874.88229166666,990800.3400416663,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-07-31,2026,65021.82221443437,0.0,65021.82221443437,48849.7098198454,48849.7098198454,1006972.4524362553,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-08-31,2026,37950.09842104734,0.0,37950.09842104734,49903.87922043004,49903.87922043004,995018.6716368727,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-09-30,2026,31784.11508603621,0.0,31784.11508603621,50786.77130615327,50786.77130615327,976016.0154167556,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-10-31,2026,31864.20432081882,0.0,31864.20432081882,51671.88809284268,51671.88809284268,956208.3316447317,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-11-30,2026,62475.4798398557,0.0,62475.4798398557,53407.31808839423,53407.31808839423,965276.4933961931,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2026-12-31,2026,62475.4798398557,0.0,62475.4798398557,55142.74808394578,55142.74808394578,972609.2251521031,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-01-31,2027,62475.4798398557,0.0,62475.4798398557,56066.181896163995,56066.181896163995,979018.5230957948,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-02-28,2027,62475.4798398557,0.0,62475.4798398557,56631.5852333822,56631.5852333822,984862.4177022683,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-03-31,2027,62475.4798398557,0.0,62475.4798398557,56153.164737267085,56153.164737267085,991184.732804857,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-04-30,2027,62475.4798398557,0.0,62475.4798398557,56544.318157818634,56544.318157818634,997115.894486894,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-05-31,2027,62475.4798398557,0.0,62475.4798398557,56164.64030337018,56164.64030337018,1003426.7340233795,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-06-30,2027,62475.4798398557,0.0,62475.4798398557,56788.033507255066,56788.033507255066,1009114.1803559802,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-07-31,2027,62475.4798398557,0.0,62475.4798398557,57888.90586947328,57888.90586947328,1013700.7543263626,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-08-31,2027,62475.4798398557,0.0,62475.4798398557,58267.46124002482,58267.46124002482,1017908.7729261935,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-09-30,2027,62475.4798398557,0.0,62475.4798398557,58907.14208557637,58907.14208557637,1021477.1106804729,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-10-31,2027,62475.4798398557,0.0,62475.4798398557,59589.623022794585,59589.623022794585,1024362.967497534,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-11-30,2027,62475.4798398557,0.0,62475.4798398557,59488.57440167946,59488.57440167946,1027349.8729357102,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_FullClose,2027-12-31,2027,62475.4798398557,0.0,62475.4798398557,57861.466255564344,57861.466255564344,1031963.8865200016,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-01-31,2024,29264.806800000002,32.9442,29231.8626,811.9961833333333,844.9403833333333,28419.866416666668,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-02-29,2024,43091.9502,970.9904999999999,42120.9597,1982.0228416666664,2953.0133416666663,68558.803275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-03-31,2024,80616.4647,917.847,79698.6177,4195.873333333333,5113.720333333333,144061.54764166666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-04-30,2024,48675.9831,282.02639999999997,48393.956699999995,5540.149908333333,5822.176308333333,186915.35443333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-05-31,2024,76380.9684,237.08579999999998,76143.8826,7655.257758333333,7892.343558333333,255403.979275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-06-30,2024,40940.9073,907.5827999999999,40033.3245,8767.29455,9674.87735,286670.009225,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-07-31,2024,23145.6615,301.58669999999995,22844.0748,9401.852183333334,9703.438883333334,300112.2318416666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-08-31,2024,49222.0575,374.571,48847.4865,10758.726808333335,11133.297808333335,338200.9915333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-09-30,2024,39955.9515,508.98209999999995,39446.9694,11854.475958333334,12363.458058333334,365793.48497499997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-10-31,2024,38229.6792,323.5131,37906.1661,12907.425016666666,13230.938116666666,390792.2260583333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-11-30,2024,66653.70989999999,540.4797,66113.23019999999,14743.903633333333,15284.383333333333,442161.55262499995,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2024-12-31,2024,121994.9343,943.5612,121051.3731,18106.441775,19050.002975,545106.4839499999,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-01-31,2025,85339.689,872.2845,84467.4045,20452.758566666667,21325.04306666667,609121.1298833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-02-28,2025,57001.5375,1021.3634999999999,55980.174,22007.7634,23029.1269,643093.5404833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-03-31,2025,57146.47379999999,623.0943,56523.379499999995,23577.857275,24200.951575,676039.0627083331,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-04-30,2025,58565.10209999999,646.7175,57918.38459999999,25186.701291666664,25833.418791666663,708770.7460166664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-05-31,2025,35813.6487,540.4044,35273.2443,26166.513633333336,26706.918033333335,717877.476683333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-06-30,2025,59524.8819,627.2742,58897.6077,27802.558291666668,28429.832491666668,748972.5260916664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-07-31,2025,29906.150400000002,574.6545,29331.4959,28617.322066666668,29191.976566666668,749686.6999249997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-08-31,2025,38775.2583,277.806,38497.452300000004,29686.695741666666,29964.501741666667,758497.456483333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-09-30,2025,67163.808,638.2338,66525.5742,31534.62835833333,32172.86215833333,793488.4023249997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-10-31,2025,43416.6591,797.574,42619.0851,32718.49183333333,33516.06583333333,803388.9955916663,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-11-30,2025,103831.698,1363.4030999999998,102468.29490000001,35564.83335833334,36928.23645833334,870292.457133333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2025-12-31,2025,73351.2321,2110.3653,71240.86679999999,37543.746325,39654.111625,903989.577608333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-01-31,2026,44214.5802,1725.6467999999998,42488.933399999994,38723.994475,40449.641275,907754.516533333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-02-28,2026,37999.94999999999,727.9695,37271.98049999999,39759.32726666666,40487.29676666666,905267.1697666664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-03-31,2026,49128.0591,846.3537,48281.7054,41100.48574999999,41946.83944999999,912448.3894166664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-04-30,2026,84928.4301,502.386,84426.0441,43445.653641666664,43948.03964166666,953428.7798749997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-05-31,2026,60401.9679,518.1891,59883.7788,45109.09194166666,45627.28104166666,968203.466733333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-06-30,2026,70471.7556,831.3341999999999,69640.4214,47043.54809166666,47874.882291666654,990800.3400416663,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-07-31,2026,65021.82221443437,0.0,65021.82221443437,48849.70981984539,48849.70981984539,1006972.4524362553,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-08-31,2026,37950.09842104734,0.0,37950.09842104734,49903.87922043004,49903.87922043004,995018.6716368727,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-09-30,2026,31784.11508603621,0.0,31784.11508603621,50786.77130615327,50786.77130615327,976016.0154167556,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-10-31,2026,31864.20432081882,0.0,31864.20432081882,51671.88809284268,51671.88809284268,956208.3316447317,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-11-30,2026,62433.46111569464,0.0,62433.46111569464,53406.15090161198,53406.15090161198,965235.6418588144,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2026-12-31,2026,62475.4798398557,0.0,62475.4798398557,55141.58089716353,55141.58089716353,972569.5408015066,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-01-31,2027,62475.4798398557,0.0,62475.4798398557,56065.01470938175,56065.01470938175,978980.0059319806,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-02-28,2027,62283.76452324122,0.0,62283.76452324122,56625.09262113845,56625.09262113845,984638.6778340833,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-03-31,2027,62066.415110500864,0.0,62066.415110500864,56135.309215874586,56135.309215874586,990569.7837287096,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-04-30,2027,61854.45159472648,0.0,61854.45159472648,56509.21185183921,56509.21185183921,995915.0234715969,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-05-31,2027,61647.74051392356,0.0,61647.74051392356,56106.541238337086,56106.541238337086,1001456.2227471834,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-06-30,2027,61446.15171327262,0.0,61446.15171327262,56701.34199426131,56701.34199426131,1006201.0324661947,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-07-31,2027,61249.55826317778,0.0,61249.55826317778,57768.16097934959,57768.16097934959,1009682.429750023,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-08-31,2027,61057.83637934596,0.0,61057.83637934596,58107.337364886975,58107.337364886975,1012632.9287644819,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-09-30,2027,60870.865344846636,0.0,60870.865344846636,58702.44558557715,58702.44558557715,1014801.3485237514,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-10-31,2027,60688.527434102914,0.0,60688.527434102914,59335.28895596891,59335.28895596891,1016154.5870018854,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-11-30,2027,60510.70783876605,0.0,60510.70783876605,59179.66333482352,59179.66333482352,1017485.6315058279,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base_Targeted,2027-12-31,2027,60337.294595426814,0.0,60337.294595426814,57493.16115414093,57493.16115414093,1020329.7649471137,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-01-31,2024,29264.806800000002,32.9442,29231.8626,811.9961833333333,844.9403833333333,28419.866416666668,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-02-29,2024,43091.9502,970.9904999999999,42120.9597,1982.0228416666664,2953.0133416666663,68558.803275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-03-31,2024,80616.4647,917.847,79698.6177,4195.873333333333,5113.720333333333,144061.54764166666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-04-30,2024,48675.9831,282.02639999999997,48393.956699999995,5540.149908333333,5822.176308333333,186915.35443333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-05-31,2024,76380.9684,237.08579999999998,76143.8826,7655.257758333333,7892.343558333333,255403.979275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-06-30,2024,40940.9073,907.5827999999999,40033.3245,8767.29455,9674.87735,286670.009225,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-07-31,2024,23145.6615,301.58669999999995,22844.0748,9401.852183333334,9703.438883333334,300112.2318416666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-08-31,2024,49222.0575,374.571,48847.4865,10758.726808333335,11133.297808333335,338200.9915333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-09-30,2024,39955.9515,508.98209999999995,39446.9694,11854.475958333334,12363.458058333334,365793.48497499997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-10-31,2024,38229.6792,323.5131,37906.1661,12907.425016666668,13230.938116666668,390792.2260583333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-11-30,2024,66653.70989999999,540.4797,66113.23019999999,14743.903633333332,15284.383333333331,442161.55262499995,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2024-12-31,2024,121994.9343,943.5612,121051.3731,18106.441775,19050.002975,545106.4839499999,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2025-01-31,2025,85339.689,872.2845,84467.4045,20452.758566666664,21325.043066666665,609121.1298833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2025-02-28,2025,57001.5375,1021.3634999999999,55980.174,22007.7634,23029.1269,643093.5404833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Bear,2025-03-31,2025,57146.47379999999,623.0943,56523.379499999995,23577.857275,24200.951575,676039.0627083331,true
