path,month_end_date,fiscal_year,fiscal_quarter,is_actual,period_label,asc340_immediate_expense,asc340_amortisation,asc340_gaap_commission_expense,gl_commission_expense_6030,gl_commission_amortisation_6040,gl_total_commission_expense,residual_immediate_vs_gl,residual_amortisation_vs_gl,phase6_commission_expense,phase6_commission_amortisation,phase6_total_commission_expense,commission_accounting_adjustment,commission_earned,commission_paid_cash,ending_commission_asset
Base,2025-08-31,2025,2025Q3,true,Actual,15897.855903,17704.028652750003,33601.88455575,15897.86,17704.03,33601.89,-0.004097000000911066,-0.001347249995887978,15897.86,17704.03,33601.89,-0.005444249996799044,38775.2583,39521.846403,452394.6962144999
Base,2025-09-30,2025,2025Q3,true,Actual,27537.161279999997,18804.76883941667,46341.93011941666,27537.17,18804.77,46341.94,-0.008720000001630979,-0.0011605833315115888,27537.17,18804.77,46341.94,-0.009880583340418525,67163.808,55112.812461,473216.5740950832
Base,2025-10-31,2025,2025Q4,true,Actual,17800.830230999996,19516.319641333335,37317.149872333335,17800.83,19516.32,37317.15,0.00023099999452824704,-0.00035866666439687833,17800.83,19516.32,37317.15,-0.00012766666623065248,43416.6591,47688.286887,479316.0833227499
Base,2025-11-30,2025,2025Q4,true,Actual,42570.996179999995,21218.005803000004,63789.001982999995,42571.0,21218.0,63789.0,-0.0038200000053620897,0.005803000003652414,42571.0,21218.0,63789.0,0.0019829999946523458,103831.698,82200.476865,519358.7793397499
Base,2025-12-31,2025,2025Q4,true,Actual,30074.005160999997,22420.150995750002,52494.15615675,30074.0,22420.14,52494.14,0.00516099999731523,0.010995750002621207,30074.0,22420.14,52494.14,0.016156750003574416,73351.2321,75923.402073,540215.8552829999
Base,2026-01-31,2026,2026Q1,true,Actual,18127.977882,23144.77883791667,41272.756719916666,18127.98,23144.78,41272.759999999995,-0.002118000000336906,-0.0011620833283814136,18127.98,23144.78,41272.759999999995,-0.0032800833287183195,44214.5802,59230.48978499999,543157.6787630833
Base,2026-02-28,2026,2026Q1,true,Actual,15579.979499999998,23767.555796250002,39347.535296250004,15579.98,23767.55,39347.53,-0.0005000000019208528,0.005796250003186287,15579.98,23767.55,39347.53,0.005296250004903413,37999.94999999999,47011.76435999999,541810.0934668332
Base,2026-03-31,2026,2026Q1,true,Actual,20142.504231,24572.71009816667,44715.21432916667,20142.5,24572.72,44715.22,0.004230999998981133,-0.009901833331241505,20142.5,24572.72,44715.22,-0.005670833328622393,49128.0591,46849.633880999994,546222.9382376666
Base,2026-04-30,2026,2026Q2,true,Actual,34820.656341,25964.592702583337,60785.24904358334,34820.66,25964.59,60785.25,-0.0036590000017895363,0.0027025833369407337,34820.66,25964.59,60785.25,-0.0009564166612108238,84928.4301,68495.80355999999,570366.1192940833
Base,2026-05-31,2026,2026Q2,true,Actual,24764.806838999997,26954.51384316667,51719.32068216667,24764.81,26954.51,51719.32,-0.003161000004183734,0.003843166672595544,24764.81,26954.51,51719.32,0.00068216666841181,60401.9679,63568.626258,579048.7665119166
Base,2026-06-30,2026,2026Q2,true,Actual,28893.419796000002,28109.467615500005,57002.88741150001,28893.42,28109.47,57002.89,-0.00020399999630171806,-0.002384499995969236,28893.42,28109.47,57002.89,-0.002588499992270954,70471.7556,69325.890999,592517.6347004166
Base,2026-07-31,2026,2026Q3,false,FY2026 Reforecast,26658.947107918088,29175.103035125456,55834.05014304354,,,,,,26658.947107918088,27009.523333333334,53668.470441251426,2165.579701792114,65021.82221443437,66424.79160451627,601705.4067718075
Base,2026-08-31,2026,2026Q3,false,FY2026 Reforecast,15559.540352629407,29797.062981470397,45356.603334099804,,,,,,15559.540352629409,27009.523333333334,42569.06368596274,2787.5396481370626,37950.09842104734,49627.70167773783,594298.9018587549
Base,2026-09-30,2026,2026Q3,false,FY2026 Reforecast,13031.487185274846,30317.969312047102,43349.456497321946,,,,,,13031.487185274846,27009.523333333334,40041.01051860818,3308.4459787137675,31784.11508603621,39403.07587162306,582733.5604474692
Base,2026-10-31,2026,2026Q4,false,FY2026 Reforecast,13064.323771535715,30840.188216193856,43904.51198772957,,,,,,13064.323771535715,27009.523333333334,40073.84710486905,3830.664882860525,31864.20432081882,34024.11368659543,570693.2527805585
Base,2026-11-30,2026,2026Q4,false,FY2026 Reforecast,25597.719057434802,31863.40327336774,57461.122330802544,,,,,,25597.719057434802,27009.523333333334,52607.24239076814,4853.879940034407,62433.46111569464,50132.28910093512,575665.5915654507
Base,2026-12-31,2026,2026Q4,false,FY2026 Reforecast,25614.94673434084,32887.30697074316,58502.253705084,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,5877.783637409826,62475.4798398557,56952.58237048072,579638.8177002224
Base,2027-01-31,2027,2027Q1,false,Forward Runway Projection,25614.94673434084,33431.59300111856,59046.5397354594,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,6422.069667785232,62475.4798398557,61245.146197711685,583067.7578046187
Base,2027-02-28,2027,2027Q1,false,Forward Runway Projection,25536.3434545289,33746.12551363835,59282.468968167246,,,,,,25536.3434545289,27009.523333333334,52545.86678786224,6736.60218030501,62283.76452324122,62360.68705408672,586069.0533596927
Base,2027-03-31,2027,2027Q1,false,Forward Runway Projection,25447.230195305354,33442.11081203267,58889.34100733802,,,,,,25447.230195305354,27009.523333333334,52456.753528638685,6432.587478699337,62066.415110500864,62190.03712671502,589246.1274628555
Base,2027-04-30,2027,2027Q2,false,Forward Runway Projection,25360.325153837854,33658.09126791846,59018.416421756316,,,,,,25360.325153837857,27009.523333333334,52369.84848717119,6648.567934585124,61854.45159472648,61988.14814315182,592082.1626358257
Base,2027-05-31,2027,2027Q2,false,Forward Runway Projection,25275.573610708656,33416.630033118876,58692.20364382753,,,,,,25275.57361070866,27009.523333333334,52285.096944041994,6407.106699785538,61647.74051392356,61779.33946640176,595037.6995059217
Base,2027-06-30,2027,2027Q2,false,Forward Runway Projection,25192.922202441776,33752.688205447506,58945.61040788928,,,,,,25192.922202441772,27009.523333333334,52202.44553577511,6743.1648721141755,61446.15171327262,61574.489656715006,597538.240811305
Base,2027-07-31,2027,2027Q3,false,Forward Runway Projection,25112.31888790289,34377.16873573292,59489.48762363581,,,,,,25112.31888790289,27009.523333333334,52121.84222123622,7367.64540239959,61249.55826317778,61374.71600506596,599298.311450847
Base,2027-08-31,2027,2027Q3,false,Forward Runway Projection,25033.71291553184,34571.14400069998,59604.856916231816,,,,,,25033.71291553184,27009.523333333334,52043.23624886517,7561.620667366646,61057.83637934596,61179.89272476011,600751.2909139611
Base,2027-09-30,2027,2027Q3,false,Forward Runway Projection,24957.05479138712,34913.91619982385,59870.97099121097,,,,,,24957.05479138712,27009.523333333334,51966.57812472046,7904.392866490511,60870.865344846636,60989.89714608488,601751.1852675967
Base,2027-10-31,2027,2027Q4,false,Forward Runway Projection,24882.296247982194,35281.99176810499,60164.28801608719,,,,,,24882.296247982194,27009.523333333334,51891.81958131553,8272.468434771654,60688.527434102914,60804.60963907099,602275.4246856124
Base,2027-11-30,2027,2027Q4,false,Forward Runway Projection,24809.39021389408,35181.31478987921,59990.705003773284,,,,,,24809.39021389408,27009.523333333334,51818.913547227414,8171.7914565458705,60510.70783876605,60623.91353816801,602795.4275206052
Base,2027-12-31,2027,2027Q4,false,Forward Runway Projection,24738.29078412499,34170.81458360982,58909.10536773481,,,,,,24738.29078412499,27009.523333333334,51747.81411745833,7161.291250276481,60337.294595426814,60447.69506878628,604223.6167482971
Base_FullClose,2024-01-31,2024,2024Q1,true,Actual,11998.570788,479.6176669999999,12478.188455000001,11998.58,479.62,12478.2,-0.009211999999024556,-0.0023330000000783002,11998.58,479.62,12478.2,-0.011544999999387073,29264.806800000002,17266.236012,16786.618345
Base_FullClose,2024-02-29,2024,2024Q1,true,Actual,17667.699581999997,1185.8468508333333,18853.54643283333,17667.69,1185.85,18853.539999999997,0.009581999998772517,-0.0031491666666170204,17667.69,1185.85,18853.539999999997,0.006432833331928123,43091.9502,32155.156182,41025.02211216667
Base_FullClose,2024-03-31,2024,2024Q1,true,Actual,33052.750527,2507.061133416667,35559.811660416664,33052.76,2507.06,35559.82,-0.009473000005527865,0.0011334166670167178,33052.76,2507.06,35559.82,-0.008339583335327916,80616.4647,61571.935671,86081.67515175001
Base_FullClose,2024-04-30,2024,2024Q2,true,Actual,19957.153070999997,3304.806412,23261.959483,19957.15,3304.81,23261.960000000003,0.0030709999955433886,-0.003588000000036118,19957.15,3304.81,23261.960000000003,-0.0005170000040379819,48675.9831,54464.08221,111495.69876875001
Base_FullClose,2024-05-31,2024,2024Q2,true,Actual,31316.197043999997,4556.605616333333,35872.80266033333,31316.19,4556.6,35872.79,0.007043999998131767,0.005616333332909562,31316.19,4556.6,35872.79,0.012660333326493856,76380.9684,69270.230535,152003.86450841668
Base_FullClose,2024-06-30,2024,2024Q2,true,Actual,16785.771993000002,5227.581597083334,22013.353590083338,16785.77,5227.58,22013.35,0.001993000001675682,0.001597083333763294,16785.77,5227.58,22013.35,0.003590083339076955,40940.9073,51762.05426099999,170931.41821833333
Base_FullClose,2024-07-31,2024,2024Q3,true,Actual,9489.721214999998,5606.913271666667,15096.634486666666,9489.72,5606.91,15096.63,0.0012149999984103488,0.0032716666673877626,9489.72,5606.91,15096.63,0.004486666666707606,23145.6615,35712.723864,178980.44523166667
Base_FullClose,2024-08-31,2024,2024Q3,true,Actual,20181.043575,6413.608102916667,26594.651677916667,20181.05,6413.61,26594.66,-0.006424999999580905,-0.0018970833325511194,20181.05,6413.61,26594.66,-0.008322083333041519,49222.0575,43151.481827999996,201607.85105375
Base_FullClose,2024-09-30,2024,2024Q3,true,Actual,16381.940115,7068.441752500001,23450.3818675,16381.94,7068.45,23450.39,0.00011499999891384505,-0.008247499999015417,16381.94,7068.45,23450.39,-0.008132499999192078,39955.9515,39773.11351200001,218113.42068625
Base_FullClose,2024-10-31,2024,2024Q4,true,Actual,15674.168471999998,7694.983717166668,23369.152189166663,15674.17,7694.98,23369.15,-0.0015280000025086338,0.003717166668138816,15674.17,7694.98,23369.15,0.0021891666619922034,38229.6792,39562.29408299999,232973.94769708332
Base_FullClose,2024-11-30,2024,2024Q4,true,Actual,27328.021058999995,8787.363962750002,36115.38502175,27328.02,8787.36,36115.380000000005,0.0010589999947114848,0.003962750000937376,27328.02,8787.36,36115.380000000005,0.005021749995648861,66653.70989999999,55681.23056699999,263512.2725753333
Base_FullClose,2024-12-31,2024,2024Q4,true,Actual,50017.923063,10786.725386000002,60804.648449,50017.92,10786.72,60804.64,0.003063000003749039,0.005386000002545188,50017.92,10786.72,60804.64,0.008449000000837259,121994.9343,94257.757662,324702.5584263333
Base_FullClose,2025-01-31,2025,2025Q1,true,Actual,34989.272489999996,12185.348066833336,47174.62055683333,34989.27,12185.36,47174.63,0.002489999998942949,-0.01193316666467581,34989.27,12185.36,47174.63,-0.00944316666573286,85339.689,89269.957953,362867.6268695
Base_FullClose,2025-02-28,2025,2025Q1,true,Actual,23370.630374999997,13119.53993141667,36490.170306416665,23370.63,13119.54,36490.17,0.0003749999959836714,-6.858333108539227e-05,23370.63,13119.54,36490.17,0.0003064166667172685,57001.5375,73004.474793,383378.9940630833
Base_FullClose,2025-03-31,2025,2025Q1,true,Actual,23430.054257999996,14056.107140916669,37486.161398916665,23430.05,14056.1,37486.15,0.004257999997207662,0.00714091666850436,23430.05,14056.1,37486.15,0.011398916663893033,57146.47379999999,63654.12699899999,403039.3064641666
Base_FullClose,2025-04-30,2025,2025Q2,true,Actual,24011.691860999996,15015.924092000003,39027.615953,24011.69,15015.92,39027.61,0.0018609999970067292,0.004092000002856366,24011.69,15015.92,39027.61,0.005952999999863096,58565.10209999999,59090.90202299999,422576.7926111666
Base_FullClose,2025-05-31,2025,2025Q2,true,Actual,14683.595967,15602.870001250003,30286.465968250002,14683.59,15602.87,30286.46,0.005966999999145628,1.2500022421590984e-06,14683.59,15602.87,30286.46,0.0059682500032067765,35813.6487,44880.594048,428103.9753429166
Base_FullClose,2025-06-30,2025,2025Q2,true,Actual,24405.201579,16578.416676833338,40983.61825583334,24405.19,16578.42,40983.61,0.011579000001802342,-0.003323166660265997,24405.19,16578.42,40983.61,0.008255833337898366,59524.8819,53841.792768,446645.23898708326
Base_FullClose,2025-07-31,2025,2025Q3,true,Actual,12261.521664,17068.545252833337,29330.066916833337,12261.52,17068.55,29330.07,0.0016639999994367827,-0.004747166662127711,12261.52,17068.55,29330.07,-0.003083166662690928,29906.150400000002,38691.866474999995,447221.3224702499
Base_FullClose,2025-08-31,2025,2025Q3,true,Actual,15897.855903,17704.028652750003,33601.88455575,15897.86,17704.03,33601.89,-0.004097000000911066,-0.001347249995887978,15897.86,17704.03,33601.89,-0.005444249996799044,38775.2583,39521.846403,452394.6962144999
Base_FullClose,2025-09-30,2025,2025Q3,true,Actual,27537.161279999997,18804.76883941667,46341.93011941666,27537.17,18804.77,46341.94,-0.008720000001630979,-0.0011605833315115888,27537.17,18804.77,46341.94,-0.009880583340418525,67163.808,55112.812461,473216.5740950832
Base_FullClose,2025-10-31,2025,2025Q4,true,Actual,17800.830230999996,19516.319641333335,37317.149872333335,17800.83,19516.32,37317.15,0.00023099999452824704,-0.00035866666439687833,17800.83,19516.32,37317.15,-0.00012766666623065248,43416.6591,47688.286887,479316.0833227499
Base_FullClose,2025-11-30,2025,2025Q4,true,Actual,42570.996179999995,21218.005803000004,63789.001982999995,42571.0,21218.0,63789.0,-0.0038200000053620897,0.005803000003652414,42571.0,21218.0,63789.0,0.0019829999946523458,103831.698,82200.476865,519358.7793397499
Base_FullClose,2025-12-31,2025,2025Q4,true,Actual,30074.005160999997,22420.150995750002,52494.15615675,30074.0,22420.14,52494.14,0.00516099999731523,0.010995750002621207,30074.0,22420.14,52494.14,0.016156750003574416,73351.2321,75923.402073,540215.8552829999
Base_FullClose,2026-01-31,2026,2026Q1,true,Actual,18127.977882,23144.77883791667,41272.756719916666,18127.98,23144.78,41272.759999999995,-0.002118000000336906,-0.0011620833283814136,18127.98,23144.78,41272.759999999995,-0.0032800833287183195,44214.5802,59230.48978499999,543157.6787630833
Base_FullClose,2026-02-28,2026,2026Q1,true,Actual,15579.979499999998,23767.555796250002,39347.535296250004,15579.98,23767.55,39347.53,-0.0005000000019208528,0.005796250003186287,15579.98,23767.55,39347.53,0.005296250004903413,37999.94999999999,47011.76435999999,541810.0934668332
Base_FullClose,2026-03-31,2026,2026Q1,true,Actual,20142.504231,24572.71009816667,44715.21432916667,20142.5,24572.72,44715.22,0.004230999998981133,-0.009901833331241505,20142.5,24572.72,44715.22,-0.005670833328622393,49128.0591,46849.633880999994,546222.9382376666
Base_FullClose,2026-04-30,2026,2026Q2,true,Actual,34820.656341,25964.592702583337,60785.24904358334,34820.66,25964.59,60785.25,-0.0036590000017895363,0.0027025833369407337,34820.66,25964.59,60785.25,-0.0009564166612108238,84928.4301,68495.80355999999,570366.1192940833
Base_FullClose,2026-05-31,2026,2026Q2,true,Actual,24764.806838999997,26954.51384316667,51719.32068216667,24764.81,26954.51,51719.32,-0.003161000004183734,0.003843166672595544,24764.81,26954.51,51719.32,0.00068216666841181,60401.9679,63568.626258,579048.7665119166
Base_FullClose,2026-06-30,2026,2026Q2,true,Actual,28893.419796000002,28109.467615500005,57002.88741150001,28893.42,28109.47,57002.89,-0.00020399999630171806,-0.002384499995969236,28893.42,28109.47,57002.89,-0.002588499992270954,70471.7556,69325.890999,592517.6347004166
Base_FullClose,2026-07-31,2026,2026Q3,false,FY2026 Reforecast,26658.947107918088,29175.103035125456,55834.05014304354,,,,,,26658.947107918088,27009.523333333334,53668.470441251426,2165.579701792114,65021.82221443437,66424.79160451627,601705.4067718075
Base_FullClose,2026-08-31,2026,2026Q3,false,FY2026 Reforecast,15559.540352629407,29797.062981470397,45356.603334099804,,,,,,15559.540352629409,27009.523333333334,42569.06368596274,2787.5396481370626,37950.09842104734,49627.70167773783,594298.9018587549
Base_FullClose,2026-09-30,2026,2026Q3,false,FY2026 Reforecast,13031.487185274846,30317.969312047102,43349.456497321946,,,,,,13031.487185274846,27009.523333333334,40041.01051860818,3308.4459787137675,31784.11508603621,39403.07587162306,582733.5604474692
Base_FullClose,2026-10-31,2026,2026Q4,false,FY2026 Reforecast,13064.323771535715,30840.188216193856,43904.51198772957,,,,,,13064.323771535715,27009.523333333334,40073.84710486905,3830.664882860525,31864.20432081882,34024.11368659543,570693.2527805585
Base_FullClose,2026-11-30,2026,2026Q4,false,FY2026 Reforecast,25614.94673434084,31864.091913569267,57479.03864791011,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,4854.568580235937,62475.4798398557,50157.08014819015,575689.6939725041
Base_FullClose,2026-12-31,2026,2026Q4,false,FY2026 Reforecast,25614.94673434084,32887.99561094468,58502.94234528552,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,5878.4722776113485,62475.4798398557,56962.246677037765,579662.2314670742
Base_FullClose,2027-01-31,2027,2027Q1,false,Forward Runway Projection,25614.94673434084,33432.28164132009,59047.22837566093,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,6422.758307986762,62475.4798398557,61251.02881909423,583090.482931269
Base_FullClose,2027-02-28,2027,2027Q1,false,Forward Runway Projection,25614.94673434084,33749.956154862164,59364.902889203004,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,6740.432821528833,62475.4798398557,62475.4798398557,586201.0598819217
Base_FullClose,2027-03-31,2027,2027Q1,false,Forward Runway Projection,25614.94673434084,33452.64556965425,59067.59230399509,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,6443.122236320916,62475.4798398557,62475.4798398557,589608.9474177824
Base_FullClose,2027-04-30,2027,2027Q2,false,Forward Runway Projection,25614.94673434084,33678.80398844632,59293.75072278716,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,6669.280655112991,62475.4798398557,62475.4798398557,592790.676534851
Base_FullClose,2027-05-31,2027,2027Q2,false,Forward Runway Projection,25614.94673434084,33450.908481488405,59065.855215829244,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,6441.385148155074,62475.4798398557,62475.4798398557,596200.3011588774
Base_FullClose,2027-06-30,2027,2027Q2,false,Forward Runway Projection,25614.94673434084,33803.836198113815,59418.782932454655,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,6794.312864780484,62475.4798398557,62475.4798398557,599256.9980662785
Base_FullClose,2027-07-31,2027,2027Q3,false,Forward Runway Projection,25614.94673434084,34448.40822090589,60063.35495524673,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,7438.88488757256,62475.4798398557,62475.4798398557,601669.1229508875
Base_FullClose,2027-08-31,2027,2027Q3,false,Forward Runway Projection,25614.94673434084,34665.61708703131,60280.56382137215,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,7656.093753697976,62475.4798398557,62475.4798398557,603864.0389693711
Base_FullClose,2027-09-30,2027,2027Q3,false,Forward Runway Projection,25614.94673434084,35034.68713482338,60649.63386916422,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,8025.163801490053,62475.4798398557,62475.4798398557,605689.8849400626
Base_FullClose,2027-10-31,2027,2027Q4,false,Forward Runway Projection,25614.94673434084,35432.048867532125,61046.995601872964,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,8422.525534198794,62475.4798398557,62475.4798398557,607118.3691780454
Base_FullClose,2027-11-30,2027,2027Q4,false,Forward Runway Projection,25614.94673434084,35363.57231932421,60978.51905366505,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,8354.048985990878,62475.4798398557,62475.4798398557,608615.3299642361
Base_FullClose,2027-12-31,2027,2027Q4,false,Forward Runway Projection,25614.94673434084,34388.11459344962,60003.06132779046,,,,,,25614.946734340836,27009.523333333334,52624.47006767417,7378.591260116293,62475.4798398557,62475.4798398557,611087.7484763011
Base_Targeted,2024-01-31,2024,2024Q1,true,Actual,11998.570788,479.6176669999999,12478.188455000001,11998.58,479.62,12478.2,-0.009211999999024556,-0.0023330000000783002,11998.58,479.62,12478.2,-0.011544999999387073,29264.806800000002,17266.236012,16786.618345
Base_Targeted,2024-02-29,2024,2024Q1,true,Actual,17667.699581999997,1185.8468508333333,18853.54643283333,17667.69,1185.85,18853.539999999997,0.009581999998772517,-0.0031491666666170204,17667.69,1185.85,18853.539999999997,0.006432833331928123,43091.9502,32155.156182,41025.02211216667
Base_Targeted,2024-03-31,2024,2024Q1,true,Actual,33052.750527,2507.061133416667,35559.811660416664,33052.76,2507.06,35559.82,-0.009473000005527865,0.0011334166670167178,33052.76,2507.06,35559.82,-0.008339583335327916,80616.4647,61571.935671,86081.67515175001
Base_Targeted,2024-04-30,2024,2024Q2,true,Actual,19957.153070999997,3304.806412,23261.959483,19957.15,3304.81,23261.960000000003,0.0030709999955433886,-0.003588000000036118,19957.15,3304.81,23261.960000000003,-0.0005170000040379819,48675.9831,54464.08221,111495.69876875001
Base_Targeted,2024-05-31,2024,2024Q2,true,Actual,31316.197043999997,4556.605616333333,35872.80266033333,31316.19,4556.6,35872.79,0.007043999998131767,0.005616333332909562,31316.19,4556.6,35872.79,0.012660333326493856,76380.9684,69270.230535,152003.86450841668
Base_Targeted,2024-06-30,2024,2024Q2,true,Actual,16785.771993000002,5227.581597083334,22013.353590083338,16785.77,5227.58,22013.35,0.001993000001675682,0.001597083333763294,16785.77,5227.58,22013.35,0.003590083339076955,40940.9073,51762.05426099999,170931.41821833333
Base_Targeted,2024-07-31,2024,2024Q3,true,Actual,9489.721214999998,5606.913271666667,15096.634486666666,9489.72,5606.91,15096.63,0.0012149999984103488,0.0032716666673877626,9489.72,5606.91,15096.63,0.004486666666707606,23145.6615,35712.723864,178980.44523166667
Base_Targeted,2024-08-31,2024,2024Q3,true,Actual,20181.043575,6413.608102916667,26594.651677916667,20181.05,6413.61,26594.66,-0.006424999999580905,-0.0018970833325511194,20181.05,6413.61,26594.66,-0.008322083333041519,49222.0575,43151.481827999996,201607.85105375
Base_Targeted,2024-09-30,2024,2024Q3,true,Actual,16381.940115,7068.441752500001,23450.3818675,16381.94,7068.45,23450.39,0.00011499999891384505,-0.008247499999015417,16381.94,7068.45,23450.39,-0.008132499999192078,39955.9515,39773.11351200001,218113.42068625
Base_Targeted,2024-10-31,2024,2024Q4,true,Actual,15674.168471999998,7694.983717166668,23369.152189166663,15674.17,7694.98,23369.15,-0.0015280000025086338,0.003717166668138816,15674.17,7694.98,23369.15,0.0021891666619922034,38229.6792,39562.29408299999,232973.94769708332
