acquisition_quarter,segment,quarters_since_acquisition,starting_arr,retained_arr,arr_retention_pct
2024Q4,Total,3,2123805.00,2334253.32,1.099090227210125
2024Q4,Total,4,2123805.00,1973795.04,0.9293673571726218
2024Q4,Total,5,2123805.00,1923729.48,0.9057938370048098
2024Q4,Total,6,2123805.00,2200176.96,1.035959968076165
2025Q1,Enterprise,0,669615.12,669615.12,1.0
2025Q1,Enterprise,1,669615.12,669615.12,1.0
2025Q1,Enterprise,2,669615.12,684378.72,1.0220478892412106
2025Q1,Enterprise,3,669615.12,724030.56,1.0812637564098015
2025Q1,Enterprise,4,669615.12,732368.04,1.0937149089465006
2025Q1,Enterprise,5,669615.12,788062.32,1.1768884788623053
2025Q1,Mid-Market,0,604093.08,604093.08,1.0
2025Q1,Mid-Market,1,604093.08,653683.08,1.0820899984485834
2025Q1,Mid-Market,2,604093.08,690180.72,1.1425072440823192
2025Q1,Mid-Market,3,604093.08,726658.08,1.2028909187306036
2025Q1,Mid-Market,4,604093.08,627006.48,1.0379302474380272
2025Q1,Mid-Market,5,604093.08,627188.64,1.0382317903724374
2025Q1,SMB,0,414728.04,414728.04,1.0
2025Q1,SMB,1,414728.04,362116.20,0.8731413482435382
2025Q1,SMB,2,414728.04,332399.52,0.801487934117018
2025Q1,SMB,3,414728.04,334095.00,0.805576107176163
2025Q1,SMB,4,414728.04,292598.16,0.7055181511238063
2025Q1,SMB,5,414728.04,263075.16,0.6343317418325513
2025Q1,Total,0,1688436.24,1688436.24,1.0
2025Q1,Total,1,1688436.24,1685414.40,0.9982102729564724
2025Q1,Total,2,1688436.24,1706958.96,1.010970340224396
2025Q1,Total,3,1688436.24,1784783.64,1.0570630964424217
2025Q1,Total,4,1688436.24,1651972.68,0.978403946127098
2025Q1,Total,5,1688436.24,1678326.12,0.9940121398957891
2025Q2,Enterprise,0,77274.96,77274.96,1.0
2025Q2,Enterprise,1,77274.96,77274.96,1.0
2025Q2,Enterprise,2,77274.96,77274.96,1.0
2025Q2,Enterprise,3,77274.96,77274.96,1.0
2025Q2,Enterprise,4,77274.96,128237.76,1.6594995325782114
2025Q2,Mid-Market,0,476625.48,476625.48,1.0
2025Q2,Mid-Market,1,476625.48,486319.92,1.0203397434816117
2025Q2,Mid-Market,2,476625.48,646784.28,1.3570073509288678
2025Q2,Mid-Market,3,476625.48,730325.16,1.5322830831452823
2025Q2,Mid-Market,4,476625.48,797908.80,1.6740791952624943
2025Q2,SMB,0,411613.80,411613.80,1.0
2025Q2,SMB,1,411613.80,368601.12,0.8955023373851897
2025Q2,SMB,2,411613.80,330336.48,0.8025398565354223
2025Q2,SMB,3,411613.80,346326.60,0.8413872421187044
2025Q2,SMB,4,411613.80,307121.52,0.746139998221634
2025Q2,Total,0,965514.24,965514.24,1.0
2025Q2,Total,1,965514.24,932196.00,0.9654917155856759
2025Q2,Total,2,965514.24,1054395.72,1.0920561047344055
2025Q2,Total,3,965514.24,1153926.72,1.1951421037560255
2025Q2,Total,4,965514.24,1233268.08,1.2773173392036146
2025Q3,Mid-Market,0,419669.88,419669.88,1.0
2025Q3,Mid-Market,1,419669.88,488269.80,1.1634616236933657
2025Q3,Mid-Market,2,419669.88,501887.04,1.1959091274313038
2025Q3,Mid-Market,3,419669.88,636698.04,1.5171401864722815
2025Q3,SMB,0,243003.84,243003.84,1.0
2025Q3,SMB,1,243003.84,240396.12,0.9892688115545828
2025Q3,SMB,2,243003.84,231177.12,0.951331139458537
2025Q3,SMB,3,243003.84,226945.44,0.933917093655804
2025Q3,Total,0,662673.72,662673.72,1.0
2025Q3,Total,1,662673.72,728665.92,1.09958475492283
2025Q3,Total,2,662673.72,733064.16,1.1062218673769046
2025Q3,Total,3,662673.72,863643.48,1.303271057738641
2025Q4,Enterprise,0,703316.40,703316.40,1.0
2025Q4,Enterprise,1,703316.40,703316.40,1.0
2025Q4,Enterprise,2,703316.40,999207.60,1.4207085175320808
2025Q4,Mid-Market,0,768936.36,768936.36,1.0
2025Q4,Mid-Market,1,768936.36,921555.00,1.1984801967226522
2025Q4,Mid-Market,2,768936.36,974705.52,1.2676023279741904
2025Q4,SMB,0,534583.20,534583.20,1.0
2025Q4,SMB,1,534583.20,508142.76,0.950540084312414
2025Q4,SMB,2,534583.20,492423.36,0.9211351198466394
2025Q4,Total,0,2006835.96,2006835.96,1.0
2025Q4,Total,1,2006835.96,2133014.16,1.0628741972512792
2025Q4,Total,2,2006835.96,2466336.48,1.2289676531409175
2026Q1,Enterprise,0,287127.72,287127.72,1.0
2026Q1,Enterprise,1,287127.72,287127.72,1.0
2026Q1,Mid-Market,0,534678.12,534678.12,1.0
2026Q1,Mid-Market,1,534678.12,591170.40,1.105656614487984
2026Q1,SMB,0,234580.44,234580.44,1.0
2026Q1,SMB,1,234580.44,237177.00,1.0110689535751574
2026Q1,Total,0,1056386.28,1056386.28,1.0
2026Q1,Total,1,1056386.28,1115475.12,1.055934880184169
2026Q2,Enterprise,0,431755.68,431755.68,1.0
2026Q2,Mid-Market,0,282771.36,282771.36,1.0
2026Q2,SMB,0,232895.04,232895.04,1.0
2026Q2,Total,0,947422.08,947422.08,1.0
