month_end_date,segment,cohort_customers,cohort_beginning_arr,cohort_current_arr,cohort_grr_arr,retained_logos,nrr,grr,logo_retention
2025-12-31,Total,821,24495197.40,24556700.64,22040867.76,674,1.0025108285104085,0.8998036390594674,0.8209500609013398
2026-01-31,Enterprise,50,10416275.28,10433218.68,10030549.68,49,1.001626627517471,0.9629689510279533,0.98
2026-01-31,Mid-Market,240,10294069.68,11223958.92,9432325.80,218,1.0903325185185653,0.9162873472991686,0.9083333333333333
2026-01-31,SMB,527,3972433.68,3299978.88,2984757.12,404,0.8307196912095458,0.7513673884670115,0.7666034155597723
2026-01-31,Total,817,24682778.64,24957156.48,22447632.60,671,1.0111161649991607,0.9094451207216272,0.8212974296205631
2026-02-28,Enterprise,51,10580143.44,10616246.04,10256623.44,50,1.0034122977826092,0.9694219646610008,0.9803921568627451
2026-02-28,Mid-Market,241,10615613.28,11367854.04,9745948.32,222,1.07086173357664,0.9180768046968645,0.921161825726141
2026-02-28,SMB,527,4036578.72,3383149.68,3047633.40,405,0.8381230528807821,0.7550040792961421,0.7685009487666035
2026-02-28,Total,819,25232335.44,25367249.76,23050205.16,677,1.005346881992783,0.9135184975172476,0.8266178266178266
2026-03-31,Enterprise,52,10649007.60,10726612.92,10325487.60,51,1.0072875635847982,0.9696197042811764,0.9807692307692307
2026-03-31,Mid-Market,245,11018997.96,11514558.84,10076503.08,224,1.0449733162488033,0.9144663713142206,0.9142857142857143
2026-03-31,SMB,539,4146323.88,3461114.52,3113887.44,413,0.8347429241345228,0.7509995673565182,0.7662337662337663
2026-03-31,Total,836,25814329.44,25702286.28,23515878.12,688,0.9956596525096489,0.9109621915478274,0.8229665071770335
2026-04-30,Enterprise,52,10845873.24,10769299.44,10398744.48,51,0.9929398215979887,0.9587742959828286,0.9807692307692307
2026-04-30,Mid-Market,248,11405864.52,11862563.04,10313778.96,223,1.0400406754962928,0.9042522767051069,0.8991935483870968
2026-04-30,SMB,534,4177912.32,3474110.16,3154062.36,410,0.8315421420811436,0.7549374229088657,0.7677902621722846
2026-04-30,Total,834,26429650.08,26105972.64,23866585.80,684,0.9877532453505719,0.9030231474029414,0.8201438848920863
2026-05-31,Enterprise,52,10868942.64,11207174.64,10557360.48,51,1.0311191264139379,0.9713327993053057,0.9807692307692307
2026-05-31,Mid-Market,248,11559016.08,12457271.64,10492412.16,226,1.0777103824220997,0.9077253710334834,0.9112903225806451
2026-05-31,SMB,529,4163171.28,3513061.44,3185671.68,414,0.843842639114286,0.7652031265934368,0.782608695652174
2026-05-31,Total,829,26591130.00,27177507.72,24235444.32,691,1.0220516284941632,0.9114108471509108,0.8335343787696019
2026-06-30,Enterprise,53,10936915.92,10974013.08,10226788.20,51,1.0033919214768912,0.9350705696931059,0.9622641509433962
2026-06-30,Mid-Market,251,11906832.48,13014482.04,10783133.88,228,1.0930263831174687,0.9056257319578919,0.9083665338645418
2026-06-30,SMB,534,4294022.52,3635348.04,3294035.04,420,0.8466066544988684,0.7671210443488778,0.7865168539325843
2026-06-30,Total,838,27137770.92,27623843.16,24303957.12,699,1.0179112809756152,0.8955767661111939,0.834128878281623
