driver_category,driver_name,scenario,segment,value,unit,source_type,basis
new_logo,win_rate,Bull,Enterprise,0.14375,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Base,Mid-Market,0.178743961352657,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Base,SMB,0.26142595978062155,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Bear,Enterprise,0.10625,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Bear,Mid-Market,0.15193236714975844,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Bear,SMB,0.22221206581352831,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Base,Enterprise,0.125,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Bull,Mid-Market,0.20555555555555552,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
new_logo,win_rate,Bull,SMB,0.30063985374771474,rate,historical,"Trailing-12-month New Logo win rate (int_crm_opportunity_normalized), x win_rate multiplier, capped at 100%"
opex,payroll_cost_per_fte_monthly,All,Product & Design,9933.702480620155,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
opex,payroll_cost_per_fte_monthly,All,Engineering,10542.828636363634,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
opex,payroll_cost_per_fte_monthly,All,G&A,14033.453719008265,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
opex,payroll_cost_per_fte_monthly,All,Marketing,12403.298981481481,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
opex,payroll_cost_per_fte_monthly,All,Customer Success,11142.961241830066,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
opex,payroll_cost_per_fte_monthly,All,Professional Services,7841.61652173913,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
opex,payroll_cost_per_fte_monthly,All,Sales,11648.295305343512,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
opex,payroll_cost_per_fte_monthly,All,Support & Cloud Ops,10132.336000000001,usd_per_month,historical,"H1 2026 actual GL payroll (Salaries + Bonus + Payroll Taxes & Benefits) / average H1 2026 actual headcount, by function (fact_gl_actuals, dim_employee)"
pipeline,creation_monthly_acv,Base,Enterprise,684435.0925,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Base,Mid-Market,797029.7875,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Base,SMB,472074.3958333333,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Bear,Enterprise,547548.074,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Bear,Mid-Market,637623.8300000001,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Bear,SMB,377659.51666666666,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Bull,Enterprise,855543.8656250001,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Bull,Mid-Market,996287.234375,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_monthly_acv,Bull,SMB,590092.9947916666,usd_per_month,historical,"Trailing-12-month average monthly New Logo pipeline creation ACV (int_crm_opportunity_normalized), x pipeline_creation multiplier"
pipeline,creation_to_close_lag_months,All,Mid-Market,2.0,months,historical,"Whole-month lag, rounded from the GTM validation report's median sales-cycle-days by segment"
pipeline,creation_to_close_lag_months,All,Enterprise,4.0,months,historical,"Whole-month lag, rounded from the GTM validation report's median sales-cycle-days by segment"
pipeline,creation_to_close_lag_months,All,SMB,1.0,months,historical,"Whole-month lag, rounded from the GTM validation report's median sales-cycle-days by segment"
reactivation,monthly_arr,All,Enterprise,0.0,usd_per_month,historical,Trailing-12-month average monthly Reactivation ARR (fct_arr_waterfall); scenario-invariant by design
reactivation,monthly_arr,All,Mid-Market,2536.72,usd_per_month,historical,Trailing-12-month average monthly Reactivation ARR (fct_arr_waterfall); scenario-invariant by design
reactivation,monthly_arr,All,SMB,5998.18,usd_per_month,historical,Trailing-12-month average monthly Reactivation ARR (fct_arr_waterfall); scenario-invariant by design
retention,baseline_nonatr_churn_monthly,Base,Enterprise,0.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Base,Mid-Market,0.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Base,SMB,70975.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Bear,Enterprise,0.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Bear,Mid-Market,0.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Bear,SMB,85170.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Bull,Enterprise,0.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Bull,Mid-Market,0.0,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_churn_monthly,Bull,SMB,60328.75,usd_per_month,historical,"Trailing-12-month actual churn ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Bull,Enterprise,0.0,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Base,Mid-Market,0.0,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Base,SMB,6636.400000000001,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Bear,Enterprise,0.0,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Bear,Mid-Market,0.0,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Bear,SMB,7963.68,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Base,Enterprise,0.0,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Bull,Mid-Market,0.0,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,baseline_nonatr_contraction_monthly,Bull,SMB,5640.9400000000005,usd_per_month,historical,"Trailing-12-month actual contraction ARR run rate net of the ATR-driven portion realised in the same window (fct_arr_waterfall, fct_renewal_outcomes), x retention_severity multiplier"
retention,churn_share_of_atr,Bear,SMB,0.3006507114679311,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Base,Mid-Market,0.09353897732344338,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Base,SMB,0.25054225955660925,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Bear,Enterprise,0.10750209795239829,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Bear,Mid-Market,0.11224677278813205,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Base,Enterprise,0.08958508162699858,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Bull,Enterprise,0.07614731938294879,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Bull,Mid-Market,0.07950813072492686,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,churn_share_of_atr,Bull,SMB,0.21296092062311786,rate,historical,"All-time realised Churned + Early Termination share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Base,Enterprise,0.0726509047418878,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Base,Mid-Market,0.09417482071023679,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Base,SMB,0.0659250529330168,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Bear,Enterprise,0.08718108569026536,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Bear,Mid-Market,0.11300978485228415,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Bear,SMB,0.07911006351962016,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Bull,Enterprise,0.06175326903060463,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Bull,Mid-Market,0.08004859760370127,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
retention,contraction_share_of_atr,Bull,SMB,0.05603629499306428,rate,historical,"All-time realised Renewed-with-Contraction ARR loss share of resolved-renewal ATR (fct_renewal_outcomes), x retention_severity multiplier, capped at 100%"
