path,segment,month_end_date,theoretical_capacity,blended_capacity,new_logo_capacity,pipeline_supported_bookings,constrained_new_logo_arr,binding_constraint,incremental_hires
Base,Mid-Market,2026-12-31,668468.9739108199,515561.8624823397,213843.86265181508,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-01-31,656034.3623329758,505971.5722003363,209866.01854212588,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-02-28,643907.8792010552,496618.92836366396,205986.74501632428,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-03-31,632081.8891226217,487498.04211689526,202203.5995050838,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-04-30,620548.9459095092,478603.1705298579,198514.19996570438,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-05-31,609301.7878893584,469928.7129816221,194916.2233822687,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-06-30,598333.3333333334,461469.2076340911,191407.40430296437,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-07-31,587636.6759971386,453219.327992976,187985.53341365076,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-08-31,577205.0807725298,445173.8795539903,184648.4561467735,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-09-30,567031.9794465794,437327.7965321502,181394.07132474918,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-10-31,557110.9665660268,429676.1386721231,178220.32983696726,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-11-30,547435.7954041103,422214.08813761536,175125.23334957563,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,Mid-Market,2027-12-31,538000.3740273401,414936.94647784054,172106.83304723754,142464.2615338164,142464.2615338164,Pipeline,0.0
Base,SMB,2026-07-31,284439.1954935621,133836.22635950238,116171.04302723797,135724.89460694697,116171.04302723797,Capacity,0.0
Base,SMB,2026-08-31,277390.8203417994,130519.77789802672,113292.33606279618,3638.9369469835465,3638.9369469835465,Pipeline,0.0
Base,SMB,2026-09-30,285100.4365630041,134147.35791538545,116441.10800402933,0.0,0.0,Pipeline,0.0
Base,SMB,2026-10-31,292980.3828148831,137855.08275421153,119659.44636801924,0.0,0.0,Pipeline,0.0
Base,SMB,2026-11-30,301026.4383361107,141640.96643375006,122945.62730568554,123412.50201858621,122945.62730568554,Capacity,0.0
Base,SMB,2026-12-31,309234.4869554099,145503.072185653,126297.96968475774,123412.50201858621,123412.50201858621,Pipeline,0.0
Base,SMB,2027-01-31,303017.181166488,142577.66402076022,123758.68919964368,123412.50201858621,123412.50201858621,Pipeline,0.0
Base,SMB,2027-02-28,296953.93960052764,139724.74718106055,121282.33183398077,123412.50201858621,121282.33183398077,Capacity,0.0
Base,SMB,2027-03-31,291040.94456131087,136942.52533868037,118867.338359088,123412.50201858621,118867.338359088,Capacity,0.0
Base,SMB,2027-04-30,285274.47295475466,134229.2466785733,116512.18818381707,123412.50201858621,116512.18818381707,Capacity,0.0
Base,SMB,2027-05-31,279650.89394467924,131583.20279549662,114215.3983971179,123412.50201858621,114215.3983971179,Capacity,0.0
Base,SMB,2027-06-30,274166.6666666667,129002.72761832063,111975.52283432976,123412.50201858621,111975.52283432976,Capacity,0.0
Base,SMB,2027-07-31,268818.3379985693,126486.1963609936,109791.15116660924,123412.50201858621,109791.15116660924,Capacity,0.0
Base,SMB,2027-08-31,263602.5403862649,124032.02449950161,107660.90801292231,123412.50201858621,107660.90801292231,Capacity,0.0
Base,SMB,2027-09-30,258515.98972328973,121638.66677417915,105583.45207404104,123412.50201858621,105583.45207404104,Capacity,0.0
Base,SMB,2027-10-31,253555.48328301348,119304.61621674249,103557.47528799972,123412.50201858621,103557.47528799972,Capacity,0.0
Base,SMB,2027-11-30,248717.89770205526,117028.40320143306,101581.70200647894,123412.50201858621,101581.70200647894,Capacity,0.0
Base,SMB,2027-12-31,244000.18701367007,114808.59451967334,99654.88819159858,123412.50201858621,99654.88819159858,Capacity,0.0
Base_FullClose,Enterprise,2026-07-31,409592.44151072943,234344.09040581645,134458.12465368034,81568.06,81568.06,Pipeline,0.0
Base_FullClose,Enterprise,2026-08-31,427181.86332637107,244407.696660237,140232.25628157504,46131.0475,46131.0475,Pipeline,0.0
Base_FullClose,Enterprise,2026-09-30,485327.36516747327,277675.04575946566,159319.85249249518,0.0,0.0,Pipeline,0.0
Base_FullClose,Enterprise,2026-10-31,544601.9458371461,311588.3856638516,178778.09475663793,0.0,0.0,Pipeline,0.0
Base_FullClose,Enterprise,2026-11-30,621642.301337777,355666.2303812648,204068.36057565777,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2026-12-31,698941.8457953226,399892.3673868056,229443.71112170318,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-01-31,741494.1565330474,424238.2330422307,243412.48427672556,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-02-28,731792.9700275109,418687.79925221263,240227.84703186108,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-03-31,722332.1779647641,413274.9046629337,237122.12478317053,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-04-30,713105.8233942741,407996.14106659335,234093.36202484826,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-05-31,704108.0969781535,402848.1847104433,231139.65170832924,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-06-30,695333.3333333334,397827.79420400003,228259.1340415234,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-07-31,686776.0074643776,392931.80847811577,225449.9953178048,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-08-31,678430.7312846906,388157.14479462383,222710.46677401854,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-09-30,670292.2502239302,383500.7968053046,220038.82347678582,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-10-31,662355.4399194883,378959.83265895024,217433.3832364065,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-11-30,654615.3029899551,374531.393155336,214892.50554767484,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Enterprise,2027-12-31,647066.9658885387,370212.68994493614,212414.59055694216,85554.3865625,85554.3865625,Pipeline,0.0
Base_FullClose,Mid-Market,2026-07-31,568878.3909871241,438751.85570303863,181984.74013853865,198490.62898550724,181984.74013853865,Capacity,2.0
Base_FullClose,Mid-Market,2026-08-31,554781.6406835988,427879.6280827878,177475.17626438022,29156.927681159417,29156.927681159417,Pipeline,2.0
Base_FullClose,Mid-Market,2026-09-30,582700.8731260081,449412.55188159103,186406.56536510334,10415.986183574878,10415.986183574878,Pipeline,2.0
Base_FullClose,Mid-Market,2026-10-31,610960.7656297662,471208.2123855473,195446.93194453252,11305.866570048309,11305.866570048309,Pipeline,2.0
Base_FullClose,Mid-Market,2026-11-30,681219.5433388877,525395.8376982516,217922.781979299,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2026-12-31,751802.3072441532,579833.3398687034,240502.27550738116,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-01-31,781034.3623329758,602378.7882798818,249853.637825475,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-02-28,810574.5458677218,625161.8831363913,259303.57072745642,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-03-31,798748.5557892884,616040.9968896225,255520.42521621595,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-04-30,787215.6125761758,607146.1253025852,251831.0256768365,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-05-31,775968.454556025,598471.6677543494,248233.04909340083,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-06-30,765000.0,590012.1624068184,244724.23001409648,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-07-31,754303.3426638052,581762.2827657033,241302.3591247829,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-08-31,743871.7474391964,573716.8343267177,237965.28185790562,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-09-30,733698.646113246,565870.7513048775,234710.8970358813,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-10-31,723777.6332326934,558219.0934448504,231537.15554809937,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-11-30,714102.462070777,550757.0429103427,228442.05906070775,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,Mid-Market,2027-12-31,704667.0406940067,543479.9012505679,225423.65875836968,142464.2615338164,142464.2615338164,Pipeline,2.0
Base_FullClose,SMB,2026-07-31,284439.1954935621,133836.22635950238,116171.04302723797,135724.89460694697,116171.04302723797,Capacity,2.0
Base_FullClose,SMB,2026-08-31,277390.8203417994,130519.77789802672,113292.33606279618,3638.9369469835465,3638.9369469835465,Pipeline,2.0
Base_FullClose,SMB,2026-09-30,285100.4365630041,134147.35791538545,116441.10800402933,0.0,0.0,Pipeline,2.0
Base_FullClose,SMB,2026-10-31,292980.3828148831,137855.08275421153,119659.44636801924,0.0,0.0,Pipeline,2.0
Base_FullClose,SMB,2026-11-30,330193.10500277736,155364.66086123098,134857.91696891212,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2026-12-31,367567.82028874324,172950.46104061484,150122.54901121088,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-01-31,390517.181166488,183748.74730320298,159495.55818932338,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-02-28,413620.6062671943,194619.52489098423,168931.49048688705,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-03-31,407707.61122797756,191837.30304860405,166516.49701199427,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-04-30,401941.13962142135,189124.024388497,164161.34683672333,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-05-31,396317.5606113459,186477.9805054203,161864.55705002416,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-06-30,390833.3333333334,183897.5053282443,159624.68148723606,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-07-31,385485.004665236,181380.9740709173,157440.3098195155,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-08-31,380269.2070529316,178926.80220942528,155310.06666582858,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-09-30,375182.6563899564,176533.44448410283,153232.6107269473,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-10-31,370222.14994968014,174199.39392666618,151206.633940906,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-11-30,365384.5643687219,171923.18091135673,149230.86065938522,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_FullClose,SMB,2027-12-31,360666.85368033673,169703.372229597,147304.04684450486,123412.50201858621,123412.50201858621,Pipeline,2.0
Base_Targeted,Enterprise,2026-07-31,409592.44151072943,234344.09040581645,134458.12465368034,81568.06,81568.06,Pipeline,0.0
Base_Targeted,Enterprise,2026-08-31,427181.86332637107,244407.696660237,140232.25628157504,46131.0475,46131.0475,Pipeline,0.0
Base_Targeted,Enterprise,2026-09-30,485327.36516747327,277675.04575946566,159319.85249249518,0.0,0.0,Pipeline,0.0
Base_Targeted,Enterprise,2026-10-31,544601.9458371461,311588.3856638516,178778.09475663793,0.0,0.0,Pipeline,0.0
Base_Targeted,Enterprise,2026-11-30,621642.301337777,355666.2303812648,204068.36057565777,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2026-12-31,698941.8457953226,399892.3673868056,229443.71112170318,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-01-31,741494.1565330474,424238.2330422307,243412.48427672556,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-02-28,731792.9700275109,418687.79925221263,240227.84703186108,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-03-31,722332.1779647641,413274.9046629337,237122.12478317053,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-04-30,713105.8233942741,407996.14106659335,234093.36202484826,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-05-31,704108.0969781535,402848.1847104433,231139.65170832924,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-06-30,695333.3333333334,397827.79420400003,228259.1340415234,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-07-31,686776.0074643776,392931.80847811577,225449.9953178048,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-08-31,678430.7312846906,388157.14479462383,222710.46677401854,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-09-30,670292.2502239302,383500.7968053046,220038.82347678582,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-10-31,662355.4399194883,378959.83265895024,217433.3832364065,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-11-30,654615.3029899551,374531.393155336,214892.50554767484,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Enterprise,2027-12-31,647066.9658885387,370212.68994493614,212414.59055694216,85554.3865625,85554.3865625,Pipeline,0.0
Base_Targeted,Mid-Market,2026-07-31,568878.3909871241,438751.85570303863,181984.74013853865,198490.62898550724,181984.74013853865,Capacity,0.0
Base_Targeted,Mid-Market,2026-08-31,554781.6406835988,427879.6280827878,177475.17626438022,29156.927681159417,29156.927681159417,Pipeline,0.0
Base_Targeted,Mid-Market,2026-09-30,582700.8731260081,449412.55188159103,186406.56536510334,10415.986183574878,10415.986183574878,Pipeline,0.0
Base_Targeted,Mid-Market,2026-10-31,610960.7656297662,471208.2123855473,195446.93194453252,11305.866570048309,11305.866570048309,Pipeline,0.0
Base_Targeted,Mid-Market,2026-11-30,639552.8766722211,493260.0990050698,204593.57555151597,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2026-12-31,668468.9739108199,515561.8624823397,213843.86265181508,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-01-31,656034.3623329758,505971.5722003363,209866.01854212588,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-02-28,643907.8792010552,496618.92836366396,205986.74501632428,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-03-31,632081.8891226217,487498.04211689526,202203.5995050838,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-04-30,620548.9459095092,478603.1705298579,198514.19996570438,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-05-31,609301.7878893584,469928.7129816221,194916.2233822687,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-06-30,598333.3333333334,461469.2076340911,191407.40430296437,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-07-31,587636.6759971386,453219.327992976,187985.53341365076,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-08-31,577205.0807725298,445173.8795539903,184648.4561467735,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-09-30,567031.9794465794,437327.7965321502,181394.07132474918,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-10-31,557110.9665660268,429676.1386721231,178220.32983696726,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-11-30,547435.7954041103,422214.08813761536,175125.23334957563,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,Mid-Market,2027-12-31,538000.3740273401,414936.94647784054,172106.83304723754,142464.2615338164,142464.2615338164,Pipeline,0.0
Base_Targeted,SMB,2026-07-31,284439.1954935621,133836.22635950238,116171.04302723797,135724.89460694697,116171.04302723797,Capacity,0.0
Base_Targeted,SMB,2026-08-31,277390.8203417994,130519.77789802672,113292.33606279618,3638.9369469835465,3638.9369469835465,Pipeline,0.0
Base_Targeted,SMB,2026-09-30,285100.4365630041,134147.35791538545,116441.10800402933,0.0,0.0,Pipeline,0.0
Base_Targeted,SMB,2026-10-31,292980.3828148831,137855.08275421153,119659.44636801924,0.0,0.0,Pipeline,0.0
Base_Targeted,SMB,2026-11-30,301026.4383361107,141640.96643375006,122945.62730568554,123412.50201858621,122945.62730568554,Capacity,0.0
Base_Targeted,SMB,2026-12-31,309234.4869554099,145503.072185653,126297.96968475774,123412.50201858621,123412.50201858621,Pipeline,0.0
Base_Targeted,SMB,2027-01-31,303017.181166488,142577.66402076022,123758.68919964368,123412.50201858621,123412.50201858621,Pipeline,0.0
Base_Targeted,SMB,2027-02-28,296953.93960052764,139724.74718106055,121282.33183398077,123412.50201858621,121282.33183398077,Capacity,0.0
Base_Targeted,SMB,2027-03-31,291040.94456131087,136942.52533868037,118867.338359088,123412.50201858621,118867.338359088,Capacity,0.0
Base_Targeted,SMB,2027-04-30,285274.47295475466,134229.2466785733,116512.18818381707,123412.50201858621,116512.18818381707,Capacity,0.0
Base_Targeted,SMB,2027-05-31,279650.89394467924,131583.20279549662,114215.3983971179,123412.50201858621,114215.3983971179,Capacity,0.0
Base_Targeted,SMB,2027-06-30,274166.6666666667,129002.72761832063,111975.52283432976,123412.50201858621,111975.52283432976,Capacity,0.0
Base_Targeted,SMB,2027-07-31,268818.3379985693,126486.1963609936,109791.15116660924,123412.50201858621,109791.15116660924,Capacity,0.0
Base_Targeted,SMB,2027-08-31,263602.5403862649,124032.02449950161,107660.90801292231,123412.50201858621,107660.90801292231,Capacity,0.0
Base_Targeted,SMB,2027-09-30,258515.98972328973,121638.66677417915,105583.45207404104,123412.50201858621,105583.45207404104,Capacity,0.0
Base_Targeted,SMB,2027-10-31,253555.48328301348,119304.61621674249,103557.47528799972,123412.50201858621,103557.47528799972,Capacity,0.0
Base_Targeted,SMB,2027-11-30,248717.89770205526,117028.40320143306,101581.70200647894,123412.50201858621,101581.70200647894,Capacity,0.0
Base_Targeted,SMB,2027-12-31,244000.18701367007,114808.59451967334,99654.88819159858,123412.50201858621,99654.88819159858,Capacity,0.0
Bear,Enterprise,2026-07-31,409592.44151072943,199192.47684494397,114289.40595562829,69332.851,69332.851,Pipeline,0.0
Bear,Enterprise,2026-08-31,427181.86332637107,207746.54216120145,119197.41783933877,39211.390375,39211.390375,Pipeline,0.0
Bear,Enterprise,2026-09-30,485327.36516747327,236023.78889554582,135421.8746186209,0.0,0.0,Pipeline,0.0
Bear,Enterprise,2026-10-31,544601.9458371461,264850.1278142738,151961.38054314224,0.0,0.0,Pipeline,0.0
Bear,Enterprise,2026-11-30,621642.301337777,302316.29582407506,173458.1064893091,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2026-12-31,698941.8457953226,339908.51227878476,195027.15445344773,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-01-31,741494.1565330474,360602.4980858961,206900.61163521672,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-02-28,731792.9700275109,355884.62936438073,204193.6699770819,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-03-31,722332.1779647641,351283.66896349366,201553.80606569495,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-04-30,713105.8233942741,346796.7199066043,198979.35772112102,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-05-31,704108.0969781535,342420.9570038768,196468.70395207984,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-06-30,695333.3333333334,338153.62507340004,194020.26393529488,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-07-31,686776.0074643776,333992.0372063984,191632.49602013407,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-08-31,678430.7312846906,329933.57307543023,189303.89675791576,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-09-30,670292.2502239302,325975.6772845089,187032.99995526794,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-10-31,662355.4399194883,322115.85776010767,184818.3757509455,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-11-30,654615.3029899551,318351.68418203556,182658.62971552362,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Enterprise,2027-12-31,647066.9658885387,314680.78645319573,180552.40197340085,58176.9828625,58176.9828625,Pipeline,0.0
Bear,Mid-Market,2026-07-31,568878.3909871241,372939.07734758285,154687.02911775783,168717.03463768115,154687.02911775783,Capacity,0.0
Bear,Mid-Market,2026-08-31,554781.6406835988,363697.6838703696,150853.8998247232,24783.388528985506,24783.388528985506,Pipeline,0.0
Bear,Mid-Market,2026-09-30,582700.8731260081,382000.6690993524,158445.58056033784,8853.588256038647,8853.588256038647,Pipeline,0.0
Bear,Mid-Market,2026-10-31,610960.7656297662,400526.9805277152,166129.89215285264,9609.986584541062,9609.986584541062,Pipeline,0.0
Bear,Mid-Market,2026-11-30,639552.8766722211,419271.08415430936,173904.5392187886,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2026-12-31,668468.9739108199,438227.5831099888,181767.28325404282,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-01-31,656034.3623329758,430075.83637028583,178386.11576080698,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-02-28,643907.8792010552,422126.0891091144,175088.73326387565,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-03-31,632081.8891226217,414373.33579936094,171873.05957932124,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-04-30,620548.9459095092,406812.6949503792,168737.0699708487,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-05-31,609301.7878893584,399439.40603437874,165678.7898749284,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-06-30,598333.3333333334,392248.8264889774,162696.2936575197,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-07-31,587636.6759971386,385236.4287940296,159787.70340160312,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-08-31,577205.0807725298,378397.79762089177,156951.18772475747,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-09-30,567031.9794465794,371728.6270523276,154184.96062603677,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-10-31,557110.9665660268,365224.7178713046,151487.28036142216,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-11-30,547435.7954041103,358881.97491697303,148856.4483471393,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,Mid-Market,2027-12-31,538000.3740273401,352696.4045061644,146290.8080901519,96875.69784299517,96875.69784299517,Pipeline,0.0
Bear,SMB,2026-07-31,284439.1954935621,113760.79240557703,98745.38657315227,115366.16041590493,98745.38657315227,Capacity,0.0
Bear,SMB,2026-08-31,277390.8203417994,110941.81121332271,96298.48565337676,3093.096404936014,3093.096404936014,Pipeline,0.0
Bear,SMB,2026-09-30,285100.4365630041,114025.25422807763,98974.94180342492,0.0,0.0,Pipeline,0.0
Bear,SMB,2026-10-31,292980.3828148831,117176.8203410798,101710.52941281635,0.0,0.0,Pipeline,0.0
Bear,SMB,2026-11-30,301026.4383361107,120394.82146868754,104503.7832098327,83920.50137263862,83920.50137263862,Pipeline,0.0
Bear,SMB,2026-12-31,309234.4869554099,123677.61135780504,107353.27423204407,83920.50137263862,83920.50137263862,Pipeline,0.0
Bear,SMB,2027-01-31,303017.181166488,121191.01441764618,105194.88581969711,83920.50137263862,83920.50137263862,Pipeline,0.0
Bear,SMB,2027-02-28,296953.93960052764,118766.03510390146,103089.98205888364,83920.50137263862,83920.50137263862,Pipeline,0.0
