acquisition_quarter,segment,quarters_since_acquisition,starting_logos,surviving_logos,logo_retention_pct
2025Q1,Total,1,63,54,0.8571428571428571
2025Q1,Total,2,63,50,0.7936507936507936
2025Q1,Total,3,63,48,0.7619047619047619
2025Q1,Total,4,63,44,0.6984126984126984
2025Q1,Total,5,63,41,0.6507936507936508
2025Q2,Enterprise,0,1,1,1.0
2025Q2,Enterprise,1,1,1,1.0
2025Q2,Enterprise,2,1,1,1.0
2025Q2,Enterprise,3,1,1,1.0
2025Q2,Enterprise,4,1,1,1.0
2025Q2,Mid-Market,0,10,10,1.0
2025Q2,Mid-Market,1,10,10,1.0
2025Q2,Mid-Market,2,10,10,1.0
2025Q2,Mid-Market,3,10,10,1.0
2025Q2,Mid-Market,4,10,10,1.0
2025Q2,SMB,0,41,41,1.0
2025Q2,SMB,1,41,36,0.8780487804878049
2025Q2,SMB,2,41,31,0.7560975609756098
2025Q2,SMB,3,41,30,0.7317073170731707
2025Q2,SMB,4,41,26,0.6341463414634146
2025Q2,Total,0,52,52,1.0
2025Q2,Total,1,52,47,0.9038461538461539
2025Q2,Total,2,52,42,0.8076923076923077
2025Q2,Total,3,52,41,0.7884615384615384
2025Q2,Total,4,52,37,0.7115384615384616
2025Q3,Mid-Market,0,9,9,1.0
2025Q3,Mid-Market,1,9,9,1.0
2025Q3,Mid-Market,2,9,9,1.0
2025Q3,Mid-Market,3,9,9,1.0
2025Q3,SMB,0,33,32,0.9696969696969697
2025Q3,SMB,1,33,29,0.8787878787878788
2025Q3,SMB,2,33,27,0.8181818181818182
2025Q3,SMB,3,33,25,0.7575757575757576
2025Q3,Total,0,42,41,0.9761904761904762
2025Q3,Total,1,42,38,0.9047619047619048
2025Q3,Total,2,42,36,0.8571428571428571
2025Q3,Total,3,42,34,0.8095238095238095
2025Q4,Enterprise,0,3,3,1.0
2025Q4,Enterprise,1,3,3,1.0
2025Q4,Enterprise,2,3,3,1.0
2025Q4,Mid-Market,0,15,15,1.0
2025Q4,Mid-Market,1,15,15,1.0
2025Q4,Mid-Market,2,15,15,1.0
2025Q4,SMB,0,57,56,0.9824561403508771
2025Q4,SMB,1,57,51,0.8947368421052632
2025Q4,SMB,2,57,49,0.8596491228070176
2025Q4,Total,0,75,74,0.9866666666666667
2025Q4,Total,1,75,69,0.92
2025Q4,Total,2,75,67,0.8933333333333333
2026Q1,Enterprise,0,2,2,1.0
2026Q1,Enterprise,1,2,2,1.0
2026Q1,Mid-Market,0,8,8,1.0
2026Q1,Mid-Market,1,8,8,1.0
2026Q1,SMB,0,30,28,0.9333333333333333
2026Q1,SMB,1,30,27,0.9
2026Q1,Total,0,40,38,0.95
2026Q1,Total,1,40,37,0.925
2026Q2,Enterprise,0,1,1,1.0
2026Q2,Mid-Market,0,7,7,1.0
2026Q2,SMB,0,26,24,0.9230769230769231
2026Q2,Total,0,34,32,0.9411764705882353
