month_end_date,fiscal_year,fiscal_quarter,segment,beginning_deferred_revenue,billings,revenue_recognised,unbilled_receivable_movement,ending_deferred_revenue_calculated,ending_deferred_revenue,deferred_revenue_current,deferred_revenue_long_term,max_months_to_period_end,beginning_unbilled_receivable,ending_unbilled_receivable,rollforward_residual,beginning_net_contract_liability,ending_net_contract_liability,net_rollforward_residual
2024-07-31,2024,2024Q3,Mid-Market,2823261.8199999994,1074501.27,770012.5299999993,1932.7799999999625,3129683.34,3129683.3399999994,3129683.3399999994,0.0,11,31120.66000000007,33053.44000000003,-4.656612873077393e-10,2792141.159999999,3096629.8999999994,-4.656612873077393e-10
2024-07-31,2024,2024Q3,SMB,496706.7700000002,287166.20999999996,301624.03,440.2399999999907,482689.1900000002,482689.18999999965,482689.18999999965,0.0,11,189668.58999999997,190108.82999999996,-5.238689482212067e-10,307038.1800000002,292580.3599999997,-4.0745362639427185e-10
2024-07-31,2024,2024Q3,Enterprise,3700570.2999999984,216753.03,762188.4700000002,-2.1827872842550278e-11,3155134.859999998,3155134.8599999994,3155134.8599999994,0.0,10,1.0913936421275139e-10,8.731149137020111e-11,1.3969838619232178e-09,3700570.2999999984,3155134.8599999994,1.3969838619232178e-09
2024-08-31,2024,2024Q3,Enterprise,3155134.8599999994,539088.93,740217.6100000002,-3.637978807091713e-11,2954006.1799999992,2954006.18,2954006.18,0.0,11,8.731149137020111e-11,5.093170329928398e-11,9.313225746154785e-10,3155134.8599999994,2954006.18,9.313225746154785e-10
2024-08-31,2024,2024Q3,Total,6767507.389999999,1433076.42,1832367.5099999998,1618.9000000000524,6369835.199999999,6369835.199999999,6369835.199999999,0.0,11,223162.27000000008,224781.17000000013,0.0,6544345.119999998,6145054.029999999,9.313225746154785e-10
2024-08-31,2024,2024Q3,SMB,482689.18999999965,267678.79999999993,302889.10000000015,1295.4300000000512,448774.3199999994,448774.31999999983,448774.31999999983,0.0,11,190108.82999999996,191404.26,4.0745362639427185e-10,292580.3599999997,257370.05999999982,2.9103830456733704e-10
2024-08-31,2024,2024Q3,Mid-Market,3129683.3399999994,626308.6899999998,789260.7999999993,323.47000000003027,2967054.7,2967054.6999999983,2967054.6999999983,0.0,11,33053.44000000003,33376.91000000006,-1.862645149230957e-09,3096629.8999999994,2933677.789999998,-1.862645149230957e-09
2024-09-30,2024,2024Q3,SMB,448774.31999999983,253144.41000000003,306743.9200000003,5311.6500000000815,400486.4599999997,400486.45999999996,400486.45999999996,0.0,11,191404.26,196715.9100000001,2.9103830456733704e-10,257370.05999999982,203770.54999999987,2.9103830456733704e-10
2024-09-30,2024,2024Q3,Mid-Market,2967054.6999999983,621752.5799999997,803678.1899999994,1.4551915228366852e-11,2785129.0899999985,2785129.0899999994,2785129.0899999994,0.0,11,33376.91000000006,33376.910000000076,9.313225746154785e-10,2933677.789999998,2751752.1799999992,9.313225746154785e-10
2024-09-30,2024,2024Q3,Enterprise,2954006.18,646501.25,756550.6000000002,7.275957614183426e-11,2843956.83,2843956.8299999987,2843956.8299999987,0.0,11,5.093170329928398e-11,1.2369127944111824e-10,-1.3969838619232178e-09,2954006.18,2843956.8299999987,-1.3969838619232178e-09
2024-09-30,2024,2024Q3,Total,6369835.199999999,1521398.2399999998,1866972.71,5311.650000000169,6029572.38,6029572.379999998,6029572.379999998,0.0,11,224781.17000000013,230092.8200000003,-1.862645149230957e-09,6145054.029999999,5799479.559999998,-1.862645149230957e-09
2024-10-31,2024,2024Q4,SMB,400486.45999999996,302533.1800000001,312249.4600000001,2733.1299999999464,393503.31,393503.30999999994,393503.30999999994,0.0,11,196715.9100000001,199449.04000000004,-5.820766091346741e-11,203770.54999999987,194054.2699999999,0.0
2024-10-31,2024,2024Q4,Enterprise,2843956.8299999987,1190400.63,769425.6600000001,-1.1641532182693481e-10,3264931.7999999984,3264931.7999999993,3264931.7999999993,0.0,11,1.2369127944111824e-10,7.275957614183426e-12,9.313225746154785e-10,2843956.8299999987,3264931.7999999993,9.313225746154785e-10
2024-10-31,2024,2024Q4,Mid-Market,2785129.0899999994,621688.37,814635.2399999995,1709.2099999999627,2593891.4299999997,2593891.43,2593891.43,0.0,11,33376.910000000076,35086.12000000004,4.656612873077393e-10,2751752.1799999992,2558805.31,4.656612873077393e-10
2024-10-31,2024,2024Q4,Total,6029572.379999998,2114622.1799999997,1896310.3599999999,4442.339999999793,6252326.539999997,6252326.539999999,6252326.539999999,0.0,11,230092.8200000003,234535.1600000001,1.862645149230957e-09,5799479.559999998,6017791.379999999,1.862645149230957e-09
2024-11-30,2024,2024Q4,Total,6252326.539999999,1711494.45,1942214.75,2187.4400000002643,6023793.68,6023793.68,6023793.68,0.0,11,234535.1600000001,236722.60000000036,0.0,6017791.379999999,5787071.079999999,0.0
2024-11-30,2024,2024Q4,SMB,393503.30999999994,342542.4799999999,317636.67000000004,2187.439999999973,420596.5599999997,420596.5599999999,420596.5599999999,0.0,11,199449.04000000004,201636.48,1.7462298274040222e-10,194054.2699999999,218960.07999999987,1.4551915228366852e-10
2024-11-30,2024,2024Q4,Enterprise,3264931.7999999993,662769.71,787308.5100000001,2.0827428670600057e-10,3140392.999999999,3140393.0,3140393.0,0.0,11,7.275957614183426e-12,2.15550244320184e-10,9.313225746154785e-10,3264931.7999999993,3140393.0,9.313225746154785e-10
2024-11-30,2024,2024Q4,Mid-Market,2593891.43,706182.2600000001,837269.5699999996,8.731149137020111e-11,2462804.120000001,2462804.1199999996,2462804.1199999996,0.0,11,35086.12000000004,35086.120000000126,-1.3969838619232178e-09,2558805.31,2427717.9999999995,-1.3969838619232178e-09
2024-12-31,2024,2024Q4,Enterprise,3140393.0,1370303.24,840082.8800000001,2.7284841053187847e-11,3670613.3600000003,3670613.3599999994,3670613.3599999994,0.0,11,2.15550244320184e-10,2.4283508537337184e-10,-9.313225746154785e-10,3140393.0,3670613.359999999,-1.3969838619232178e-09
2024-12-31,2024,2024Q4,Total,6023793.68,2697618.67,2041266.4499999997,17357.630000000005,6697503.53,6697503.529999999,6697503.529999999,0.0,11,236722.60000000036,254080.23000000036,-9.313225746154785e-10,5787071.079999999,6443423.299999999,-1.862645149230957e-09
2024-12-31,2024,2024Q4,Mid-Market,2462804.1199999996,983358.1699999999,871689.5599999996,9796.410000000062,2584269.14,2584269.1399999997,2584269.1399999997,0.0,11,35086.120000000126,44882.53000000019,-4.656612873077393e-10,2427717.9999999995,2539386.6099999994,-4.656612873077393e-10
2024-12-31,2024,2024Q4,SMB,420596.5599999999,343957.26,329494.01000000007,7561.219999999914,442621.0299999997,442621.02999999997,442621.02999999997,0.0,11,201636.48,209197.69999999992,2.9103830456733704e-10,218960.07999999987,233423.33000000005,2.6193447411060333e-10
2025-01-31,2025,2025Q1,Mid-Market,2584269.1399999997,1275516.71,857839.1399999997,-2.9103830456733704e-11,3001946.71,3001946.709999999,3001946.709999999,0.0,11,44882.53000000019,44882.53000000016,-9.313225746154785e-10,2539386.6099999994,2957064.179999999,-9.313225746154785e-10
2025-01-31,2025,2025Q1,SMB,442621.02999999997,372558.7399999997,331036.14,3837.220000000001,487980.8499999996,487980.84999999974,487980.84999999974,0.0,11,209197.69999999992,213034.91999999993,1.1641532182693481e-10,233423.33000000005,274945.9299999998,1.1641532182693481e-10
2025-01-31,2025,2025Q1,Total,6697503.529999999,2945930.26,2056898.22,3837.219999999943,7590372.789999999,7590372.789999999,7590372.789999999,0.0,11,254080.23000000036,257917.4500000003,0.0,6443423.299999999,7332455.339999999,0.0
2025-01-31,2025,2025Q1,Enterprise,3670613.3599999994,1297854.81,868022.9400000002,-6.366462912410498e-12,4100445.2299999995,4100445.23,4100445.23,0.0,11,2.4283508537337184e-10,2.3646862246096134e-10,4.656612873077393e-10,3670613.359999999,4100445.2299999995,9.313225746154785e-10
2025-02-28,2025,2025Q1,Mid-Market,3001946.709999999,766219.2599999999,884634.4399999998,1210.4899999999907,2884742.0199999986,2884742.0200000005,2884742.0200000005,0.0,11,44882.53000000016,46093.02000000015,1.862645149230957e-09,2957064.179999999,2838649.0000000005,1.862645149230957e-09
2025-02-28,2025,2025Q1,Enterprise,4100445.23,1127864.48,881678.6200000002,1.6370904631912708e-11,4346631.09,4346631.09,4346631.09,0.0,11,2.3646862246096134e-10,2.5283952709287405e-10,0.0,4100445.2299999995,4346631.09,9.313225746154785e-10
2025-02-28,2025,2025Q1,SMB,487980.84999999974,349729.05999999994,336381.56,1254.2499999999418,502582.5999999996,502582.6000000001,502582.6000000001,0.0,11,213034.91999999993,214289.16999999987,4.656612873077393e-10,274945.9299999998,288293.4300000002,4.656612873077393e-10
2025-02-28,2025,2025Q1,Total,7590372.789999999,2243812.8,2102694.62,2464.7399999999616,7733955.71,7733955.710000001,7733955.710000001,0.0,11,257917.4500000003,260382.19000000026,9.313225746154785e-10,7332455.339999999,7473573.5200000005,1.862645149230957e-09
2025-03-31,2025,2025Q1,Mid-Market,2884742.0200000005,1514685.4100000001,918249.8299999998,785.1399999999048,3481962.7400000007,3481962.74,3481962.74,0.0,11,46093.02000000015,46878.160000000054,-4.656612873077393e-10,2838649.0000000005,3435084.58,0.0
2025-03-31,2025,2025Q1,Total,7733955.710000001,3033096.99,2151194.1199999996,6967.809999999736,8622826.390000002,8622826.389999999,8622826.389999999,0.0,11,260382.19000000026,267350.0,-3.725290298461914e-09,7473573.5200000005,8355476.389999999,-3.725290298461914e-09
2025-03-31,2025,2025Q1,Enterprise,4346631.09,1174590.59,887417.3000000002,-1.9463186617940664e-10,4633804.38,4633804.379999999,4633804.379999999,0.0,11,2.5283952709287405e-10,5.820766091346741e-11,-9.313225746154785e-10,4346631.09,4633804.379999999,-9.313225746154785e-10
2025-03-31,2025,2025Q1,SMB,502582.6000000001,343820.99000000005,345526.98999999976,6182.670000000013,507059.27000000037,507059.26999999996,507059.26999999996,0.0,11,214289.16999999987,220471.83999999988,-4.0745362639427185e-10,288293.4300000002,286587.43000000005,-4.656612873077393e-10
2025-04-30,2025,2025Q2,Mid-Market,3481962.74,1313506.6999999995,950488.7099999996,0.0,3844980.73,3844980.730000001,3844980.730000001,0.0,11,46878.160000000054,46878.160000000054,9.313225746154785e-10,3435084.58,3798102.5700000008,9.313225746154785e-10
2025-04-30,2025,2025Q2,SMB,507059.26999999996,328059.72999999986,348159.3599999997,4979.879999999976,491939.52,491939.5199999997,491939.5199999997,0.0,11,220471.83999999988,225451.71999999986,-2.9103830456733704e-10,286587.43000000005,266487.7999999999,-3.4924596548080444e-10
2025-04-30,2025,2025Q2,Enterprise,4633804.379999999,1047629.83,903822.7700000003,5.820766091346741e-11,4777611.439999999,4777611.4399999995,4777611.4399999995,0.0,11,5.820766091346741e-11,1.1641532182693481e-10,9.313225746154785e-10,4633804.379999999,4777611.4399999995,9.313225746154785e-10
2025-04-30,2025,2025Q2,Total,8622826.389999999,2689196.2599999993,2202470.84,4979.880000000005,9114531.69,9114531.690000001,9114531.690000001,0.0,11,267350.0,272329.88,1.862645149230957e-09,8355476.389999999,8842201.81,1.862645149230957e-09
2025-05-31,2025,2025Q2,SMB,491939.5199999997,352622.95999999973,346930.9399999999,-1290.9000000000815,496340.63999999955,496340.64,496340.64,0.0,11,225451.71999999986,224160.81999999977,4.656612873077393e-10,266487.7999999999,272179.82000000024,5.820766091346741e-10
2025-05-31,2025,2025Q2,Enterprise,4777611.4399999995,326470.55,905745.2200000002,1.8189894035458565e-10,4198336.77,4198336.7700000005,4198336.7700000005,0.0,11,1.1641532182693481e-10,2.9831426218152046e-10,9.313225746154785e-10,4777611.4399999995,4198336.7700000005,9.313225746154785e-10
2025-05-31,2025,2025Q2,Mid-Market,3844980.730000001,765885.3699999999,963251.3399999996,9.458744898438454e-11,3647614.7600000007,3647614.7600000007,3647614.7600000007,0.0,11,46878.160000000054,46878.16000000015,0.0,3798102.5700000008,3600736.6000000006,0.0
2025-05-31,2025,2025Q2,Total,9114531.690000001,1444978.8799999997,2215927.4999999995,-1290.8999999997905,8342292.170000001,8342292.170000001,8342292.170000001,0.0,11,272329.88,271038.9800000002,0.0,8842201.81,8071253.19,9.313225746154785e-10
2025-06-30,2025,2025Q2,Enterprise,4198336.7700000005,915668.87,911409.6600000001,-2.3283064365386963e-10,4202595.98,4202595.9799999995,4202595.9799999995,0.0,11,2.9831426218152046e-10,6.548361852765083e-11,-9.313225746154785e-10,4198336.7700000005,4202595.9799999995,-9.313225746154785e-10
2025-06-30,2025,2025Q2,Mid-Market,3647614.7600000007,1098632.9899999995,992236.04,291.2599999999584,3754302.9699999997,3754302.9699999993,3754302.9699999993,0.0,11,46878.16000000015,47169.42000000011,-4.656612873077393e-10,3600736.6000000006,3707133.5499999993,-4.656612873077393e-10
2025-06-30,2025,2025Q2,Total,8342292.170000001,2388047.7499999995,2261480.91,8913.11999999982,8477772.129999999,8477772.129999999,8477772.129999999,0.0,11,271038.9800000002,279952.10000000003,0.0,8071253.19,8197820.029999999,0.0
2025-06-30,2025,2025Q2,SMB,496340.64,373745.88999999996,357835.2100000001,8621.860000000102,520873.18000000005,520873.18000000005,520873.18000000005,0.0,11,224160.81999999977,232782.67999999988,0.0,272179.82000000024,288090.5000000002,5.820766091346741e-11
2025-07-31,2025,2025Q3,Enterprise,4202595.9799999995,469451.32,913018.7300000001,3.637978807091713e-11,3759028.57,3759028.57,3759028.57,0.0,10,6.548361852765083e-11,1.0186340659856796e-10,0.0,4202595.9799999995,3759028.57,0.0
2025-07-31,2025,2025Q3,Mid-Market,3754302.9699999993,1187699.5200000003,1015080.8399999999,-8.003553375601768e-11,3926921.6499999994,3926921.6499999985,3926921.6499999985,0.0,11,47169.42000000011,47169.42000000003,-9.313225746154785e-10,3707133.5499999993,3879752.2299999986,-9.313225746154785e-10
2025-07-31,2025,2025Q3,Total,8477772.129999999,2019575.9200000002,2288974.74,2405.4499999999534,8210778.759999999,8210778.759999998,8210778.759999998,0.0,11,279952.10000000003,282357.55,-9.313225746154785e-10,8197820.029999999,7928421.209999998,-9.313225746154785e-10
2025-07-31,2025,2025Q3,SMB,520873.18000000005,362425.07999999996,360875.1700000001,2405.4499999999534,524828.5399999998,524828.54,524828.54,0.0,11,232782.67999999988,235188.12999999983,2.3283064365386963e-10,288090.5000000002,289640.4100000002,2.3283064365386963e-10
2025-08-31,2025,2025Q3,Enterprise,3759028.57,765214.9,918093.5400000002,-4.3655745685100555e-11,3606149.9299999997,3606149.9299999997,3606149.9299999997,0.0,11,1.0186340659856796e-10,5.820766091346741e-11,0.0,3759028.57,3606149.9299999997,0.0
2025-08-31,2025,2025Q3,Mid-Market,3926921.6499999985,947409.82,1033836.2399999999,3.637978807091713e-11,3840495.229999999,3840495.2300000004,3840495.2300000004,0.0,11,47169.42000000003,47169.420000000064,1.3969838619232178e-09,3879752.2299999986,3793325.8100000005,1.3969838619232178e-09
2025-08-31,2025,2025Q3,Total,8210778.759999998,2069946.2999999998,2316106.73,-1294.9899999999907,7963323.339999998,7963323.34,7963323.34,0.0,11,282357.55,281062.56,1.862645149230957e-09,7928421.209999998,7682260.78,2.7939677238464355e-09
2025-08-31,2025,2025Q3,SMB,524828.54,357321.5800000001,364176.95,-1294.9899999999616,516678.18000000017,516678.18000000005,516678.18000000005,0.0,11,235188.12999999983,233893.13999999987,-1.1641532182693481e-10,289640.4100000002,282785.04000000015,-5.820766091346741e-11
2025-09-30,2025,2025Q3,SMB,516678.18000000005,322639.41000000015,369001.2200000001,4078.2699999999895,474394.64000000013,474394.6400000001,474394.6400000001,0.0,11,233893.13999999987,237971.40999999986,-5.820766091346741e-11,282785.04000000015,236423.2300000002,0.0
2025-09-30,2025,2025Q3,Enterprise,3606149.9299999997,320701.6,920487.3700000001,1.7462298274040222e-10,3006364.1599999997,3006364.16,3006364.16,0.0,11,5.820766091346741e-11,2.3283064365386963e-10,4.656612873077393e-10,3606149.9299999997,3006364.16,4.656612873077393e-10
2025-09-30,2025,2025Q3,Total,7963323.34,1574919.5900000003,2343197.61,4078.2700000001932,7199123.590000001,7199123.590000001,7199123.590000001,0.0,11,281062.56,285140.8300000002,0.0,7682260.78,6913982.760000001,-9.313225746154785e-10
2025-09-30,2025,2025Q3,Mid-Market,3840495.2300000004,931578.5800000001,1053709.0199999998,2.1827872842550278e-11,3718364.790000001,3718364.7900000005,3718364.7900000005,0.0,11,47169.420000000064,47169.420000000086,-4.656612873077393e-10,3793325.8100000005,3671195.3700000006,-4.656612873077393e-10
2025-10-31,2025,2025Q4,SMB,474394.6400000001,349286.5900000002,377564.7,1959.2100000001083,448075.74000000034,448075.74,448075.74,0.0,11,237971.40999999986,239930.61999999997,-3.4924596548080444e-10,236423.2300000002,208145.12000000002,-3.7834979593753815e-10
2025-10-31,2025,2025Q4,Enterprise,3006364.16,1248907.6300000001,925688.0700000002,-1.7462298274040222e-10,3329583.7199999997,3329583.7199999993,3329583.7199999993,0.0,11,2.3283064365386963e-10,5.820766091346741e-11,-4.656612873077393e-10,3006364.16,3329583.7199999993,-4.656612873077393e-10
2025-10-31,2025,2025Q4,Mid-Market,3718364.7900000005,1002212.97,1092769.3999999997,-2.1827872842550278e-11,3627808.3600000013,3627808.3600000003,3627808.3600000003,0.0,11,47169.420000000086,47169.420000000064,-9.313225746154785e-10,3671195.3700000006,3580638.9400000004,-9.313225746154785e-10
2025-10-31,2025,2025Q4,Total,7199123.590000001,2600407.1900000004,2396022.17,1959.2099999999045,7405467.820000001,7405467.82,7405467.82,0.0,11,285140.8300000002,287100.0400000001,-9.313225746154785e-10,6913982.760000001,7118367.78,-9.313225746154785e-10
2025-11-30,2025,2025Q4,Total,7405467.82,2635447.7700000005,2449036.31,6369.620000000403,7598248.899999999,7598248.9,7598248.9,0.0,11,287100.0400000001,293469.6600000005,9.313225746154785e-10,7118367.78,7304779.24,0.0
2025-11-30,2025,2025Q4,Enterprise,3329583.7199999993,1275369.6300000001,950343.7500000003,3.346940502524376e-10,3654609.5999999996,3654609.5999999996,3654609.5999999996,0.0,11,5.820766091346741e-11,3.92901711165905e-10,0.0,3329583.7199999993,3654609.599999999,0.0
2025-11-30,2025,2025Q4,Mid-Market,3627808.3600000003,941025.65,1112871.3599999999,1820.0100000000893,3457782.660000001,3457782.6600000015,3457782.6600000015,0.0,11,47169.420000000064,48989.43000000015,4.656612873077393e-10,3580638.9400000004,3408793.2300000014,4.656612873077393e-10
2025-11-30,2025,2025Q4,SMB,448075.74,419052.4900000002,385821.19999999995,4549.609999999986,485856.64000000025,485856.63999999984,485856.63999999984,0.0,11,239930.61999999997,244480.22999999995,-4.0745362639427185e-10,208145.12000000002,241376.4099999999,-3.7834979593753815e-10
2025-12-31,2025,2025Q4,SMB,485856.63999999984,488956.73000000004,398429.3399999998,7518.600000000035,583902.6300000001,583902.6299999998,583902.6299999998,0.0,11,244480.22999999995,251998.83,-3.4924596548080444e-10,241376.4099999999,331903.7999999998,-2.9103830456733704e-10
2025-12-31,2025,2025Q4,Enterprise,3654609.5999999996,1529909.56,966816.3700000002,-1.7644197214394808e-10,4217702.79,4217702.789999998,4217702.789999998,0.0,11,3.92901711165905e-10,2.1645973902195692e-10,-1.862645149230957e-09,3654609.599999999,4217702.789999998,-9.313225746154785e-10
2025-12-31,2025,2025Q4,Mid-Market,3457782.6600000015,1327081.89,1150530.61,4.3655745685100555e-11,3634333.9400000013,3634333.9400000004,3634333.9400000004,0.0,11,48989.43000000015,48989.4300000002,-9.313225746154785e-10,3408793.2300000014,3585344.5100000002,-4.656612873077393e-10
2025-12-31,2025,2025Q4,Total,7598248.9,3345948.18,2515776.3200000003,7518.5999999999185,8435939.36,8435939.359999998,8435939.359999998,0.0,11,293469.6600000005,300988.2600000004,-1.862645149230957e-09,7304779.24,8134951.099999997,-2.7939677238464355e-09
2026-01-31,2026,2026Q1,Enterprise,4217702.789999998,1308131.0999999999,953334.1100000002,-1.4006218407303095e-10,4572499.7799999975,4572499.78,4572499.78,0.0,11,2.1645973902195692e-10,7.639755494892597e-11,2.7939677238464355e-09,4217702.789999998,4572499.78,2.7939677238464355e-09
2026-01-31,2026,2026Q1,SMB,583902.6299999998,402183.0,395892.55,595.460000000021,590788.5399999998,590788.5400000002,590788.5400000002,0.0,11,251998.83,252594.29,3.4924596548080444e-10,331903.7999999998,338194.2500000001,2.9103830456733704e-10
2026-01-31,2026,2026Q1,Mid-Market,3634333.9400000004,2050707.9399999997,1165844.1199999996,3388.4299999999785,4522586.1899999995,4522586.190000001,4522586.190000001,0.0,11,48989.4300000002,52377.860000000175,1.862645149230957e-09,3585344.5100000002,4470208.330000001,9.313225746154785e-10
