path,month_end_date,subscription_revenue,services_revenue,total_revenue,subscription_cogs,services_cogs,total_cogs,gross_profit,sales_marketing,research_development,general_administrative,total_opex,operating_income,is_actual,period_label
Base,2025-01-31,1996693.19,87337.41,2084030.5999999999,430866.15,51131.38,481997.53,1602033.0699999998,1096480.65,714081.25,350148.31,2160710.21,-558677.1400000001,true,Actual
Base,2025-02-28,2049863.92,86601.9,2136465.82,434260.77,50155.63,484416.4,1652049.42,1134606.79,744423.13,418982.17,2298012.09,-645962.6699999999,true,Actual
Base,2025-03-31,2082086.24,73525.07,2155611.31,470723.59,50919.56,521643.15,1633968.1600000001,1178944.7,719937.97,486344.39,2385227.06,-751258.8999999999,true,Actual
Base,2025-04-30,2129369.35,67875.4,2197244.75,477560.96,50626.12,528187.0800000001,1669057.67,1210305.74,747789.87,497653.45,2455749.06,-786691.3900000001,true,Actual
Base,2025-05-31,2179396.31,63119.0,2242515.31,474228.27,59965.61,534193.88,1708321.4300000002,1179057.08,762072.84,412867.38,2353997.3,-645675.8699999996,true,Actual
Base,2025-06-30,2209872.0,59243.65,2269115.65,486841.87,58961.59,545803.46,1723312.19,1178626.81,751289.38,387669.49,2317585.6799999997,-594273.4899999998,true,Actual
Base,2025-07-31,2240981.88,57452.67,2298434.55,482379.7,62072.78,544452.48,1753982.0699999998,1137773.4,754504.33,412503.21,2304780.94,-550798.8700000001,true,Actual
Base,2025-08-31,2276602.52,56599.48,2333202.0,476242.23,62034.77,538277.0,1794925.0,1136819.56,779830.22,421518.29,2338168.07,-543243.0699999998,true,Actual
Base,2025-09-30,2303897.33,53411.27,2357308.6,482779.47,62442.09,545221.5599999999,1812087.04,1217022.63,770226.36,428838.63,2416087.6199999996,-604000.5799999996,true,Actual
Base,2025-10-31,2331006.71,50824.95,2381831.66,500497.99,61927.49,562425.48,1819406.1800000002,1228561.59,835485.8,439363.07,2503410.46,-684004.2799999998,true,Actual
Base,2025-11-30,2372251.11,70188.69,2442439.8,516823.85,75386.46,592210.3099999999,1850229.4899999998,1236147.9,809539.01,430838.49,2476525.4,-626295.9100000001,true,Actual
Base,2025-12-31,2425179.95,76395.05,2501575.0,522900.35,62911.23,585811.58,1915763.42,1210853.23,811256.98,433349.86,2455460.07,-539696.6499999999,true,Actual
Base,2026-01-31,2485743.32,70707.55,2556450.8699999996,485515.3,62478.79,547994.09,2008456.7799999998,1092738.15,804145.12,432213.05,2329096.32,-320639.54000000004,true,Actual
Base,2026-02-28,2515388.27,58952.53,2574340.8,492789.53,62470.16,555259.6900000001,2019081.1099999999,1111024.78,810796.51,462393.86,2384215.15,-365134.04000000004,true,Actual
Base,2026-03-31,2533283.83,56835.99,2590119.8200000003,519298.51,69930.95,589229.46,2000890.3600000003,1203029.25,822096.85,599754.12,2624880.22,-623989.8599999999,true,Actual
Base,2026-04-30,2560065.62,50909.0,2610974.62,494409.36,69856.84,564266.2,2046708.4200000002,1324853.52,817844.18,554504.04,2697201.74,-650493.3200000001,true,Actual
Base,2026-05-31,2597740.65,46436.61,2644177.26,517045.75,69917.02,586962.77,2057214.4899999998,1271678.48,829779.86,470615.8,2572074.1399999997,-514859.6499999999,true,Actual
Base,2026-06-30,2668547.91,50722.78,2719270.69,530858.05,69650.3,600508.3500000001,2118762.34,1288126.25,827519.54,453032.6,2568678.39,-449916.0500000003,true,Actual
Base,2026-07-31,2731761.7365,56429.8085680928,2788191.545068093,514420.2582618899,69945.52403834781,584365.7823002377,2203825.7627678555,1289582.045919904,828190.127851789,488539.5056184126,2606311.6793901054,-402485.9166222499,false,FY2026 Reforecast
Base,2026-08-31,2781411.7366812318,11729.13058376841,2793140.867265,546837.4043681584,69747.20352492359,616584.6078930821,2176556.2593719177,1365906.2544018405,867863.9396975443,501973.17255365115,2735743.366653036,-559187.1072811182,false,FY2026 Reforecast
Base,2026-09-30,2820361.7249264573,1547.893599429376,2821909.6185258864,545498.3332146928,69549.51196595903,615047.8451806518,2206861.773345235,1359187.8063519076,865877.979380482,501345.9893252614,2726411.7750576506,-519550.00171241583,false,FY2026 Reforecast
Base,2026-10-31,2843216.4781401274,1680.1364932085623,2844896.6146333357,544164.2976697327,69352.44736678548,613516.7450365182,2231379.8695968175,1355049.2865034991,863896.927028125,500720.08516614337,2719666.2986977673,-488286.4291009498,false,FY2026 Reforecast
Base,2026-11-30,2859644.8215283286,52155.92128758725,2911800.742815916,542835.2787482892,69156.00773906018,611991.2864873494,2299809.4563285667,1363430.2762095383,861920.7704965108,500095.45746777987,2725446.504173829,-425637.04784526257,false,FY2026 Reforecast
Base,2026-12-31,2883471.5009746756,52225.302368465986,2935696.8033431415,541511.2575371295,68960.19110074619,610471.4486378756,2325225.3547052657,1359313.9619757724,859949.4976717624,499472.10362697364,2718735.5632745083,-393510.2085692426,false,FY2026 Reforecast
Base,2027-01-31,2899869.5337371067,52225.302368465986,2952094.8361055725,540192.215194505,68764.99547609246,608957.2106705975,2343137.625434975,1355199.1969542305,857983.0964700143,498850.0210458361,2712032.314470081,-368894.689035106,false,Forward Runway Projection
Base,2027-02-28,2908904.2873588125,51908.74311653018,2960813.0304753426,538878.1329498813,68570.41889561381,607448.5518454951,2353364.4786298475,1351024.5191656102,856021.5548373375,498229.2071317771,2705275.2811347246,-351910.8025048771,false,Forward Runway Projection
Base,2027-03-31,2936630.8619245254,51549.85698932459,2988180.71891385,537568.9921036669,68376.45939607108,605945.4514997379,2382235.267414112,1346857.935935679,854064.8607496655,497609.65929749334,2698532.455982838,-316297.1885687257,false,Forward Runway Projection
Base,2027-04-30,2963846.7844174146,51199.86402488061,3015046.6484422954,536264.7740269458,68183.11502045135,604447.8890473972,2410598.759394898,1342712.07988685,852113.0022127206,496991.3749609585,2691816.457060529,-281217.69766563084,false,Forward Runway Projection
Base,2027-05-31,2997125.2693301085,50858.54385150397,3047983.8131816126,534965.4601612092,67990.38381794821,602955.8439791574,2445027.969202455,1338586.811122951,850165.9672619391,496374.3515454117,2685127.129930302,-240099.1607278469,false,Forward Runway Projection
Base,2027-06-30,3046105.226810865,50525.681558289216,3096630.908369154,533671.0320180886,67798.263843942,601469.2958620306,2495161.6125071235,1334481.9914998838,848223.7439623983,495758.58647934726,2678464.321941629,-183302.70943450555,false,Forward Runway Projection
Base,2027-07-31,3084221.611153521,50201.067559801835,3134422.678713323,532381.4711790903,67606.75315998023,599988.2243390705,2534434.454374253,1330397.484590162,846286.3204087428,495144.0771965036,2671827.8821954085,-137393.42782115564,false,Forward Runway Projection
Base,2027-08-31,3130755.6693202867,49884.49746411374,3180640.1667844006,531096.7592953303,67415.84983375808,598512.6091290883,2582127.557655312,1326333.1556482953,844353.6847251111,494530.82113585284,2665217.661509259,-83090.10385394702,false,Forward Runway Projection
Base,2027-09-30,3194002.2412038385,49575.771944108565,3243578.013147947,529816.878087271,67225.5519390988,597042.4300263699,2646535.5831215773,1322288.8715769886,842425.8250650626,493918.8157415901,2658633.5123836417,-12097.929262064397,false,Forward Runway Projection
Base,2027-10-31,3253482.588618087,49274.6966119762,3302757.2852300634,528541.8093444585,67035.85755593434,595577.6669003929,2707179.6183296703,1318264.5008941477,840502.7296115045,493308.0584631228,2652075.288968775,55104.329360895324,false,Forward Runway Projection
Base,2027-11-30,3313086.4474429246,48981.08189681728,3362067.529339742,527271.5349252603,66846.76477028595,594118.2996955463,2767949.2296441956,1314259.9137006598,838584.3865766186,492698.5467550597,2645542.847032338,122406.38261185773,false,Forward Runway Projection
Base,2027-12-31,3376270.9533805787,48694.742925280574,3424965.6963058594,526006.0367566053,66658.27167424493,592664.3084308502,2832301.3878750093,1310274.9816489418,836670.7842017895,492090.2780772009,2639036.043927932,193265.34394707717,false,Forward Runway Projection
Base_FullClose,2024-01-31,851177.12,95532.9,946710.02,391528.01,30072.44,421600.45,525109.5700000001,947423.69,626891.8,314245.81,1888561.3,-1363451.73,true,Actual
Base_FullClose,2024-02-29,1563029.64,95924.77,1658954.41,385815.06,30180.15,415995.21,1242959.2,977703.18,634415.09,353382.56,1965500.83,-722541.6300000001,true,Actual
Base_FullClose,2024-03-31,1593423.5,80931.78,1674355.28,393784.1,30351.94,424136.04,1250219.24,1054104.8,651362.74,412986.43,2118453.97,-868234.7300000002,true,Actual
Base_FullClose,2024-04-30,1642498.21,76228.52,1718726.73,405560.56,43559.87,449120.43,1269606.3,1037058.49,647342.52,406507.52,2090908.53,-821302.23,true,Actual
Base_FullClose,2024-05-31,1693281.48,77247.39,1770528.8699999999,398368.29,43572.42,441940.70999999996,1328588.16,1098451.4,671563.05,371246.32,2141260.77,-812672.6100000001,true,Actual
Base_FullClose,2024-06-30,1731131.94,70764.09,1801896.03,433322.47,43159.45,476481.92,1325414.11,1083768.5,686524.48,358724.8,2129017.78,-803603.6699999997,true,Actual
Base_FullClose,2024-07-31,1773608.8,65683.75,1839292.55,414868.96,43433.67,458302.63,1380989.92,1049621.29,720045.75,356469.13,2126136.17,-745146.25,true,Actual
Base_FullClose,2024-08-31,1816516.27,60566.28,1877082.55,428333.21,43510.1,471843.31,1405239.24,1061352.01,697618.82,349468.62,2108439.45,-703200.2100000002,true,Actual
Base_FullClose,2024-09-30,1833023.39,58250.36,1891273.75,432601.04,43425.07,476026.11,1415247.6400000001,1152926.23,721189.24,409076.11,2283191.58,-867943.94,true,Actual
Base_FullClose,2024-10-31,1851400.37,68233.2,1919633.57,452977.07,43433.38,496410.45,1423223.12,1131396.07,725472.84,397177.35,2254046.2600000002,-830823.1400000001,true,Actual
Base_FullClose,2024-11-30,1883108.42,72967.28,1956075.7,419045.68,43635.73,462681.41,1493394.29,1115138.52,710708.55,395195.75,2221042.8200000003,-727648.5300000003,true,Actual
Base_FullClose,2024-12-31,1921557.77,83362.82,2004920.59,447083.21,51091.28,498174.49,1506746.1,1128812.47,715384.71,379226.65,2223423.83,-716677.73,true,Actual
Base_FullClose,2025-01-31,1996693.19,87337.41,2084030.5999999999,430866.15,51131.38,481997.53,1602033.0699999998,1096480.65,714081.25,350148.31,2160710.21,-558677.1400000001,true,Actual
Base_FullClose,2025-02-28,2049863.92,86601.9,2136465.82,434260.77,50155.63,484416.4,1652049.42,1134606.79,744423.13,418982.17,2298012.09,-645962.6699999999,true,Actual
Base_FullClose,2025-03-31,2082086.24,73525.07,2155611.31,470723.59,50919.56,521643.15,1633968.1600000001,1178944.7,719937.97,486344.39,2385227.06,-751258.8999999999,true,Actual
Base_FullClose,2025-04-30,2129369.35,67875.4,2197244.75,477560.96,50626.12,528187.0800000001,1669057.67,1210305.74,747789.87,497653.45,2455749.06,-786691.3900000001,true,Actual
Base_FullClose,2025-05-31,2179396.31,63119.0,2242515.31,474228.27,59965.61,534193.88,1708321.4300000002,1179057.08,762072.84,412867.38,2353997.3,-645675.8699999996,true,Actual
Base_FullClose,2025-06-30,2209872.0,59243.65,2269115.65,486841.87,58961.59,545803.46,1723312.19,1178626.81,751289.38,387669.49,2317585.6799999997,-594273.4899999998,true,Actual
Base_FullClose,2025-07-31,2240981.88,57452.67,2298434.55,482379.7,62072.78,544452.48,1753982.0699999998,1137773.4,754504.33,412503.21,2304780.94,-550798.8700000001,true,Actual
Base_FullClose,2025-08-31,2276602.52,56599.48,2333202.0,476242.23,62034.77,538277.0,1794925.0,1136819.56,779830.22,421518.29,2338168.07,-543243.0699999998,true,Actual
Base_FullClose,2025-09-30,2303897.33,53411.27,2357308.6,482779.47,62442.09,545221.5599999999,1812087.04,1217022.63,770226.36,428838.63,2416087.6199999996,-604000.5799999996,true,Actual
Base_FullClose,2025-10-31,2331006.71,50824.95,2381831.66,500497.99,61927.49,562425.48,1819406.1800000002,1228561.59,835485.8,439363.07,2503410.46,-684004.2799999998,true,Actual
Base_FullClose,2025-11-30,2372251.11,70188.69,2442439.8,516823.85,75386.46,592210.3099999999,1850229.4899999998,1236147.9,809539.01,430838.49,2476525.4,-626295.9100000001,true,Actual
Base_FullClose,2025-12-31,2425179.95,76395.05,2501575.0,522900.35,62911.23,585811.58,1915763.42,1210853.23,811256.98,433349.86,2455460.07,-539696.6499999999,true,Actual
Base_FullClose,2026-01-31,2485743.32,70707.55,2556450.8699999996,485515.3,62478.79,547994.09,2008456.7799999998,1092738.15,804145.12,432213.05,2329096.32,-320639.54000000004,true,Actual
Base_FullClose,2026-02-28,2515388.27,58952.53,2574340.8,492789.53,62470.16,555259.6900000001,2019081.1099999999,1111024.78,810796.51,462393.86,2384215.15,-365134.04000000004,true,Actual
Base_FullClose,2026-03-31,2533283.83,56835.99,2590119.8200000003,519298.51,69930.95,589229.46,2000890.3600000003,1203029.25,822096.85,599754.12,2624880.22,-623989.8599999999,true,Actual
Base_FullClose,2026-04-30,2560065.62,50909.0,2610974.62,494409.36,69856.84,564266.2,2046708.4200000002,1324853.52,817844.18,554504.04,2697201.74,-650493.3200000001,true,Actual
Base_FullClose,2026-05-31,2597740.65,46436.61,2644177.26,517045.75,69917.02,586962.77,2057214.4899999998,1271678.48,829779.86,470615.8,2572074.1399999997,-514859.6499999999,true,Actual
Base_FullClose,2026-06-30,2668547.91,50722.78,2719270.69,530858.05,69650.3,600508.3500000001,2118762.34,1288126.25,827519.54,453032.6,2568678.39,-449916.0500000003,true,Actual
Base_FullClose,2026-07-31,2731761.7365,56429.8085680928,2788191.545068093,514420.2582618899,69945.52403834781,584365.7823002377,2203825.7627678555,1289582.045919904,828190.127851789,488539.5056184126,2606311.6793901054,-402485.9166222499,false,FY2026 Reforecast
Base_FullClose,2026-08-31,2781411.736681232,11729.130583768407,2793140.8672650005,546837.4043681584,69747.20352492359,616584.6078930821,2176556.2593719186,1365906.2544018405,867863.9396975443,501973.17255365115,2735743.366653036,-559187.1072811172,false,FY2026 Reforecast
Base_FullClose,2026-09-30,2820361.7249264573,1547.893599429376,2821909.6185258864,545498.3332146928,69549.51196595903,615047.8451806518,2206861.773345235,1359187.8063519076,865877.979380482,501345.9893252614,2726411.7750576506,-519550.00171241583,false,FY2026 Reforecast
Base_FullClose,2026-10-31,2843216.4781401283,1680.1364932085623,2844896.6146333367,544164.2976697327,69352.44736678548,613516.7450365182,2231379.8695968185,1401642.4677248732,863896.927028125,500720.08516614337,2766259.4799191416,-534879.6103223232,false,FY2026 Reforecast
Base_FullClose,2026-11-30,2859644.821528329,52225.302368465986,2911870.123896795,542835.2787482892,69156.00773906018,611991.2864873494,2299878.8374094456,1409812.546300756,861920.7704965108,500095.45746777987,2771828.7742650467,-471949.93685560115,false,FY2026 Reforecast
Base_FullClose,2026-12-31,2883492.8993990165,52225.302368465986,2935718.2017674823,541511.2575371295,68960.19110074619,610471.4486378756,2325246.7531296066,1405451.9826416536,859949.4976717624,499472.10362697364,2764873.5839403896,-439626.83081078297,false,FY2026 Reforecast
Base_FullClose,2027-01-31,2899908.439963183,52225.302368465986,2952133.7423316487,540192.215194505,68764.99547609246,608957.2106705975,2343176.5316610513,1401111.3074607488,857983.0964700143,498850.0210458361,2757944.4249765994,-414767.8933155481,false,Forward Runway Projection
Base_FullClose,2027-02-28,2908943.193584888,52225.302368465986,2961168.4959533536,538878.1329498813,68570.41889561381,607448.5518454951,2353719.9441078585,1396790.428938861,856021.5548373375,498229.2071317771,2751041.1909079757,-397321.2468001172,false,Forward Runway Projection
Base_FullClose,2027-03-31,2936767.4009507284,52225.302368465986,2988992.7033191943,537568.9921036669,68376.45939607108,605945.4514997379,2383047.2518194565,1392489.2556852247,854064.8607496655,497609.65929749334,2744163.7757323836,-361116.52391292714,false,Forward Runway Projection
Base_FullClose,2027-04-30,2964271.524826601,52225.302368465986,3016496.827195067,536264.7740269458,68183.11502045135,604447.8890473972,2412048.9381476697,1388207.6967354706,852113.0022127206,496991.3749609585,2737312.0739091495,-325263.13576147985,false,Forward Runway Projection
Base_FullClose,2027-05-31,2998036.71776062,52225.302368465986,3050262.020129086,534965.4601612092,67990.38381794821,602955.8439791574,2447306.1761499285,1383945.6615496203,850165.9672619391,496374.3515454117,2730485.9803569713,-283179.8042070428,false,Forward Runway Projection
Base_FullClose,2027-06-30,3047696.9709261637,52225.302368465986,3099922.2732946295,533671.0320180886,67798.263843942,601469.2958620306,2498452.977432599,1379703.0600100872,848223.7439623983,495758.58647934726,2723685.3904518327,-225232.41301923385,false,Forward Runway Projection
Base_FullClose,2027-07-31,3086682.441533904,52225.302368465986,3138907.74390237,532381.4711790903,67606.75315998023,599988.2243390705,2538919.5195632996,1375479.8024196879,846286.3204087428,495144.0771965036,2716910.200024934,-177990.68046163442,false,Forward Runway Projection
Base_FullClose,2027-08-31,3134269.698334127,52225.302368465986,3186495.000702593,531096.7592953303,67415.84983375808,598512.6091290883,2587982.3915735045,1371275.7994996638,844353.6847251111,494530.82113585284,2710160.305360628,-122177.91378712328,false,Forward Runway Projection
Base_FullClose,2027-09-30,3198749.0189332203,52225.302368465986,3250974.321301686,529816.878087271,67225.5519390988,597042.4300263699,2653931.8912753165,1367090.96238771,842425.8250650626,493918.8157415901,2703435.603194363,-49503.71191904647,false,Forward Runway Projection
Base_FullClose,2027-10-31,3259637.2159118075,52225.302368465986,3311862.5182802733,528541.8093444585,67035.85755593434,595577.6669003929,2716284.8513798807,1362925.2026360177,840502.7296115045,493308.0584631228,2696735.990710645,19548.8606692357,false,Forward Runway Projection
Base_FullClose,2027-11-30,3320819.6861680504,52225.302368465986,3373044.988536516,527271.5349252603,66846.76477028595,594118.2996955463,2778926.68884097,1358778.4322093194,838584.3865766186,492698.5467550597,2690061.3655409976,88865.32329997234,false,Forward Runway Projection
Base_FullClose,2027-12-31,3385749.333941989,52225.302368465986,3437974.636310455,526006.0367566053,66658.27167424493,592664.3084308502,2845310.327879605,1354650.5634829504,836670.7842017895,492090.2780772009,2683411.625761941,161898.7021176638,false,Forward Runway Projection
Base_Targeted,2024-01-31,851177.12,95532.9,946710.02,391528.01,30072.44,421600.45,525109.5700000001,947423.69,626891.8,314245.81,1888561.3,-1363451.73,true,Actual
Base_Targeted,2024-02-29,1563029.64,95924.77,1658954.41,385815.06,30180.15,415995.21,1242959.2,977703.18,634415.09,353382.56,1965500.83,-722541.6300000001,true,Actual
Base_Targeted,2024-03-31,1593423.5,80931.78,1674355.28,393784.1,30351.94,424136.04,1250219.24,1054104.8,651362.74,412986.43,2118453.97,-868234.7300000002,true,Actual
Base_Targeted,2024-04-30,1642498.21,76228.52,1718726.73,405560.56,43559.87,449120.43,1269606.3,1037058.49,647342.52,406507.52,2090908.53,-821302.23,true,Actual
Base_Targeted,2024-05-31,1693281.48,77247.39,1770528.8699999999,398368.29,43572.42,441940.70999999996,1328588.16,1098451.4,671563.05,371246.32,2141260.77,-812672.6100000001,true,Actual
Base_Targeted,2024-06-30,1731131.94,70764.09,1801896.03,433322.47,43159.45,476481.92,1325414.11,1083768.5,686524.48,358724.8,2129017.78,-803603.6699999997,true,Actual
Base_Targeted,2024-07-31,1773608.8,65683.75,1839292.55,414868.96,43433.67,458302.63,1380989.92,1049621.29,720045.75,356469.13,2126136.17,-745146.25,true,Actual
Base_Targeted,2024-08-31,1816516.27,60566.28,1877082.55,428333.21,43510.1,471843.31,1405239.24,1061352.01,697618.82,349468.62,2108439.45,-703200.2100000002,true,Actual
Base_Targeted,2024-09-30,1833023.39,58250.36,1891273.75,432601.04,43425.07,476026.11,1415247.6400000001,1152926.23,721189.24,409076.11,2283191.58,-867943.94,true,Actual
Base_Targeted,2024-10-31,1851400.37,68233.2,1919633.57,452977.07,43433.38,496410.45,1423223.12,1131396.07,725472.84,397177.35,2254046.2600000002,-830823.1400000001,true,Actual
Base_Targeted,2024-11-30,1883108.42,72967.28,1956075.7,419045.68,43635.73,462681.41,1493394.29,1115138.52,710708.55,395195.75,2221042.8200000003,-727648.5300000003,true,Actual
Base_Targeted,2024-12-31,1921557.77,83362.82,2004920.59,447083.21,51091.28,498174.49,1506746.1,1128812.47,715384.71,379226.65,2223423.83,-716677.73,true,Actual
Base_Targeted,2025-01-31,1996693.19,87337.41,2084030.5999999999,430866.15,51131.38,481997.53,1602033.0699999998,1096480.65,714081.25,350148.31,2160710.21,-558677.1400000001,true,Actual
Base_Targeted,2025-02-28,2049863.92,86601.9,2136465.82,434260.77,50155.63,484416.4,1652049.42,1134606.79,744423.13,418982.17,2298012.09,-645962.6699999999,true,Actual
Base_Targeted,2025-03-31,2082086.24,73525.07,2155611.31,470723.59,50919.56,521643.15,1633968.1600000001,1178944.7,719937.97,486344.39,2385227.06,-751258.8999999999,true,Actual
Base_Targeted,2025-04-30,2129369.35,67875.4,2197244.75,477560.96,50626.12,528187.0800000001,1669057.67,1210305.74,747789.87,497653.45,2455749.06,-786691.3900000001,true,Actual
Base_Targeted,2025-05-31,2179396.31,63119.0,2242515.31,474228.27,59965.61,534193.88,1708321.4300000002,1179057.08,762072.84,412867.38,2353997.3,-645675.8699999996,true,Actual
Base_Targeted,2025-06-30,2209872.0,59243.65,2269115.65,486841.87,58961.59,545803.46,1723312.19,1178626.81,751289.38,387669.49,2317585.6799999997,-594273.4899999998,true,Actual
Base_Targeted,2025-07-31,2240981.88,57452.67,2298434.55,482379.7,62072.78,544452.48,1753982.0699999998,1137773.4,754504.33,412503.21,2304780.94,-550798.8700000001,true,Actual
Base_Targeted,2025-08-31,2276602.52,56599.48,2333202.0,476242.23,62034.77,538277.0,1794925.0,1136819.56,779830.22,421518.29,2338168.07,-543243.0699999998,true,Actual
Base_Targeted,2025-09-30,2303897.33,53411.27,2357308.6,482779.47,62442.09,545221.5599999999,1812087.04,1217022.63,770226.36,428838.63,2416087.6199999996,-604000.5799999996,true,Actual
Base_Targeted,2025-10-31,2331006.71,50824.95,2381831.66,500497.99,61927.49,562425.48,1819406.1800000002,1228561.59,835485.8,439363.07,2503410.46,-684004.2799999998,true,Actual
Base_Targeted,2025-11-30,2372251.11,70188.69,2442439.8,516823.85,75386.46,592210.3099999999,1850229.4899999998,1236147.9,809539.01,430838.49,2476525.4,-626295.9100000001,true,Actual
Base_Targeted,2025-12-31,2425179.95,76395.05,2501575.0,522900.35,62911.23,585811.58,1915763.42,1210853.23,811256.98,433349.86,2455460.07,-539696.6499999999,true,Actual
Base_Targeted,2026-01-31,2485743.32,70707.55,2556450.8699999996,485515.3,62478.79,547994.09,2008456.7799999998,1092738.15,804145.12,432213.05,2329096.32,-320639.54000000004,true,Actual
Base_Targeted,2026-02-28,2515388.27,58952.53,2574340.8,492789.53,62470.16,555259.6900000001,2019081.1099999999,1111024.78,810796.51,462393.86,2384215.15,-365134.04000000004,true,Actual
Base_Targeted,2026-03-31,2533283.83,56835.99,2590119.8200000003,519298.51,69930.95,589229.46,2000890.3600000003,1203029.25,822096.85,599754.12,2624880.22,-623989.8599999999,true,Actual
Base_Targeted,2026-04-30,2560065.62,50909.0,2610974.62,494409.36,69856.84,564266.2,2046708.4200000002,1324853.52,817844.18,554504.04,2697201.74,-650493.3200000001,true,Actual
Base_Targeted,2026-05-31,2597740.65,46436.61,2644177.26,517045.75,69917.02,586962.77,2057214.4899999998,1271678.48,829779.86,470615.8,2572074.1399999997,-514859.6499999999,true,Actual
Base_Targeted,2026-06-30,2668547.91,50722.78,2719270.69,530858.05,69650.3,600508.3500000001,2118762.34,1288126.25,827519.54,453032.6,2568678.39,-449916.0500000003,true,Actual
Base_Targeted,2026-07-31,2731761.7365,56429.8085680928,2788191.545068093,514420.2582618899,69945.52403834781,584365.7823002377,2203825.7627678555,1289582.045919904,828190.127851789,488539.5056184126,2606311.6793901054,-402485.9166222499,false,FY2026 Reforecast
Base_Targeted,2026-08-31,2781411.736681232,11729.130583768407,2793140.8672650005,546837.4043681584,69747.20352492359,616584.6078930821,2176556.2593719186,1365906.2544018405,867863.9396975443,501973.17255365115,2735743.366653036,-559187.1072811172,false,FY2026 Reforecast
Base_Targeted,2026-09-30,2820361.7249264573,1547.893599429376,2821909.6185258864,545498.3332146928,69549.51196595903,615047.8451806518,2206861.773345235,1359187.8063519076,865877.979380482,501345.9893252614,2726411.7750576506,-519550.00171241583,false,FY2026 Reforecast
Base_Targeted,2026-10-31,2843216.4781401283,1680.1364932085623,2844896.6146333367,544164.2976697327,69352.44736678548,613516.7450365182,2231379.8695968185,1355049.2865034991,863896.927028125,500720.08516614337,2719666.2986977673,-488286.42910094885,false,FY2026 Reforecast
Base_Targeted,2026-11-30,2859644.821528329,52155.92128758725,2911800.7428159164,542835.2787482892,69156.00773906018,611991.2864873494,2299809.456328567,1363430.2762095383,861920.7704965108,500095.45746777987,2725446.504173829,-425637.0478452621,false,FY2026 Reforecast
Base_Targeted,2026-12-31,2883471.5009746756,52225.302368465986,2935696.8033431415,541511.2575371295,68960.19110074619,610471.4486378756,2325225.3547052657,1359313.9619757724,859949.4976717624,499472.10362697364,2718735.5632745083,-393510.2085692426,false,FY2026 Reforecast
Base_Targeted,2027-01-31,2899869.5337371076,52225.302368465986,2952094.8361055735,540192.215194505,68764.99547609246,608957.2106705975,2343137.625434976,1355199.1969542305,857983.0964700143,498850.0210458361,2712032.314470081,-368894.68903510505,false,Forward Runway Projection
Base_Targeted,2027-02-28,2908904.287358813,51908.7431165302,2960813.030475343,538878.1329498813,68570.41889561381,607448.5518454951,2353364.478629848,1351024.5191656102,856021.5548373375,498229.2071317771,2705275.2811347246,-351910.8025048766,false,Forward Runway Projection
Base_Targeted,2027-03-31,2936630.8619245254,51549.85698932459,2988180.71891385,537568.9921036669,68376.45939607108,605945.4514997379,2382235.267414112,1346857.935935679,854064.8607496655,497609.65929749334,2698532.455982838,-316297.1885687257,false,Forward Runway Projection
