path,month_end_date,beginning_cash,collections,cash_operating_outflows,capex,net_cash_flow,monthly_burn,ending_cash,period_label
Base_Targeted,2027-04-30,17802475.41039113,2982466.762841526,3275151.0661079264,0.0,-292684.3032664005,292684.3032664005,17509791.107124727,Forward Runway Projection
Base_Targeted,2027-05-31,17509791.107124727,3009114.188390052,3266969.6939094597,0.0,-257855.5055194078,257855.5055194078,17251935.60160532,Forward Runway Projection
Base_Targeted,2027-06-30,17251935.60160532,3042733.6366469404,3258820.33780366,0.0,-216086.7011567196,216086.7011567196,17035848.900448598,Forward Runway Projection
Base_Targeted,2027-07-31,17035848.900448598,3083285.499584445,3250702.8265344794,0.0,-167417.3269500346,167417.3269500346,16868431.573498562,Forward Runway Projection
Base_Targeted,2027-08-31,16868431.573498566,3125245.0216272133,3242616.990638348,0.0,-117371.96901113447,117371.96901113447,16751059.60448743,Forward Runway Projection
Base_Targeted,2027-09-30,16751059.60448743,3172307.3417967176,3234562.662410012,0.0,-62255.320613294374,62255.320613294374,16688804.283874135,Forward Runway Projection
Base_Targeted,2027-10-31,16688804.283874135,3227875.258386165,3226539.6758691682,0.0,1335.5825169966556,-1335.5825169966556,16690139.866391132,Forward Runway Projection
Base_Targeted,2027-11-30,16690139.866391132,3287093.56351116,3218547.8667278844,0.0,68545.69678327581,-68545.69678327581,16758685.563174408,Forward Runway Projection
Base_Targeted,2027-12-31,16758685.563174408,3347303.16974759,3210587.0723587824,0.0,136716.09738880768,-136716.09738880768,16895401.660563216,Forward Runway Projection
Bear,2026-07-31,21800000.0,2700462.993080918,3165565.339624156,0.0,-465102.34654323757,465102.34654323757,21334897.653456762,FY2026 Reforecast
Bear,2026-08-31,21334897.653456762,2752538.727602088,3328880.7634932236,0.0,-576342.0358911357,576342.0358911357,20758555.61756563,FY2026 Reforecast
Bear,2026-09-30,20758555.61756563,2779970.748275915,3318391.617160511,0.0,-538420.868884596,538420.868884596,20220134.74868103,FY2026 Reforecast
Bear,2026-10-31,20220134.74868103,2795411.8796217344,3310110.1151685556,0.0,-514698.23554682126,514698.23554682126,19705436.51313421,FY2026 Reforecast
Bear,2026-11-30,19705436.51313421,2812399.7888333956,3310294.9687232627,0.0,-497895.1798898671,497895.1798898671,19207541.333244342,FY2026 Reforecast
Bear,2026-12-31,19207541.333244342,2835401.440376276,3302046.962297562,0.0,-466645.5219212859,466645.5219212859,18740895.811323058,FY2026 Reforecast
Bear,2027-01-31,18740895.811323058,2847393.392618117,3293829.4755258565,0.0,-446436.08290773956,446436.08290773956,18294459.728415318,Forward Runway Projection
Bear,2027-02-28,18294459.728415318,2843427.430172135,3285642.38664521,0.0,-442214.95647307485,442214.95647307485,17852244.771942243,Forward Runway Projection
Bear,2027-03-31,17852244.771942243,2832400.1978921606,3277485.574406789,0.0,-445085.37651462853,445085.37651462853,17407159.395427614,Forward Runway Projection
Bear,2027-04-30,17407159.395427614,2827945.7766167414,3269358.9180736076,0.0,-441413.1414568662,441413.1414568662,16965746.25397075,Forward Runway Projection
Bear,2027-05-31,16965746.25397075,2830271.761082973,3261262.29741827,0.0,-430990.5363352969,430990.5363352969,16534755.71763545,Forward Runway Projection
Bear,2027-06-30,16534755.71763545,2841183.4281861186,3253195.592720737,0.0,-412012.1645346186,412012.1645346186,16122743.553100832,Forward Runway Projection
Bear,2027-07-31,16122743.553100832,2860636.40669308,3245158.6847660947,0.0,-384522.2780730147,384522.2780730147,15738221.275027817,Forward Runway Projection
Bear,2027-08-31,15738221.275027817,2881996.6939130854,3237151.454842335,0.0,-355154.7609292497,355154.7609292497,15383066.514098568,Forward Runway Projection
Bear,2027-09-30,15383066.514098566,2909693.0517347013,3229173.7847381434,0.0,-319480.7330034422,319480.7330034422,15063585.781095125,Forward Runway Projection
Bear,2027-10-31,15063585.781095127,2947803.56710639,3221225.5567407045,0.0,-273421.98963431455,273421.98963431455,14790163.791460812,Forward Runway Projection
Bear,2027-11-30,14790163.791460812,2990496.850178431,3213306.6536335093,0.0,-222809.8034550785,222809.8034550785,14567353.988005733,Forward Runway Projection
Bear,2027-12-31,14567353.988005731,3034576.9830317614,3205416.9586941763,0.0,-170839.97566241492,170839.97566241492,14396514.012343317,Forward Runway Projection
Bull,2026-07-31,21800000.0,2703510.202743595,3174195.380621286,0.0,-470685.1778776911,470685.1778776911,21329314.82212231,FY2026 Reforecast
Bull,2026-08-31,21329314.82212231,2764098.1627345327,3334180.9824637673,0.0,-570082.8197292346,570082.8197292346,20759232.002393074,FY2026 Reforecast
Bull,2026-09-30,20759232.002393074,2802651.4643833777,3322933.420180849,0.0,-520281.9557974711,520281.9557974711,20238950.046595603,FY2026 Reforecast
Bull,2026-10-31,20238950.046595603,2836560.119030913,3314661.7691647713,0.0,-478101.65013385843,478101.65013385843,19760848.396461744,FY2026 Reforecast
Bull,2026-11-30,19760848.396461744,2882771.96529417,3323215.518217541,0.0,-440443.5529233706,440443.5529233706,19320404.843538374,FY2026 Reforecast
Bull,2026-12-31,19320404.843538374,2948697.6764810104,3315109.768440696,0.0,-366412.09195968555,366412.09195968555,18953992.75157869,FY2026 Reforecast
Bull,2027-01-31,18953992.75157869,3006677.547959191,3306784.527301605,0.0,-300106.97934241407,300106.97934241407,18653885.772236273,Forward Runway Projection
Bull,2027-02-28,18653885.772236276,3053131.063951005,3298492.354196146,0.0,-245361.2902451409,245361.2902451409,18408524.481991135,Forward Runway Projection
Bull,2027-03-31,18408524.481991135,3095035.3191913874,3290233.061709618,0.0,-195197.7425182308,195197.7425182308,18213326.739472903,Forward Runway Projection
Bull,2027-04-30,18213326.739472903,3142270.1230246807,3282006.464578749,0.0,-139736.3415540685,139736.3415540685,18073590.397918835,Forward Runway Projection
Bull,2027-05-31,18073590.397918835,3194102.891068085,3273812.379648813,0.0,-79709.48858072795,79709.48858072795,17993880.909338105,Forward Runway Projection
Bull,2027-06-30,17993880.909338105,3251797.3971158992,3265650.6258317735,0.0,-13853.228715874255,13853.228715874255,17980027.68062223,Forward Runway Projection
Bull,2027-07-31,17980027.680622235,3315327.6578496923,3257521.024065411,0.0,57806.63378428109,-57806.63378428109,18037834.314406514,Forward Runway Projection
Bull,2027-08-31,18037834.314406514,3379999.8993762797,3249423.3972734245,0.0,130576.50210285513,-130576.50210285513,18168410.81650937,Forward Runway Projection
Bull,2027-09-30,18168410.81650937,3448956.3410982094,3241357.5703264666,0.0,207598.7707717428,-207598.7707717428,18376009.58728111,Forward Runway Projection
Bull,2027-10-31,18376009.58728111,3525090.679315556,3233323.3700041124,0.0,291767.3093114435,-291767.3093114435,18667776.896592554,Forward Runway Projection
Bull,2027-11-30,18667776.896592557,3604186.3685707054,3225195.22556217,0.0,378991.14300853526,-378991.14300853526,19046768.03960109,Forward Runway Projection
Bull,2027-12-31,19046768.039601088,3683813.0479359142,3217095.680461773,0.0,466717.36747414107,-466717.36747414107,19513485.40707523,Forward Runway Projection
