month_end_date,cost_center,department,segment,total_cost,segment_cost_share_pct,segment_cost,allocation_basis,new_logo_pct,new_logo_allocated_cost
2024-01-31,CC-1110,Product Marketing,Mid-Market,145969.29,0.4375,63861.564375,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-01-31,CC-1110,Product Marketing,SMB,145969.29,0.3125,45615.403125000004,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-01-31,CC-1200,Customer Success,Enterprise,88448.02,0.25,22112.005,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-01-31,CC-1200,Customer Success,Mid-Market,88448.02,0.4375,38696.00875,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-01-31,CC-1200,Customer Success,SMB,88448.02,0.3125,27640.006250000002,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-02-29,CC-1000,Sales - SMB,Enterprise,92459.53,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-02-29,CC-1000,Sales - SMB,Mid-Market,92459.53,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-02-29,CC-1000,Sales - SMB,SMB,92459.53,1.0,92459.53,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,80255.70004533813
2024-02-29,CC-1010,Sales - Mid-Market,Enterprise,115484.93,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-02-29,CC-1010,Sales - Mid-Market,Mid-Market,115484.93,1.0,115484.93,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,47900.64065322601
2024-02-29,CC-1010,Sales - Mid-Market,SMB,115484.93,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-02-29,CC-1020,Sales - Enterprise,Enterprise,67887.31,1.0,67887.31,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,38951.27192913622
2024-02-29,CC-1020,Sales - Enterprise,Mid-Market,67887.31,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-02-29,CC-1020,Sales - Enterprise,SMB,67887.31,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-02-29,CC-1030,Sales Development,Enterprise,65172.66,0.25,16293.165,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,16293.165
2024-02-29,CC-1030,Sales Development,Mid-Market,65172.66,0.4375,28513.03875,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,28513.03875
2024-02-29,CC-1030,Sales Development,SMB,65172.66,0.3125,20366.456250000003,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,20366.456250000003
2024-02-29,CC-1040,Sales Operations,Enterprise,49284.63,0.25,12321.1575,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6663.469159388351
2024-02-29,CC-1040,Sales Operations,Mid-Market,49284.63,0.4375,21562.025625,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,11661.071028929613
2024-02-29,CC-1040,Sales Operations,SMB,49284.63,0.3125,15401.446875,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8329.33644923544
2024-02-29,CC-1050,Solutions Engineering,Enterprise,37500.49,0.25,9375.1225,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5070.20867513769
2024-02-29,CC-1050,Solutions Engineering,Mid-Market,37500.49,0.4375,16406.464375,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8872.865181490957
2024-02-29,CC-1050,Solutions Engineering,SMB,37500.49,0.3125,11718.903124999999,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6337.760843922112
2024-02-29,CC-1060,Sales Leadership,Enterprise,21716.36,0.25,5429.09,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,2936.1343508954988
2024-02-29,CC-1060,Sales Leadership,Mid-Market,21716.36,0.4375,9500.907500000001,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5138.235114067123
2024-02-29,CC-1060,Sales Leadership,SMB,21716.36,0.3125,6786.3625,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,3670.167938619373
2024-02-29,CC-1100,Demand Generation,Enterprise,293851.43,0.25,73462.8575,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,73462.8575
2024-02-29,CC-1100,Demand Generation,Mid-Market,293851.43,0.4375,128560.000625,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,128560.000625
2024-02-29,CC-1100,Demand Generation,SMB,293851.43,0.3125,91828.571875,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,91828.571875
2024-02-29,CC-1110,Product Marketing,Enterprise,149707.90,0.25,37426.975,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-02-29,CC-1110,Product Marketing,Mid-Market,149707.90,0.4375,65497.206249999996,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-02-29,CC-1110,Product Marketing,SMB,149707.90,0.3125,46783.71875,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-02-29,CC-1200,Customer Success,Enterprise,84637.94,0.25,21159.485,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-02-29,CC-1200,Customer Success,Mid-Market,84637.94,0.4375,37029.098750000005,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-02-29,CC-1200,Customer Success,SMB,84637.94,0.3125,26449.35625,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-03-31,CC-1000,Sales - SMB,Enterprise,87516.70,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-03-31,CC-1000,Sales - SMB,Mid-Market,87516.70,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-03-31,CC-1000,Sales - SMB,SMB,87516.70,1.0,87516.7,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,75965.27934067849
2024-03-31,CC-1010,Sales - Mid-Market,Enterprise,122637.67,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-03-31,CC-1010,Sales - Mid-Market,Mid-Market,122637.67,1.0,122637.67,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,50867.44184906997
2024-03-31,CC-1010,Sales - Mid-Market,SMB,122637.67,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-03-31,CC-1020,Sales - Enterprise,Enterprise,73631.67,1.0,73631.67,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,42247.17698736954
2024-03-31,CC-1020,Sales - Enterprise,Mid-Market,73631.67,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-03-31,CC-1020,Sales - Enterprise,SMB,73631.67,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-03-31,CC-1030,Sales Development,Enterprise,65102.82,0.25,16275.705,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,16275.705
2024-03-31,CC-1030,Sales Development,Mid-Market,65102.82,0.4375,28482.48375,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,28482.48375
2024-03-31,CC-1030,Sales Development,SMB,65102.82,0.3125,20344.63125,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,20344.63125
2024-03-31,CC-1040,Sales Operations,Enterprise,49343.38,0.25,12335.845,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6671.412382521285
2024-03-31,CC-1040,Sales Operations,Mid-Market,49343.38,0.4375,21587.72875,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,11674.971669412247
2024-03-31,CC-1040,Sales Operations,SMB,49343.38,0.3125,15419.80625,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8339.265478151605
2024-03-31,CC-1050,Solutions Engineering,Enterprise,37704.16,0.25,9426.04,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5097.745632677854
2024-03-31,CC-1050,Solutions Engineering,Mid-Market,37704.16,0.4375,16495.57,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8921.054857186242
2024-03-31,CC-1050,Solutions Engineering,SMB,37704.16,0.3125,11782.550000000001,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6372.182040847317
2024-03-31,CC-1060,Sales Leadership,Enterprise,21490.42,0.25,5372.605,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,2905.5864047737114
2024-03-31,CC-1060,Sales Leadership,Mid-Market,21490.42,0.4375,9402.05875,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5084.776208353996
2024-03-31,CC-1060,Sales Leadership,SMB,21490.42,0.3125,6715.756249999999,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,3631.983005967139
2024-03-31,CC-1100,Demand Generation,Enterprise,341577.30,0.25,85394.325,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,85394.325
2024-03-31,CC-1100,Demand Generation,Mid-Market,341577.30,0.4375,149440.06875,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,149440.06875
2024-03-31,CC-1100,Demand Generation,SMB,341577.30,0.3125,106742.90625,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,106742.90625
2024-03-31,CC-1110,Product Marketing,Enterprise,170393.40,0.25,42598.35,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-03-31,CC-1110,Product Marketing,Mid-Market,170393.40,0.4375,74547.1125,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-03-31,CC-1110,Product Marketing,SMB,170393.40,0.3125,53247.9375,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-03-31,CC-1200,Customer Success,Enterprise,84707.28,0.25,21176.82,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-03-31,CC-1200,Customer Success,Mid-Market,84707.28,0.4375,37059.435,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-03-31,CC-1200,Customer Success,SMB,84707.28,0.3125,26471.025,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-04-30,CC-1000,Sales - SMB,Enterprise,103599.52,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-04-30,CC-1000,Sales - SMB,Mid-Market,103599.52,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-04-30,CC-1000,Sales - SMB,SMB,103599.52,1.0,103599.52,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,89925.3111275929
2024-04-30,CC-1010,Sales - Mid-Market,Enterprise,117054.03,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-04-30,CC-1010,Sales - Mid-Market,Mid-Market,117054.03,1.0,117054.03,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,48551.46925267164
2024-04-30,CC-1010,Sales - Mid-Market,SMB,117054.03,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-04-30,CC-1020,Sales - Enterprise,Enterprise,69264.03,1.0,69264.03,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,39741.18384478409
2024-04-30,CC-1020,Sales - Enterprise,Mid-Market,69264.03,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-04-30,CC-1020,Sales - Enterprise,SMB,69264.03,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-04-30,CC-1030,Sales Development,Enterprise,78300.61,0.25,19575.1525,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,19575.1525
2024-04-30,CC-1030,Sales Development,Mid-Market,78300.61,0.4375,34256.516875,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,34256.516875
2024-04-30,CC-1030,Sales Development,SMB,78300.61,0.3125,24468.940625,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,24468.940625
2024-04-30,CC-1040,Sales Operations,Enterprise,49338.24,0.25,12334.56,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6670.717434999527
2024-04-30,CC-1040,Sales Operations,Mid-Market,49338.24,0.4375,21585.48,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,11673.755511249172
2024-04-30,CC-1040,Sales Operations,SMB,49338.24,0.3125,15418.199999999999,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8338.396793749407
2024-04-30,CC-1050,Solutions Engineering,Enterprise,37533.09,0.25,9383.2725,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5074.616318952731
2024-04-30,CC-1050,Solutions Engineering,Mid-Market,37533.09,0.4375,16420.726875,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8880.578558167279
2024-04-30,CC-1050,Solutions Engineering,SMB,37533.09,0.3125,11729.090624999999,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6343.270398690913
2024-04-30,CC-1060,Sales Leadership,Enterprise,21518.06,0.25,5379.515,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,2909.3234377506355
2024-04-30,CC-1060,Sales Leadership,Mid-Market,21518.06,0.4375,9414.15125,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5091.316016063613
2024-04-30,CC-1060,Sales Leadership,SMB,21518.06,0.3125,6724.39375,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,3636.6542971882945
2024-04-30,CC-1100,Demand Generation,Enterprise,314981.25,0.25,78745.3125,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,78745.3125
2024-04-30,CC-1100,Demand Generation,Mid-Market,314981.25,0.4375,137804.296875,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,137804.296875
2024-04-30,CC-1100,Demand Generation,SMB,314981.25,0.3125,98431.640625,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,98431.640625
2024-04-30,CC-1110,Product Marketing,Enterprise,160695.79,0.25,40173.9475,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-04-30,CC-1110,Product Marketing,Mid-Market,160695.79,0.4375,70304.408125,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-04-30,CC-1110,Product Marketing,SMB,160695.79,0.3125,50217.434375000004,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-04-30,CC-1200,Customer Success,Enterprise,84773.87,0.25,21193.4675,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-04-30,CC-1200,Customer Success,Mid-Market,84773.87,0.4375,37088.568125,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-04-30,CC-1200,Customer Success,SMB,84773.87,0.3125,26491.834375,Customer Success -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
2024-05-31,CC-1000,Sales - SMB,Enterprise,99008.58,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-05-31,CC-1000,Sales - SMB,Mid-Market,99008.58,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-05-31,CC-1000,Sales - SMB,SMB,99008.58,1.0,99008.58,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,85940.33409422332
2024-05-31,CC-1010,Sales - Mid-Market,Enterprise,122222.71,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-05-31,CC-1010,Sales - Mid-Market,Mid-Market,122222.71,1.0,122222.71,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,50695.32545392246
2024-05-31,CC-1010,Sales - Mid-Market,SMB,122222.71,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-05-31,CC-1020,Sales - Enterprise,Enterprise,73466.76,1.0,73466.76,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,42152.557621042695
2024-05-31,CC-1020,Sales - Enterprise,Mid-Market,73466.76,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-05-31,CC-1020,Sales - Enterprise,SMB,73466.76,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-05-31,CC-1030,Sales Development,Enterprise,77931.05,0.25,19482.7625,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,19482.7625
2024-05-31,CC-1030,Sales Development,Mid-Market,77931.05,0.4375,34094.834375,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,34094.834375
2024-05-31,CC-1030,Sales Development,SMB,77931.05,0.3125,24353.453125,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,24353.453125
2024-05-31,CC-1040,Sales Operations,Enterprise,49240.32,0.25,12310.08,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6657.478279098644
2024-05-31,CC-1040,Sales Operations,Mid-Market,49240.32,0.4375,21542.64,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,11650.586988422627
2024-05-31,CC-1040,Sales Operations,SMB,49240.32,0.3125,15387.6,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8321.847848873305
