month_end_date,fiscal_year,fiscal_quarter,segment,billings,scheduled_billings,proration_billings,arrears_billings,subscription_revenue,billings_less_revenue,ttm_billings,ttm_subscription_revenue,ttm_billings_to_revenue,billings_yoy_growth,ending_deferred_revenue,ending_unbilled_receivable,ending_net_contract_liability,contracts_in_force,contracts_invoiced_in_advance
2024-04-30,2024,2024Q2,Total,1972359.18,590573.8600000001,1163091.33,218693.99,1711709.98,260649.19999999995,,,,,7393524.560000001,215882.38000000015,7177642.180000002,782,88
2024-04-30,2024,2024Q2,SMB,339055.4099999999,54528.780000000006,93652.31000000001,190874.31999999998,290622.52999999997,48432.87999999995,,,,,427403.7899999998,188062.71000000002,239341.07999999978,510,46
2024-04-30,2024,2024Q2,Enterprise,721760.8200000001,218006.76,503754.06000000006,0.0,706227.7500000002,15533.069999999832,,,,,3759292.8199999994,7.275957614183426e-11,3759292.8199999994,44,2
2024-04-30,2024,2024Q2,Mid-Market,911542.95,318038.32,565684.9600000001,27819.67,714859.6999999997,196683.25000000023,,,,,3206827.9500000016,27819.670000000067,3179008.2800000017,228,40
2024-05-31,2024,2024Q2,SMB,338200.6300000001,91578.23,58559.69,188062.71000000002,294030.88,44169.75000000012,,,,,472472.01999999996,188961.18999999994,283510.83,508,44
2024-05-31,2024,2024Q2,Total,1378170.9500000002,830416.03,331872.54,215882.38,1747022.6400000001,-368851.68999999994,,,,,7025571.349999998,216780.8600000002,6808790.489999997,781,76
2024-05-31,2024,2024Q2,Enterprise,557810.78,546457.56,11353.220000000001,0.0,726967.8500000003,-169157.0700000003,,,,,3590135.7499999986,1.5279510989785194e-10,3590135.7499999986,45,4
2024-05-31,2024,2024Q2,Mid-Market,482159.54,192380.24000000002,261959.63,27819.67,726023.9099999998,-243864.36999999982,,,,,2962963.58,27819.670000000082,2935143.91,228,28
2024-06-30,2024,2024Q2,Total,1786320.2699999998,1203813.57,365725.8399999999,216780.85999999993,1795361.1199999999,-9040.850000000093,,,,,7020538.889999998,220789.25000000015,6799749.639999998,787,109
2024-06-30,2024,2024Q2,SMB,323778.41,85198.74999999999,49618.469999999994,188961.18999999994,300251.06,23527.349999999977,,,,,496706.7700000002,189668.58999999997,307038.1800000002,510,46
2024-06-30,2024,2024Q2,Enterprise,870925.25,782538.8300000001,88386.42,0.0,760490.7000000002,110434.54999999981,,,,,3700570.2999999984,1.0913936421275139e-10,3700570.2999999984,46,12
2024-06-30,2024,2024Q2,Mid-Market,591616.6099999998,336075.99000000005,227720.94999999995,27819.67,734619.3599999996,-143002.74999999988,,,,,2823261.8199999994,31120.66000000007,2792141.159999999,231,51
2024-07-31,2024,2024Q3,Total,1578420.51,563163.5100000001,794467.7500000002,220789.24999999997,1833825.0299999996,-255404.51999999955,,,,,6767507.389999999,223162.27000000008,6544345.119999998,785,82
2024-07-31,2024,2024Q3,Mid-Market,1074501.27,447733.5400000001,595647.0700000002,31120.659999999996,770012.5299999993,304488.7400000007,,,,,3129683.3399999994,33053.44000000003,3096629.8999999994,233,43
2024-07-31,2024,2024Q3,SMB,287166.20999999996,44043.98,53453.64,189668.58999999997,301624.03,-14457.820000000065,,,,,482689.18999999965,190108.82999999996,292580.3599999997,506,35
2024-07-31,2024,2024Q3,Enterprise,216753.03,71385.99,145367.04,0.0,762188.4700000002,-545435.4400000002,,,,,3155134.8599999994,8.731149137020111e-11,3155134.8599999994,46,4
2024-08-31,2024,2024Q3,Enterprise,539088.93,303449.89999999997,235639.03,0.0,740217.6100000002,-201128.68000000017,,,,,2954006.18,5.093170329928398e-11,2954006.18,45,5
2024-08-31,2024,2024Q3,Total,1433076.42,537197.2899999999,672716.8599999999,223162.26999999996,1832367.5099999998,-399291.08999999985,,,,,6369835.199999999,224781.17000000013,6145054.029999999,785,68
2024-08-31,2024,2024Q3,SMB,267678.79999999993,56962.38,20607.59,190108.82999999996,302889.10000000015,-35210.30000000022,,,,,448774.31999999983,191404.26,257370.05999999982,505,31
2024-08-31,2024,2024Q3,Mid-Market,626308.6899999998,176785.00999999998,416470.23999999993,33053.44,789260.7999999993,-162952.10999999952,,,,,2967054.6999999983,33376.91000000006,2933677.789999998,235,32
2024-09-30,2024,2024Q3,SMB,253144.41000000003,39493.520000000004,22246.63,191404.26,306743.9200000003,-53599.51000000024,,,,,400486.45999999996,196715.9100000001,203770.54999999987,511,28
2024-09-30,2024,2024Q3,Mid-Market,621752.5799999997,289313.64,299062.0300000001,33376.91,803678.1899999994,-181925.60999999964,,,,,2785129.0899999994,33376.910000000076,2751752.1799999992,239,49
2024-09-30,2024,2024Q3,Enterprise,646501.25,354130.44,292370.81,0.0,756550.6000000002,-110049.35000000021,,,,,2843956.8299999987,1.2369127944111824e-10,2843956.8299999987,46,11
2024-09-30,2024,2024Q3,Total,1521398.2399999998,682937.6000000001,613679.4700000001,224781.17,1866972.71,-345574.4700000002,,,,,6029572.379999998,230092.8200000003,5799479.559999998,796,88
2024-10-31,2024,2024Q4,SMB,302533.1800000001,70115.17,35702.1,196715.9100000001,312249.4600000001,-9716.27999999997,,,,,393503.30999999994,199449.04000000004,194054.2699999999,517,38
2024-10-31,2024,2024Q4,Enterprise,1190400.63,964215.35,226185.28,0.0,769425.6600000001,420974.96999999974,,,,,3264931.7999999993,7.275957614183426e-12,3264931.7999999993,46,6
2024-10-31,2024,2024Q4,Mid-Market,621688.37,241448.47,346862.99,33376.91,814635.2399999995,-192946.86999999953,,,,,2593891.43,35086.12000000004,2558805.31,240,44
2024-10-31,2024,2024Q4,Total,2114622.1799999997,1275778.99,608750.37,230092.8200000001,1896310.3599999999,218311.81999999983,,,,,6252326.539999999,234535.1600000001,6017791.379999999,803,88
2024-11-30,2024,2024Q4,Total,1711494.4500000002,869214.83,607744.46,234535.16000000003,1942214.7499999995,-230720.29999999935,22038727.089999996,21027753.549999997,1.0480780572968051,,6023793.679999999,236722.60000000036,5787071.079999998,801,77
2024-11-30,2024,2024Q4,SMB,342542.4799999999,87443.76,55649.68,199449.04000000004,317636.67000000004,24905.80999999988,3613534.9200000004,3587609.5300000003,1.0072263689186933,,420596.5599999999,201636.48,218960.07999999987,514,34
2024-11-30,2024,2024Q4,Enterprise,662769.71,535966.6499999999,126803.06000000001,0.0,787308.5100000001,-124538.80000000016,9335758.45,8523135.400000002,1.0953432055062737,,3140393.0,2.15550244320184e-10,3140393.0,47,6
2024-11-30,2024,2024Q4,Mid-Market,706182.2600000001,245804.42000000004,425291.7199999999,35086.12,837269.5699999996,-131087.30999999947,9089433.72,8917008.619999994,1.0193366528336951,,2462804.1199999996,35086.120000000126,2427717.9999999995,240,37
2024-12-31,2024,2024Q4,Enterprise,1370303.24,1202454.1300000001,167849.11000000002,0.0,840082.8800000001,530220.3599999999,9965424.39,8759622.480000002,1.13765455220851,0.8501677406741466,3670613.3599999994,2.4283508537337184e-10,3670613.359999999,49,16
2024-12-31,2024,2024Q4,Total,2697618.67,1959465.2600000002,501430.81,236722.6,2041266.4499999997,656352.2200000002,22912148.919999994,21521425.249999996,1.0646204261030527,0.47879801721397586,6697503.529999999,254080.23000000036,6443423.299999999,821,181
2024-12-31,2024,2024Q4,Mid-Market,983358.1699999999,647833.79,300438.25999999995,35086.12,871689.5599999996,111668.61000000034,9293181.05,9125969.129999995,1.0183226479969483,0.2613449166509796,2584269.1399999997,44882.53000000019,2539386.6099999994,244,93
2024-12-31,2024,2024Q4,SMB,343957.26,109177.34000000001,33143.44,201636.48,329494.01000000007,14463.249999999942,3653543.4800000004,3635833.6400000006,1.004870915931126,0.13162931771052144,442621.02999999997,209197.69999999992,233423.33000000005,528,72
2025-01-31,2025,2025Q1,Mid-Market,1275516.71,361110.0199999999,869524.1599999999,44882.53,857839.1399999997,417677.5700000003,9422378.92,9310031.239999995,1.012067379486044,0.11270674919728263,3001946.709999999,44882.53000000016,2957064.179999999,240,40
2025-01-31,2025,2025Q1,SMB,372558.7399999997,62647.420000000006,100713.62000000001,209197.69999999992,331036.14,41522.599999999686,3760138.2100000004,3676893.2900000005,1.0226400152069683,0.40078629435614177,487980.84999999974,213034.91999999993,274945.9299999998,527,38
2025-01-31,2025,2025Q1,Total,2945930.26,972980.58,1718869.4500000002,254080.22999999992,2056898.2199999997,889032.04,23677457.239999995,22002665.289999995,1.0761176851952194,0.35095873611177186,7590372.789999999,257917.4500000003,7332455.339999999,817,87
2025-01-31,2025,2025Q1,Enterprise,1297854.81,549223.14,748631.67,0.0,868022.9400000002,429831.8699999999,10494940.110000001,9015740.760000002,1.1640685318462949,0.6891693093475175,4100445.23,2.3646862246096134e-10,4100445.2299999995,50,9
2025-02-28,2025,2025Q1,Mid-Market,766219.2599999999,307227.99,414108.74,44882.53,884634.4399999998,-118415.17999999993,9599560.29,9502570.409999995,1.0102066994313388,0.30079791641247366,2884742.0200000005,46093.02000000015,2838649.0000000005,241,44
2025-02-28,2025,2025Q1,Enterprise,1127864.48,490159.26,637705.22,0.0,881678.6200000002,246185.85999999975,10442647.63,9273724.470000003,1.1260467856017722,-0.04430976706691625,4346631.09,2.5283952709287405e-10,4346631.09,51,8
2025-02-28,2025,2025Q1,SMB,349729.05999999994,70247.52,66446.61999999998,213034.91999999993,336381.56,13347.499999999942,3830008.26,3721106.2700000005,1.0292660252350168,0.24966160639244706,502582.6000000001,214289.16999999987,288293.4300000002,527,35
2025-02-28,2025,2025Q1,Total,2243812.8,867634.77,1118260.5799999998,257917.44999999992,2102694.62,141118.1799999997,23872216.179999996,22497401.15,1.0611099486928959,0.09504822874690055,7733955.710000001,260382.19000000026,7473573.5200000005,819,87
2025-03-31,2025,2025Q1,Mid-Market,1514685.4100000001,584222.24,884370.15,46093.020000000004,918249.8299999998,596435.5800000003,10175531.82,9722772.269999994,1.046566919128304,0.6135751715954172,3481962.74,46878.160000000054,3435084.58,245,75
2025-03-31,2025,2025Q1,Total,3033096.99,1641413.93,1131300.87,260382.1899999999,2151194.1199999996,881902.8700000006,24416320.92,22977837.509999998,1.0626030804410542,0.21860443317973388,8622826.389999999,267350.0,8355476.389999999,836,142
2025-03-31,2025,2025Q1,Enterprise,1174590.59,996723.6199999999,177866.97,0.0,887417.3000000002,287173.2899999999,10376623.52,9486578.890000002,1.0938214545328044,-0.05321886803372544,4633804.379999999,5.820766091346741e-11,4633804.379999999,52,14
2025-03-31,2025,2025Q1,SMB,343820.99000000005,60468.07000000001,69063.75,214289.16999999987,345526.98999999976,-1705.999999999709,3864165.58,3768486.3500000006,1.025389299871021,0.11030457657496551,507059.26999999996,220471.83999999988,286587.43000000005,539,53
2025-04-30,2025,2025Q2,Mid-Market,1313506.6999999995,416057.22,850571.3200000001,46878.16,950488.7099999996,363017.9899999999,10577495.569999998,9958401.279999994,1.0621680400892628,0.4409707189332106,3844980.730000001,46878.160000000054,3798102.5700000008,248,37
2025-04-30,2025,2025Q2,SMB,328059.72999999986,47474.91,60112.97999999998,220471.83999999988,348159.3599999997,-20099.62999999983,3853169.9,3826023.18,1.0070952837248623,-0.03243033343723978,491939.5199999997,225451.71999999986,266487.7999999999,534,35
2025-04-30,2025,2025Q2,Enterprise,1047629.83,345411.18,702218.6499999999,0.0,903822.7700000003,143807.0599999997,10702492.530000001,9684173.91,1.1051528637820591,0.4514916866781433,4777611.4399999995,1.1641532182693481e-10,4777611.4399999995,52,3
2025-04-30,2025,2025Q2,Total,2689196.2599999993,808943.31,1612902.95,267349.9999999999,2202470.84,486725.41999999946,25133158.0,23468598.369999997,1.0709271002791465,0.36344144984789195,9114531.690000001,272329.88,8842201.81,834,75
2025-05-31,2025,2025Q2,SMB,352622.95999999973,80069.4,47101.84,225451.71999999986,346930.9399999999,5692.019999999844,3867592.2299999995,3878923.24,0.9970788259269598,0.04264430258453267,496340.64,224160.81999999977,272179.82000000024,529,46
2025-05-31,2025,2025Q2,Enterprise,326470.55,315058.33999999997,11412.209999999997,0.0,905745.2200000002,-579274.6700000002,10471152.3,9862951.280000001,1.0616652158906335,-0.4147288619986871,4198336.7700000005,2.9831426218152046e-10,4198336.7700000005,52,5
2025-05-31,2025,2025Q2,Mid-Market,765885.3699999999,311982.75000000006,407024.45999999996,46878.16,963251.3399999996,-197365.96999999974,10861221.399999997,10195628.709999995,1.0652821624768642,0.5884480269746397,3647614.7600000007,46878.16000000015,3600736.6000000006,248,37
2025-05-31,2025,2025Q2,Total,1444978.8799999997,707110.49,465538.50999999995,272329.8799999999,2215927.5,-770948.6200000003,25199965.929999996,23937503.23,1.0527399490193194,0.04847579322434514,8342292.170000002,271038.9800000002,8071253.190000001,829,88
2025-06-30,2025,2025Q2,Enterprise,915668.87,738560.62,177108.25,0.0,911409.6600000001,4259.209999999846,10515895.92,10013870.240000002,1.0501330322810332,0.05137481086924511,4202595.9799999995,6.548361852765083e-11,4202595.9799999995,53,12
2025-06-30,2025,2025Q2,Mid-Market,1098632.9899999995,553013.64,498741.18999999994,46878.16,992236.04,106396.94999999949,11368237.78,10453245.389999997,1.0875318961588065,0.8570015977070016,3754302.9699999993,47169.42000000011,3707133.5499999993,251,61
2025-06-30,2025,2025Q2,Total,2388047.7499999995,1376215.73,740793.0399999999,271038.97999999975,2261480.91,126566.83999999939,25801693.409999993,24403623.02,1.05728946021065,0.33685307730399305,8477772.129999999,279952.10000000003,8197820.029999999,838,130
2025-06-30,2025,2025Q2,SMB,373745.88999999996,84641.46999999999,64943.6,224160.81999999977,357835.2100000001,15910.679999999877,3917559.7099999995,3936507.39,0.9951866773962793,0.15432616399592547,520873.18000000005,232782.67999999988,288090.5000000002,534,57
2025-07-31,2025,2025Q3,Enterprise,469451.32,171103.0,298348.32,0.0,913018.7300000001,-443567.4100000001,10768594.21,10164700.500000002,1.0594108709843442,1.1658350981298855,3759028.57,1.0186340659856796e-10,3759028.57,53,4
2025-07-31,2025,2025Q3,Mid-Market,1187699.5200000003,340287.82,800242.2800000001,47169.420000000006,1015080.8399999999,172618.6800000004,11481436.029999997,10698313.699999996,1.0732005390718728,0.1053495730163263,3926921.6499999985,47169.42000000003,3879752.2299999986,253,38
2025-07-31,2025,2025Q3,Total,2019575.9200000004,554267.71,1185356.11,279952.09999999986,2288974.7399999998,-269398.81999999937,26242848.819999997,24858772.729999997,1.055677571255546,0.2794916862807366,8210778.759999999,282357.54999999993,7928421.209999999,842,72
2025-07-31,2025,2025Q3,SMB,362425.07999999996,42876.89,86765.51,232782.67999999988,360875.1700000001,1549.909999999858,3992818.5799999996,3995758.5300000003,0.99926423231586,0.2620742530954461,524828.54,235188.12999999983,289640.4100000002,536,30
2025-08-31,2025,2025Q3,Enterprise,765214.9,549610.86,215604.03999999998,0.0,918093.5400000002,-152878.64000000013,10994720.180000002,10342576.430000003,1.0630542838541053,0.4194594943732195,3606149.9299999997,5.820766091346741e-11,3606149.9299999997,53,4
2025-08-31,2025,2025Q3,Mid-Market,947409.82,327083.47000000003,573156.9300000002,47169.420000000006,1033836.2399999999,-86426.41999999993,11802537.159999998,10942889.139999997,1.0785576833505235,0.5126882879431232,3840495.2300000004,47169.420000000064,3793325.8100000005,254,39
2025-08-31,2025,2025Q3,Total,2069946.3,945452.3300000001,842136.4200000002,282357.5499999998,2316106.73,-246160.42999999993,26879718.7,25342511.95,1.0606572368608471,0.4444074796792763,7963323.34,281062.56,7682260.78,843,72
2025-08-31,2025,2025Q3,SMB,357321.5800000001,68758.0,53375.450000000004,235188.12999999983,364176.95,-6855.369999999937,4082461.36,4057046.3800000004,1.006264404598697,0.33488935246272833,516678.18000000005,233893.13999999987,282785.04000000015,536,29
2025-09-30,2025,2025Q3,SMB,322639.41000000015,67751.61000000002,20994.659999999996,233893.13999999987,369001.2200000001,-46361.80999999994,4151956.36,4119303.68,1.0079267474642704,0.2745270970036435,474394.6400000001,237971.40999999986,236423.2300000002,540,38
2025-09-30,2025,2025Q3,Enterprise,320701.6,319471.3,1230.300000000003,0.0,920487.3700000001,-599785.7700000001,10668920.530000001,10506513.200000003,1.0154577762297008,-0.5039427998012378,3006364.16,2.3283064365386963e-10,3006364.16,53,11
2025-09-30,2025,2025Q3,Total,1574919.5900000003,993689.49,300167.54,281062.5599999999,2343197.61,-768278.0199999996,26933240.05,25818736.849999994,1.0431664494849215,0.03517905344757111,7199123.590000001,285140.8300000002,6913982.760000001,847,101
2025-09-30,2025,2025Q3,Mid-Market,931578.5800000001,606466.5800000001,277942.58,47169.420000000006,1053709.0199999998,-122130.43999999971,12112363.159999998,11192919.969999997,1.0821450696033166,0.49831075891956966,3718364.7900000005,47169.420000000086,3671195.3700000006,254,52
2025-10-31,2025,2025Q4,SMB,349286.5900000002,76901.93999999999,34413.24,237971.40999999986,377564.7,-28278.10999999981,4198709.77,4184618.92,1.0033672958683655,0.154539776430473,448075.74,239930.61999999997,208145.12000000002,544,38
2025-10-31,2025,2025Q4,Enterprise,1248907.6300000001,797761.1399999999,451146.49,0.0,925688.0700000002,323219.55999999994,10727427.530000001,10662775.610000003,1.0060633293210601,0.04914899952631924,3329583.7199999993,5.820766091346741e-11,3329583.7199999993,54,8
2025-10-31,2025,2025Q4,Mid-Market,1002212.97,515140.19000000006,439903.36,47169.420000000006,1092769.3999999997,-90556.4299999997,12492887.76,11471054.129999997,1.0890793137596328,0.6120825454720988,3627808.3600000003,47169.420000000064,3580638.9400000004,254,45
2025-10-31,2025,2025Q4,Total,2600407.1900000004,1389803.27,925463.09,285140.82999999984,2396022.17,204385.02000000048,27419025.060000002,26318448.659999996,1.0418176775621548,0.22972662189706194,7405467.82,287100.0400000001,7118367.78,852,91
2025-11-30,2025,2025Q4,Total,2635447.7700000005,1362619.41,985728.3200000001,287100.04,2449036.3100000005,186411.45999999996,28342978.38,26825270.22,1.0565775534618267,0.5398517769076028,7598248.900000001,293469.6600000005,7304779.240000001,858,85
2025-11-30,2025,2025Q4,Enterprise,1275369.6300000001,921293.57,354076.05999999994,0.0,950343.7500000003,325025.8799999998,11340027.450000001,10825810.850000001,1.0474991302845458,0.9243028321255058,3654609.5999999996,3.92901711165905e-10,3654609.599999999,54,9
2025-11-30,2025,2025Q4,Mid-Market,941025.65,340356.64999999997,553499.5800000001,47169.420000000006,1112871.3599999999,-171845.70999999985,12727731.15,11746655.919999998,1.0835195341279735,0.3325535110440183,3457782.6600000015,48989.43000000015,3408793.2300000014,257,40
2025-11-30,2025,2025Q4,SMB,419052.4900000002,100969.19,78152.68000000001,239930.61999999997,385821.19999999995,33231.29000000027,4275219.779999999,4252803.45,1.0052709536811533,0.22335918745026984,485856.63999999984,244480.22999999995,241376.4099999999,547,36
2025-12-31,2025,2025Q4,SMB,488956.73000000004,177244.40999999997,67232.09,244480.22999999995,398429.3399999998,90527.39000000025,4420219.25,4321738.779999999,1.0227872333366712,0.4215624638944968,583902.6299999998,251998.83,331903.7999999998,561,83
2025-12-31,2025,2025Q4,Enterprise,1529909.56,1426512.81,103396.75,0.0,966816.3700000002,563093.1899999998,11499633.770000001,10952544.340000004,1.0499508984411925,0.11647518252967126,4217702.789999998,2.1645973902195692e-10,4217702.789999998,55,18
2025-12-31,2025,2025Q4,Mid-Market,1327081.89,937440.7099999998,340651.75,48989.43000000001,1150530.61,176551.2799999998,13071454.870000001,12025496.969999997,1.0869783512988573,0.34954071719361424,3634333.9400000004,48989.4300000002,3585344.5100000002,264,101
2025-12-31,2025,2025Q4,Total,3345948.18,2541197.93,511280.58999999997,293469.66,2515776.3200000003,830171.8599999999,28991307.889999997,27299780.090000004,1.0619612243916794,0.24033400910589053,8435939.359999998,300988.2600000004,8134951.099999997,880,202
2026-01-31,2026,2026Q1,Enterprise,1308131.0999999999,474190.60000000003,833940.5,0.0,953334.1100000002,354796.98999999964,11509910.06,11037855.510000002,1.0427668716601997,0.007917904160635425,4572499.78,7.639755494892597e-11,4572499.78,55,10
2026-01-31,2026,2026Q1,SMB,402183.0,52913.68,97270.48999999999,251998.83,395892.55,6290.450000000012,4449843.51,4386595.1899999995,1.0144185449672187,0.07951567583678298,590788.5400000002,252594.29,338194.2500000001,555,38
2026-01-31,2026,2026Q1,Mid-Market,2050707.9399999997,445447.7899999999,1556270.7199999997,48989.43000000001,1165844.1199999996,884863.8200000001,13846646.1,12333501.949999996,1.1226856862012338,0.6077468244222373,4522586.190000001,52377.860000000175,4470208.330000001,264,48
2026-01-31,2026,2026Q1,Total,3761022.0399999996,972552.07,2487481.71,300988.26,2515070.78,1245951.2599999998,29806399.669999998,27757952.650000006,1.0737967618083675,0.27668400405378235,9685874.510000004,304972.15000000026,9380902.360000003,874,96
2026-02-28,2026,2026Q1,SMB,396871.41000000027,73915.25000000001,70361.87,252594.29,394641.50999999983,2229.9000000004307,4496985.86,4444855.14,1.011728328226238,0.13479677668192735,590873.2499999999,250449.09999999998,340424.1499999999,549,40
2026-02-28,2026,2026Q1,Mid-Market,1373963.5199999998,421310.32999999996,900275.33,52377.86000000001,1181758.8999999997,192204.6200000001,14454390.36,12630626.409999996,1.1443922012099164,0.793172779290356,4714790.809999999,52377.860000000175,4662412.949999998,266,46
2026-02-28,2026,2026Q1,Total,3609943.71,1262497.3199999998,2042474.2400000002,304972.15,2548185.4099999997,1061758.3000000003,31172530.58,28203443.44,1.10527392324687,0.6088435318668297,10745487.619999997,302826.9600000004,10442660.659999996,871,95
2026-02-28,2026,2026Q1,Enterprise,1839108.78,767271.74,1071837.04,0.0,971785.0000000001,867323.7799999999,12221154.359999998,11127961.89,1.098238336975469,0.6306114897775663,5439823.56,2.510205376893282e-10,5439823.56,56,9
2026-03-31,2026,2026Q1,SMB,416090.61000000016,65501.340000000004,100140.17,250449.09999999998,399917.98999999993,16172.620000000228,4569255.48,4499246.14,1.0155602378313093,0.21019548573808744,611410.5099999998,254813.74,356596.7699999998,552,54
2026-03-31,2026,2026Q1,Enterprise,1465592.77,1344749.41,120843.36,0.0,982861.0000000002,482731.7699999998,12512156.54,11223405.590000002,1.1148270852073874,0.24774775353853284,5922555.33,3.637978807091713e-11,5922555.33,57,15
2026-03-31,2026,2026Q1,Mid-Market,1495139.9800000002,687549.8400000002,755212.2799999998,52377.86000000001,1187006.7899999993,308133.1900000009,14434844.93,12899383.369999995,1.1190337178109626,-0.01290395343545292,5023830.499999999,53284.36000000007,4970546.139999999,267,77
2026-03-31,2026,2026Q1,Total,3376823.3600000003,2097800.59,976195.8099999998,302826.95999999996,2569785.7799999993,807037.580000001,31516256.95,28622035.1,1.1011186604966465,0.11332521549203745,11557796.339999998,308098.1000000001,11249698.239999998,876,146
2026-04-30,2026,2026Q2,SMB,400309.6200000003,69553.1,75942.78000000001,254813.74,398372.4800000002,1937.1400000000722,4641505.370000001,4549459.26,1.0202323187745177,0.22023394947011776,611021.6099999996,252487.69999999995,358533.9099999997,546,33
2026-04-30,2026,2026Q2,Mid-Market,1324130.26,471521.19999999995,799324.7,53284.36000000001,1209493.4599999993,114636.80000000075,14445468.489999998,13158388.119999995,1.0978144403601924,0.008087937427346592,5138467.300000004,53284.360000000066,5085182.940000003,264,37
2026-04-30,2026,2026Q2,Enterprise,627729.76,27555.809999999998,600173.95,0.0,1012746.8800000001,-385017.1200000001,12092256.469999999,11332329.700000003,1.06705830046579,-0.40080957794033023,5537538.209999998,7.275957614183426e-12,5537538.209999998,57,4
2026-04-30,2026,2026Q2,Total,2352169.6400000006,568630.1099999999,1475441.43,308098.1,2620612.8199999994,-268443.17999999877,31179230.33,29040177.08,1.0736584093171102,-0.1253261522831356,11287027.120000001,305772.06,10981255.06,867,74
2026-05-31,2026,2026Q2,SMB,446779.64000000036,107454.69000000002,86837.25000000001,252487.69999999995,399101.0000000002,47678.64000000019,4735662.050000002,4601629.319999999,1.0291272331340244,0.26701800699534917,655535.1299999999,249322.58000000007,406212.5499999998,543,50
2026-05-31,2026,2026Q2,Enterprise,862369.65,341254.29000000004,521115.36,0.0,1051812.3100000003,-189442.66000000027,12628155.569999998,11478396.790000003,1.1001671924254846,1.6414929309856587,5348095.549999999,2.5647750589996576e-10,5348095.549999999,57,6
2026-05-31,2026,2026Q2,Mid-Market,1184602.7800000007,398412.23000000004,732906.1900000001,53284.36000000001,1256854.2199999995,-72251.43999999878,14864185.9,13451990.999999996,1.1049803631298893,0.546710286423151,5085471.619999999,72540.12000000011,5012931.499999999,266,46
2026-05-31,2026,2026Q2,Total,2493752.070000001,847121.2100000001,1340858.8,305772.05999999994,2707767.53,-214015.45999999857,32228003.52,29532017.11,1.0912902901267485,0.7258052034642899,11089102.299999997,321862.7000000004,10767239.599999996,866,102
2026-06-30,2026,2026Q2,Mid-Market,1366224.52,746801.8999999999,546882.4999999999,72540.12000000001,1291652.2799999996,74572.24000000046,15131777.430000002,13751407.239999996,1.1003802858797458,0.24356771773256192,5161354.440000001,73850.70000000013,5087503.740000001,267,51
2026-06-30,2026,2026Q2,Total,2221963.5500000003,1095170.17,804930.6799999998,321862.70000000007,2751393.36,-529429.8099999996,32061919.320000004,30021929.560000002,1.0679499882218764,-0.06954810681654056,10563773.500000002,325963.71000000054,10237809.790000001,869,99
2026-06-30,2026,2026Q2,SMB,385431.12000000034,60540.94,75567.59999999999,249322.58000000005,402065.7400000002,-16634.61999999988,4747347.280000002,4645859.85,1.0218447033007254,0.031265173243778976,641690.9400000002,252113.0100000001,389577.93000000005,545,39
