acquisition_quarter,acquisition_quarter_start,segment,customer_id,quarter_end_date,quarters_since_acquisition,arr
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2025-09-30,26,61010.16
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2025-12-31,27,61010.16
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2026-03-31,28,61010.16
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2024-12-31,23,0.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2024-03-31,19,58417.20
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2024-09-30,21,11802.48
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2024-09-30,21,61236.24
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2024-12-31,22,74363.88
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2025-03-31,23,74363.88
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2025-06-30,24,74363.88
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2025-09-30,25,74361.60
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2025-12-31,26,74361.60
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2026-03-31,27,74361.60
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2026-06-30,28,91427.16
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2024-03-31,19,0.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2024-03-31,19,51968.04
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2024-06-30,20,54080.40
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2024-09-30,21,54080.40
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2024-12-31,22,78996.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2025-03-31,23,78996.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2025-06-30,24,82746.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2025-09-30,25,101595.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00050,2024-06-30,20,58417.20
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2026-03-31,27,101595.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2026-06-30,28,106071.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2024-06-30,20,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2024-09-30,21,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2024-12-31,22,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2025-03-31,23,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2025-06-30,24,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2025-09-30,25,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2025-12-31,26,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2026-03-31,27,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00016,2026-06-30,28,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2024-03-31,19,1635.60
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2024-06-30,20,1635.60
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2024-09-30,21,1704.12
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2024-12-31,22,1704.12
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2025-03-31,23,1704.12
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2025-06-30,24,2385.72
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2025-09-30,25,1780.44
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2025-12-31,26,1780.44
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2026-03-31,27,1780.44
2019Q2,2019-04-01 00:00:00,SMB,CUST-00021,2026-06-30,28,1780.44
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2024-03-31,19,13991.04
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2024-06-30,20,10493.76
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2024-09-30,21,10493.76
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2024-12-31,22,10493.76
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2025-03-31,23,10493.76
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2025-06-30,24,14691.24
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2025-09-30,25,20991.60
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2025-12-31,26,20991.60
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2026-03-31,27,20991.60
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00049,2026-06-30,28,10494.48
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2024-03-31,19,6181.08
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2024-03-31,19,11802.48
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2024-06-30,20,11802.48
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2026-06-30,28,6681.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2024-12-31,22,12194.88
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2025-03-31,23,12194.88
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2025-06-30,24,12194.88
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2025-09-30,25,12194.88
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2025-12-31,26,0.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2026-03-31,27,0.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00051,2026-06-30,28,0.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2024-06-30,20,6181.08
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2024-09-30,21,6434.28
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2024-12-31,22,8491.80
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2025-03-31,23,8491.80
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2025-06-30,24,11065.44
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2025-09-30,25,6681.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2025-12-31,26,6681.00
2019Q2,2019-04-01 00:00:00,SMB,CUST-00020,2026-03-31,27,6681.00
2019Q2,2019-04-01 00:00:00,Mid-Market,CUST-00048,2025-12-31,26,101595.00
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2024-03-31,18,58685.16
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2025-06-30,23,20944.80
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2024-06-30,19,31201.92
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2024-09-30,20,32371.44
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2024-12-31,21,32371.44
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2025-03-31,22,32371.44
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2025-06-30,23,32371.44
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2025-09-30,24,33381.24
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2025-12-31,25,33381.24
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2026-03-31,26,33381.24
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2026-06-30,27,33381.24
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2024-03-31,18,2607.72
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2024-06-30,19,2607.72
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2024-09-30,20,2607.72
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2024-12-31,21,2607.72
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00053,2024-03-31,18,31201.92
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2025-06-30,23,2607.72
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2025-09-30,24,2607.72
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2025-12-31,25,2607.72
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2026-03-31,26,0.00
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2026-06-30,27,0.00
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2024-03-31,18,1591.20
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2024-06-30,19,1591.20
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2024-09-30,20,1591.20
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2024-12-31,21,1666.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2025-03-31,22,1666.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2025-06-30,23,1666.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2025-09-30,24,1666.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2025-12-31,25,1666.20
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2026-03-31,26,1666.20
2019Q3,2019-07-01 00:00:00,SMB,CUST-00026,2026-06-30,27,1666.20
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2024-03-31,18,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2024-06-30,19,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2024-09-30,20,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2024-12-31,21,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2025-03-31,22,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2025-06-30,23,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2025-09-30,24,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2025-12-31,25,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2026-03-31,26,5332.32
2019Q3,2019-07-01 00:00:00,SMB,CUST-00028,2026-06-30,27,5332.32
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2024-03-31,18,20750.64
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2024-06-30,19,26874.24
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2024-09-30,20,26874.24
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2024-12-31,21,14821.44
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2025-03-31,22,14821.44
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2026-06-30,27,46533.96
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2025-09-30,24,20944.80
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2025-12-31,25,15485.40
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2026-03-31,26,15485.40
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00054,2026-06-30,27,15485.40
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2024-06-30,19,58685.16
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2024-09-30,20,46533.00
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2024-12-31,21,46533.00
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2025-03-31,22,46533.00
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2025-06-30,23,46533.00
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2025-09-30,24,46533.96
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2025-12-31,25,46533.96
2019Q3,2019-07-01 00:00:00,Mid-Market,CUST-00052,2026-03-31,26,46533.96
2019Q3,2019-07-01 00:00:00,SMB,CUST-00025,2025-03-31,22,2607.72
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2024-03-31,17,4884.36
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2024-06-30,18,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2024-09-30,19,4884.36
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2024-12-31,20,5043.96
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2025-03-31,21,5043.96
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2025-06-30,22,5043.96
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2025-09-30,23,5043.96
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2025-12-31,24,5218.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2026-03-31,25,5218.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2026-06-30,26,6127.08
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2024-03-31,17,74460.48
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2024-06-30,18,100844.52
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2024-09-30,19,100844.52
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2024-12-31,20,77449.80
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2025-03-31,21,104893.08
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2025-06-30,22,104893.08
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2025-09-30,23,104893.08
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2025-12-31,24,80085.96
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2026-03-31,25,108463.32
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00055,2026-06-30,26,108463.32
2019Q4,2019-10-01 00:00:00,SMB,CUST-00029,2024-06-30,18,4884.36
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2024-06-30,18,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2024-09-30,19,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2024-12-31,20,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2025-03-31,21,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2025-06-30,22,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2025-09-30,23,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2025-12-31,24,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2026-03-31,25,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2026-06-30,26,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2024-03-31,17,4861.68
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2024-03-31,17,14313.24
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2024-06-30,18,14313.24
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2024-09-30,19,25278.84
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2024-12-31,20,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2025-03-31,21,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2025-06-30,22,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2025-09-30,23,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2025-12-31,24,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2026-03-31,25,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00056,2026-06-30,26,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2024-06-30,18,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2024-09-30,19,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2024-12-31,20,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2025-03-31,21,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2025-06-30,22,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2025-09-30,23,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2025-12-31,24,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2026-03-31,25,4861.68
2019Q4,2019-10-01 00:00:00,SMB,CUST-00035,2026-06-30,26,4861.68
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2024-03-31,17,13800.60
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2024-06-30,18,13800.60
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2024-09-30,19,13800.60
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2024-12-31,20,13800.60
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2025-03-31,21,14395.08
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2025-06-30,22,20153.16
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2025-09-30,23,20153.16
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2025-12-31,24,21496.80
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2026-03-31,25,15984.96
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00059,2026-06-30,26,15984.96
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2024-03-31,17,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2026-06-30,26,43816.08
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2024-09-30,19,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2024-12-31,20,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2025-03-31,21,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2025-06-30,22,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2025-09-30,23,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2025-12-31,24,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2026-03-31,25,0.00
2019Q4,2019-10-01 00:00:00,SMB,CUST-00038,2026-06-30,26,0.00
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2024-03-31,17,42014.52
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2024-06-30,18,42014.52
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2024-09-30,19,42014.52
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2024-12-31,20,48995.28
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2025-03-31,21,48995.28
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2025-06-30,22,48995.28
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2025-09-30,23,48995.28
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2025-12-31,24,48995.28
2019Q4,2019-10-01 00:00:00,Mid-Market,CUST-00058,2026-03-31,25,43816.08
2019Q4,2019-10-01 00:00:00,SMB,CUST-00030,2024-03-31,17,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2024-03-31,16,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2024-06-30,17,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2024-09-30,18,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2024-12-31,19,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2025-03-31,20,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2025-06-30,21,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2025-09-30,22,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2025-12-31,23,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2026-03-31,24,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00065,2026-06-30,25,0.00
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2024-03-31,16,27543.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2024-06-30,17,27543.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2024-09-30,18,27543.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2024-12-31,19,27543.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2025-03-31,20,27543.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2025-06-30,21,20343.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2025-09-30,22,20343.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2025-12-31,23,20343.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2026-03-31,24,20343.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00162,2026-06-30,25,20343.96
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2024-03-31,16,13591.56
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2024-06-30,17,14128.92
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2024-09-30,18,14128.92
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2024-12-31,19,14128.92
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2025-03-31,20,14128.92
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2025-06-30,21,0.00
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2025-09-30,22,0.00
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2025-12-31,23,0.00
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2026-03-31,24,0.00
2020Q1,2020-01-01 00:00:00,Mid-Market,CUST-00161,2026-06-30,25,0.00
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2024-03-31,16,8638.08
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2024-06-30,17,8637.96
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2024-09-30,18,8637.96
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2024-12-31,19,8637.96
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2025-03-31,20,8637.96
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2025-06-30,21,8955.48
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2025-09-30,22,8955.48
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2025-12-31,23,8955.48
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2026-03-31,24,8955.48
2020Q1,2020-01-01 00:00:00,SMB,CUST-00084,2026-06-30,25,8955.24
2020Q1,2020-01-01 00:00:00,SMB,CUST-00060,2024-03-31,16,11061.84
2020Q1,2020-01-01 00:00:00,SMB,CUST-00060,2024-06-30,17,11061.84
2020Q1,2020-01-01 00:00:00,SMB,CUST-00060,2024-09-30,18,11061.84
2020Q1,2020-01-01 00:00:00,SMB,CUST-00060,2024-12-31,19,11061.84
2020Q1,2020-01-01 00:00:00,SMB,CUST-00060,2025-03-31,20,11556.60
2020Q1,2020-01-01 00:00:00,SMB,CUST-00060,2025-06-30,21,11556.60
