contract_id,customer_id,contract_type,term_months,start_date,end_date,renewal_date,billing_frequency,list_acv,discount_pct,net_acv,tcv,renewal_status,predecessor_contract_id,uplift_pct_at_renewal
CTR-00026-05,CUST-00026,annual,12,2023-09-19,2024-09-18,2024-09-23,Annual in advance,2018.26,0.21,1591.20,1591.20,Renewed,,0.04
CTR-00026-06,CUST-00026,annual,12,2024-09-19,2025-09-18,2025-09-21,Annual in advance,2143.40,0.22,1666.28,1666.28,Renewed,CTR-00026-05,0.05
CTR-00026-07,CUST-00026,annual,12,2025-09-19,2026-09-18,2026-09-23,Annual in advance,2276.29,0.27,1666.24,1666.24,Active,CTR-00026-06,0.00
CTR-00028-01,CUST-00028,monthly,1,2019-09-29,2026-06-30,,Monthly in arrears,2644.41,0.09,2414.61,16499.84,Active,,
CTR-00029-05,CUST-00029,annual,12,2023-10-29,2024-10-28,2024-10-30,Quarterly in advance,6215.08,0.21,4884.43,4884.43,Renewed,,0.03
CTR-00029-06,CUST-00029,annual,12,2024-10-29,2025-10-28,2025-11-01,Annual in advance,6600.42,0.24,5044.04,5044.04,Renewed,CTR-00029-05,0.03
CTR-00029-07,CUST-00029,annual,12,2025-10-29,2026-10-28,2026-10-28,Annual in advance,7009.65,0.26,5218.68,5218.68,Active,CTR-00029-06,0.03
CTR-00030-04,CUST-00030,annual,12,2023-02-01,2024-01-31,2024-02-01,Annual in advance,7132.60,0.14,6146.16,6146.16,Churned,,0.05
CTR-00035-01,CUST-00035,monthly,1,2019-12-14,2026-06-30,,Monthly in arrears,3758.27,0.08,3472.64,22861.55,Active,,
CTR-00038-04,CUST-00038,annual,12,2022-12-29,2023-12-28,2023-12-30,Quarterly in advance,4464.44,0.10,4039.87,4039.87,Churned,,0.00
CTR-00043-05,CUST-00043,annual,12,2023-01-30,2024-01-29,2024-02-03,Annual in advance,7983.72,0.14,6862.81,6862.81,Churned,,0.00
CTR-00044-05,CUST-00044,annual,12,2023-01-18,2024-01-17,2024-01-21,Annual in advance,17564.17,0.18,14388.57,14388.57,Renewed,,0.05
CTR-00044-06,CUST-00044,annual,12,2024-01-18,2025-01-17,2025-01-18,Quarterly in advance,40697.79,0.19,32851.26,32851.26,Renewed,CTR-00044-05,0.05
CTR-00044-07,CUST-00044,annual,12,2025-01-18,2026-01-17,2026-01-19,Annual in advance,45021.93,0.22,35247.67,35247.67,Renewed,CTR-00044-06,0.03
CTR-00044-08,CUST-00044,annual,12,2026-01-18,2027-01-17,2027-01-21,Annual in advance,34152.35,0.26,25177.11,25177.11,Active,CTR-00044-07,0.00
CTR-00046-05,CUST-00046,annual,12,2023-03-16,2024-03-15,2024-03-20,Annual in advance,35009.11,0.27,25385.11,25385.11,Renewed,,0.03
CTR-00046-06,CUST-00046,annual,12,2024-03-16,2025-03-15,2025-03-19,Quarterly in advance,37179.68,0.29,26256.29,26256.29,Renewed,CTR-00046-05,0.03
CTR-00046-07,CUST-00046,annual,12,2025-03-16,2026-03-15,2026-03-20,Annual in advance,88858.30,0.31,61010.11,61010.11,Renewed,CTR-00046-06,0.03
CTR-00046-08,CUST-00046,annual,12,2026-03-16,2027-03-15,2027-03-16,Annual in advance,84171.39,0.35,54416.80,54416.80,Active,CTR-00046-07,0.00
CTR-00048-05,CUST-00048,annual,12,2023-04-27,2024-04-26,2024-04-27,Annual in advance,55224.63,0.18,45317.33,45317.33,Renewed,,0.00
CTR-00048-06,CUST-00048,annual,12,2024-04-27,2025-04-26,2025-04-30,Annual in advance,67255.74,0.20,54080.34,54080.34,Renewed,CTR-00048-05,0.04
CTR-00048-07,CUST-00048,annual,12,2025-04-27,2026-04-26,2026-04-27,Annual in advance,104332.55,0.21,82746.15,82746.15,Renewed,CTR-00048-06,0.05
CTR-00048-08,CUST-00048,annual,12,2026-04-27,2027-04-26,2027-04-28,Annual in advance,136040.80,0.22,106071.01,106071.01,Active,CTR-00048-07,0.04
CTR-00049-02,CUST-00049,multi_year,36,2021-05-13,2024-05-12,2024-05-14,Annual in advance,13412.49,0.25,9993.65,29980.95,Renewed,,0.04
CTR-00049-03,CUST-00049,multi_year,24,2024-05-13,2026-05-12,2026-05-16,Annual in advance,16065.09,0.35,10493.72,20987.44,Renewed,CTR-00049-02,0.05
CTR-00049-04,CUST-00049,multi_year,24,2026-05-13,2028-05-12,2028-05-17,Annual in advance,18118.91,0.42,10494.47,20988.94,Active,CTR-00049-03,0.00
CTR-00050-05,CUST-00050,annual,12,2023-06-29,2024-06-28,2024-06-29,Annual in advance,76372.39,0.24,58417.24,58417.24,Renewed,,0.04
CTR-00050-06,CUST-00050,annual,12,2024-06-29,2025-06-28,2025-07-01,Annual in advance,81107.48,0.24,61236.15,61236.15,Renewed,CTR-00050-05,0.05
CTR-00050-07,CUST-00050,annual,12,2025-06-29,2026-06-28,2026-07-01,Annual in advance,104601.99,0.29,74361.55,74361.55,Renewed,CTR-00050-06,0.00
CTR-00050-08,CUST-00050,annual,12,2026-06-29,2027-06-28,2027-06-30,Quarterly in advance,136581.27,0.30,95647.86,95647.86,Active,CTR-00050-07,0.05
CTR-00051-05,CUST-00051,annual,12,2023-10-01,2024-09-30,2024-10-04,Annual in advance,13124.81,0.24,9986.67,9986.67,Renewed,,0.04
CTR-00051-06,CUST-00051,annual,12,2024-10-01,2025-09-30,2025-10-03,Annual in advance,16472.83,0.26,12194.84,12194.84,Churned,CTR-00051-05,0.03
CTR-00052-05,CUST-00052,annual,12,2023-07-29,2024-07-28,2024-07-29,Annual in advance,57592.42,0.22,45112.14,45112.14,Renewed,,0.04
CTR-00052-06,CUST-00052,annual,12,2024-07-29,2025-07-28,2025-08-02,Annual in advance,61163.15,0.24,46532.92,46532.92,Renewed,CTR-00052-05,0.03
CTR-00052-07,CUST-00052,annual,12,2025-07-29,2026-07-28,2026-07-28,Annual in advance,64955.27,0.28,46533.96,46533.96,Active,CTR-00052-06,0.00
CTR-00053-05,CUST-00053,annual,12,2023-08-31,2024-08-30,2024-09-04,Annual in advance,36382.88,0.14,31201.96,31201.96,Renewed,,0.04
CTR-00053-06,CUST-00053,annual,12,2024-08-31,2025-08-30,2025-09-04,Annual in advance,38638.62,0.16,32371.44,32371.44,Renewed,CTR-00053-05,0.04
CTR-00053-07,CUST-00053,annual,12,2025-08-31,2026-08-30,2026-09-04,Quarterly in advance,41034.21,0.19,33381.33,33381.33,Active,CTR-00053-06,0.03
CTR-00054-05,CUST-00054,annual,12,2023-09-30,2024-09-29,2024-09-29,Annual in advance,20182.38,0.27,14821.94,14821.94,Renewed,,0.04
CTR-00054-06,CUST-00054,annual,12,2024-09-30,2025-09-29,2025-10-01,Annual in advance,21433.68,0.31,14821.39,14821.39,Renewed,CTR-00054-05,0.00
CTR-00054-07,CUST-00054,annual,12,2025-09-30,2026-09-29,2026-09-30,Annual in advance,22762.57,0.32,15485.38,15485.38,Active,CTR-00054-06,0.04
CTR-00055-05,CUST-00055,annual,12,2023-10-31,2024-10-30,2024-11-02,Annual in advance,96978.99,0.23,74460.47,74460.47,Renewed,,0.03
CTR-00055-06,CUST-00055,annual,12,2024-10-31,2025-10-30,2025-11-04,Annual in advance,102991.69,0.25,77449.75,77449.75,Renewed,CTR-00055-05,0.04
CTR-00055-07,CUST-00055,annual,12,2025-10-31,2026-10-30,2026-11-02,Annual in advance,109377.17,0.27,80085.96,80085.96,Active,CTR-00055-06,0.03
CTR-00056-05,CUST-00056,annual,12,2023-11-25,2024-11-24,2024-11-24,Annual in advance,19186.57,0.25,14313.18,14313.18,Churned,,0.03
CTR-00058-02,CUST-00058,multi_year,24,2021-12-17,2023-12-16,2023-12-20,Quarterly in advance,55352.24,0.26,40744.78,81489.56,Renewed,,0.00
CTR-00058-03,CUST-00058,multi_year,24,2023-12-17,2025-12-16,2025-12-16,Annual in advance,62428.69,0.33,42014.51,84029.02,Renewed,CTR-00058-02,0.03
CTR-00058-04,CUST-00058,multi_year,24,2025-12-17,2027-12-16,2027-12-19,Annual in advance,70409.83,0.38,43816.04,87632.08,Active,CTR-00058-03,0.04
CTR-00059-04,CUST-00059,annual,12,2022-12-17,2023-12-16,2023-12-19,Annual in advance,17022.42,0.22,13303.02,13303.02,Renewed,,0.03
CTR-00059-05,CUST-00059,annual,12,2023-12-17,2024-12-16,2024-12-16,Annual in advance,18077.81,0.24,13800.60,13800.60,Renewed,CTR-00059-04,0.04
CTR-00059-06,CUST-00059,annual,12,2024-12-17,2025-12-16,2025-12-20,Annual in advance,19198.63,0.25,14395.13,14395.13,Renewed,CTR-00059-05,0.04
CTR-00059-07,CUST-00059,annual,12,2025-12-17,2026-12-16,2026-12-19,Annual in advance,21748.21,0.27,15984.93,15984.93,Active,CTR-00059-06,0.04
CTR-00060-04,CUST-00060,annual,12,2023-01-25,2024-01-24,2024-01-27,Annual in advance,11762.83,0.10,10572.43,10572.43,Renewed,,0.04
CTR-00060-05,CUST-00060,annual,12,2024-01-25,2025-01-24,2025-01-24,Annual in advance,12492.12,0.11,11061.77,11061.77,Renewed,CTR-00060-04,0.05
CTR-00060-06,CUST-00060,annual,12,2025-01-25,2026-01-24,2026-01-24,Annual in advance,13266.64,0.13,11556.57,11556.57,Renewed,CTR-00060-05,0.04
CTR-00060-07,CUST-00060,annual,12,2026-01-25,2027-01-24,2027-01-28,Annual in advance,14089.17,0.15,12006.79,12006.79,Active,CTR-00060-06,0.04
CTR-00061-01,CUST-00061,monthly,1,2020-01-27,2026-06-30,,Monthly in arrears,2158.37,0.10,1934.12,12571.78,Active,,
CTR-00065-04,CUST-00065,annual,12,2023-03-01,2024-02-29,2024-03-02,Quarterly in advance,2741.85,0.13,2376.36,2376.36,Churned,,0.03
CTR-00067-04,CUST-00067,annual,12,2023-02-15,2024-02-14,2024-02-14,Annual in advance,2598.23,0.21,2046.11,2046.11,Renewed,,0.04
CTR-00067-05,CUST-00067,annual,12,2024-02-15,2025-02-14,2025-02-15,Annual in advance,2759.32,0.26,2046.04,2046.04,Renewed,CTR-00067-04,0.00
CTR-00067-06,CUST-00067,annual,12,2025-02-15,2026-02-14,2026-02-16,Annual in advance,2930.40,0.27,2125.42,2125.42,Renewed,CTR-00067-05,0.04
CTR-00067-07,CUST-00067,annual,12,2026-02-15,2027-02-14,2027-02-16,Annual in advance,3112.08,0.30,2191.84,2191.84,Active,CTR-00067-06,0.03
CTR-00070-04,CUST-00070,annual,12,2023-02-28,2024-02-27,2024-02-27,Annual in advance,5456.28,0.17,4539.62,4539.62,Renewed,,0.04
CTR-00070-05,CUST-00070,annual,12,2024-02-28,2025-02-27,2025-02-27,Quarterly in advance,5794.57,0.18,4759.66,4759.66,Renewed,CTR-00070-04,0.05
CTR-00070-06,CUST-00070,annual,12,2025-02-28,2026-02-27,2026-03-03,Annual in advance,6153.83,0.20,4928.60,4928.60,Renewed,CTR-00070-05,0.04
CTR-00070-07,CUST-00070,annual,12,2026-02-28,2027-02-27,2027-03-01,Annual in advance,6535.37,0.22,5115.89,5115.89,Active,CTR-00070-06,0.04
CTR-00071-04,CUST-00071,annual,12,2023-02-26,2024-02-25,2024-02-28,Annual in advance,1948.67,0.24,1474.95,1474.95,Churned,,0.05
CTR-00075-04,CUST-00075,annual,12,2023-03-28,2024-03-27,2024-03-30,Annual in advance,5483.70,0.16,4630.98,4630.98,Renewed,,0.05
CTR-00075-05,CUST-00075,annual,12,2024-03-28,2025-03-27,2025-03-29,Quarterly in advance,7764.92,0.17,6409.16,6409.16,Renewed,CTR-00075-04,0.04
CTR-00075-06,CUST-00075,annual,12,2025-03-28,2026-03-27,2026-03-31,Quarterly in advance,9277.14,0.20,7467.17,7467.17,Churned,CTR-00075-05,0.04
CTR-00076-01,CUST-00076,monthly,1,2020-03-26,2026-06-30,,Monthly in arrears,2289.13,0.12,2007.80,12716.07,Active,,
CTR-00077-01,CUST-00077,monthly,1,2020-03-30,2026-06-30,,Monthly in arrears,1635.09,0.07,1516.06,9601.71,Active,,
CTR-00080-01,CUST-00080,monthly,1,2020-03-29,2026-06-30,,Monthly in arrears,4360.24,0.04,4204.58,26629.01,Active,,
CTR-00084-04,CUST-00084,annual,12,2023-03-18,2024-03-17,2024-03-21,Annual in advance,10445.14,0.17,8638.13,8638.13,Renewed,,0.04
CTR-00084-05,CUST-00084,annual,12,2024-03-18,2025-03-17,2025-03-19,Annual in advance,11092.74,0.22,8637.92,8637.92,Renewed,CTR-00084-04,0.00
CTR-00084-06,CUST-00084,annual,12,2025-03-18,2026-03-17,2026-03-21,Annual in advance,11780.49,0.24,8955.53,8955.53,Renewed,CTR-00084-05,0.04
CTR-00084-07,CUST-00084,annual,12,2026-03-18,2027-03-17,2027-03-18,Annual in advance,12510.88,0.28,8955.29,8955.29,Active,CTR-00084-06,0.00
CTR-00086-01,CUST-00086,monthly,1,2020-04-23,2024-10-31,,Monthly in arrears,1095.54,0.17,904.48,4145.53,Churned,,
CTR-00089-01,CUST-00089,monthly,1,2020-04-01,2025-12-31,,Monthly in arrears,3286.62,0.16,2747.61,15798.76,Churned,,
CTR-00094-01,CUST-00094,monthly,1,2020-05-15,2026-06-30,,Monthly in arrears,1651.57,0.12,1451.23,8949.25,Active,,
CTR-00095-04,CUST-00095,annual,12,2023-05-23,2024-05-22,2024-05-22,Quarterly in advance,9231.59,0.14,7908.70,7908.70,Renewed,,0.04
CTR-00095-05,CUST-00095,annual,12,2024-05-23,2025-05-22,2025-05-27,Quarterly in advance,9803.95,0.15,8291.20,8291.20,Renewed,CTR-00095-04,0.05
CTR-00095-06,CUST-00095,annual,12,2025-05-23,2026-05-22,2026-05-22,Annual in advance,10411.79,0.17,8654.28,8654.28,Renewed,CTR-00095-05,0.04
CTR-00095-07,CUST-00095,annual,12,2026-05-23,2027-05-22,2027-05-26,Annual in advance,11057.33,0.19,8956.44,8956.44,Active,CTR-00095-06,0.04
CTR-00098-01,CUST-00098,monthly,1,2020-05-31,2025-08-31,,Monthly in arrears,6055.75,0.03,5886.79,31396.21,Churned,,
CTR-00099-04,CUST-00099,annual,12,2023-06-28,2024-06-27,2024-07-02,Quarterly in advance,4638.99,0.17,3829.02,3829.02,Renewed,,0.04
CTR-00099-05,CUST-00099,annual,12,2024-06-28,2025-06-27,2025-06-28,Quarterly in advance,4926.61,0.19,3977.74,3977.74,Renewed,CTR-00099-04,0.04
CTR-00099-06,CUST-00099,annual,12,2025-06-28,2026-06-27,2026-06-29,Annual in advance,5232.06,0.21,4138.04,4138.04,Renewed,CTR-00099-05,0.04
CTR-00099-07,CUST-00099,annual,12,2026-06-28,2027-06-27,2027-06-28,Annual in advance,5556.45,0.22,4339.03,4339.03,Active,CTR-00099-06,0.05
CTR-00100-02,CUST-00100,multi_year,24,2022-06-02,2024-06-01,2024-06-05,Annual in advance,3744.14,0.25,2815.59,5631.18,Renewed,,0.04
CTR-00100-03,CUST-00100,multi_year,24,2024-06-02,2026-06-01,2026-06-06,Annual in advance,4926.61,0.30,3427.94,6855.88,Renewed,CTR-00100-02,0.04
CTR-00100-04,CUST-00100,multi_year,24,2026-06-02,2028-06-01,2028-06-04,Annual in advance,5556.45,0.36,3567.24,7134.48,Active,CTR-00100-03,0.04
CTR-00104-04,CUST-00104,annual,12,2023-06-05,2024-06-04,2024-06-09,Annual in advance,3976.28,0.09,3609.67,3609.67,Renewed,,0.04
CTR-00104-05,CUST-00104,annual,12,2024-06-05,2025-06-04,2025-06-06,Quarterly in advance,4222.81,0.15,3609.66,3609.66,Renewed,CTR-00104-04,0.00
CTR-00104-06,CUST-00104,annual,12,2025-06-05,2026-06-04,2026-06-05,Annual in advance,4484.62,0.16,3750.94,3750.94,Renewed,CTR-00104-05,0.04
CTR-00104-07,CUST-00104,annual,12,2026-06-05,2027-06-04,2027-06-09,Annual in advance,4762.67,0.21,3751.08,3751.08,Active,CTR-00104-06,0.00
CTR-00110-01,CUST-00110,monthly,1,2020-07-29,2026-06-30,,Monthly in arrears,7784.97,0.01,7676.76,46060.56,Active,,
CTR-00113-01,CUST-00113,monthly,1,2020-08-28,2026-06-30,,Monthly in arrears,5588.64,0.08,5168.37,30579.52,Active,,
CTR-00114-01,CUST-00114,monthly,1,2020-08-27,2026-06-30,,Monthly in arrears,2235.46,0.07,2076.97,12288.74,Active,,
CTR-00117-01,CUST-00117,monthly,1,2020-09-25,2024-12-31,,Monthly in arrears,7863.41,0.09,7165.93,31052.36,Churned,,
CTR-00119-01,CUST-00119,monthly,1,2020-09-01,2025-05-31,,Monthly in arrears,9574.71,0.12,8426.70,40026.83,Churned,,
CTR-00120-01,CUST-00120,monthly,1,2020-09-01,2026-06-30,,Monthly in arrears,3370.03,0.06,3163.78,18455.38,Active,,
CTR-00121-01,CUST-00121,monthly,1,2020-09-21,2026-06-30,,Monthly in arrears,15959.72,0.07,14810.62,86395.28,Active,,
CTR-00122-02R,CUST-00122,monthly,1,2023-12-01,2024-02-29,,Monthly in arrears,3414.74,0.04,3270.64,817.66,Churned,,
CTR-00126-01,CUST-00126,monthly,1,2020-10-16,2026-06-30,,Monthly in arrears,4741.76,0.02,4656.41,26774.36,Active,,
CTR-00130-01,CUST-00130,monthly,1,2020-10-13,2026-06-30,,Monthly in arrears,2257.98,0.11,2014.34,11582.45,Churned,,
CTR-00132-04,CUST-00132,annual,12,2023-11-25,2024-11-24,2024-11-28,Quarterly in advance,3805.39,0.15,3241.81,3241.81,Renewed,,0.03
CTR-00132-05,CUST-00132,annual,12,2024-11-25,2025-11-24,2025-11-29,Annual in advance,4041.32,0.17,3362.78,3362.78,Renewed,CTR-00132-04,0.04
CTR-00132-06,CUST-00132,annual,12,2025-11-25,2026-11-24,2026-11-27,Quarterly in advance,4291.88,0.18,3516.34,3516.34,Active,CTR-00132-05,0.05
CTR-00133-01,CUST-00133,monthly,1,2020-11-30,2026-06-30,,Monthly in arrears,2836.66,0.11,2537.96,14381.77,Active,,
CTR-00135-01,CUST-00135,monthly,1,2020-11-28,2026-06-30,,Monthly in arrears,1134.66,0.09,1030.61,5840.12,Active,,
CTR-00137-04,CUST-00137,annual,12,2023-11-29,2024-11-28,2024-12-01,Annual in advance,2718.13,0.22,2119.33,2119.33,Renewed,,0.05
CTR-00137-05,CUST-00137,annual,12,2024-11-29,2025-11-28,2025-12-03,Annual in advance,2886.66,0.27,2119.39,2119.39,Churned,CTR-00137-04,0.00
CTR-00139-01,CUST-00139,monthly,1,2020-12-29,2026-06-30,,Monthly in arrears,5131.65,0.09,4671.85,26084.50,Active,,
CTR-00140-03,CUST-00140,annual,12,2022-12-27,2023-12-26,2023-12-26,Annual in advance,4501.54,0.17,3733.58,3733.58,Renewed,,0.04
CTR-00140-04,CUST-00140,annual,12,2023-12-27,2024-12-26,2024-12-29,Annual in advance,4780.64,0.19,3859.89,3859.89,Renewed,CTR-00140-03,0.03
CTR-00140-05,CUST-00140,annual,12,2024-12-27,2025-12-26,2025-12-31,Quarterly in advance,5077.04,0.22,3980.40,3980.40,Renewed,CTR-00140-04,0.03
CTR-00140-06,CUST-00140,annual,12,2025-12-27,2026-12-26,2026-12-26,Quarterly in advance,5391.81,0.23,4170.03,4170.03,Active,CTR-00140-05,0.05
CTR-00142-03,CUST-00142,annual,12,2022-12-14,2023-12-13,2023-12-13,Annual in advance,4501.54,0.17,3746.18,3746.18,Renewed,,0.00
CTR-00142-04,CUST-00142,annual,12,2023-12-14,2024-12-13,2024-12-17,Annual in advance,5736.77,0.18,4682.35,4682.35,Renewed,CTR-00142-03,0.04
CTR-00142-05,CUST-00142,annual,12,2024-12-14,2025-12-13,2025-12-14,Annual in advance,6092.45,0.23,4682.05,4682.05,Renewed,CTR-00142-04,0.00
CTR-00142-06,CUST-00142,annual,12,2025-12-14,2026-12-13,2026-12-14,Annual in advance,4313.45,0.28,3121.21,3121.21,Active,CTR-00142-05,0.00
CTR-00144-01,CUST-00144,monthly,1,2020-12-01,2026-06-30,,Monthly in arrears,5131.65,0.08,4701.62,26250.71,Active,,
CTR-00146-03,CUST-00146,annual,12,2022-12-17,2023-12-16,2023-12-17,Quarterly in advance,3215.39,0.13,2800.93,2800.93,Renewed,,0.03
CTR-00146-04,CUST-00146,annual,12,2023-12-17,2024-12-16,2024-12-16,Annual in advance,4097.69,0.14,3512.13,3512.13,Renewed,CTR-00146-03,0.04
CTR-00146-05,CUST-00146,annual,12,2024-12-17,2025-12-16,2025-12-17,Annual in advance,5077.04,0.16,4259.64,4259.64,Renewed,CTR-00146-04,0.04
CTR-00146-06,CUST-00146,annual,12,2025-12-17,2026-12-16,2026-12-17,Quarterly in advance,5391.81,0.18,4417.51,4417.51,Active,CTR-00146-05,0.04
CTR-00148-01,CUST-00148,monthly,1,2020-12-25,2026-06-30,,Monthly in arrears,3991.28,0.07,3727.86,20813.88,Active,,
CTR-00149-01,CUST-00149,monthly,1,2020-12-26,2025-04-30,,Monthly in arrears,7982.56,0.13,6969.57,30782.27,Churned,,
CTR-00150-03,CUST-00150,annual,12,2022-12-05,2023-12-04,2023-12-05,Quarterly in advance,6430.78,0.23,4942.70,4942.70,Renewed,,0.05
CTR-00150-04,CUST-00150,annual,12,2023-12-05,2024-12-04,2024-12-04,Annual in advance,6829.48,0.25,5144.65,5144.65,Renewed,CTR-00150-03,0.04
CTR-00150-05,CUST-00150,annual,12,2024-12-05,2025-12-04,2025-12-07,Annual in advance,6527.62,0.29,4630.04,4630.04,Renewed,CTR-00150-04,0.00
CTR-00150-06,CUST-00150,annual,12,2025-12-05,2026-12-04,2026-12-06,Annual in advance,7702.59,0.31,5324.03,5324.03,Active,CTR-00150-05,0.03
CTR-00154-01,CUST-00154,monthly,1,2020-12-01,2026-06-30,,Monthly in arrears,4561.46,0.16,3819.31,21324.48,Active,,
CTR-00156-04,CUST-00156,annual,12,2023-01-26,2024-01-25,2024-01-26,Annual in advance,39384.62,0.24,29770.83,29770.83,Renewed,,0.04
CTR-00156-05,CUST-00156,annual,12,2024-01-26,2025-01-25,2025-01-30,Quarterly in advance,46671.44,0.29,33220.73,33220.73,Renewed,CTR-00156-04,0.00
CTR-00156-06,CUST-00156,annual,12,2025-01-26,2026-01-25,2026-01-30,Annual in advance,49565.07,0.30,34710.42,34710.42,Renewed,CTR-00156-05,0.04
CTR-00156-07,CUST-00156,annual,12,2026-01-26,2027-01-25,2027-01-29,Annual in advance,52638.10,0.32,35820.23,35820.23,Active,CTR-00156-06,0.03
CTR-00158-01,CUST-00158,monthly,1,2020-02-24,2026-06-30,,Monthly in arrears,7655.97,0.11,6845.20,43923.37,Active,,
CTR-00161-04,CUST-00161,annual,12,2023-03-26,2024-03-25,2024-03-29,Annual in advance,17741.15,0.23,13591.50,13591.50,Renewed,,0.05
CTR-00161-05,CUST-00161,annual,12,2024-03-26,2025-03-25,2025-03-28,Quarterly in advance,18841.10,0.25,14128.94,14128.94,Churned,CTR-00161-04,0.04
CTR-00162-02,CUST-00162,multi_year,36,2022-03-17,2025-03-16,2025-03-21,Annual in advance,26034.42,0.24,19674.21,59022.63,Renewed,,0.04
CTR-00162-03,CUST-00162,multi_year,36,2025-03-17,2028-03-16,2028-03-16,Quarterly in advance,31183.25,0.35,20343.95,61031.85,Active,CTR-00162-02,0.03
CTR-00163-04,CUST-00163,annual,12,2023-03-03,2024-03-02,2024-03-02,Quarterly in advance,71336.50,0.31,49371.99,49371.99,Renewed,,0.04
CTR-00163-05,CUST-00163,annual,12,2024-03-03,2025-03-02,2025-03-04,Annual in advance,75759.36,0.32,51773.95,51773.95,Renewed,CTR-00163-04,0.05
CTR-00163-06,CUST-00163,annual,12,2025-03-03,2026-03-02,2026-03-07,Annual in advance,80456.44,0.33,54292.01,54292.01,Renewed,CTR-00163-05,0.05
CTR-00163-07,CUST-00163,annual,12,2026-03-03,2027-03-02,2027-03-07,Annual in advance,85444.74,0.34,56000.48,56000.48,Active,CTR-00163-06,0.03
CTR-00164-04,CUST-00164,annual,12,2023-03-20,2024-03-19,2024-03-23,Annual in advance,26496.53,0.20,21244.92,21244.92,Renewed,,0.05
CTR-00164-05,CUST-00164,annual,12,2024-03-20,2025-03-19,2025-03-22,Annual in advance,28139.31,0.22,22052.78,22052.78,Renewed,CTR-00164-04,0.04
CTR-00164-06,CUST-00164,annual,12,2025-03-20,2026-03-19,2026-03-21,Quarterly in advance,29883.95,0.23,23022.60,23022.60,Renewed,CTR-00164-05,0.04
CTR-00164-07,CUST-00164,annual,12,2026-03-20,2027-03-19,2027-03-19,Annual in advance,31736.75,0.27,23021.84,23021.84,Active,CTR-00164-06,0.00
CTR-00165-04,CUST-00165,annual,12,2023-04-20,2024-04-19,2024-04-21,Annual in advance,32523.35,0.17,27140.74,27140.74,Renewed,,0.04
CTR-00165-05,CUST-00165,annual,12,2024-04-20,2025-04-19,2025-04-23,Annual in advance,34539.80,0.18,28484.97,28484.97,Renewed,CTR-00165-04,0.05
CTR-00165-06,CUST-00165,annual,12,2025-04-20,2026-04-19,2026-04-24,Annual in advance,36681.26,0.19,29803.52,29803.52,Renewed,CTR-00165-05,0.05
CTR-00165-07,CUST-00165,annual,12,2026-04-20,2027-04-19,2027-04-22,Annual in advance,38955.50,0.23,29804.85,29804.85,Active,CTR-00165-06,0.00
CTR-00166-02,CUST-00166,multi_year,36,2022-04-24,2025-04-23,2025-04-26,Annual in advance,32418.68,0.21,25610.76,76832.28,Renewed,,0.03
CTR-00166-03,CUST-00166,multi_year,24,2025-04-24,2027-04-23,2027-04-27,Annual in advance,53455.45,0.31,36750.62,73501.24,Active,CTR-00166-02,0.04
CTR-00169-04,CUST-00169,annual,12,2023-06-29,2024-06-28,2024-06-30,Annual in advance,57664.08,0.32,39021.28,39021.28,Renewed,,0.03
