customer_id,customer_name,segment,employee_count,region,acquisition_date,acquisition_channel,initial_contract_type,journey_archetype,account_owner_rep_id,csm_id,customer_status,churn_date,first_arr
CUST-00223,Cascade Glass & Glazing Co.,SMB,24,South Central,2021-03-26,Inbound - Paid,annual,slow_decay,REP-019,EMP-0245,Active,,6148.42
CUST-00225,Susquehanna HVAC LLC,SMB,8,West,2021-04-21,Inbound - Paid,annual,steady,REP-001,EMP-0022,Active,,1495.87
CUST-00226,Mahoney Boiler Works Services,SMB,23,Midwest,2021-04-30,Inbound - Organic,monthly,steady,REP-001,EMP-0022,Active,,5124.08
CUST-00227,Sonoran Fire & Life Safety Group,SMB,10,Great Lakes,2021-04-26,Inbound - Paid,monthly,land_and_expand,REP-003,EMP-0303,Churned,2024-03-31,2122.07
CUST-00228,Harborview Elevator Services,SMB,9,Southwest,2021-04-16,Partner / Referral,monthly,land_and_expand,REP-016,EMP-0154,Active,,2225.28
CUST-00229,Zamora Facilities Group Inc.,SMB,12,Great Lakes,2021-04-20,Inbound - Paid,monthly,steady,REP-001,EMP-0238,Active,,4657.96
CUST-00230,Okonkwo Sheet Metal,SMB,30,Mountain,2021-04-24,Outbound - SDR,monthly,land_and_expand,REP-005,EMP-0238,Active,,6289.05
CUST-00231,Northrup Security Systems Partners,SMB,11,Southeast,2021-04-20,Inbound - Organic,monthly,steady,REP-003,EMP-0139,Churned,2024-10-31,2256.29
CUST-00235,Cumberland Heating & Air LLC,SMB,21,Canada,2021-05-02,Inbound - Organic,monthly,land_and_expand,REP-016,EMP-0119,Active,,3601.79
CUST-00237,Jessup Air Systems Corp.,SMB,9,Southeast,2021-05-28,Inbound - Paid,annual,land_and_expand,REP-003,EMP-0312,Active,,1581.00
CUST-00238,Susquehanna Refrigeration Group,SMB,22,Northeast,2021-05-24,Partner / Referral,monthly,steady,REP-016,EMP-0258,Churned,2024-12-31,5046.64
CUST-00239,Gallardo Mechanical Contractors,SMB,12,Mountain,2021-05-03,Inbound - Organic,monthly,steady,REP-016,EMP-0104,Active,,2173.80
CUST-00240,Sierra Nevada Landscape Services LLC,SMB,24,Canada,2021-05-27,Inbound - Organic,monthly,land_and_expand,REP-005,EMP-0080,Churned,2024-04-30,5907.79
CUST-00242,Kearney Roofing,SMB,11,Southwest,2021-05-28,Inbound - Organic,annual,land_and_expand,REP-016,EMP-0153,Active,,3260.70
CUST-00244,Pemberton Industrial Services & Sons,SMB,8,West,2021-05-01,Inbound - Organic,annual,steady,REP-016,EMP-0103,Active,,1625.12
CUST-00247,Yarborough Facility Services & Sons,SMB,8,Northeast,2021-06-30,Inbound - Organic,annual,steady,REP-019,EMP-0153,Churned,2026-06-29,1614.83
CUST-00256,Jankowski Plumbing & Heating Group,SMB,8,Mid-Atlantic,2021-06-28,Inbound - Paid,annual,churn_and_return,REP-019,EMP-0171,Churned,2026-02-28,1107.93
CUST-00258,Ruzicka Plumbing & Heating,SMB,18,Great Lakes,2021-06-25,Trade Show / Event,annual,steady,REP-016,EMP-0272,Churned,2025-06-24,9929.42
CUST-00259,Redstone Pipefitting Group,SMB,28,Midwest,2021-07-08,Partner / Referral,monthly,churn_and_return,REP-001,EMP-0171,Churned,2024-09-30,11320.49
CUST-00260,Hutchins Fire & Life Safety Co.,SMB,12,Great Lakes,2021-07-26,Inbound - Paid,monthly,land_and_expand,REP-016,EMP-0022,Active,,2204.92
CUST-00262,Cornerstone Security Systems Holdings,SMB,19,Mid-Atlantic,2021-07-27,Partner / Referral,annual,expand_then_contract,REP-016,EMP-0284,Active,,3890.01
CUST-00263,Okonkwo Security Systems & Sons,SMB,10,Northeast,2021-07-11,Inbound - Organic,annual,steady,REP-016,EMP-0119,Active,,2290.78
CUST-00264,Wasatch Boiler Works Partners,SMB,13,West,2021-07-31,Partner / Referral,annual,steady,REP-005,EMP-0096,Active,,2232.81
CUST-00266,Bellamy Electrical Contractors & Sons,SMB,33,South Central,2021-07-28,Inbound - Paid,annual,expand_then_contract,REP-003,EMP-0317,Active,,6203.59
CUST-00268,Chinook Sheet Metal Services,SMB,21,Southeast,2021-08-26,Inbound - Organic,monthly,churn_and_return,REP-019,EMP-0199,Churned,2024-06-30,5367.72
CUST-00269,Lomeli Industrial Services Partners,SMB,27,Mid-Atlantic,2021-08-27,Inbound - Paid,monthly,land_and_expand,REP-005,EMP-0317,Active,,6934.33
CUST-00270,Boyington Property Services Group,SMB,6,West,2021-08-26,Inbound - Organic,annual,land_and_expand,REP-003,EMP-0096,Active,,1656.13
CUST-00271,Hudson Valley Energy Services LLC,SMB,9,Mountain,2021-08-31,Inbound - Paid,monthly,steady,REP-005,EMP-0153,Active,,1779.92
CUST-00273,Yarborough Boiler Works Services,SMB,22,Mid-Atlantic,2021-08-09,Inbound - Paid,monthly,steady,REP-003,EMP-0171,Active,,7107.09
CUST-00276,Kilbride Plumbing Holdings,SMB,18,Canada,2021-09-01,Inbound - Paid,annual,expand_then_contract,REP-001,EMP-0070,Active,,5001.61
CUST-00277,Blackhawk Plumbing Inc.,SMB,23,Northeast,2021-09-28,Outbound - SDR,monthly,steady,REP-016,EMP-0315,Active,,7045.51
CUST-00278,Chaudhry Controls Inc.,SMB,29,Canada,2021-09-25,Inbound - Paid,monthly,land_and_expand,REP-016,EMP-0317,Churned,2024-01-31,7532.59
CUST-00279,Piedmont Utility Services Holdings,SMB,13,Great Lakes,2021-09-28,Outbound - SDR,monthly,steady,REP-003,EMP-0182,Active,,2316.55
CUST-00283,Lomeli Sheet Metal,SMB,18,Canada,2021-09-14,Partner / Referral,annual,steady,REP-003,EMP-0272,Active,,3986.23
CUST-00284,Ackerley Fire & Life Safety Holdings,SMB,15,South Central,2021-09-01,Inbound - Paid,monthly,land_and_expand,REP-019,EMP-0199,Active,,2214.64
CUST-00286,Chinook Mechanical Contractors Holdings,SMB,28,Southwest,2021-10-27,Inbound - Paid,monthly,steady,REP-005,EMP-0172,Active,,6580.55
CUST-00287,Quintero Plumbing Partners,SMB,12,Great Lakes,2021-10-31,Partner / Referral,monthly,steady,REP-003,EMP-0103,Churned,2026-03-31,3329.42
CUST-00288,Red River Boiler Works,SMB,24,South Central,2021-10-27,Inbound - Paid,annual,land_and_expand,REP-019,EMP-0139,Active,,3821.85
CUST-00289,Stavros HVAC,SMB,13,Northeast,2021-10-03,Inbound - Organic,monthly,steady,REP-003,EMP-0317,Churned,2024-11-30,3186.74
CUST-00292,Wabash Pipefitting Services,SMB,7,Great Lakes,2021-10-26,Inbound - Paid,monthly,steady,REP-001,EMP-0153,Churned,2025-03-31,1209.77
CUST-00296,Northgate Refrigeration Inc.,SMB,13,Southeast,2021-10-07,Inbound - Organic,monthly,steady,REP-019,EMP-0289,Active,,2386.31
CUST-00300,Holloway Fire Protection,SMB,13,Southeast,2021-11-03,Partner / Referral,monthly,steady,REP-016,EMP-0178,Churned,2025-01-31,2982.41
CUST-00303,Draeger Plumbing Group,SMB,10,Mountain,2021-11-06,Outbound - SDR,monthly,steady,REP-019,EMP-0172,Churned,2025-08-31,1542.42
CUST-00304,Prentice Mechanical Systems,SMB,29,Northeast,2021-11-27,Partner / Referral,monthly,expand_then_contract,REP-019,EMP-0096,Active,,3964.91
CUST-00306,Hudson Valley Controls LLC,SMB,38,Mid-Atlantic,2021-11-23,Inbound - Paid,monthly,steady,REP-003,EMP-0219,Active,,7644.06
CUST-00307,Boyington Glass & Glazing Co.,SMB,9,Mid-Atlantic,2021-11-25,Partner / Referral,monthly,steady,REP-001,EMP-0032,Churned,2024-01-31,1555.31
CUST-00308,Brightline Fire & Life Safety Holdings,SMB,38,Canada,2021-12-30,Partner / Referral,annual,steady,REP-019,EMP-0081,Active,,15385.47
CUST-00309,Oyelaran Energy Services & Sons,SMB,19,Canada,2021-12-26,Inbound - Paid,monthly,steady,REP-016,EMP-0225,Active,,3490.55
CUST-00310,Red River Mechanical Systems LLC,SMB,7,Canada,2021-12-13,Inbound - Paid,annual,steady,REP-016,EMP-0258,Active,,2253.02
CUST-00311,Danforth Heating & Air Co.,SMB,9,Northeast,2021-12-26,Inbound - Paid,annual,expand_then_contract,REP-005,EMP-0096,Active,,1161.28
CUST-00314,Ironbridge Elevator Services Services,SMB,18,Mid-Atlantic,2021-12-01,Partner / Referral,annual,land_and_expand,REP-019,EMP-0081,Active,,5785.25
CUST-00316,Cascade Utility Services Co.,SMB,24,Mountain,2021-12-01,Inbound - Organic,monthly,land_and_expand,REP-003,EMP-0153,Churned,2024-05-31,3196.60
CUST-00318,Cornerstone Boiler Works,SMB,23,Midwest,2021-12-24,Outbound - SDR,monthly,steady,REP-016,EMP-0022,Active,,4708.28
CUST-00319,Nakashima Mechanical Partners,SMB,16,Canada,2021-12-17,Outbound - SDR,annual,land_and_expand,REP-019,EMP-0106,Churned,2024-12-16,5806.77
CUST-00321,Susquehanna Energy Services LLC,SMB,12,Canada,2021-12-31,Partner / Referral,monthly,steady,REP-003,EMP-0199,Active,,2139.27
CUST-00322,Ashworth Air Systems & Sons,SMB,12,Southwest,2021-12-07,Inbound - Paid,monthly,churn_and_return,REP-005,EMP-0033,Churned,2023-12-31,4678.55
CUST-00325,Villanueva Mechanical Services,SMB,8,Southeast,2021-12-27,Inbound - Organic,monthly,churn_and_return,REP-005,EMP-0284,Churned,2024-01-31,1777.92
