version,month_end_date,cost_center,department,account_code,account_name,account_category,budget_amount
FY2026-Board-Approved,2026-01-31,CC-1110,Product Marketing,6020,Payroll Taxes & Benefits,Sales & Marketing,19425.12
FY2026-Board-Approved,2026-01-31,CC-1110,Product Marketing,6120,Brand & Content,Sales & Marketing,51688.78
FY2026-Board-Approved,2026-01-31,CC-1110,Product Marketing,6200,Software & Subscriptions,Sales & Marketing,3543.25
FY2026-Board-Approved,2026-01-31,CC-1110,Product Marketing,6300,Travel & Entertainment,Sales & Marketing,2861.19
FY2026-Board-Approved,2026-01-31,CC-1200,Customer Success,6000,Salaries & Wages,Subscription COGS,175329.00
FY2026-Board-Approved,2026-01-31,CC-1200,Customer Success,6010,Bonus,Subscription COGS,16969.00
FY2026-Board-Approved,2026-01-31,CC-1200,Customer Success,6020,Payroll Taxes & Benefits,Subscription COGS,39421.09
FY2026-Board-Approved,2026-01-31,CC-1200,Customer Success,6200,Software & Subscriptions,Subscription COGS,3464.45
FY2026-Board-Approved,2026-01-31,CC-1200,Customer Success,6300,Travel & Entertainment,Subscription COGS,2851.39
FY2026-Board-Approved,2026-01-31,CC-2000,Support,5010,Third-Party Data & APIs,Subscription COGS,1252.16
FY2026-Board-Approved,2026-01-31,CC-2000,Support,6000,Salaries & Wages,Subscription COGS,56959.50
FY2026-Board-Approved,2026-01-31,CC-2000,Support,6010,Bonus,Subscription COGS,5970.91
FY2026-Board-Approved,2026-01-31,CC-2000,Support,6020,Payroll Taxes & Benefits,Subscription COGS,12900.74
FY2026-Board-Approved,2026-01-31,CC-2000,Support,6200,Software & Subscriptions,Subscription COGS,878.34
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,5000,Cloud Hosting,Subscription COGS,136893.78
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,5010,Third-Party Data & APIs,Subscription COGS,828.00
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,5020,Payment Processing Fees,Subscription COGS,14971.71
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,6000,Salaries & Wages,Subscription COGS,53742.37
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,6010,Bonus,Subscription COGS,4735.12
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,6020,Payroll Taxes & Benefits,Subscription COGS,11987.89
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,6050,Contractor & Temp Labor,Subscription COGS,15459.51
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,6200,Software & Subscriptions,Subscription COGS,912.38
FY2026-Board-Approved,2026-01-31,CC-2010,Cloud Operations,6900,Other Operating Expense,Subscription COGS,142.16
FY2026-Board-Approved,2026-01-31,CC-2100,Professional Services,5030,Services Subcontractors,Services COGS,3685.45
FY2026-Board-Approved,2026-01-31,CC-2100,Professional Services,6000,Salaries & Wages,Services COGS,35457.37
FY2026-Board-Approved,2026-01-31,CC-2100,Professional Services,6010,Bonus,Services COGS,3201.95
FY2026-Board-Approved,2026-01-31,CC-2100,Professional Services,6020,Payroll Taxes & Benefits,Services COGS,7925.16
FY2026-Board-Approved,2026-01-31,CC-2100,Professional Services,6200,Software & Subscriptions,Services COGS,879.50
FY2026-Board-Approved,2026-01-31,CC-2100,Professional Services,6300,Travel & Entertainment,Services COGS,2140.35
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6000,Salaries & Wages,Research & Development,328948.88
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6010,Bonus,Research & Development,30999.46
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6020,Payroll Taxes & Benefits,Research & Development,73789.40
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6050,Contractor & Temp Labor,Research & Development,27280.77
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6200,Software & Subscriptions,Research & Development,10405.57
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6300,Travel & Entertainment,Research & Development,2096.14
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6450,Training & Enablement,Research & Development,1787.29
FY2026-Board-Approved,2026-01-31,CC-3000,Engineering,6900,Other Operating Expense,Research & Development,1063.92
FY2026-Board-Approved,2026-01-31,CC-3010,Quality & Release,6000,Salaries & Wages,Research & Development,48446.62
FY2026-Board-Approved,2026-01-31,CC-3010,Quality & Release,6010,Bonus,Research & Development,3875.73
FY2026-Board-Approved,2026-01-31,CC-3010,Quality & Release,6020,Payroll Taxes & Benefits,Research & Development,10726.08
FY2026-Board-Approved,2026-01-31,CC-3010,Quality & Release,6050,Contractor & Temp Labor,Research & Development,10121.31
FY2026-Board-Approved,2026-01-31,CC-3010,Quality & Release,6200,Software & Subscriptions,Research & Development,1859.30
FY2026-Board-Approved,2026-01-31,CC-3100,Product & Design,6000,Salaries & Wages,Research & Development,133730.62
FY2026-Board-Approved,2026-01-31,CC-3100,Product & Design,6010,Bonus,Research & Development,11878.00
FY2026-Board-Approved,2026-01-31,CC-3100,Product & Design,6020,Payroll Taxes & Benefits,Research & Development,29849.77
FY2026-Board-Approved,2026-01-31,CC-3100,Product & Design,6050,Contractor & Temp Labor,Research & Development,10815.24
FY2026-Board-Approved,2026-01-31,CC-3100,Product & Design,6200,Software & Subscriptions,Research & Development,4333.42
FY2026-Board-Approved,2026-01-31,CC-3100,Product & Design,6300,Travel & Entertainment,Research & Development,1131.62
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6000,Salaries & Wages,General & Administrative,61513.50
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6010,Bonus,General & Administrative,5457.21
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6020,Payroll Taxes & Benefits,General & Administrative,13729.00
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6200,Software & Subscriptions,General & Administrative,1567.87
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6300,Travel & Entertainment,General & Administrative,789.82
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6400,Professional Fees,General & Administrative,40123.71
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6440,Depreciation & Amortisation,General & Administrative,24176.79
FY2026-Board-Approved,2026-01-31,CC-4000,Finance & Accounting,6900,Other Operating Expense,General & Administrative,184.63
FY2026-Board-Approved,2026-01-31,CC-4010,People Operations,6000,Salaries & Wages,General & Administrative,51801.75
FY2026-Board-Approved,2026-01-31,CC-4010,People Operations,6010,Bonus,General & Administrative,5772.28
FY2026-Board-Approved,2026-01-31,CC-4010,People Operations,6020,Payroll Taxes & Benefits,General & Administrative,11802.67
FY2026-Board-Approved,2026-01-31,CC-4010,People Operations,6200,Software & Subscriptions,General & Administrative,830.48
FY2026-Board-Approved,2026-01-31,CC-4010,People Operations,6450,Training & Enablement,General & Administrative,154.80
FY2026-Board-Approved,2026-01-31,CC-4020,Legal & Corporate,6000,Salaries & Wages,General & Administrative,11695.50
FY2026-Board-Approved,2026-01-31,CC-4020,Legal & Corporate,6010,Bonus,General & Administrative,935.64
FY2026-Board-Approved,2026-01-31,CC-4020,Legal & Corporate,6020,Payroll Taxes & Benefits,General & Administrative,2589.38
FY2026-Board-Approved,2026-01-31,CC-4020,Legal & Corporate,6200,Software & Subscriptions,General & Administrative,427.77
FY2026-Board-Approved,2026-01-31,CC-4020,Legal & Corporate,6300,Travel & Entertainment,General & Administrative,226.76
FY2026-Board-Approved,2026-01-31,CC-4020,Legal & Corporate,6400,Professional Fees,General & Administrative,22163.73
FY2026-Board-Approved,2026-01-31,CC-4020,Legal & Corporate,6430,Insurance,General & Administrative,20658.35
FY2026-Board-Approved,2026-01-31,CC-4030,IT & Corporate Systems,6000,Salaries & Wages,General & Administrative,42391.87
FY2026-Board-Approved,2026-01-31,CC-4030,IT & Corporate Systems,6010,Bonus,General & Administrative,5050.88
FY2026-Board-Approved,2026-01-31,CC-4030,IT & Corporate Systems,6020,Payroll Taxes & Benefits,General & Administrative,9725.77
FY2026-Board-Approved,2026-01-31,CC-4030,IT & Corporate Systems,6050,Contractor & Temp Labor,General & Administrative,7121.68
FY2026-Board-Approved,2026-01-31,CC-4030,IT & Corporate Systems,6200,Software & Subscriptions,General & Administrative,645.48
FY2026-Board-Approved,2026-01-31,CC-4030,IT & Corporate Systems,6420,Facilities & Rent,General & Administrative,35677.49
FY2026-Board-Approved,2026-01-31,CC-4030,IT & Corporate Systems,6900,Other Operating Expense,General & Administrative,74.67
FY2026-Board-Approved,2026-01-31,CC-9000,Revenue,4000,Subscription Revenue,Subscription Revenue,-2431014.89
FY2026-Board-Approved,2026-01-31,CC-9000,Revenue,4010,Usage Revenue Above Commitment,Subscription Revenue,-52146.39
FY2026-Board-Approved,2026-01-31,CC-9000,Revenue,4100,Professional Services Revenue,Services Revenue,-40778.63
FY2026-Board-Approved,2026-01-31,CC-9000,Revenue,4110,Implementation Fee Revenue,Services Revenue,-60049.61
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9000,Ending ARR,Memo - ARR,30331865.48
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9010,New Logo ARR,Memo - ARR,330000.00
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9020,Expansion ARR,Memo - ARR,269500.00
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9030,Reactivation ARR,Memo - ARR,11000.00
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9040,Contraction ARR,Memo - ARR,-97750.00
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9050,Churn ARR,Memo - ARR,-327750.00
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9100,New Logos Added,Memo - Statistical,21.00
FY2026-Board-Approved,2026-01-31,CC-9000,Corporate,9200,Ending Headcount,Memo - Statistical,200.00
FY2026-Board-Approved,2026-02-28,CC-1000,Sales - SMB,6000,Salaries & Wages,Sales & Marketing,63031.33
FY2026-Board-Approved,2026-02-28,CC-1000,Sales - SMB,6020,Payroll Taxes & Benefits,Sales & Marketing,12921.42
FY2026-Board-Approved,2026-02-28,CC-1000,Sales - SMB,6030,Sales Commissions,Sales & Marketing,11016.93
FY2026-Board-Approved,2026-02-28,CC-1000,Sales - SMB,6040,Commission Amortisation,Sales & Marketing,5603.69
FY2026-Board-Approved,2026-02-28,CC-1000,Sales - SMB,6200,Software & Subscriptions,Sales & Marketing,2914.98
FY2026-Board-Approved,2026-02-28,CC-1000,Sales - SMB,6300,Travel & Entertainment,Sales & Marketing,4522.89
FY2026-Board-Approved,2026-02-28,CC-1000,Sales - SMB,6450,Training & Enablement,Sales & Marketing,413.42
FY2026-Board-Approved,2026-02-28,CC-1010,Sales - Mid-Market,6000,Salaries & Wages,Sales & Marketing,115676.42
FY2026-Board-Approved,2026-02-28,CC-1010,Sales - Mid-Market,6020,Payroll Taxes & Benefits,Sales & Marketing,23713.66
FY2026-Board-Approved,2026-02-28,CC-1010,Sales - Mid-Market,6030,Sales Commissions,Sales & Marketing,21032.31
FY2026-Board-Approved,2026-02-28,CC-1010,Sales - Mid-Market,6040,Commission Amortisation,Sales & Marketing,10697.96
FY2026-Board-Approved,2026-02-28,CC-1010,Sales - Mid-Market,6200,Software & Subscriptions,Sales & Marketing,5194.64
FY2026-Board-Approved,2026-02-28,CC-1010,Sales - Mid-Market,6300,Travel & Entertainment,Sales & Marketing,7923.08
FY2026-Board-Approved,2026-02-28,CC-1010,Sales - Mid-Market,6450,Training & Enablement,Sales & Marketing,639.09
FY2026-Board-Approved,2026-02-28,CC-1020,Sales - Enterprise,6000,Salaries & Wages,Sales & Marketing,60820.01
FY2026-Board-Approved,2026-02-28,CC-1020,Sales - Enterprise,6020,Payroll Taxes & Benefits,Sales & Marketing,12468.11
FY2026-Board-Approved,2026-02-28,CC-1020,Sales - Enterprise,6030,Sales Commissions,Sales & Marketing,18027.69
FY2026-Board-Approved,2026-02-28,CC-1020,Sales - Enterprise,6040,Commission Amortisation,Sales & Marketing,9169.68
FY2026-Board-Approved,2026-02-28,CC-1020,Sales - Enterprise,6200,Software & Subscriptions,Sales & Marketing,2384.65
FY2026-Board-Approved,2026-02-28,CC-1020,Sales - Enterprise,6300,Travel & Entertainment,Sales & Marketing,3513.34
FY2026-Board-Approved,2026-02-28,CC-1020,Sales - Enterprise,6450,Training & Enablement,Sales & Marketing,298.09
FY2026-Board-Approved,2026-02-28,CC-1030,Sales Development,6000,Salaries & Wages,Sales & Marketing,68472.58
FY2026-Board-Approved,2026-02-28,CC-1030,Sales Development,6020,Payroll Taxes & Benefits,Sales & Marketing,14036.88
FY2026-Board-Approved,2026-02-28,CC-1030,Sales Development,6200,Software & Subscriptions,Sales & Marketing,2914.42
FY2026-Board-Approved,2026-02-28,CC-1030,Sales Development,6300,Travel & Entertainment,Sales & Marketing,3793.70
FY2026-Board-Approved,2026-02-28,CC-1030,Sales Development,6450,Training & Enablement,Sales & Marketing,346.33
FY2026-Board-Approved,2026-02-28,CC-1040,Sales Operations,6000,Salaries & Wages,Sales & Marketing,50938.71
FY2026-Board-Approved,2026-02-28,CC-1040,Sales Operations,6020,Payroll Taxes & Benefits,Sales & Marketing,10442.44
FY2026-Board-Approved,2026-02-28,CC-1040,Sales Operations,6200,Software & Subscriptions,Sales & Marketing,2141.18
FY2026-Board-Approved,2026-02-28,CC-1040,Sales Operations,6300,Travel & Entertainment,Sales & Marketing,2692.01
FY2026-Board-Approved,2026-02-28,CC-1050,Solutions Engineering,6000,Salaries & Wages,Sales & Marketing,38706.81
FY2026-Board-Approved,2026-02-28,CC-1050,Solutions Engineering,6020,Payroll Taxes & Benefits,Sales & Marketing,7934.90
FY2026-Board-Approved,2026-02-28,CC-1050,Solutions Engineering,6200,Software & Subscriptions,Sales & Marketing,1709.73
FY2026-Board-Approved,2026-02-28,CC-1050,Solutions Engineering,6300,Travel & Entertainment,Sales & Marketing,2292.14
FY2026-Board-Approved,2026-02-28,CC-1060,Sales Leadership,6000,Salaries & Wages,Sales & Marketing,17098.56
FY2026-Board-Approved,2026-02-28,CC-1060,Sales Leadership,6020,Payroll Taxes & Benefits,Sales & Marketing,3505.21
FY2026-Board-Approved,2026-02-28,CC-1060,Sales Leadership,6200,Software & Subscriptions,Sales & Marketing,872.20
FY2026-Board-Approved,2026-02-28,CC-1060,Sales Leadership,6300,Travel & Entertainment,Sales & Marketing,1222.01
FY2026-Board-Approved,2026-02-28,CC-1060,Sales Leadership,6450,Training & Enablement,Sales & Marketing,101.75
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6000,Salaries & Wages,Sales & Marketing,74906.29
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6010,Bonus,Sales & Marketing,6959.05
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6020,Payroll Taxes & Benefits,Sales & Marketing,16782.39
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6050,Contractor & Temp Labor,Sales & Marketing,17167.34
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6100,Demand Generation,Sales & Marketing,168660.63
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6110,Events & Field Marketing,Sales & Marketing,65024.42
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6200,Software & Subscriptions,Sales & Marketing,2700.73
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6300,Travel & Entertainment,Sales & Marketing,2382.01
FY2026-Board-Approved,2026-02-28,CC-1100,Demand Generation,6450,Training & Enablement,Sales & Marketing,363.83
FY2026-Board-Approved,2026-02-28,CC-1110,Product Marketing,6000,Salaries & Wages,Sales & Marketing,87738.91
FY2026-Board-Approved,2026-02-28,CC-1110,Product Marketing,6010,Bonus,Sales & Marketing,7907.47
FY2026-Board-Approved,2026-02-28,CC-1110,Product Marketing,6020,Payroll Taxes & Benefits,Sales & Marketing,19607.51
FY2026-Board-Approved,2026-02-28,CC-1110,Product Marketing,6120,Brand & Content,Sales & Marketing,46100.25
FY2026-Board-Approved,2026-02-28,CC-1110,Product Marketing,6200,Software & Subscriptions,Sales & Marketing,3353.03
FY2026-Board-Approved,2026-02-28,CC-1110,Product Marketing,6300,Travel & Entertainment,Sales & Marketing,2613.17
FY2026-Board-Approved,2026-02-28,CC-1200,Customer Success,6000,Salaries & Wages,Subscription COGS,176975.26
FY2026-Board-Approved,2026-02-28,CC-1200,Customer Success,6010,Bonus,Subscription COGS,17128.33
FY2026-Board-Approved,2026-02-28,CC-1200,Customer Success,6020,Payroll Taxes & Benefits,Subscription COGS,39791.24
FY2026-Board-Approved,2026-02-28,CC-1200,Customer Success,6200,Software & Subscriptions,Subscription COGS,3396.74
FY2026-Board-Approved,2026-02-28,CC-1200,Customer Success,6300,Travel & Entertainment,Subscription COGS,2476.98
FY2026-Board-Approved,2026-02-28,CC-2000,Support,5010,Third-Party Data & APIs,Subscription COGS,1335.03
FY2026-Board-Approved,2026-02-28,CC-2000,Support,6000,Salaries & Wages,Subscription COGS,57494.32
FY2026-Board-Approved,2026-02-28,CC-2000,Support,6010,Bonus,Subscription COGS,6026.98
FY2026-Board-Approved,2026-02-28,CC-2000,Support,6020,Payroll Taxes & Benefits,Subscription COGS,13021.87
FY2026-Board-Approved,2026-02-28,CC-2000,Support,6200,Software & Subscriptions,Subscription COGS,868.85
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,5000,Cloud Hosting,Subscription COGS,141845.49
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,5010,Third-Party Data & APIs,Subscription COGS,822.94
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,5020,Payment Processing Fees,Subscription COGS,15704.75
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,6000,Salaries & Wages,Subscription COGS,54246.99
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,6010,Bonus,Subscription COGS,4779.59
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,6020,Payroll Taxes & Benefits,Subscription COGS,12100.45
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,6050,Contractor & Temp Labor,Subscription COGS,15560.58
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,6200,Software & Subscriptions,Subscription COGS,938.67
FY2026-Board-Approved,2026-02-28,CC-2010,Cloud Operations,6900,Other Operating Expense,Subscription COGS,139.95
FY2026-Board-Approved,2026-02-28,CC-2100,Professional Services,5030,Services Subcontractors,Services COGS,3023.79
FY2026-Board-Approved,2026-02-28,CC-2100,Professional Services,6000,Salaries & Wages,Services COGS,35790.30
FY2026-Board-Approved,2026-02-28,CC-2100,Professional Services,6010,Bonus,Services COGS,3232.01
FY2026-Board-Approved,2026-02-28,CC-2100,Professional Services,6020,Payroll Taxes & Benefits,Services COGS,7999.57
FY2026-Board-Approved,2026-02-28,CC-2100,Professional Services,6200,Software & Subscriptions,Services COGS,877.46
FY2026-Board-Approved,2026-02-28,CC-2100,Professional Services,6300,Travel & Entertainment,Services COGS,1803.46
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6000,Salaries & Wages,Research & Development,346237.02
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6010,Bonus,Research & Development,32426.49
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6020,Payroll Taxes & Benefits,Research & Development,77626.02
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6050,Contractor & Temp Labor,Research & Development,27102.26
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6200,Software & Subscriptions,Research & Development,11759.81
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6300,Travel & Entertainment,Research & Development,2217.41
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6450,Training & Enablement,Research & Development,1701.39
FY2026-Board-Approved,2026-02-28,CC-3000,Engineering,6900,Other Operating Expense,Research & Development,1207.33
FY2026-Board-Approved,2026-02-28,CC-3010,Quality & Release,6000,Salaries & Wages,Research & Development,48901.51
FY2026-Board-Approved,2026-02-28,CC-3010,Quality & Release,6010,Bonus,Research & Development,3912.12
FY2026-Board-Approved,2026-02-28,CC-3010,Quality & Release,6020,Payroll Taxes & Benefits,Research & Development,10826.79
FY2026-Board-Approved,2026-02-28,CC-3010,Quality & Release,6050,Contractor & Temp Labor,Research & Development,8575.97
FY2026-Board-Approved,2026-02-28,CC-3010,Quality & Release,6200,Software & Subscriptions,Research & Development,1839.27
FY2026-Board-Approved,2026-02-28,CC-3100,Product & Design,6000,Salaries & Wages,Research & Development,144676.05
FY2026-Board-Approved,2026-02-28,CC-3100,Product & Design,6010,Bonus,Research & Development,13152.30
FY2026-Board-Approved,2026-02-28,CC-3100,Product & Design,6020,Payroll Taxes & Benefits,Research & Development,32354.82
FY2026-Board-Approved,2026-02-28,CC-3100,Product & Design,6050,Contractor & Temp Labor,Research & Development,11659.90
FY2026-Board-Approved,2026-02-28,CC-3100,Product & Design,6200,Software & Subscriptions,Research & Development,4676.06
FY2026-Board-Approved,2026-02-28,CC-3100,Product & Design,6300,Travel & Entertainment,Research & Development,1162.93
FY2026-Board-Approved,2026-02-28,CC-4000,Finance & Accounting,6000,Salaries & Wages,General & Administrative,62091.08
FY2026-Board-Approved,2026-02-28,CC-4000,Finance & Accounting,6010,Bonus,General & Administrative,5508.45
FY2026-Board-Approved,2026-02-28,CC-4000,Finance & Accounting,6020,Payroll Taxes & Benefits,General & Administrative,13857.90
FY2026-Board-Approved,2026-02-28,CC-4000,Finance & Accounting,6200,Software & Subscriptions,General & Administrative,1432.83
FY2026-Board-Approved,2026-02-28,CC-4000,Finance & Accounting,6300,Travel & Entertainment,General & Administrative,910.58
FY2026-Board-Approved,2026-02-28,CC-4000,Finance & Accounting,6400,Professional Fees,General & Administrative,41390.39
