customer_id,product_id,contract_id,month_end_date,seats,mrr,arr
CUST-00044,PRD-CORE,CTR-00044-05,2023-12-31,24,1868.65,22423.80
CUST-00044,PRD-DISPATCH,CTR-00044-05,2023-12-31,24,747.46,8969.52
CUST-00046,PRD-CORE,CTR-00046-05,2023-12-31,23,1601.05,19212.60
CUST-00046,PRD-INSIGHTS,CTR-00046-05,2023-12-31,0,514.37,6172.44
CUST-00048,PRD-CORE,CTR-00048-05,2023-12-31,33,2612.78,31353.36
CUST-00048,PRD-DISPATCH,CTR-00048-05,2023-12-31,33,1045.11,12541.32
CUST-00048,PRD-INSIGHTS,CTR-00048-05,2023-12-31,0,672.78,8073.36
CUST-00049,PRD-CORE,CTR-00049-02,2023-12-31,13,832.80,9993.60
CUST-00049,PRD-DISPATCH,CTR-00049-02,2023-12-31,13,333.12,3997.44
CUST-00050,PRD-CORE,CTR-00050-05,2023-12-31,40,2981.78,35781.36
CUST-00050,PRD-DISPATCH,CTR-00050-05,2023-12-31,40,1192.71,14312.52
CUST-00050,PRD-INSIGHTS,CTR-00050-05,2023-12-31,0,693.61,8323.32
CUST-00051,PRD-CORE,CTR-00051-05,2023-12-31,11,832.22,9986.64
CUST-00052,PRD-CORE,CTR-00052-05,2023-12-31,35,2685.25,32223.00
CUST-00052,PRD-DISPATCH,CTR-00052-05,2023-12-31,35,1074.10,12889.20
CUST-00052,PRD-INSIGHTS,CTR-00052-05,2023-12-31,0,1131.08,13572.96
CUST-00053,PRD-CORE,CTR-00053-05,2023-12-31,22,1857.26,22287.12
CUST-00053,PRD-DISPATCH,CTR-00053-05,2023-12-31,22,742.90,8914.80
CUST-00054,PRD-CORE,CTR-00054-05,2023-12-31,17,1235.16,14821.92
CUST-00055,PRD-CORE,CTR-00055-05,2023-12-31,72,5496.67,65960.04
CUST-00055,PRD-INSIGHTS,CTR-00055-05,2023-12-31,0,708.37,8500.44
CUST-00056,PRD-CORE,CTR-00056-05,2023-12-31,16,1192.77,14313.24
CUST-00058,PRD-CORE,CTR-00058-02,2023-12-31,37,2425.28,29103.36
CUST-00058,PRD-DISPATCH,CTR-00058-02,2023-12-31,37,970.11,11641.32
CUST-00058,PRD-INSIGHTS,CTR-00058-02,2023-12-31,0,564.15,6769.80
CUST-00059,PRD-CORE,CTR-00059-04,2023-12-31,15,1108.58,13302.96
CUST-00060,PRD-CORE,CTR-00060-04,2023-12-31,13,629.31,7551.72
CUST-00060,PRD-DISPATCH,CTR-00060-04,2023-12-31,13,251.72,3020.64
CUST-00060,PRD-INSIGHTS,CTR-00060-04,2023-12-31,0,203.46,2441.52
CUST-00061,PRD-CORE,CTR-00061-01,2023-12-31,5,201.47,2417.64
CUST-00065,PRD-CORE,CTR-00065-04,2023-12-31,3,141.45,1697.40
CUST-00065,PRD-DISPATCH,CTR-00065-04,2023-12-31,3,56.58,678.96
CUST-00067,PRD-CORE,CTR-00067-04,2023-12-31,4,170.51,2046.12
CUST-00070,PRD-CORE,CTR-00070-04,2023-12-31,6,270.22,3242.64
CUST-00070,PRD-DISPATCH,CTR-00070-04,2023-12-31,6,108.09,1297.08
CUST-00071,PRD-CORE,CTR-00071-04,2023-12-31,3,122.91,1474.92
CUST-00075,PRD-CORE,CTR-00075-04,2023-12-31,8,367.54,4410.48
CUST-00075,PRD-DISPATCH,CTR-00075-04,2023-12-31,8,147.02,1764.24
CUST-00076,PRD-CORE,CTR-00076-01,2023-12-31,4,159.35,1912.20
CUST-00076,PRD-DISPATCH,CTR-00076-01,2023-12-31,4,63.74,764.88
CUST-00077,PRD-CORE,CTR-00077-01,2023-12-31,4,168.45,2021.40
CUST-00077,PRD-DISPATCH,CTR-00077-01,2023-12-31,4,67.38,808.56
CUST-00080,PRD-CORE,CTR-00080-01,2023-12-31,10,437.98,5255.76
CUST-00084,PRD-CORE,CTR-00084-04,2023-12-31,16,719.84,8638.08
CUST-00086,PRD-CORE,CTR-00086-01,2023-12-31,2,75.37,904.44
CUST-00086,PRD-INSIGHTS,CTR-00086-01,2023-12-31,0,136.07,1632.84
CUST-00089,PRD-CORE,CTR-00089-01,2023-12-31,8,305.29,3663.48
CUST-00089,PRD-DISPATCH,CTR-00089-01,2023-12-31,8,122.12,1465.44
CUST-00094,PRD-CORE,CTR-00094-01,2023-12-31,4,161.25,1935.00
CUST-00094,PRD-DISPATCH,CTR-00094-01,2023-12-31,4,64.50,774.00
CUST-00095,PRD-CORE,CTR-00095-04,2023-12-31,14,659.06,7908.72
CUST-00098,PRD-CORE,CTR-00098-01,2023-12-31,12,535.16,6421.92
CUST-00099,PRD-CORE,CTR-00099-04,2023-12-31,7,319.09,3829.08
CUST-00100,PRD-CORE,CTR-00100-02,2023-12-31,7,273.74,3284.88
CUST-00100,PRD-DISPATCH,CTR-00100-02,2023-12-31,7,109.50,1314.00
CUST-00104,PRD-CORE,CTR-00104-04,2023-12-31,6,300.81,3609.72
CUST-00110,PRD-CORE,CTR-00110-01,2023-12-31,19,868.21,10418.52
CUST-00110,PRD-DISPATCH,CTR-00110-01,2023-12-31,19,347.28,4167.36
CUST-00110,PRD-INSIGHTS,CTR-00110-01,2023-12-31,0,195.63,2347.56
CUST-00113,PRD-CORE,CTR-00113-01,2023-12-31,10,430.70,5168.40
CUST-00114,PRD-CORE,CTR-00114-01,2023-12-31,5,216.35,2596.20
CUST-00114,PRD-DISPATCH,CTR-00114-01,2023-12-31,5,86.54,1038.48
CUST-00117,PRD-CORE,CTR-00117-01,2023-12-31,13,554.51,6654.12
CUST-00117,PRD-DISPATCH,CTR-00117-01,2023-12-31,13,221.80,2661.60
CUST-00119,PRD-CORE,CTR-00119-01,2023-12-31,5,205.97,2471.64
CUST-00119,PRD-INSIGHTS,CTR-00119-01,2023-12-31,0,207.90,2494.80
CUST-00120,PRD-CORE,CTR-00120-01,2023-12-31,6,263.65,3163.80
CUST-00121,PRD-CORE,CTR-00121-01,2023-12-31,19,825.28,9903.36
CUST-00121,PRD-DISPATCH,CTR-00121-01,2023-12-31,19,330.11,3961.32
CUST-00121,PRD-INSIGHTS,CTR-00121-01,2023-12-31,0,261.25,3135.00
CUST-00122,PRD-CORE,CTR-00122-02R,2023-12-31,5,272.55,3270.60
CUST-00126,PRD-CORE,CTR-00126-01,2023-12-31,10,461.95,5543.40
CUST-00126,PRD-DISPATCH,CTR-00126-01,2023-12-31,10,184.78,2217.36
CUST-00126,PRD-INSIGHTS,CTR-00126-01,2023-12-31,0,261.13,3133.56
CUST-00130,PRD-CORE,CTR-00130-01,2023-12-31,4,167.86,2014.32
CUST-00130,PRD-DISPATCH,CTR-00130-01,2023-12-31,4,67.14,805.68
CUST-00132,PRD-CORE,CTR-00132-04,2023-12-31,4,192.96,2315.52
CUST-00132,PRD-DISPATCH,CTR-00132-04,2023-12-31,4,77.19,926.28
CUST-00133,PRD-CORE,CTR-00133-01,2023-12-31,7,296.10,3553.20
CUST-00133,PRD-DISPATCH,CTR-00133-01,2023-12-31,7,118.44,1421.28
CUST-00135,PRD-CORE,CTR-00135-01,2023-12-31,2,85.88,1030.56
CUST-00135,PRD-DISPATCH,CTR-00135-01,2023-12-31,2,34.35,412.20
CUST-00137,PRD-CORE,CTR-00137-04,2023-12-31,4,176.61,2119.32
CUST-00139,PRD-CORE,CTR-00139-01,2023-12-31,10,432.58,5190.96
CUST-00139,PRD-DISPATCH,CTR-00139-01,2023-12-31,10,173.03,2076.36
CUST-00140,PRD-CORE,CTR-00140-03,2023-12-31,7,311.13,3733.56
CUST-00142,PRD-CORE,CTR-00142-03,2023-12-31,6,267.58,3210.96
CUST-00142,PRD-DISPATCH,CTR-00142-03,2023-12-31,6,107.03,1284.36
CUST-00144,PRD-CORE,CTR-00144-01,2023-12-31,11,478.87,5746.44
CUST-00144,PRD-INSIGHTS,CTR-00144-01,2023-12-31,0,146.19,1754.28
CUST-00146,PRD-CORE,CTR-00146-03,2023-12-31,6,280.09,3361.08
CUST-00148,PRD-CORE,CTR-00148-01,2023-12-31,6,266.28,3195.36
CUST-00148,PRD-DISPATCH,CTR-00148-01,2023-12-31,6,106.51,1278.12
CUST-00149,PRD-CORE,CTR-00149-01,2023-12-31,14,580.80,6969.60
CUST-00150,PRD-CORE,CTR-00150-03,2023-12-31,10,411.89,4942.68
CUST-00154,PRD-CORE,CTR-00154-01,2023-12-31,8,318.28,3819.36
CUST-00156,PRD-CORE,CTR-00156-04,2023-12-31,34,2442.69,29312.28
CUST-00156,PRD-INSIGHTS,CTR-00156-04,2023-12-31,0,325.58,3906.96
CUST-00158,PRD-CORE,CTR-00158-01,2023-12-31,20,1426.08,17112.96
CUST-00161,PRD-CORE,CTR-00161-04,2023-12-31,11,809.02,9708.24
CUST-00161,PRD-DISPATCH,CTR-00161-04,2023-12-31,11,323.61,3883.32
CUST-00162,PRD-CORE,CTR-00162-02,2023-12-31,24,1639.52,19674.24
CUST-00162,PRD-DISPATCH,CTR-00162-02,2023-12-31,24,655.81,7869.72
CUST-00163,PRD-CORE,CTR-00163-04,2023-12-31,37,2458.39,29500.68
CUST-00163,PRD-DISPATCH,CTR-00163-04,2023-12-31,37,983.36,11800.32
CUST-00163,PRD-INSIGHTS,CTR-00163-04,2023-12-31,0,672.59,8071.08
CUST-00164,PRD-CORE,CTR-00164-04,2023-12-31,23,1770.41,21244.92
CUST-00165,PRD-CORE,CTR-00165-04,2023-12-31,23,1851.87,22222.44
CUST-00165,PRD-DISPATCH,CTR-00165-04,2023-12-31,23,740.75,8889.00
CUST-00165,PRD-INSIGHTS,CTR-00165-04,2023-12-31,0,409.86,4918.32
CUST-00166,PRD-CORE,CTR-00166-02,2023-12-31,24,1722.55,20670.60
CUST-00166,PRD-DISPATCH,CTR-00166-02,2023-12-31,24,689.02,8268.24
CUST-00166,PRD-INSIGHTS,CTR-00166-02,2023-12-31,0,627.00,7524.00
CUST-00169,PRD-CORE,CTR-00169-04,2023-12-31,41,2703.90,32446.80
CUST-00169,PRD-INSIGHTS,CTR-00169-04,2023-12-31,0,547.87,6574.44
CUST-00170,PRD-CORE,CTR-00170-04,2023-12-31,11,889.78,10677.36
CUST-00170,PRD-DISPATCH,CTR-00170-04,2023-12-31,11,355.91,4270.92
CUST-00170,PRD-INSIGHTS,CTR-00170-04,2023-12-31,0,588.02,7056.24
CUST-00172,PRD-CORE,CTR-00172-04,2023-12-31,49,3706.07,44472.84
CUST-00172,PRD-DISPATCH,CTR-00172-04,2023-12-31,49,1482.43,17789.16
CUST-00174,PRD-CORE,CTR-00174-04,2023-12-31,29,2256.65,27079.80
CUST-00174,PRD-DISPATCH,CTR-00174-04,2023-12-31,29,902.66,10831.92
CUST-00174,PRD-INSIGHTS,CTR-00174-04,2023-12-31,0,773.96,9287.52
CUST-00175,PRD-CORE,CTR-00175-04,2023-12-31,9,633.72,7604.64
CUST-00175,PRD-DISPATCH,CTR-00175-04,2023-12-31,9,253.49,3041.88
CUST-00176,PRD-CORE,CTR-00176-04,2023-12-31,17,1303.61,15643.32
CUST-00178,PRD-CORE,CTR-00178-04,2023-12-31,9,677.24,8126.88
CUST-00179,PRD-CORE,CTR-00179-04,2023-12-31,23,1943.18,23318.16
CUST-00180,PRD-CORE,CTR-00180-04,2023-12-31,80,5556.17,66674.04
CUST-00180,PRD-INSIGHTS,CTR-00180-04,2023-12-31,0,531.78,6381.36
CUST-00181,PRD-CORE,CTR-00181-04,2023-12-31,13,1024.20,12290.40
CUST-00182,PRD-CORE,CTR-00182-04,2023-12-31,18,1545.30,18543.60
CUST-00182,PRD-DISPATCH,CTR-00182-04,2023-12-31,18,618.12,7417.44
CUST-00183,PRD-CORE,CTR-00183-04,2023-12-31,14,998.48,11981.76
CUST-00184,PRD-CORE,CTR-00184-03,2023-12-31,19,1369.89,16438.68
CUST-00184,PRD-DISPATCH,CTR-00184-03,2023-12-31,19,547.96,6575.52
CUST-00185,PRD-CORE,CTR-00185-03,2023-12-31,44,2909.40,34912.80
CUST-00185,PRD-DISPATCH,CTR-00185-03,2023-12-31,44,1163.76,13965.12
CUST-00186,PRD-CORE,CTR-00186-02,2023-12-31,15,1073.41,12880.92
CUST-00186,PRD-DISPATCH,CTR-00186-02,2023-12-31,15,429.36,5152.32
CUST-00186,PRD-INSIGHTS,CTR-00186-02,2023-12-31,0,728.66,8743.92
CUST-00187,PRD-CORE,CTR-00187-03,2023-12-31,26,1941.22,23294.64
CUST-00187,PRD-DISPATCH,CTR-00187-03,2023-12-31,26,776.49,9317.88
CUST-00188,PRD-CORE,CTR-00188-03,2023-12-31,19,1327.84,15934.08
CUST-00188,PRD-DISPATCH,CTR-00188-03,2023-12-31,19,531.14,6373.68
CUST-00189,PRD-CORE,CTR-00189-03,2023-12-31,8,572.48,6869.76
CUST-00189,PRD-INSIGHTS,CTR-00189-03,2023-12-31,0,358.36,4300.32
CUST-00190,PRD-CORE,CTR-00190-02,2023-12-31,501,17923.05,215076.60
CUST-00190,PRD-DISPATCH,CTR-00190-02,2023-12-31,501,7169.22,86030.64
CUST-00190,PRD-INSIGHTS,CTR-00190-02,2023-12-31,0,1163.10,13957.20
CUST-00191,PRD-CORE,CTR-00191-03,2023-12-31,104,3869.71,46436.52
CUST-00191,PRD-INSIGHTS,CTR-00191-03,2023-12-31,0,1303.12,15637.44
CUST-00192,PRD-CORE,CTR-00192-01,2023-12-31,4,181.08,2172.96
CUST-00192,PRD-DISPATCH,CTR-00192-01,2023-12-31,4,72.43,869.16
CUST-00193,PRD-CORE,CTR-00193-01,2023-12-31,11,480.64,5767.68
CUST-00195,PRD-CORE,CTR-00195-01,2023-12-31,9,371.68,4460.16
CUST-00195,PRD-DISPATCH,CTR-00195-01,2023-12-31,9,148.67,1784.04
CUST-00201,PRD-CORE,CTR-00201-03,2023-12-31,14,664.98,7979.76
CUST-00202,PRD-CORE,CTR-00202-01,2023-12-31,7,324.89,3898.68
CUST-00204,PRD-CORE,CTR-00204-01,2023-12-31,6,263.23,3158.76
CUST-00207,PRD-CORE,CTR-00207-02,2023-12-31,12,476.06,5712.72
CUST-00207,PRD-DISPATCH,CTR-00207-02,2023-12-31,12,190.42,2285.04
CUST-00207,PRD-INSIGHTS,CTR-00207-02,2023-12-31,0,124.15,1489.80
CUST-00208,PRD-CORE,CTR-00208-03,2023-12-31,6,278.27,3339.24
CUST-00208,PRD-DISPATCH,CTR-00208-03,2023-12-31,6,111.31,1335.72
CUST-00209,PRD-CORE,CTR-00209-01,2023-12-31,9,408.45,4901.40
CUST-00210,PRD-CORE,CTR-00210-01,2023-12-31,10,386.45,4637.40
CUST-00210,PRD-DISPATCH,CTR-00210-01,2023-12-31,10,154.58,1854.96
CUST-00211,PRD-CORE,CTR-00211-01,2023-12-31,3,126.01,1512.12
CUST-00211,PRD-DISPATCH,CTR-00211-01,2023-12-31,3,50.41,604.92
CUST-00212,PRD-CORE,CTR-00212-01,2023-12-31,8,362.68,4352.16
CUST-00214,PRD-CORE,CTR-00214-01,2023-12-31,9,381.49,4577.88
CUST-00214,PRD-DISPATCH,CTR-00214-01,2023-12-31,9,152.60,1831.20
CUST-00215,PRD-CORE,CTR-00215-01,2023-12-31,3,138.35,1660.20
CUST-00215,PRD-DISPATCH,CTR-00215-01,2023-12-31,3,55.34,664.08
CUST-00215,PRD-INSIGHTS,CTR-00215-01,2023-12-31,0,98.70,1184.40
CUST-00221,PRD-CORE,CTR-00221-01,2023-12-31,16,718.20,8618.40
CUST-00221,PRD-DISPATCH,CTR-00221-01,2023-12-31,16,287.28,3447.36
CUST-00222,PRD-CORE,CTR-00222-01,2023-12-31,9,409.42,4913.04
CUST-00222,PRD-DISPATCH,CTR-00222-01,2023-12-31,9,163.77,1965.24
CUST-00223,PRD-CORE,CTR-00223-01,2023-12-31,3,140.78,1689.36
CUST-00224,PRD-CORE,CTR-00224-03,2023-12-31,3,132.13,1585.56
CUST-00224,PRD-DISPATCH,CTR-00224-03,2023-12-31,3,52.85,634.20
CUST-00226,PRD-CORE,CTR-00226-03,2023-12-31,8,372.24,4466.88
CUST-00227,PRD-CORE,CTR-00227-03,2023-12-31,7,349.66,4195.92
CUST-00227,PRD-INSIGHTS,CTR-00227-03,2023-12-31,0,231.60,2779.20
CUST-00228,PRD-CORE,CTR-00228-01,2023-12-31,4,155.70,1868.40
CUST-00229,PRD-CORE,CTR-00229-01,2023-12-31,9,382.46,4589.52
CUST-00229,PRD-DISPATCH,CTR-00229-01,2023-12-31,9,152.98,1835.76
CUST-00233,PRD-CORE,CTR-00233-03,2023-12-31,11,514.16,6169.92
CUST-00234,PRD-CORE,CTR-00234-01,2023-12-31,14,585.95,7031.40
CUST-00234,PRD-DISPATCH,CTR-00234-01,2023-12-31,14,234.38,2812.56
CUST-00236,PRD-CORE,CTR-00236-03,2023-12-31,3,127.25,1527.00
CUST-00237,PRD-CORE,CTR-00237-01,2023-12-31,9,415.88,4990.56
CUST-00238,PRD-CORE,CTR-00238-01,2023-12-31,5,215.29,2583.48
CUST-00238,PRD-DISPATCH,CTR-00238-01,2023-12-31,5,86.12,1033.44
CUST-00239,PRD-CORE,CTR-00239-01,2023-12-31,6,270.91,3250.92
CUST-00239,PRD-INSIGHTS,CTR-00239-01,2023-12-31,0,240.80,2889.60
CUST-00240,PRD-CORE,CTR-00240-01,2023-12-31,10,472.56,5670.72
CUST-00240,PRD-DISPATCH,CTR-00240-01,2023-12-31,10,189.02,2268.24
CUST-00241,PRD-CORE,CTR-00241-01,2023-12-31,14,649.64,7795.68
CUST-00241,PRD-DISPATCH,CTR-00241-01,2023-12-31,14,259.86,3118.32
CUST-00241,PRD-INSIGHTS,CTR-00241-01,2023-12-31,0,159.22,1910.64
CUST-00242,PRD-CORE,CTR-00242-01,2023-12-31,2,73.25,879.00
CUST-00246,PRD-CORE,CTR-00246-01,2023-12-31,7,341.05,4092.60
CUST-00246,PRD-DISPATCH,CTR-00246-01,2023-12-31,7,136.42,1637.04
CUST-00248,PRD-CORE,CTR-00248-03,2023-12-31,4,185.09,2221.08
CUST-00249,PRD-CORE,CTR-00249-01,2023-12-31,13,591.64,7099.68
CUST-00250,PRD-CORE,CTR-00250-01,2023-12-31,5,220.54,2646.48
CUST-00250,PRD-INSIGHTS,CTR-00250-01,2023-12-31,0,151.40,1816.80
CUST-00251,PRD-CORE,CTR-00251-01,2023-12-31,12,513.74,6164.88
CUST-00251,PRD-DISPATCH,CTR-00251-01,2023-12-31,12,205.49,2465.88
CUST-00251,PRD-INSIGHTS,CTR-00251-01,2023-12-31,0,130.44,1565.28
CUST-00253,PRD-CORE,CTR-00253-03,2023-12-31,9,430.31,5163.72
CUST-00255,PRD-CORE,CTR-00255-03,2023-12-31,4,181.91,2182.92
CUST-00255,PRD-DISPATCH,CTR-00255-03,2023-12-31,4,72.76,873.12
CUST-00258,PRD-CORE,CTR-00258-03,2023-12-31,4,188.81,2265.72
CUST-00267,PRD-CORE,CTR-00267-03R,2023-12-31,3,151.72,1820.64
CUST-00269,PRD-CORE,CTR-00269-03,2023-12-31,15,635.79,7629.48
CUST-00270,PRD-CORE,CTR-00270-03,2023-12-31,5,234.21,2810.52
CUST-00271,PRD-CORE,CTR-00271-02R,2023-12-31,19,994.36,11932.32
CUST-00272,PRD-CORE,CTR-00272-01,2023-12-31,6,268.43,3221.16
CUST-00272,PRD-DISPATCH,CTR-00272-01,2023-12-31,6,107.37,1288.44
CUST-00272,PRD-INSIGHTS,CTR-00272-01,2023-12-31,0,141.42,1697.04
CUST-00274,PRD-CORE,CTR-00274-03,2023-12-31,11,541.73,6500.76
CUST-00275,PRD-CORE,CTR-00275-03,2023-12-31,4,200.55,2406.60
CUST-00276,PRD-CORE,CTR-00276-03,2023-12-31,5,245.74,2948.88
CUST-00278,PRD-CORE,CTR-00278-03,2023-12-31,18,882.77,10593.24
CUST-00279,PRD-CORE,CTR-00279-03,2023-12-31,7,368.79,4425.48
CUST-00279,PRD-DISPATCH,CTR-00279-03,2023-12-31,7,147.52,1770.24
CUST-00281,PRD-CORE,CTR-00281-02R,2023-12-31,13,658.32,7899.84
CUST-00282,PRD-CORE,CTR-00282-01,2023-12-31,13,580.67,6968.04
CUST-00282,PRD-DISPATCH,CTR-00282-01,2023-12-31,13,232.27,2787.24
CUST-00282,PRD-INSIGHTS,CTR-00282-01,2023-12-31,0,108.03,1296.36
CUST-00283,PRD-CORE,CTR-00283-03,2023-12-31,3,155.42,1865.04
CUST-00283,PRD-DISPATCH,CTR-00283-03,2023-12-31,3,62.17,746.04
CUST-00284,PRD-CORE,CTR-00284-01,2023-12-31,3,144.46,1733.52
CUST-00284,PRD-INSIGHTS,CTR-00284-01,2023-12-31,0,223.66,2683.92
CUST-00286,PRD-CORE,CTR-00286-01,2023-12-31,9,412.02,4944.24
CUST-00286,PRD-DISPATCH,CTR-00286-01,2023-12-31,9,164.81,1977.72
CUST-00288,PRD-CORE,CTR-00288-03,2023-12-31,9,454.95,5459.40
CUST-00290,PRD-CORE,CTR-00290-03,2023-12-31,8,414.01,4968.12
CUST-00290,PRD-DISPATCH,CTR-00290-03,2023-12-31,8,165.61,1987.32
CUST-00291,PRD-CORE,CTR-00291-01,2023-12-31,17,747.77,8973.24
CUST-00291,PRD-DISPATCH,CTR-00291-01,2023-12-31,17,299.11,3589.32
CUST-00292,PRD-CORE,CTR-00292-01,2023-12-31,11,480.35,5764.20
CUST-00292,PRD-DISPATCH,CTR-00292-01,2023-12-31,11,192.14,2305.68
CUST-00292,PRD-INSIGHTS,CTR-00292-01,2023-12-31,0,131.94,1583.28
CUST-00293,PRD-CORE,CTR-00293-01,2023-12-31,2,94.01,1128.12
CUST-00297,PRD-CORE,CTR-00297-03,2023-12-31,9,451.28,5415.36
CUST-00298,PRD-CORE,CTR-00298-01,2023-12-31,5,224.68,2696.16
CUST-00298,PRD-DISPATCH,CTR-00298-01,2023-12-31,5,89.87,1078.44
CUST-00300,PRD-CORE,CTR-00300-01,2023-12-31,12,560.95,6731.40
CUST-00300,PRD-DISPATCH,CTR-00300-01,2023-12-31,12,224.38,2692.56
CUST-00300,PRD-INSIGHTS,CTR-00300-01,2023-12-31,0,209.01,2508.12
CUST-00301,PRD-CORE,CTR-00301-01,2023-12-31,15,667.61,8011.32
CUST-00302,PRD-CORE,CTR-00302-01,2023-12-31,7,315.26,3783.12
CUST-00303,PRD-CORE,CTR-00303-03,2023-12-31,7,323.85,3886.20
CUST-00304,PRD-CORE,CTR-00304-01,2023-12-31,6,277.12,3325.44
CUST-00304,PRD-DISPATCH,CTR-00304-01,2023-12-31,6,110.85,1330.20
CUST-00307,PRD-CORE,CTR-00307-01,2023-12-31,3,147.28,1767.36
CUST-00311,PRD-CORE,CTR-00311-01,2023-12-31,4,193.68,2324.16
CUST-00311,PRD-DISPATCH,CTR-00311-01,2023-12-31,4,77.47,929.64
CUST-00316,PRD-CORE,CTR-00316-01,2023-12-31,5,242.06,2904.72
CUST-00319,PRD-CORE,CTR-00319-01,2023-12-31,4,166.91,2002.92
CUST-00320,PRD-CORE,CTR-00320-01,2023-12-31,11,505.68,6068.16
CUST-00320,PRD-DISPATCH,CTR-00320-01,2023-12-31,11,202.27,2427.24
CUST-00320,PRD-INSIGHTS,CTR-00320-01,2023-12-31,0,154.25,1851.00
CUST-00322,PRD-CORE,CTR-00322-01,2023-12-31,13,620.41,7444.92
CUST-00322,PRD-DISPATCH,CTR-00322-01,2023-12-31,13,248.16,2977.92
CUST-00323,PRD-CORE,CTR-00323-01,2023-12-31,1,45.08,540.96
CUST-00323,PRD-DISPATCH,CTR-00323-01,2023-12-31,1,18.03,216.36
CUST-00324,PRD-CORE,CTR-00324-01,2023-12-31,10,427.88,5134.56
CUST-00324,PRD-DISPATCH,CTR-00324-01,2023-12-31,10,171.15,2053.80
CUST-00324,PRD-INSIGHTS,CTR-00324-01,2023-12-31,0,83.97,1007.64
CUST-00325,PRD-CORE,CTR-00325-02,2023-12-31,20,938.89,11266.68
CUST-00326,PRD-CORE,CTR-00326-01,2023-12-31,8,377.73,4532.76
CUST-00327,PRD-CORE,CTR-00327-02,2023-12-31,3,136.06,1632.72
CUST-00327,PRD-DISPATCH,CTR-00327-02,2023-12-31,3,54.42,653.04
CUST-00328,PRD-CORE,CTR-00328-02,2023-12-31,2,98.52,1182.24
CUST-00331,PRD-CORE,CTR-00331-03,2023-12-31,10,487.28,5847.36
CUST-00333,PRD-CORE,CTR-00333-01,2023-12-31,9,389.16,4669.92
CUST-00335,PRD-CORE,CTR-00335-01,2023-12-31,9,429.90,5158.80
CUST-00335,PRD-INSIGHTS,CTR-00335-01,2023-12-31,0,194.16,2329.92
CUST-00336,PRD-CORE,CTR-00336-02,2023-12-31,7,313.76,3765.12
CUST-00336,PRD-DISPATCH,CTR-00336-02,2023-12-31,7,125.50,1506.00
CUST-00336,PRD-INSIGHTS,CTR-00336-02,2023-12-31,0,172.73,2072.76
CUST-00338,PRD-CORE,CTR-00338-01,2023-12-31,5,217.03,2604.36
CUST-00345,PRD-CORE,CTR-00345-02,2023-12-31,12,604.56,7254.72
CUST-00345,PRD-DISPATCH,CTR-00345-02,2023-12-31,12,241.82,2901.84
CUST-00350,PRD-CORE,CTR-00350-02R,2023-12-31,6,303.26,3639.12
CUST-00352,PRD-CORE,CTR-00352-01,2023-12-31,5,247.01,2964.12
CUST-00352,PRD-DISPATCH,CTR-00352-01,2023-12-31,5,98.80,1185.60
CUST-00354,PRD-CORE,CTR-00354-03,2023-12-31,13,964.37,11572.44
CUST-00354,PRD-INSIGHTS,CTR-00354-03,2023-12-31,0,1120.98,13451.76
CUST-00356,PRD-CORE,CTR-00356-03,2023-12-31,16,1200.29,14403.48
CUST-00357,PRD-CORE,CTR-00357-03,2023-12-31,56,3824.16,45889.92
