month_end_date,channel,spend,opportunities_created
2025-03-31,Content & SEO,56520.41,23
2025-03-31,Trade Shows & Events,81756.54,14
2025-03-31,Partner & Co-Marketing,35969.32,9
2025-03-31,Outbound Programs,21236.55,9
2025-04-30,Paid Search,72962.50,24
2025-04-30,Paid Social,44416.80,15
2025-04-30,Content & SEO,46333.58,17
2025-04-30,Trade Shows & Events,72493.02,9
2025-04-30,Partner & Co-Marketing,38537.80,8
2025-04-30,Outbound Programs,20745.28,8
2025-05-31,Paid Search,77110.91,22
2025-05-31,Paid Social,46415.13,12
2025-05-31,Content & SEO,44052.03,19
2025-05-31,Trade Shows & Events,76801.47,8
2025-05-31,Partner & Co-Marketing,33298.29,9
2025-05-31,Outbound Programs,19975.42,6
2025-06-30,Paid Search,91600.85,28
2025-06-30,Paid Social,42615.60,11
2025-06-30,Content & SEO,50464.84,25
2025-06-30,Trade Shows & Events,68390.48,8
2025-06-30,Partner & Co-Marketing,34385.53,11
2025-06-30,Outbound Programs,20616.22,7
2025-07-31,Paid Search,69742.17,23
2025-07-31,Paid Social,36173.08,8
2025-07-31,Content & SEO,40032.10,15
2025-07-31,Trade Shows & Events,60615.65,7
2025-07-31,Partner & Co-Marketing,33315.81,8
2025-07-31,Outbound Programs,18314.79,6
2025-08-31,Paid Search,61658.64,30
2025-08-31,Paid Social,32618.96,9
2025-08-31,Content & SEO,38157.50,13
2025-08-31,Trade Shows & Events,64036.62,10
2025-08-31,Partner & Co-Marketing,30792.77,6
2025-08-31,Outbound Programs,19857.75,6
2025-09-30,Paid Search,88456.56,26
2025-09-30,Paid Social,43628.82,13
2025-09-30,Content & SEO,49304.76,26
2025-09-30,Trade Shows & Events,69710.39,10
2025-09-30,Partner & Co-Marketing,34310.28,9
2025-09-30,Outbound Programs,22731.21,7
2025-10-31,Paid Search,78629.66,29
2025-10-31,Paid Social,45219.87,13
2025-10-31,Content & SEO,54904.58,19
2025-10-31,Trade Shows & Events,73602.14,10
2025-10-31,Partner & Co-Marketing,36380.34,11
2025-10-31,Outbound Programs,19879.21,6
2025-11-30,Paid Search,77291.11,34
2025-11-30,Paid Social,42145.96,14
2025-11-30,Content & SEO,48033.26,19
2025-11-30,Trade Shows & Events,68679.75,8
2025-11-30,Partner & Co-Marketing,35812.61,10
2025-11-30,Outbound Programs,18785.26,6
2025-12-31,Paid Search,70485.68,17
2025-12-31,Paid Social,39482.86,9
2025-12-31,Content & SEO,45239.25,22
2025-12-31,Trade Shows & Events,64612.33,8
2025-12-31,Partner & Co-Marketing,33875.83,7
2025-12-31,Outbound Programs,20673.60,7
2026-01-31,Paid Search,37989.87,10
2026-01-31,Paid Social,19865.24,6
2026-01-31,Content & SEO,23586.51,7
2026-01-31,Trade Shows & Events,35662.42,4
2026-01-31,Partner & Co-Marketing,17266.10,5
2026-01-31,Outbound Programs,9882.82,3
2026-02-28,Paid Search,45254.89,15
2026-02-28,Paid Social,23224.55,7
2026-02-28,Content & SEO,30465.26,10
2026-02-28,Trade Shows & Events,37634.29,6
2026-02-28,Partner & Co-Marketing,19603.08,5
2026-02-28,Outbound Programs,11878.90,4
2026-03-31,Paid Search,49398.89,15
2026-03-31,Paid Social,28456.25,8
2026-03-31,Content & SEO,29686.95,14
2026-03-31,Trade Shows & Events,52459.95,6
2026-03-31,Partner & Co-Marketing,21856.50,6
2026-03-31,Outbound Programs,15072.57,5
2026-04-30,Paid Search,88311.12,29
2026-04-30,Paid Social,43937.07,11
2026-04-30,Content & SEO,43569.20,15
2026-04-30,Trade Shows & Events,64179.81,9
2026-04-30,Partner & Co-Marketing,35618.31,8
2026-04-30,Outbound Programs,18710.83,6
2026-05-31,Paid Search,76099.95,19
2026-05-31,Paid Social,43628.74,12
2026-05-31,Content & SEO,50272.53,25
2026-05-31,Trade Shows & Events,67419.25,9
2026-05-31,Partner & Co-Marketing,40916.47,11
2026-05-31,Outbound Programs,21912.91,6
2026-06-30,Paid Search,77840.41,24
2026-06-30,Paid Social,45763.00,7
2026-06-30,Content & SEO,44830.84,18
2026-06-30,Trade Shows & Events,70720.93,7
2026-06-30,Partner & Co-Marketing,38024.94,7
2026-06-30,Outbound Programs,23859.53,6
