month_end_date,cost_center,department,account_code,account_name,account_category,actual_amount
2024-01-31,CC-1050,Solutions Engineering,6000,Salaries & Wages,Sales & Marketing,28975.00
2024-01-31,CC-1050,Solutions Engineering,6020,Payroll Taxes & Benefits,Sales & Marketing,5939.88
2024-01-31,CC-1050,Solutions Engineering,6200,Software & Subscriptions,Sales & Marketing,1155.90
2024-01-31,CC-1050,Solutions Engineering,6300,Travel & Entertainment,Sales & Marketing,1539.34
2024-01-31,CC-1060,Sales Leadership,6000,Salaries & Wages,Sales & Marketing,16366.67
2024-01-31,CC-1060,Sales Leadership,6020,Payroll Taxes & Benefits,Sales & Marketing,3355.17
2024-01-31,CC-1060,Sales Leadership,6200,Software & Subscriptions,Sales & Marketing,826.12
2024-01-31,CC-1060,Sales Leadership,6300,Travel & Entertainment,Sales & Marketing,1053.51
2024-01-31,CC-1060,Sales Leadership,6450,Training & Enablement,Sales & Marketing,86.28
2024-01-31,CC-1100,Demand Generation,6000,Salaries & Wages,Sales & Marketing,54775.00
2024-01-31,CC-1100,Demand Generation,6010,Bonus,Sales & Marketing,5307.17
2024-01-31,CC-1100,Demand Generation,6020,Payroll Taxes & Benefits,Sales & Marketing,12316.84
2024-01-31,CC-1100,Demand Generation,6050,Contractor & Temp Labor,Sales & Marketing,14524.61
2024-01-31,CC-1100,Demand Generation,6100,Demand Generation,Sales & Marketing,136186.97
2024-01-31,CC-1100,Demand Generation,6110,Events & Field Marketing,Sales & Marketing,53066.35
2024-01-31,CC-1100,Demand Generation,6200,Software & Subscriptions,Sales & Marketing,1909.06
2024-01-31,CC-1100,Demand Generation,6300,Travel & Entertainment,Sales & Marketing,1489.56
2024-01-31,CC-1100,Demand Generation,6450,Training & Enablement,Sales & Marketing,272.07
2024-01-31,CC-1110,Product Marketing,6000,Salaries & Wages,Sales & Marketing,81025.00
2024-01-31,CC-1110,Product Marketing,6010,Bonus,Sales & Marketing,7332.33
2024-01-31,CC-1110,Product Marketing,6020,Payroll Taxes & Benefits,Sales & Marketing,18113.25
2024-01-31,CC-1110,Product Marketing,6120,Brand & Content,Sales & Marketing,34305.38
2024-01-31,CC-1110,Product Marketing,6200,Software & Subscriptions,Sales & Marketing,2850.03
2024-01-31,CC-1110,Product Marketing,6300,Travel & Entertainment,Sales & Marketing,2347.45
2024-01-31,CC-1200,Customer Success,6000,Salaries & Wages,Sales & Marketing,65160.00
2024-01-31,CC-1200,Customer Success,6000,Salaries & Wages,Subscription COGS,97740.00
2024-01-31,CC-1200,Customer Success,6010,Bonus,Sales & Marketing,6687.23
2024-01-31,CC-1200,Customer Success,6010,Bonus,Subscription COGS,10030.85
2024-01-31,CC-1200,Customer Success,6020,Payroll Taxes & Benefits,Sales & Marketing,14728.68
2024-01-31,CC-1200,Customer Success,6020,Payroll Taxes & Benefits,Subscription COGS,22093.02
2024-01-31,CC-1200,Customer Success,6200,Software & Subscriptions,Sales & Marketing,1032.53
2024-01-31,CC-1200,Customer Success,6200,Software & Subscriptions,Subscription COGS,1548.79
2024-01-31,CC-1200,Customer Success,6300,Travel & Entertainment,Sales & Marketing,856.15
2024-01-31,CC-1200,Customer Success,6300,Travel & Entertainment,Subscription COGS,1284.22
2024-01-31,CC-2000,Support,5010,Third-Party Data & APIs,Subscription COGS,1093.72
2024-01-31,CC-2000,Support,6000,Salaries & Wages,Subscription COGS,31150.00
2024-01-31,CC-2000,Support,6010,Bonus,Subscription COGS,2492.00
2024-01-31,CC-2000,Support,6020,Payroll Taxes & Benefits,Subscription COGS,6896.61
2024-01-31,CC-2000,Support,6200,Software & Subscriptions,Subscription COGS,570.80
2024-01-31,CC-2010,Cloud Operations,5000,Cloud Hosting,Subscription COGS,115009.28
2024-01-31,CC-2010,Cloud Operations,5010,Third-Party Data & APIs,Subscription COGS,678.80
2024-01-31,CC-2010,Cloud Operations,5020,Payment Processing Fees,Subscription COGS,9953.41
2024-01-31,CC-2010,Cloud Operations,6000,Salaries & Wages,Subscription COGS,57791.67
2024-01-31,CC-2010,Cloud Operations,6010,Bonus,Subscription COGS,5044.33
2024-01-31,CC-2010,Cloud Operations,6020,Payroll Taxes & Benefits,Subscription COGS,12881.38
2024-01-31,CC-2010,Cloud Operations,6050,Contractor & Temp Labor,Subscription COGS,14035.25
2024-01-31,CC-2010,Cloud Operations,6200,Software & Subscriptions,Subscription COGS,906.34
2024-01-31,CC-2010,Cloud Operations,6900,Other Operating Expense,Subscription COGS,150.86
2024-01-31,CC-2100,Professional Services,5030,Services Subcontractors,Services COGS,1668.40
2024-01-31,CC-2100,Professional Services,6000,Salaries & Wages,Services COGS,20616.67
2024-01-31,CC-2100,Professional Services,6010,Bonus,Services COGS,1649.33
2024-01-31,CC-2100,Professional Services,6020,Payroll Taxes & Benefits,Services COGS,4564.53
2024-01-31,CC-2100,Professional Services,6200,Software & Subscriptions,Services COGS,513.11
2024-01-31,CC-2100,Professional Services,6300,Travel & Entertainment,Services COGS,1060.40
2024-01-31,CC-3000,Engineering,6000,Salaries & Wages,Research & Development,296050.00
2024-01-31,CC-3000,Engineering,6010,Bonus,Research & Development,28565.17
2024-01-31,CC-3000,Engineering,6020,Payroll Taxes & Benefits,Research & Development,66546.11
2024-01-31,CC-3000,Engineering,6050,Contractor & Temp Labor,Research & Development,23640.62
2024-01-31,CC-3000,Engineering,6200,Software & Subscriptions,Research & Development,10036.93
2024-01-31,CC-3000,Engineering,6300,Travel & Entertainment,Research & Development,1912.99
2024-01-31,CC-3000,Engineering,6450,Training & Enablement,Research & Development,1354.54
2024-01-31,CC-3000,Engineering,6900,Other Operating Expense,Research & Development,921.08
2024-01-31,CC-3010,Quality & Release,6000,Salaries & Wages,Research & Development,26366.67
2024-01-31,CC-3010,Quality & Release,6010,Bonus,Research & Development,2109.33
2024-01-31,CC-3010,Quality & Release,6020,Payroll Taxes & Benefits,Research & Development,5837.58
2024-01-31,CC-3010,Quality & Release,6050,Contractor & Temp Labor,Research & Development,8325.90
2024-01-31,CC-3010,Quality & Release,6200,Software & Subscriptions,Research & Development,1137.57
2024-01-31,CC-3100,Product & Design,6000,Salaries & Wages,Research & Development,106975.00
2024-01-31,CC-3100,Product & Design,6010,Bonus,Research & Development,9697.67
2024-01-31,CC-3100,Product & Design,6020,Payroll Taxes & Benefits,Research & Development,23917.90
2024-01-31,CC-3100,Product & Design,6050,Contractor & Temp Labor,Research & Development,9355.23
2024-01-31,CC-3100,Product & Design,6200,Software & Subscriptions,Research & Development,3276.44
2024-01-31,CC-3100,Product & Design,6300,Travel & Entertainment,Research & Development,865.07
2024-01-31,CC-4000,Finance & Accounting,6000,Salaries & Wages,General & Administrative,41183.33
2024-01-31,CC-4000,Finance & Accounting,6010,Bonus,General & Administrative,3745.67
2024-01-31,CC-4000,Finance & Accounting,6020,Payroll Taxes & Benefits,General & Administrative,9210.44
2024-01-31,CC-4000,Finance & Accounting,6200,Software & Subscriptions,General & Administrative,953.69
2024-01-31,CC-4000,Finance & Accounting,6300,Travel & Entertainment,General & Administrative,512.42
2024-01-31,CC-4000,Finance & Accounting,6400,Professional Fees,General & Administrative,36966.72
2024-01-31,CC-4000,Finance & Accounting,6440,Depreciation & Amortisation,General & Administrative,21113.28
2024-01-31,CC-4000,Finance & Accounting,6900,Other Operating Expense,General & Administrative,110.48
2024-01-31,CC-4010,People Operations,6000,Salaries & Wages,General & Administrative,37300.00
2024-01-31,CC-4010,People Operations,6010,Bonus,General & Administrative,4054.42
2024-01-31,CC-4010,People Operations,6020,Payroll Taxes & Benefits,General & Administrative,8477.66
2024-01-31,CC-4010,People Operations,6200,Software & Subscriptions,General & Administrative,577.69
2024-01-31,CC-4010,People Operations,6410,Recruiting Fees,General & Administrative,22920.12
2024-01-31,CC-4010,People Operations,6450,Training & Enablement,General & Administrative,107.93
2024-01-31,CC-4020,Legal & Corporate,6000,Salaries & Wages,General & Administrative,11300.00
2024-01-31,CC-4020,Legal & Corporate,6010,Bonus,General & Administrative,904.00
2024-01-31,CC-4020,Legal & Corporate,6020,Payroll Taxes & Benefits,General & Administrative,2501.82
2024-01-31,CC-4020,Legal & Corporate,6200,Software & Subscriptions,General & Administrative,373.84
2024-01-31,CC-4020,Legal & Corporate,6300,Travel & Entertainment,General & Administrative,213.49
2024-01-31,CC-4020,Legal & Corporate,6400,Professional Fees,General & Administrative,18116.75
2024-01-31,CC-4020,Legal & Corporate,6430,Insurance,General & Administrative,18303.70
2024-01-31,CC-4030,IT & Corporate Systems,6000,Salaries & Wages,General & Administrative,28716.67
2024-01-31,CC-4030,IT & Corporate Systems,6010,Bonus,General & Administrative,3900.75
2024-01-31,CC-4030,IT & Corporate Systems,6020,Payroll Taxes & Benefits,General & Administrative,6686.57
2024-01-31,CC-4030,IT & Corporate Systems,6050,Contractor & Temp Labor,General & Administrative,5744.60
2024-01-31,CC-4030,IT & Corporate Systems,6200,Software & Subscriptions,General & Administrative,345.07
2024-01-31,CC-4030,IT & Corporate Systems,6420,Facilities & Rent,General & Administrative,29854.29
2024-01-31,CC-4030,IT & Corporate Systems,6900,Other Operating Expense,General & Administrative,50.41
2024-01-31,CC-9000,Revenue,4000,Subscription Revenue,Subscription Revenue,-834135.16
2024-01-31,CC-9000,Revenue,4010,Usage Revenue Above Commitment,Subscription Revenue,-14252.92
2024-01-31,CC-9000,Revenue,4100,Professional Services Revenue,Services Revenue,-35806.69
2024-01-31,CC-9000,Revenue,4110,Implementation Fee Revenue,Services Revenue,-59728.87
2024-02-29,CC-1000,Sales - SMB,6000,Salaries & Wages,Sales & Marketing,66333.33
2024-02-29,CC-1000,Sales - SMB,6020,Payroll Taxes & Benefits,Sales & Marketing,13598.33
2024-02-29,CC-1000,Sales - SMB,6030,Sales Commissions,Sales & Marketing,3352.20
2024-02-29,CC-1000,Sales - SMB,6040,Commission Amortisation,Sales & Marketing,180.85
2024-02-29,CC-1000,Sales - SMB,6200,Software & Subscriptions,Sales & Marketing,2972.72
2024-02-29,CC-1000,Sales - SMB,6300,Travel & Entertainment,Sales & Marketing,5001.89
2024-02-29,CC-1000,Sales - SMB,6450,Training & Enablement,Sales & Marketing,406.36
2024-02-29,CC-1010,Sales - Mid-Market,6000,Salaries & Wages,Sales & Marketing,81691.67
2024-02-29,CC-1010,Sales - Mid-Market,6020,Payroll Taxes & Benefits,Sales & Marketing,16746.79
2024-02-29,CC-1010,Sales - Mid-Market,6030,Sales Commissions,Sales & Marketing,6399.66
2024-02-29,CC-1010,Sales - Mid-Market,6040,Commission Amortisation,Sales & Marketing,345.26
2024-02-29,CC-1010,Sales - Mid-Market,6200,Software & Subscriptions,Sales & Marketing,3696.00
2024-02-29,CC-1010,Sales - Mid-Market,6300,Travel & Entertainment,Sales & Marketing,4971.88
2024-02-29,CC-1010,Sales - Mid-Market,6450,Training & Enablement,Sales & Marketing,461.05
2024-02-29,CC-1020,Sales - Enterprise,6000,Salaries & Wages,Sales & Marketing,46650.00
2024-02-29,CC-1020,Sales - Enterprise,6020,Payroll Taxes & Benefits,Sales & Marketing,9563.25
2024-02-29,CC-1020,Sales - Enterprise,6030,Sales Commissions,Sales & Marketing,5485.42
2024-02-29,CC-1020,Sales - Enterprise,6040,Commission Amortisation,Sales & Marketing,295.94
2024-02-29,CC-1020,Sales - Enterprise,6200,Software & Subscriptions,Sales & Marketing,1811.66
2024-02-29,CC-1020,Sales - Enterprise,6300,Travel & Entertainment,Sales & Marketing,2839.69
2024-02-29,CC-1020,Sales - Enterprise,6450,Training & Enablement,Sales & Marketing,235.95
2024-02-29,CC-1030,Sales Development,6000,Salaries & Wages,Sales & Marketing,49425.00
2024-02-29,CC-1030,Sales Development,6020,Payroll Taxes & Benefits,Sales & Marketing,10132.12
2024-02-29,CC-1030,Sales Development,6200,Software & Subscriptions,Sales & Marketing,2186.96
2024-02-29,CC-1030,Sales Development,6300,Travel & Entertainment,Sales & Marketing,3160.57
2024-02-29,CC-1030,Sales Development,6450,Training & Enablement,Sales & Marketing,268.60
2024-02-29,CC-1040,Sales Operations,6000,Salaries & Wages,Sales & Marketing,38041.67
2024-02-29,CC-1040,Sales Operations,6020,Payroll Taxes & Benefits,Sales & Marketing,7798.54
2024-02-29,CC-1040,Sales Operations,6200,Software & Subscriptions,Sales & Marketing,1399.45
2024-02-29,CC-1040,Sales Operations,6300,Travel & Entertainment,Sales & Marketing,2045.32
2024-02-29,CC-1050,Solutions Engineering,6000,Salaries & Wages,Sales & Marketing,28975.00
2024-02-29,CC-1050,Solutions Engineering,6020,Payroll Taxes & Benefits,Sales & Marketing,5939.88
2024-02-29,CC-1050,Solutions Engineering,6200,Software & Subscriptions,Sales & Marketing,1022.63
2024-02-29,CC-1050,Solutions Engineering,6300,Travel & Entertainment,Sales & Marketing,1563.25
2024-02-29,CC-1060,Sales Leadership,6000,Salaries & Wages,Sales & Marketing,16366.67
2024-02-29,CC-1060,Sales Leadership,6020,Payroll Taxes & Benefits,Sales & Marketing,3355.17
2024-02-29,CC-1060,Sales Leadership,6200,Software & Subscriptions,Sales & Marketing,770.00
2024-02-29,CC-1060,Sales Leadership,6300,Travel & Entertainment,Sales & Marketing,1137.55
2024-02-29,CC-1060,Sales Leadership,6450,Training & Enablement,Sales & Marketing,87.17
2024-02-29,CC-1100,Demand Generation,6000,Salaries & Wages,Sales & Marketing,54775.00
2024-02-29,CC-1100,Demand Generation,6010,Bonus,Sales & Marketing,5307.17
2024-02-29,CC-1100,Demand Generation,6020,Payroll Taxes & Benefits,Sales & Marketing,12316.84
2024-02-29,CC-1100,Demand Generation,6050,Contractor & Temp Labor,Sales & Marketing,15873.75
2024-02-29,CC-1100,Demand Generation,6100,Demand Generation,Sales & Marketing,148839.39
2024-02-29,CC-1100,Demand Generation,6110,Events & Field Marketing,Sales & Marketing,52999.22
2024-02-29,CC-1100,Demand Generation,6200,Software & Subscriptions,Sales & Marketing,1841.43
2024-02-29,CC-1100,Demand Generation,6300,Travel & Entertainment,Sales & Marketing,1669.62
2024-02-29,CC-1100,Demand Generation,6450,Training & Enablement,Sales & Marketing,252.28
2024-02-29,CC-1110,Product Marketing,6000,Salaries & Wages,Sales & Marketing,81025.00
2024-02-29,CC-1110,Product Marketing,6010,Bonus,Sales & Marketing,7332.33
2024-02-29,CC-1110,Product Marketing,6020,Payroll Taxes & Benefits,Sales & Marketing,18113.25
2024-02-29,CC-1110,Product Marketing,6120,Brand & Content,Sales & Marketing,37974.48
2024-02-29,CC-1110,Product Marketing,6200,Software & Subscriptions,Sales & Marketing,2988.11
2024-02-29,CC-1110,Product Marketing,6300,Travel & Entertainment,Sales & Marketing,2279.27
2024-02-29,CC-1200,Customer Success,6000,Salaries & Wages,Sales & Marketing,62596.67
2024-02-29,CC-1200,Customer Success,6000,Salaries & Wages,Subscription COGS,93895.00
2024-02-29,CC-1200,Customer Success,6010,Bonus,Sales & Marketing,6145.00
2024-02-29,CC-1200,Customer Success,6010,Bonus,Subscription COGS,9217.50
2024-02-29,CC-1200,Customer Success,6020,Payroll Taxes & Benefits,Sales & Marketing,14092.04
2024-02-29,CC-1200,Customer Success,6020,Payroll Taxes & Benefits,Subscription COGS,21138.06
2024-02-29,CC-1200,Customer Success,6200,Software & Subscriptions,Sales & Marketing,1032.12
2024-02-29,CC-1200,Customer Success,6200,Software & Subscriptions,Subscription COGS,1548.18
2024-02-29,CC-1200,Customer Success,6300,Travel & Entertainment,Sales & Marketing,788.07
2024-02-29,CC-1200,Customer Success,6300,Travel & Entertainment,Subscription COGS,1182.10
2024-02-29,CC-2000,Support,5010,Third-Party Data & APIs,Subscription COGS,1078.17
2024-02-29,CC-2000,Support,6000,Salaries & Wages,Subscription COGS,38116.67
2024-02-29,CC-2000,Support,6010,Bonus,Subscription COGS,3049.33
2024-02-29,CC-2000,Support,6020,Payroll Taxes & Benefits,Subscription COGS,8439.03
2024-02-29,CC-2000,Support,6200,Software & Subscriptions,Subscription COGS,718.88
2024-02-29,CC-2010,Cloud Operations,5000,Cloud Hosting,Subscription COGS,104492.25
2024-02-29,CC-2010,Cloud Operations,5010,Third-Party Data & APIs,Subscription COGS,646.59
2024-02-29,CC-2010,Cloud Operations,5020,Payment Processing Fees,Subscription COGS,9898.58
2024-02-29,CC-2010,Cloud Operations,6000,Salaries & Wages,Subscription COGS,57791.67
2024-02-29,CC-2010,Cloud Operations,6010,Bonus,Subscription COGS,5044.33
2024-02-29,CC-2010,Cloud Operations,6020,Payroll Taxes & Benefits,Subscription COGS,12881.38
2024-02-29,CC-2010,Cloud Operations,6050,Contractor & Temp Labor,Subscription COGS,15485.23
2024-02-29,CC-2010,Cloud Operations,6200,Software & Subscriptions,Subscription COGS,928.11
2024-02-29,CC-2010,Cloud Operations,6900,Other Operating Expense,Subscription COGS,155.55
2024-02-29,CC-2100,Professional Services,5030,Services Subcontractors,Services COGS,1650.95
2024-02-29,CC-2100,Professional Services,6000,Salaries & Wages,Services COGS,20616.67
2024-02-29,CC-2100,Professional Services,6010,Bonus,Services COGS,1649.33
2024-02-29,CC-2100,Professional Services,6020,Payroll Taxes & Benefits,Services COGS,4564.53
2024-02-29,CC-2100,Professional Services,6200,Software & Subscriptions,Services COGS,579.04
2024-02-29,CC-2100,Professional Services,6300,Travel & Entertainment,Services COGS,1119.63
2024-02-29,CC-3000,Engineering,6000,Salaries & Wages,Research & Development,296050.00
2024-02-29,CC-3000,Engineering,6010,Bonus,Research & Development,28565.17
2024-02-29,CC-3000,Engineering,6020,Payroll Taxes & Benefits,Research & Development,66546.11
2024-02-29,CC-3000,Engineering,6050,Contractor & Temp Labor,Research & Development,23023.18
2024-02-29,CC-3000,Engineering,6200,Software & Subscriptions,Research & Development,8905.20
2024-02-29,CC-3000,Engineering,6300,Travel & Entertainment,Research & Development,1781.55
2024-02-29,CC-3000,Engineering,6450,Training & Enablement,Research & Development,1338.15
2024-02-29,CC-3000,Engineering,6900,Other Operating Expense,Research & Development,878.57
2024-02-29,CC-3010,Quality & Release,6000,Salaries & Wages,Research & Development,26366.67
2024-02-29,CC-3010,Quality & Release,6010,Bonus,Research & Development,2109.33
2024-02-29,CC-3010,Quality & Release,6020,Payroll Taxes & Benefits,Research & Development,5837.58
2024-02-29,CC-3010,Quality & Release,6050,Contractor & Temp Labor,Research & Development,8268.14
2024-02-29,CC-3010,Quality & Release,6200,Software & Subscriptions,Research & Development,859.89
2024-02-29,CC-3100,Product & Design,6000,Salaries & Wages,Research & Development,113691.67
2024-02-29,CC-3100,Product & Design,6010,Bonus,Research & Development,10235.00
2024-02-29,CC-3100,Product & Design,6020,Payroll Taxes & Benefits,Research & Development,25404.97
2024-02-29,CC-3100,Product & Design,6050,Contractor & Temp Labor,Research & Development,10473.02
2024-02-29,CC-3100,Product & Design,6200,Software & Subscriptions,Research & Development,3259.22
2024-02-29,CC-3100,Product & Design,6300,Travel & Entertainment,Research & Development,821.67
2024-02-29,CC-4000,Finance & Accounting,6000,Salaries & Wages,General & Administrative,41183.33
2024-02-29,CC-4000,Finance & Accounting,6010,Bonus,General & Administrative,3745.67
2024-02-29,CC-4000,Finance & Accounting,6020,Payroll Taxes & Benefits,General & Administrative,9210.44
2024-02-29,CC-4000,Finance & Accounting,6200,Software & Subscriptions,General & Administrative,856.12
2024-02-29,CC-4000,Finance & Accounting,6300,Travel & Entertainment,General & Administrative,510.55
2024-02-29,CC-4000,Finance & Accounting,6400,Professional Fees,General & Administrative,36327.78
2024-02-29,CC-4000,Finance & Accounting,6440,Depreciation & Amortisation,General & Administrative,21113.28
2024-02-29,CC-4000,Finance & Accounting,6900,Other Operating Expense,General & Administrative,129.26
2024-02-29,CC-4010,People Operations,6000,Salaries & Wages,General & Administrative,48875.00
2024-02-29,CC-4010,People Operations,6010,Bonus,General & Administrative,4980.42
2024-02-29,CC-4010,People Operations,6020,Payroll Taxes & Benefits,General & Administrative,11040.36
2024-02-29,CC-4010,People Operations,6200,Software & Subscriptions,General & Administrative,732.94
2024-02-29,CC-4010,People Operations,6410,Recruiting Fees,General & Administrative,45173.30
2024-02-29,CC-4010,People Operations,6450,Training & Enablement,General & Administrative,158.78
2024-02-29,CC-4020,Legal & Corporate,6000,Salaries & Wages,General & Administrative,11300.00
2024-02-29,CC-4020,Legal & Corporate,6010,Bonus,General & Administrative,904.00
2024-02-29,CC-4020,Legal & Corporate,6020,Payroll Taxes & Benefits,General & Administrative,2501.82
2024-02-29,CC-4020,Legal & Corporate,6200,Software & Subscriptions,General & Administrative,399.24
2024-02-29,CC-4020,Legal & Corporate,6300,Travel & Entertainment,General & Administrative,200.39
2024-02-29,CC-4020,Legal & Corporate,6400,Professional Fees,General & Administrative,18308.52
2024-02-29,CC-4020,Legal & Corporate,6430,Insurance,General & Administrative,18299.75
2024-02-29,CC-4030,IT & Corporate Systems,6000,Salaries & Wages,General & Administrative,28716.67
2024-02-29,CC-4030,IT & Corporate Systems,6010,Bonus,General & Administrative,3900.75
2024-02-29,CC-4030,IT & Corporate Systems,6020,Payroll Taxes & Benefits,General & Administrative,6686.57
2024-02-29,CC-4030,IT & Corporate Systems,6050,Contractor & Temp Labor,General & Administrative,5652.97
2024-02-29,CC-4030,IT & Corporate Systems,6200,Software & Subscriptions,General & Administrative,360.56
2024-02-29,CC-4030,IT & Corporate Systems,6420,Facilities & Rent,General & Administrative,32066.92
2024-02-29,CC-4030,IT & Corporate Systems,6900,Other Operating Expense,General & Administrative,47.17
2024-02-29,CC-9000,Revenue,4000,Subscription Revenue,Subscription Revenue,-1529382.50
2024-02-29,CC-9000,Revenue,4010,Usage Revenue Above Commitment,Subscription Revenue,-27795.63
2024-02-29,CC-9000,Revenue,4100,Professional Services Revenue,Services Revenue,-36363.70
2024-02-29,CC-9000,Revenue,4110,Implementation Fee Revenue,Services Revenue,-59609.71
2024-03-31,CC-1000,Sales - SMB,6000,Salaries & Wages,Sales & Marketing,59791.67
2024-03-31,CC-1000,Sales - SMB,6020,Payroll Taxes & Benefits,Sales & Marketing,12257.29
2024-03-31,CC-1000,Sales - SMB,6030,Sales Commissions,Sales & Marketing,8145.72
2024-03-31,CC-1000,Sales - SMB,6040,Commission Amortisation,Sales & Marketing,506.46
2024-03-31,CC-1000,Sales - SMB,6200,Software & Subscriptions,Sales & Marketing,2838.94
2024-03-31,CC-1000,Sales - SMB,6300,Travel & Entertainment,Sales & Marketing,4448.67
2024-03-31,CC-1000,Sales - SMB,6450,Training & Enablement,Sales & Marketing,357.78
2024-03-31,CC-1010,Sales - Mid-Market,6000,Salaries & Wages,Sales & Marketing,81691.67
2024-03-31,CC-1010,Sales - Mid-Market,6020,Payroll Taxes & Benefits,Sales & Marketing,16746.79
2024-03-31,CC-1010,Sales - Mid-Market,6030,Sales Commissions,Sales & Marketing,15550.92
2024-03-31,CC-1010,Sales - Mid-Market,6040,Commission Amortisation,Sales & Marketing,966.88
2024-03-31,CC-1010,Sales - Mid-Market,6200,Software & Subscriptions,Sales & Marketing,3423.21
2024-03-31,CC-1010,Sales - Mid-Market,6300,Travel & Entertainment,Sales & Marketing,5427.98
2024-03-31,CC-1010,Sales - Mid-Market,6450,Training & Enablement,Sales & Marketing,413.86
2024-03-31,CC-1020,Sales - Enterprise,6000,Salaries & Wages,Sales & Marketing,46650.00
2024-03-31,CC-1020,Sales - Enterprise,6020,Payroll Taxes & Benefits,Sales & Marketing,9563.25
2024-03-31,CC-1020,Sales - Enterprise,6030,Sales Commissions,Sales & Marketing,13329.36
2024-03-31,CC-1020,Sales - Enterprise,6040,Commission Amortisation,Sales & Marketing,828.75
2024-03-31,CC-1020,Sales - Enterprise,6200,Software & Subscriptions,Sales & Marketing,1835.60
2024-03-31,CC-1020,Sales - Enterprise,6300,Travel & Entertainment,Sales & Marketing,2571.47
2024-03-31,CC-1020,Sales - Enterprise,6450,Training & Enablement,Sales & Marketing,210.31
2024-03-31,CC-1030,Sales Development,6000,Salaries & Wages,Sales & Marketing,49425.00
2024-03-31,CC-1030,Sales Development,6020,Payroll Taxes & Benefits,Sales & Marketing,10132.12
2024-03-31,CC-1030,Sales Development,6200,Software & Subscriptions,Sales & Marketing,2280.44
2024-03-31,CC-1030,Sales Development,6300,Travel & Entertainment,Sales & Marketing,3003.58
2024-03-31,CC-1030,Sales Development,6450,Training & Enablement,Sales & Marketing,262.25
2024-03-31,CC-1040,Sales Operations,6000,Salaries & Wages,Sales & Marketing,38041.67
2024-03-31,CC-1040,Sales Operations,6020,Payroll Taxes & Benefits,Sales & Marketing,7798.54
2024-03-31,CC-1040,Sales Operations,6200,Software & Subscriptions,Sales & Marketing,1484.64
2024-03-31,CC-1040,Sales Operations,6300,Travel & Entertainment,Sales & Marketing,2018.91
2024-03-31,CC-1050,Solutions Engineering,6000,Salaries & Wages,Sales & Marketing,28975.00
2024-03-31,CC-1050,Solutions Engineering,6020,Payroll Taxes & Benefits,Sales & Marketing,5939.88
